,Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
18,ACTA1,NP_033736.1,"[('XP_007235317.1', 'ACTC1A'), ('XP_007238991.1', 'ACTA1A'), ('XP_007248613.1', 'ACTA1B'), ('XP_007252999.1', 'ACTC2'), ('XP_015463524.1', 'ACTC1B'), ('XP_022520514.1', 'ACTA2'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",19
19,ACTA2,NP_031418.1,"[('XP_007235317.1', 'ACTC1A'), ('XP_007238991.1', 'ACTA1A'), ('XP_007248613.1', 'ACTA1B'), ('XP_007252999.1', 'ACTC2'), ('XP_015463524.1', 'ACTC1B'), ('XP_022520514.1', 'ACTA2'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",20
20,ACTC1,NP_033738.1,"[('XP_007235317.1', 'ACTC1A'), ('XP_007238991.1', 'ACTA1A'), ('XP_007248613.1', 'ACTA1B'), ('XP_007252999.1', 'ACTC2'), ('XP_015463524.1', 'ACTC1B'), ('XP_022520514.1', 'ACTA2'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",21
21,ACTG2,NP_033740.2,"[('XP_007235317.1', 'ACTC1A'), ('XP_007238991.1', 'ACTA1A'), ('XP_007247883.1', 'ACTB2'), ('XP_007248613.1', 'ACTA1B'), ('XP_007252999.1', 'ACTC2'), ('XP_007260329.1', 'ACTB1'), ('XP_015463524.1', 'ACTC1B'), ('XP_022520514.1', 'ACTA2'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",22
22,ADAM12,NP_031426.2,"[('XP_022528278.2', 'ADAM12B'), ('XP_022528279.2', 'ADAM12B'), ('XP_049320339.1', 'LOC103040611'), ('XP_049320340.1', 'LOC103040611')]",23
23,ADAM8,NP_001277995.1,"[('XP_007248635.3', 'ADAM8A')]",24
24,ADCYAP1R1,XP_006505451.1,"[('XP_022531576.2', 'ADCYAP1R1B'), ('XP_022534444.2', 'ADCYAP1R1A')]",25
25,ADD1,NP_001318011.1,"[('XP_049322297.1', 'ADD1'), ('XP_049322298.1', 'ADD1'), ('XP_049322302.1', 'ADD1'), ('XP_049322303.1', 'ADD1'), ('XP_049322305.1', 'ADD1'), ('XP_049322306.1', 'ADD1')]",26
26,ADD2,NP_038486.2,"[('XP_022520402.2', 'ADD2'), ('XP_022520403.2', 'ADD2')]",27
27,ADIPOR1,NP_082596.2,"[('XP_007231740.3', 'ADIPOR1B'), ('XP_049327662.1', 'ADIPOR1A'), ('XP_049327663.1', 'ADIPOR1A'), ('XP_049327664.1', 'ADIPOR1A')]",28
28,ADORA2A,NP_001318025.1,"[('XP_007233964.1', 'ADORA2AB')]",29
29,ADRA2B,NP_033763.3,"[('XP_007234270.2', 'ADRA2B')]",30
30,AEBP2,NP_033767.2,"[('XP_007256049.2', 'AEBP2')]",31
31,AGRP,NP_001258735.1,"[('XP_049327118.1', 'LOC103047890')]",32
32,AGT,NP_031454.4,"[('XP_007256132.3', 'AGT')]",33
33,AICDA,NP_033775.1,"[('XP_022529054.2', 'AICDA')]",34
34,AIRE,NP_001258484.1,"[('XP_049322875.1', 'AIRE')]",35
35,AKAP12,NP_112462.1,"[('XP_022518862.2', 'AKAP12B'), ('XP_022518869.2', 'AKAP12B')]",36
36,AKIP1,NP_065641.1,"[('XP_015461272.3', 'AKIP1'), ('XP_015461273.3', 'AKIP1')]",37
37,AKR1B7,NP_033861.2,"[('XP_007230739.3', 'LOC125780396'), ('XP_022527461.2', 'AKR1B1.2')]",38
38,AKR1B8,NP_032038.1,"[('XP_007230739.3', 'LOC125780396'), ('XP_022527461.2', 'AKR1B1.2'), ('XP_049330983.1', 'LOC103040561'), ('XP_049330984.1', 'LOC103040561')]",39
39,ALOX5,NP_033792.1,"[('XP_007240343.3', 'ALOX5A')]",40
40,ALPL,XP_017175413.1,"[('XP_022538195.2', 'ALPL'), ('XP_049327776.1', 'ALPL')]",41
41,ALX1,NP_001408403.1,"[('XP_007249311.2', 'ALX1')]",42
42,ALX3,NP_031467.1,"[('XP_022526771.2', 'ALX3')]",43
43,ALX4,NP_031468.1,"[('XP_007232960.1', 'ALX4A')]",44
44,AMPD1,NP_001028475.2,"[('XP_022526324.2', 'AMPD1'), ('XP_049342175.1', 'AMPD1')]",45
45,ANGPT2,NP_031452.2,"[('XP_022540932.2', 'ANGPT2A')]",46
46,ANGPTL2,NP_036053.2,"[('XP_007248039.3', 'ANGPTL2B'), ('XP_015460995.3', 'ANGPTL2B'), ('XP_049330775.1', 'ANGPTL2A')]",47
47,ANKRD1,NP_038496.2,"[('XP_049319898.1', 'ANKRD1A')]",48
48,ANPEP,XP_036008613.1,"[('XP_022525607.2', 'LOC103045941'), ('XP_022525610.1', 'ANPEPA'), ('XP_022539693.2', 'ANPEPB.1')]",49
49,APAF1,XP_036011453.1,"[('XP_007245039.3', 'APAF1'), ('XP_049330251.1', 'APAF1')]",50
50,APBB1,NP_001398887.1,"[('XP_022537011.2', 'APBB1'), ('XP_049324732.1', 'APBB1')]",51
51,APLP1,NP_031493.2,"[('XP_007232595.2', 'APLP1'), ('XP_007232596.2', 'APLP1')]",52
52,ARID3A,NP_001275554.1,"[('XP_007240305.1', 'ARID3A')]",53
53,ARID3B,NP_001366282.1,"[('XP_007246657.2', 'ARID3B')]",54
54,ARID5B,NP_076087.2,"[('XP_022524920.2', 'ARID5B')]",55
55,ARL6IP5,NP_075368.1,"[('XP_049319128.1', 'ARL6IP5B')]",56
56,ART1,XP_036008500.1,"[('XP_007253792.3', 'LOC103045155')]",57
57,ARX,NP_031518.2,"[('XP_015462112.3', 'ARXA')]",58
58,ASAH1,XP_017168016.1,"[('XP_007232647.3', 'ASAH1B')]",59
59,ASCL1,NP_032579.2,"[('XP_007259060.2', 'ASCL1A')]",60
60,ASH1L,XP_030108328.1,"[('XP_007230635.3', 'ASH1L'), ('XP_022538731.2', 'ASH1L')]",61
61,ASXL1,NP_001035028.1,"[('XP_007246903.3', 'ASXL1'), ('XP_007246905.3', 'ASXL1')]",62
62,ATF3,NP_031524.2,"[('XP_007245534.1', 'ATF3')]",63
63,ATF6,XP_011237098.1,"[('XP_049336600.1', 'ATF6')]",64
64,ATM,NP_031525.3,"[('XP_022534729.2', 'ATM'), ('XP_022534730.2', 'ATM')]",65
65,ATP11C,NP_001001798.1,"[('XP_022539984.2', 'ATP11C'), ('XP_022539985.2', 'ATP11C'), ('XP_022539986.2', 'ATP11C'), ('XP_022539987.2', 'ATP11C'), ('XP_022539989.2', 'ATP11C'), ('XP_022539990.2', 'ATP11C')]",66
66,ATP1A1,NP_659149.1,"[('XP_022530668.1', 'LOC103044221'), ('XP_022536277.2', 'ATP1A1B'), ('XP_049325214.1', 'LOC103026980')]",67
67,ATP1B1,NP_033851.1,"[('XP_007236705.3', 'ATP1B1A'), ('XP_007241952.1', 'ATP1B1B')]",68
68,ATP2A2,NP_033852.1,"[('XP_022526303.1', 'ATP2A2A'), ('XP_022532348.2', 'ATP2A2B'), ('XP_022532349.2', 'ATP2A2B'), ('XP_022532350.2', 'ATP2A2B')]",69
69,ATP6V1E1,NP_031536.2,"[('XP_007256097.2', 'ATP6V1E1B')]",70
70,ATP9A,NP_001276375.1,"[('XP_022532935.2', 'LOC103032624')]",71
71,AUTS2,NP_001350409.1,"[('XP_007260585.3', 'AUTS2B'), ('XP_007260586.3', 'AUTS2B'), ('XP_007260587.3', 'AUTS2B'), ('XP_022530263.2', 'AUTS2B'), ('XP_049326519.1', 'FBRSL1'), ('XP_049326521.1', 'FBRSL1')]",72
72,B3GAT1,NP_001297695.1,"[('XP_022520670.1', 'B3GAT1A'), ('XP_049339732.1', 'B3GAT1A'), ('XP_049339733.1', 'B3GAT1A')]",73
73,B4GALNT1,NP_082015.2,"[('XP_007254283.3', 'B4GALNT1B')]",74
74,BACE1,NP_035922.4,"[('XP_022534780.1', 'BACE1')]",75
75,BACH2,XP_030108969.1,"[('XP_007254977.2', 'BACH2B')]",76
76,BANP,XP_017168388.1,"[('XP_049330651.1', 'LOC103037393'), ('XP_049330652.1', 'LOC103037393')]",77
77,BARHL1,NP_001342363.1,"[('XP_007239977.3', 'BARHL1A'), ('XP_007254025.3', 'BARHL1B')]",78
78,BARX2,NP_038828.2,"[('XP_022523460.1', 'BARX2')]",79
79,BCAT1,NP_031558.3,"[('XP_022527480.1', 'BCAT1'), ('XP_022527482.1', 'BCAT1'), ('XP_022527844.1', 'BCAT2')]",80
80,BCL2,NP_033871.2,"[('XP_007229224.3', 'BCL2B'), ('XP_007258676.3', 'BCL2A')]",81
81,BCL2L11,XP_006498677.1,"[('XP_007228807.1', 'BCL2L11')]",82
82,BCL3,XP_006539550.1,"[('XP_049336563.1', 'BCL3')]",83
83,BCL9L,NP_001408236.1,"[('XP_007259598.3', 'BCL9L')]",84
84,BCR,NP_001074881.1,"[('XP_022532345.1', 'BCR')]",85
85,BDNF,NP_031566.4,"[('XP_007246974.1', 'BDNF'), ('XP_022522803.1', 'BDNF'), ('XP_022522804.1', 'BDNF'), ('XP_022522805.1', 'BDNF')]",86
86,BFSP1,NP_033881.2,"[('XP_022540939.2', 'LOC103026273')]",87
87,BHLHE23,NP_542372.2,"[('XP_007250044.3', 'BHLHE23')]",88
88,BHLHE40,NP_035628.1,"[('XP_007254615.3', 'BHLHE40')]",89
89,BHLHE41,NP_077789.1,"[('XP_007250634.2', 'BHLHE41')]",90
90,BIRC3,XP_006509892.1,"[('XP_049322666.1', 'BIRC2'), ('XP_049322667.1', 'BIRC2'), ('XP_049322668.1', 'BIRC2')]",91
91,BLNK,NP_001351983.1,"[('XP_022540339.1', 'BLNK')]",92
92,BMI1,NP_001403843.1,"[('XP_007236126.2', 'BMI1B'), ('XP_007236127.2', 'BMI1B'), ('XP_007254844.2', 'BMI1A')]",93
93,BMP2,NP_031579.2,"[('XP_007252122.1', 'BMP2A')]",94
94,BMP5,NP_031581.2,"[('XP_022519592.2', 'BMP5')]",95
95,BMP7,NP_031583.2,"[('XP_007233065.3', 'BMP7B')]",96
96,BMPR1B,NP_001341972.1,"[('XP_022536622.2', 'BMPR1BB'), ('XP_022536623.2', 'BMPR1BB'), ('XP_022536624.2', 'BMPR1BB'), ('XP_049324609.1', 'BMPR1BB')]",97
97,BMPR2,NP_031587.1,"[('XP_007261122.2', 'BMPR2B')]",98
98,BNIP3,NP_033890.1,"[('XP_022524827.1', 'BNIP3')]",99
99,BRINP1,NP_064351.2,"[('XP_049321836.1', 'BRINP1'), ('XP_049321837.1', 'BRINP1')]",100
100,BSG,NP_033898.1,"[('XP_007240189.2', 'BSG'), ('XP_022525406.2', 'BSG')]",101
101,BSX,XP_036010875.1,"[('XP_007258178.2', 'BSX')]",102
102,BTG2,NP_031596.1,"[('XP_007256780.1', 'BTG2')]",103
103,BTK,NP_038510.2,"[('XP_007236532.1', 'BTK')]",104
104,BUB3,NP_033904.2,"[('XP_007260980.1', 'BUB3'), ('XP_049320829.1', 'BUB3')]",105
105,CACNA1C,XP_006505506.1,"[('XP_049328987.1', 'CACNA1C'), ('XP_049329009.1', 'CACNA1C')]",106
106,CAD,NP_001390328.1,"[('XP_022542830.2', 'CAD'), ('XP_022542832.2', 'CAD')]",107
107,CADM1,NP_001297770.1,"[('XP_022530561.1', 'CADM1B'), ('XP_022530563.1', 'CADM1B'), ('XP_022531748.1', 'CADM1A'), ('XP_022531749.1', 'CADM1A'), ('XP_022531750.1', 'CADM1A'), ('XP_022531751.1', 'CADM1A'), ('XP_022531752.1', 'CADM1A'), ('XP_022531753.1', 'CADM1A')]",108
108,CALCRL,XP_036018296.1,"[('XP_022536181.2', 'CALCRLA'), ('XP_049340624.1', 'CALCRLA')]",109
109,CALR,NP_031617.1,"[('XP_007231732.2', 'CALR')]",110
110,CAPN2,NP_033924.2,"[('XP_015458290.2', 'CAPN2A'), ('XP_022521086.2', 'CAPN2B'), ('XP_022540977.2', 'CAPN1A')]",111
111,CAR1,NP_033929.2,"[('XP_022529993.1', 'LOC103021731'), ('XP_022534849.1', 'CAHZ'), ('XP_049334472.1', 'LOC125801685')]",112
112,CASP12,NP_033938.3,"[('XP_049335039.1', 'LOC125802140')]",113
113,CASP3,XP_017168032.1,"[('XP_007247533.3', 'CASP3B'), ('XP_049328419.1', 'CASP3A')]",114
114,CASP6,NP_033941.3,"[('XP_022541681.1', 'LOC103033476')]",115
115,CASP7,XP_006526679.3,"[('XP_007259314.2', 'CASP7'), ('XP_007259315.2', 'CASP7'), ('XP_007259316.2', 'CASP7'), ('XP_022524679.2', 'CASP7'), ('XP_049320569.1', 'CASP7')]",116
116,CASP8,NP_001073595.1,"[('XP_007230922.3', 'CASP8')]",117
117,CASZ1,XP_006539220.1,"[('XP_007246845.3', 'CASZ1'), ('XP_007246846.3', 'CASZ1'), ('XP_007246847.3', 'CASZ1'), ('XP_007246849.3', 'CASZ1')]",118
118,CAT,NP_033934.2,"[('XP_007235106.2', 'CAT')]",119
119,CAV1,NP_001396487.1,"[('XP_022539296.1', 'CAV1')]",120
120,CAV3,NP_031643.1,"[('XP_007253327.2', 'CAV3')]",121
121,CBFA2T3,NP_033954.2,"[('XP_022520859.1', 'CBFA2T3'), ('XP_049327000.1', 'CBFA2T3'), ('XP_049327001.1', 'CBFA2T3')]",122
122,CBL,XP_006510026.1,"[('XP_022530938.1', 'CBL')]",123
123,CCK,NP_112438.1,"[('XP_022529373.1', 'CCKA'), ('XP_022531953.2', 'CCKB')]",124
124,CCL19,NP_036018.1,"[('XP_007229486.1', 'CCL19A.1')]",125
125,CCL20,NP_058656.1,"[('XP_022533390.2', 'CCL20L')]",126
126,CCNA2,NP_033958.2,"[('XP_007239105.3', 'CCNA2')]",127
127,CCNB2,NP_031656.2,"[('XP_015462712.2', 'CCNB2')]",128
128,CCND1,NP_031657.1,"[('XP_007254687.2', 'CCND1')]",129
129,CCND2,XP_036021678.1,"[('XP_007228423.2', 'CCND2A')]",130
130,CCNE1,NP_031659.2,"[('XP_007235976.1', 'CCNE1')]",131
131,CCNG2,NP_031661.3,"[('XP_007234030.1', 'CCNG2')]",132
132,CCR2,XP_036010478.1,"[('XP_007232086.3', 'LOC103028160'), ('XP_049336560.1', 'LOC111193414')]",133
133,CCR9,NP_001160097.1,"[('XP_007229378.3', 'CCR9A')]",134
134,CD36,XP_030109948.1,"[('XP_022527183.1', 'CD36')]",135
135,CD38,NP_031672.2,"[('XP_015464033.2', 'LOC103029242')]",136
136,CD79A,NP_031681.2,"[('XP_007232501.3', 'CD79A')]",137
137,CDC25A,NP_001397314.1,"[('XP_007237316.1', 'CDC25B')]",138
138,CDC73,NP_666103.1,"[('XP_049337990.1', 'CDC73')]",139
139,CDCA7,NP_080142.1,"[('XP_007234924.3', 'CDCA7A')]",140
140,CDH1,NP_033994.1,"[('XP_049326984.1', 'LOC103023785'), ('XP_049326985.1', 'LOC103023785'), ('XP_049326986.1', 'LOC103023785'), ('XP_049326987.1', 'LOC103023785')]",141
141,CDH11,NP_033996.4,"[('XP_007259840.3', 'CDH11')]",142
142,CDH15,NP_031688.2,"[('XP_007230144.3', 'CDH15')]",143
143,CDH17,XP_006537646.1,"[('XP_022535364.2', 'CDH17')]",144
144,CDH5,NP_033998.2,"[('XP_022520635.2', 'CDH5')]",145
145,CDK1,NP_031685.2,"[('XP_007258982.1', 'CDK1')]",146
146,CDK2,NP_058036.1,"[('XP_007242815.2', 'CDK2')]",147
147,CDK4,NP_034000.1,"[('XP_007248446.1', 'CDK4')]",148
148,CDK5R2,NP_034002.2,"[('XP_007234614.1', 'CDK5R2A')]",149
149,CDK6,NP_034003.1,"[('XP_007259858.2', 'CDK6')]",150
150,CDK9,NP_570930.1,"[('XP_007234046.1', 'CDK9')]",151
151,CDKN1B,NP_034005.2,"[('XP_007231643.3', 'CDKN1BB')]",152
152,CDKN2B,NP_031696.1,"[('XP_022518819.2', 'CDKN2A/B'), ('XP_022518820.2', 'CDKN2A/B')]",153
153,CDKN2D,NP_001396593.1,"[('XP_007231367.2', 'CDKN2D')]",154
154,CDON,NP_067314.2,"[('XP_049339632.1', 'CDON')]",155
155,CDX4,NP_031700.1,"[('XP_007254464.1', 'CDX4')]",156
156,CEBPA,NP_001274443.1,"[('XP_007244901.2', 'CEBPA')]",157
157,CEBPG,NP_034014.1,"[('XP_022522791.2', 'CEBPG')]",158
158,CELSR3,NP_001346501.1,"[('XP_049341549.1', 'CELSR3'), ('XP_049341550.1', 'CELSR3'), ('XP_049341551.1', 'CELSR3'), ('XP_049341552.1', 'CELSR3'), ('XP_049341553.1', 'CELSR3')]",159
159,CES2C,NP_663578.1,"[('XP_007249270.3', 'CES3')]",160
160,CETN2,NP_062278.2,"[('XP_007228083.1', 'CETN4'), ('XP_007228084.1', 'CETN4')]",161
161,CFLAR,XP_030100848.1,"[('XP_022519644.2', 'LOC103047016'), ('XP_049341037.1', 'LOC103047016')]",162
162,CFTR,NP_066388.1,"[('XP_007256023.3', 'CFTR')]",163
163,CGA,XP_006537649.1,"[('XP_007257486.1', 'CGA')]",164
164,CH25H,NP_034020.1,"[('XP_007251207.1', 'CH25H')]",165
165,CHD4,NP_001390521.1,"[('XP_007230592.3', 'CHD4A'), ('XP_007256941.3', 'CHD4B'), ('XP_022529532.2', 'CHD4B'), ('XP_022529533.2', 'CHD4B'), ('XP_022529534.2', 'CHD4B'), ('XP_022529535.2', 'CHD4B'), ('XP_049332182.1', 'CHD4A'), ('XP_049332183.1', 'CHD4A'), ('XP_049332184.1', 'CHD4A'), ('XP_049332185.1', 'CHD4A')]",166
166,CHD7,NP_001264078.1,"[('XP_007245156.3', 'CHD7')]",167
167,CHEK1,NP_001397136.1,"[('XP_007250106.3', 'CHEK1')]",168
168,CHRNA7,NP_031416.3,"[('XP_007231257.2', 'LOC103033738'), ('XP_022525711.2', 'CHRNA7A')]",169
169,CHST11,NP_067414.2,"[('XP_022527545.2', 'CHST11'), ('XP_022527546.2', 'CHST11')]",170
170,CIDEC,NP_001359193.1,"[('XP_015462376.2', 'CIDEC')]",171
171,CIRBP,NP_001366352.1,"[('XP_049334812.1', 'CIRBPA')]",172
172,CISH,NP_034025.1,"[('XP_007254431.1', 'CISH'), ('XP_007254432.1', 'CISH'), ('XP_007254433.1', 'CISH'), ('XP_049335711.1', 'CISH')]",173
173,CITED2,XP_036011557.1,"[('XP_007245512.3', 'CITED2')]",174
174,CKM,NP_031736.1,"[('XP_007230986.2', 'CKBB'), ('XP_007240392.1', 'CKBA'), ('XP_007246023.1', 'CKMB'), ('XP_007261035.1', 'CKMA')]",175
175,CKS1B,NP_058600.1,"[('XP_007230574.1', 'CKS1B')]",176
176,CLDN11,NP_032796.1,"[('XP_007232732.1', 'CLDN11B'), ('XP_007245178.1', 'CLDN11A')]",177
177,CLDN19,NP_001033679.1,"[('XP_007251472.1', 'CLDN19'), ('XP_007251473.1', 'CLDN19')]",178
178,CLDN3,NP_034032.1,"[('XP_007240514.3', 'LOC103034216'), ('XP_007254241.3', 'LOC103022279')]",179
179,CLDN4,NP_034033.1,"[('XP_007254241.3', 'LOC103022279'), ('XP_049334632.1', 'LOC103033265')]",180
180,CLOCK,XP_017176140.1,"[('XP_007259584.3', 'CLOCKA'), ('XP_049337786.1', 'CLOCKA')]",181
181,CNR1,NP_001341950.1,"[('XP_007255274.1', 'CNR1')]",182
182,COL11A1,NP_031755.2,"[('XP_049332684.1', 'COL11A1B'), ('XP_049336825.1', 'COL11A1A'), ('XP_049336826.1', 'COL11A1A')]",183
183,COL5A1,NP_056549.2,"[('XP_022532173.2', 'COL5A1'), ('XP_022532174.2', 'COL5A1')]",184
184,COMP,NP_057894.2,"[('XP_022525449.1', 'LOC103025571')]",185
185,COX4I1,NP_034071.2,"[('XP_007244058.1', 'LOC103031281')]",186
186,COX6A1,NP_031774.2,"[('XP_049323851.1', 'LOC103036470')]",187
187,CR2,NP_031784.1,"[('XP_022533297.2', 'SI:CH73-217N20.1'), ('XP_049318654.1', 'LOC107197146')]",188
188,CRABP1,NP_038524.1,"[('XP_007228615.1', 'CRABP1A'), ('XP_022541584.2', 'CRABP1B')]",189
189,CRABP2,NP_031785.1,"[('XP_022519251.1', 'CRABP2A')]",190
190,CREB1,NP_034082.1,"[('XP_007260494.1', 'CREB1B'), ('XP_022530382.1', 'CREB1A')]",191
191,CREB3L1,NP_036087.2,"[('XP_007244981.3', 'CREB3L1'), ('XP_007244982.3', 'CREB3L1')]",192
192,CREB3L3,NP_001369747.1,"[('XP_049321834.1', 'CREB3L3A'), ('XP_049321835.1', 'CREB3L3A')]",193
193,CREB3L4,XP_006502373.5,"[('XP_022529548.1', 'CREB3L4')]",194
194,CRH,NP_991338.1,"[('XP_007237707.3', 'LOC103031770')]",195
195,CRP,NP_031794.3,"[('XP_049336045.1', 'LOC103036721')]",196
196,CRTC2,NP_083157.1,"[('XP_007233417.2', 'LOC103023525'), ('XP_015456798.2', 'LOC103023525')]",197
197,CRY1,NP_031797.1,"[('NP_001278191.1', 'CRY1A'), ('XP_022535359.2', 'CRY1B'), ('XP_049328963.1', 'CRY1A'), ('XP_049328968.1', 'CRY1A'), ('XP_049341457.1', 'CRY3A')]",198
198,CRY2,XP_017170770.1,"[('XP_022539584.2', 'CRY2'), ('XP_022539585.2', 'CRY2')]",199
199,CRYAB,XP_030099896.1,"[('XP_007245279.1', 'CRYABB')]",200
200,CRYGD,NP_031802.2,"[('XP_007253587.1', 'LOC103034814')]",201
201,CSF3R,NP_031808.2,"[('XP_007249684.3', 'CSF3R')]",202
202,CSL,NP_082221.2,"[('XP_007232629.1', 'CS')]",203
203,CSRP1,NP_001347711.1,"[('XP_022531296.2', 'CSRP1B')]",204
204,CSRP2,NP_031818.3,"[('XP_022531296.2', 'CSRP1B'), ('XP_049330081.1', 'CSRP2'), ('XP_049330082.1', 'CSRP2')]",205
205,CSRP3,NP_001185770.1,"[('XP_049321410.1', 'CSRP3')]",206
206,CTCF,XP_006530709.1,"[('XP_007256278.1', 'CTCF'), ('XP_015463077.1', 'CTCF'), ('XP_022535435.1', 'CTCF'), ('XP_022535436.1', 'CTCF')]",207
207,CTLA4,NP_033973.2,"[('XP_007234205.2', 'CD28')]",208
208,CTNNB1,NP_001159374.1,"[('XP_007245655.1', 'LOC103034575'), ('XP_015461595.3', 'CTNNB1'), ('XP_049336339.1', 'CTNNB1'), ('XP_049336340.1', 'CTNNB1')]",209
209,CTR9,NP_033457.2,"[('XP_007254723.3', 'CTR9')]",210
210,CTSE,NP_031825.2,"[('XP_007229890.1', 'NOTS')]",211
211,CTSK,NP_031828.2,"[('XP_007249824.3', 'CTSK')]",212
212,CUX1,NP_941004.2,"[('XP_022534521.2', 'CUX1B')]",213
213,CUX2,NP_001402709.1,"[('XP_007247246.3', 'CUX2B'), ('XP_015460786.3', 'CUX2B')]",214
214,CXCL10,NP_067249.1,"[('XP_015458319.1', 'LOC107197135')]",215
215,CXCL12,NP_038683.1,"[('XP_022524362.1', 'CXCL12B')]",216
216,CXCL2,NP_033166.1,"[('XP_007229345.3', 'CXCL8A')]",217
217,CXCR2,XP_006495701.1,"[('XP_022519641.2', 'CXCR2')]",218
218,CXCR4,NP_001343438.1,"[('XP_007232446.2', 'CXCR4B')]",219
219,CXCR5,NP_031577.2,"[('XP_007259597.2', 'LOC103046415')]",220
220,CYP11A1,NP_062753.3,"[('XP_022527915.1', 'LOC103021835')]",221
221,CYP17A1,NP_031835.3,"[('XP_015461326.2', 'LOC103036160'), ('XP_049337419.1', 'LOC103036160')]",222
222,CYP19A1,NP_001335101.1,"[('XP_022542742.2', 'LOC103038449'), ('XP_049330368.1', 'CDHR5B')]",223
223,CYP1A1,NP_001129531.1,"[('XP_007251902.3', 'LOC103038575'), ('XP_022535545.2', 'LOC103023184')]",224
224,CYP24A1,NP_034126.1,"[('XP_022531332.2', 'LOC103030576')]",225
225,CYP26A1,NP_031837.2,"[('XP_007255173.1', 'LOC103044660')]",226
226,CYP26B1,XP_030111198.1,"[('XP_007248161.1', 'LOC103033177')]",227
227,CYP27A1,NP_077226.2,"[('XP_007227997.3', 'SI:DKEY-91I10.3'), ('XP_007260038.3', 'LOC103023980'), ('XP_007260039.2', 'LOC103024291')]",228
228,CYP2A4,NP_034127.2,"[('XP_022534786.2', 'LOC103027356'), ('XP_022534787.2', 'LOC103025252')]",229
229,CYP2A5,NP_031838.2,"[('XP_022534787.2', 'LOC103025252')]",230
230,CYP2B10,NP_034129.1,"[('XP_022534786.2', 'LOC103027356'), ('XP_022534787.2', 'LOC103025252')]",231
231,CYP2C29,NP_031841.3,"[('XP_022534786.2', 'LOC103027356'), ('XP_022534787.2', 'LOC103025252')]",232
232,CYP3A11,NP_031844.1,"[('XP_022530141.2', 'LOC103031034')]",233
233,CYP7A1,NP_031850.2,"[('XP_022523433.1', 'LOC103040934')]",234
234,CYP7B1,NP_031851.3,"[('XP_022534996.2', 'LOC103031147')]",235
235,CYP8B1,NP_034142.3,"[('XP_007232532.2', 'LOC103039627')]",236
236,DBH,NP_620392.2,"[('XP_022536658.2', 'DBH')]",237
237,DBI,NP_031856.1,"[('XP_007261106.1', 'DBI')]",238
238,DCK,NP_031858.1,"[('XP_007234039.2', 'DCK')]",239
239,DCST1,NP_084250.1,"[('XP_022529300.2', 'DCST1')]",240
