,Model_nodos,NCBI_Product_accesion,Dmel,a,a2,Ast,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
33,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_022533517.1,ABI1B,1.6000000000000002e-73,276.0,8.21e-74,276.0
34,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_022518436.2,ABI1A,1.6000000000000002e-73,276.0,8.539999999999999e-74,276.0
35,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_022518434.2,ABI1A,3.2100000000000004e-73,275.0,1.73e-73,275.0
36,ABL,NP_001261965.1,,,,,,,,,,
37,AC,NP_476824.1,,,,,,,,,,
38,AC13E,NP_001259575.1,,,,,,,,,,
39,AC3,NP_610116.2,Drosophila_melanogaster,NP_610116.2,AC3,Astyanax_mexicanus,XP_022541047.2,LOC103034748,1.9200000000000002e-194,679.0,8.87e-195,679.0
40,AC3,NP_610116.2,Drosophila_melanogaster,NP_610116.2,AC3,Astyanax_mexicanus,XP_022541050.2,LOC103034748,1.9200000000000002e-194,679.0,8.87e-195,679.0
41,AC3,NP_610116.2,Drosophila_melanogaster,NP_610116.2,AC3,Astyanax_mexicanus,XP_022541057.2,LOC103034748,1.9200000000000002e-194,679.0,8.87e-195,679.0
42,AC3,NP_610116.2,Drosophila_melanogaster,NP_610116.2,AC3,Astyanax_mexicanus,XP_007251869.2,ADCY3A,2.4600000000000003e-192,672.0,1.16e-192,672.0
43,AC3,NP_610116.2,Drosophila_melanogaster,NP_610116.2,AC3,Astyanax_mexicanus,XP_015461952.2,ADCY3A,4.920000000000001e-192,671.0,2.33e-192,671.0
44,AC76E,NP_001246838.1,Drosophila_melanogaster,NP_001246838.1,AC76E,Astyanax_mexicanus,XP_022529830.2,ADCY2A,1.2999999999999999e-170,600.0,5.65e-171,600.0
45,AC76E,NP_001246838.1,Drosophila_melanogaster,NP_001246838.1,AC76E,Astyanax_mexicanus,XP_049336696.1,ADCY2A,1.04e-169,597.0,4.31e-170,597.0
46,AC76E,NP_001246838.1,Drosophila_melanogaster,NP_001246838.1,AC76E,Astyanax_mexicanus,XP_007231788.4,ADCY2B,1.3400000000000002e-167,590.0,5.749999999999999e-168,590.0
47,AC78C,NP_001262138.1,,,,,,,,,,
48,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049331300.1,ACACA,0.0,2810.0,0.0,2810.0
49,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049331298.1,ACACA,0.0,2806.0,0.0,2806.0
50,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049331288.1,ACACA,0.0,2800.0,0.0,2800.0
51,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049331280.1,ACACA,0.0,2798.0,0.0,2798.0
52,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049331282.1,ACACA,0.0,2796.0,0.0,2796.0
53,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049331266.1,ACACA,0.0,2788.0,0.0,2788.0
54,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049331277.1,ACACA,0.0,2788.0,0.0,2788.0
55,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049331308.1,ACACA,0.0,2781.0,0.0,2781.0
56,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049326204.1,ACACB,0.0,2756.0,0.0,2756.0
57,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049326203.1,ACACB,0.0,2750.0,0.0,2750.0
58,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049326202.1,ACACB,0.0,2750.0,0.0,2750.0
59,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049326198.1,ACACB,0.0,2748.0,0.0,2748.0
60,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049326199.1,ACACB,0.0,2748.0,0.0,2748.0
61,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049326200.1,ACACB,0.0,2748.0,0.0,2748.0
62,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049326201.1,ACACB,0.0,2748.0,0.0,2748.0
63,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049326205.1,ACACB,0.0,2747.0,0.0,2747.0
64,ACC,NP_610342.1,Drosophila_melanogaster,NP_610342.1,ACC,Astyanax_mexicanus,XP_049326206.1,ACACB,0.0,2744.0,0.0,2744.0
65,ACE,NP_001262530.1,Drosophila_melanogaster,NP_001262530.1,ACE,Astyanax_mexicanus,XP_022521724.2,LOC103037776,5.08e-111,401.0,2.41e-111,401.0
66,ACHI,NP_725182.1,,,,,,,,,,
67,ACJ6,NP_001245683.1,Drosophila_melanogaster,NP_001245683.1,ACJ6,Astyanax_mexicanus,XP_007244183.1,POU4F1,7.58e-75,280.0,3.9900000000000003e-75,280.0
68,ACJ6,NP_001245683.1,Drosophila_melanogaster,NP_001245683.1,ACJ6,Astyanax_mexicanus,XP_007244509.2,POU4F4,3.11e-71,268.0,1.52e-71,268.0
69,ACK,NP_647859.1,,,,,,,,,,
70,ACP53C14C,NP_001188961.1,,,,,,,,,,
71,ACP65AA,NP_477282.2,,,,,,,,,,
72,ACT42A,NP_523625.1,Drosophila_melanogaster,NP_523625.1,ACT42A,Astyanax_mexicanus,XP_007260329.1,ACTB1,4.19e-215,746.0,2.06e-215,746.0
73,ACT42A,NP_523625.1,Drosophila_melanogaster,NP_523625.1,ACT42A,Astyanax_mexicanus,XP_007247883.1,ACTB2,8.38e-215,745.0,4.13e-215,745.0
74,ACT42A,NP_523625.1,Drosophila_melanogaster,NP_523625.1,ACT42A,Astyanax_mexicanus,XP_022520514.1,ACTA2,4.4e-209,726.0,2.18e-209,726.0
75,ACT42A,NP_523625.1,Drosophila_melanogaster,NP_523625.1,ACT42A,Astyanax_mexicanus,XP_007252999.1,ACTC2,3.52e-208,723.0,1.74e-208,723.0
76,ACT42A,NP_523625.1,Drosophila_melanogaster,NP_523625.1,ACT42A,Astyanax_mexicanus,XP_007238991.1,ACTA1A,3.52e-208,723.0,1.74e-208,723.0
77,ACT42A,NP_523625.1,Drosophila_melanogaster,NP_523625.1,ACT42A,Astyanax_mexicanus,XP_007235317.1,ACTC1A,1.4099999999999999e-207,721.0,6.96e-208,721.0
78,ACT42A,NP_523625.1,Drosophila_melanogaster,NP_523625.1,ACT42A,Astyanax_mexicanus,XP_007248613.1,ACTA1B,1.4099999999999999e-207,721.0,6.96e-208,721.0
79,ACT42A,NP_523625.1,Drosophila_melanogaster,NP_523625.1,ACT42A,Astyanax_mexicanus,XP_015463524.1,ACTC1B,1.4099999999999999e-207,721.0,6.96e-208,721.0
80,ACT42A,NP_523625.1,Drosophila_melanogaster,NP_523625.1,ACT42A,Astyanax_mexicanus,XP_022535157.1,LOC103039206,2.2500000000000002e-206,717.0,1.11e-206,717.0
81,ACT42A,NP_523625.1,Drosophila_melanogaster,NP_523625.1,ACT42A,Astyanax_mexicanus,XP_022539577.1,ACTE1,2.2500000000000002e-206,717.0,1.11e-206,717.0
82,ACT57B,NP_523800.1,Drosophila_melanogaster,NP_523800.1,ACT57B,Astyanax_mexicanus,XP_007247883.1,ACTB2,4.2900000000000003e-212,736.0,2.1100000000000002e-212,736.0
83,ACT57B,NP_523800.1,Drosophila_melanogaster,NP_523800.1,ACT57B,Astyanax_mexicanus,XP_007260329.1,ACTB1,1.7200000000000001e-211,734.0,8.46e-212,734.0
84,ACT57B,NP_523800.1,Drosophila_melanogaster,NP_523800.1,ACT57B,Astyanax_mexicanus,XP_022520514.1,ACTA2,4.5000000000000003e-206,716.0,2.23e-206,716.0
85,ACT57B,NP_523800.1,Drosophila_melanogaster,NP_523800.1,ACT57B,Astyanax_mexicanus,XP_007235317.1,ACTC1A,1.8e-205,714.0,8.91e-206,714.0
86,ACT57B,NP_523800.1,Drosophila_melanogaster,NP_523800.1,ACT57B,Astyanax_mexicanus,XP_007238991.1,ACTA1A,1.8e-205,714.0,8.91e-206,714.0
87,ACT57B,NP_523800.1,Drosophila_melanogaster,NP_523800.1,ACT57B,Astyanax_mexicanus,XP_007252999.1,ACTC2,1.8e-205,714.0,8.91e-206,714.0
88,ACT57B,NP_523800.1,Drosophila_melanogaster,NP_523800.1,ACT57B,Astyanax_mexicanus,XP_007248613.1,ACTA1B,3.6e-205,713.0,1.78e-205,713.0
89,ACT57B,NP_523800.1,Drosophila_melanogaster,NP_523800.1,ACT57B,Astyanax_mexicanus,XP_015463524.1,ACTC1B,3.6e-205,713.0,1.78e-205,713.0
90,ACT57B,NP_523800.1,Drosophila_melanogaster,NP_523800.1,ACT57B,Astyanax_mexicanus,XP_022535157.1,LOC103039206,2.3e-203,707.0,1.14e-203,707.0
91,ACT57B,NP_523800.1,Drosophila_melanogaster,NP_523800.1,ACT57B,Astyanax_mexicanus,XP_022539577.1,ACTE1,2.3e-203,707.0,1.14e-203,707.0
92,ACT5C,NP_511052.1,Drosophila_melanogaster,NP_511052.1,ACT5C,Astyanax_mexicanus,XP_007260329.1,ACTB1,1.05e-215,748.0,5.159999999999999e-216,748.0
93,ACT5C,NP_511052.1,Drosophila_melanogaster,NP_511052.1,ACT5C,Astyanax_mexicanus,XP_007247883.1,ACTB2,2.1e-215,747.0,1.03e-215,747.0
94,ACT5C,NP_511052.1,Drosophila_melanogaster,NP_511052.1,ACT5C,Astyanax_mexicanus,XP_022520514.1,ACTA2,4.4e-209,726.0,2.18e-209,726.0
95,ACT5C,NP_511052.1,Drosophila_melanogaster,NP_511052.1,ACT5C,Astyanax_mexicanus,XP_007252999.1,ACTC2,3.52e-208,723.0,1.74e-208,723.0
96,ACT5C,NP_511052.1,Drosophila_melanogaster,NP_511052.1,ACT5C,Astyanax_mexicanus,XP_007238991.1,ACTA1A,3.52e-208,723.0,1.74e-208,723.0
97,ACT5C,NP_511052.1,Drosophila_melanogaster,NP_511052.1,ACT5C,Astyanax_mexicanus,XP_007235317.1,ACTC1A,1.4099999999999999e-207,721.0,6.96e-208,721.0
98,ACT5C,NP_511052.1,Drosophila_melanogaster,NP_511052.1,ACT5C,Astyanax_mexicanus,XP_007248613.1,ACTA1B,1.4099999999999999e-207,721.0,6.96e-208,721.0
99,ACT5C,NP_511052.1,Drosophila_melanogaster,NP_511052.1,ACT5C,Astyanax_mexicanus,XP_015463524.1,ACTC1B,1.4099999999999999e-207,721.0,6.96e-208,721.0
100,ACT5C,NP_511052.1,Drosophila_melanogaster,NP_511052.1,ACT5C,Astyanax_mexicanus,XP_022535157.1,LOC103039206,2.2500000000000002e-206,717.0,1.11e-206,717.0
101,ACT5C,NP_511052.1,Drosophila_melanogaster,NP_511052.1,ACT5C,Astyanax_mexicanus,XP_022539577.1,ACTE1,2.2500000000000002e-206,717.0,1.11e-206,717.0
102,ACT87E,NP_477091.1,Drosophila_melanogaster,NP_477091.1,ACT87E,Astyanax_mexicanus,XP_007247883.1,ACTB2,8.59e-212,735.0,4.23e-212,735.0
103,ACT87E,NP_477091.1,Drosophila_melanogaster,NP_477091.1,ACT87E,Astyanax_mexicanus,XP_007260329.1,ACTB1,1.7200000000000001e-211,734.0,8.46e-212,734.0
104,ACT87E,NP_477091.1,Drosophila_melanogaster,NP_477091.1,ACT87E,Astyanax_mexicanus,XP_022520514.1,ACTA2,5.63e-207,719.0,2.7899999999999996e-207,719.0
105,ACT87E,NP_477091.1,Drosophila_melanogaster,NP_477091.1,ACT87E,Astyanax_mexicanus,XP_007235317.1,ACTC1A,2.2500000000000002e-206,717.0,1.11e-206,717.0
106,ACT87E,NP_477091.1,Drosophila_melanogaster,NP_477091.1,ACT87E,Astyanax_mexicanus,XP_007238991.1,ACTA1A,2.2500000000000002e-206,717.0,1.11e-206,717.0
107,ACT87E,NP_477091.1,Drosophila_melanogaster,NP_477091.1,ACT87E,Astyanax_mexicanus,XP_007252999.1,ACTC2,2.2500000000000002e-206,717.0,1.11e-206,717.0
108,ACT87E,NP_477091.1,Drosophila_melanogaster,NP_477091.1,ACT87E,Astyanax_mexicanus,XP_007248613.1,ACTA1B,4.5000000000000003e-206,716.0,2.23e-206,716.0
109,ACT87E,NP_477091.1,Drosophila_melanogaster,NP_477091.1,ACT87E,Astyanax_mexicanus,XP_015463524.1,ACTC1B,4.5000000000000003e-206,716.0,2.23e-206,716.0
110,ACT87E,NP_477091.1,Drosophila_melanogaster,NP_477091.1,ACT87E,Astyanax_mexicanus,XP_022535157.1,LOC103039206,1.15e-203,708.0,5.71e-204,708.0
111,ACT87E,NP_477091.1,Drosophila_melanogaster,NP_477091.1,ACT87E,Astyanax_mexicanus,XP_022539577.1,ACTE1,1.15e-203,708.0,5.71e-204,708.0
112,ACT88F,NP_524367.1,Drosophila_melanogaster,NP_524367.1,ACT88F,Astyanax_mexicanus,XP_007247883.1,ACTB2,3.43e-211,733.0,1.69e-211,733.0
113,ACT88F,NP_524367.1,Drosophila_melanogaster,NP_524367.1,ACT88F,Astyanax_mexicanus,XP_007260329.1,ACTB1,1.3700000000000001e-210,731.0,6.77e-211,731.0
114,ACT88F,NP_524367.1,Drosophila_melanogaster,NP_524367.1,ACT88F,Astyanax_mexicanus,XP_022520514.1,ACTA2,5.63e-207,719.0,2.7899999999999996e-207,719.0
115,ACT88F,NP_524367.1,Drosophila_melanogaster,NP_524367.1,ACT88F,Astyanax_mexicanus,XP_007235317.1,ACTC1A,2.2500000000000002e-206,717.0,1.11e-206,717.0
116,ACT88F,NP_524367.1,Drosophila_melanogaster,NP_524367.1,ACT88F,Astyanax_mexicanus,XP_007252999.1,ACTC2,2.2500000000000002e-206,717.0,1.11e-206,717.0
117,ACT88F,NP_524367.1,Drosophila_melanogaster,NP_524367.1,ACT88F,Astyanax_mexicanus,XP_007238991.1,ACTA1A,4.5000000000000003e-206,716.0,2.23e-206,716.0
118,ACT88F,NP_524367.1,Drosophila_melanogaster,NP_524367.1,ACT88F,Astyanax_mexicanus,XP_007248613.1,ACTA1B,9.000000000000001e-206,715.0,4.46e-206,715.0
119,ACT88F,NP_524367.1,Drosophila_melanogaster,NP_524367.1,ACT88F,Astyanax_mexicanus,XP_015463524.1,ACTC1B,9.000000000000001e-206,715.0,4.46e-206,715.0
120,ACT88F,NP_524367.1,Drosophila_melanogaster,NP_524367.1,ACT88F,Astyanax_mexicanus,XP_022535157.1,LOC103039206,2.3e-203,707.0,1.14e-203,707.0
121,ACT88F,NP_524367.1,Drosophila_melanogaster,NP_524367.1,ACT88F,Astyanax_mexicanus,XP_022539577.1,ACTE1,2.3e-203,707.0,1.14e-203,707.0
122,ACTBETA,NP_651942.2,,,,,,,,,,
123,ACXD,NP_620469.2,,,,,,,,,,
124,ADAR,NP_001245474.1,Drosophila_melanogaster,NP_001245474.1,ADAR,Astyanax_mexicanus,XP_049341253.1,ADARB1B,4.19e-141,501.0,2.08e-141,501.0
125,ADAR,NP_001245474.1,Drosophila_melanogaster,NP_001245474.1,ADAR,Astyanax_mexicanus,XP_022535911.1,ADARB1B,4.19e-141,501.0,2.1799999999999998e-141,501.0
126,ADAR,NP_001245474.1,Drosophila_melanogaster,NP_001245474.1,ADAR,Astyanax_mexicanus,XP_022535910.1,ADARB1B,4.19e-141,501.0,2.33e-141,501.0
127,ADAR,NP_001245474.1,Drosophila_melanogaster,NP_001245474.1,ADAR,Astyanax_mexicanus,XP_049327129.1,ADARB1A,1.72e-137,489.0,8.819999999999999e-138,489.0
128,ADAR,NP_001245474.1,Drosophila_melanogaster,NP_001245474.1,ADAR,Astyanax_mexicanus,XP_007228989.2,ADARB1A,1.72e-137,489.0,8.85e-138,489.0
129,ADAR,NP_001245474.1,Drosophila_melanogaster,NP_001245474.1,ADAR,Astyanax_mexicanus,XP_022521071.1,ADARB1A,1.72e-137,489.0,9.539999999999999e-138,489.0
130,ADAR,NP_001245474.1,Drosophila_melanogaster,NP_001245474.1,ADAR,Astyanax_mexicanus,XP_022521070.1,ADARB1A,1.72e-137,489.0,9.559999999999999e-138,489.0
131,ADF1,NP_995750.1,,,,,,,,,,
132,ADGF-A,NP_524130.1,Drosophila_melanogaster,NP_524130.1,ADGF-A,Astyanax_mexicanus,XP_007228411.3,ADA2A,3.2599999999999997e-91,335.0,1.46e-91,335.0
133,ADGF-A,NP_524130.1,Drosophila_melanogaster,NP_524130.1,ADGF-A,Astyanax_mexicanus,XP_022539506.2,ADA2A,3.2599999999999997e-91,335.0,1.46e-91,335.0
134,ADK1,NP_731676.2,,,,,,,,,,
135,ADK2,NP_648624.1,Drosophila_melanogaster,NP_648624.1,ADK2,Astyanax_mexicanus,XP_022540387.1,ADKA,1.55e-96,352.0,8.02e-97,352.0
136,ADK2,NP_648624.1,Drosophila_melanogaster,NP_648624.1,ADK2,Astyanax_mexicanus,XP_022521756.1,ADKB,1.55e-96,352.0,7.91e-97,352.0
137,ADK2,NP_648624.1,Drosophila_melanogaster,NP_648624.1,ADK2,Astyanax_mexicanus,XP_022521757.1,ADKB,6.21e-96,350.0,3.07e-96,350.0
138,ADK2,NP_648624.1,Drosophila_melanogaster,NP_648624.1,ADK2,Astyanax_mexicanus,XP_022540389.1,ADKA,6.21e-96,350.0,3.05e-96,350.0
139,ADK3,NP_651995.1,,,,,,,,,,
140,ADOR,NP_001263101.1,,,,,,,,,,
141,AEF1,NP_001262157.1,,,,,,,,,,
142,AFT,NP_477413.1,Drosophila_melanogaster,NP_477413.1,AFT,Astyanax_mexicanus,XP_007260296.3,CMTR2,1.9e-72,273.0,9.910000000000001e-73,273.0
143,AG5R,NP_524770.1,,,,,,,,,,
144,AGO,NP_523922.1,,,,,,,,,,
145,AKAP200,NP_787998.1,,,,,,,,,,
146,AKH,NP_523918.1,,,,,,,,,,
147,AL,NP_722629.1,,,,,,,,,,
148,ALDH,NP_609285.1,Drosophila_melanogaster,NP_609285.1,ALDH,Astyanax_mexicanus,XP_022541281.1,LOC103036383,7.97e-204,709.0,3.94e-204,709.0
149,ALDH-III,NP_610285.5,Drosophila_melanogaster,NP_610285.5,ALDH-III,Astyanax_mexicanus,XP_022524625.2,ALDH3A1,5.110000000000001e-124,444.0,2.2200000000000004e-124,444.0
150,ALDH-III,NP_610285.5,Drosophila_melanogaster,NP_610285.5,ALDH-III,Astyanax_mexicanus,XP_049322743.1,ALDH3A1,5.110000000000001e-124,444.0,2.2200000000000004e-124,444.0
151,ALDH-III,NP_610285.5,Drosophila_melanogaster,NP_610285.5,ALDH-III,Astyanax_mexicanus,XP_022531853.2,ALDH3A2B,6.55e-122,437.0,2.81e-122,437.0
152,ALDH-III,NP_610285.5,Drosophila_melanogaster,NP_610285.5,ALDH-III,Astyanax_mexicanus,XP_007246059.3,ALDH3A2A,2.68e-118,425.0,1.15e-118,425.0
153,ALH,NP_001097697.2,,,,,,,,,,
154,ALIX,NP_651582.1,Drosophila_melanogaster,NP_651582.1,ALIX,Astyanax_mexicanus,XP_007245726.2,LOC103031070,2.29e-159,562.0,1.17e-159,562.0
155,ALIX,NP_651582.1,Drosophila_melanogaster,NP_651582.1,ALIX,Astyanax_mexicanus,XP_007245725.2,LOC103031070,2.29e-159,562.0,1.1799999999999998e-159,562.0
156,ALK,NP_652600.1,Drosophila_melanogaster,NP_652600.1,ALK,Astyanax_mexicanus,XP_049319381.1,LTK,1.82e-161,570.0,8.13e-162,570.0
157,ALPH,NP_651701.1,Drosophila_melanogaster,NP_651701.1,ALPH,Astyanax_mexicanus,XP_007235711.2,PPM1BB,3.83e-109,394.0,1.93e-109,394.0
158,ALPH,NP_651701.1,Drosophila_melanogaster,NP_651701.1,ALPH,Astyanax_mexicanus,XP_007255830.2,PPM1BA,3.83e-109,394.0,1.9700000000000002e-109,394.0
159,ALPH,NP_651701.1,Drosophila_melanogaster,NP_651701.1,ALPH,Astyanax_mexicanus,XP_022540680.1,PPM1BA,3.83e-109,394.0,1.9700000000000002e-109,394.0
160,ALPH,NP_651701.1,Drosophila_melanogaster,NP_651701.1,ALPH,Astyanax_mexicanus,XP_022540681.1,PPM1BA,3.83e-109,394.0,1.9700000000000002e-109,394.0
161,ALPH,NP_651701.1,Drosophila_melanogaster,NP_651701.1,ALPH,Astyanax_mexicanus,XP_007255831.2,PPM1BA,6.12e-108,390.0,3.1199999999999998e-108,390.0
162,ALPH,NP_651701.1,Drosophila_melanogaster,NP_651701.1,ALPH,Astyanax_mexicanus,XP_007235710.3,PPM1BB,1.22e-107,389.0,7.65e-108,389.0
163,ALPH,NP_651701.1,Drosophila_melanogaster,NP_651701.1,ALPH,Astyanax_mexicanus,XP_049337235.1,PPM1BA,1.0000000000000001e-103,376.0,4.7899999999999996e-104,376.0
164,ALPHA-CAT,NP_524219.1,Drosophila_melanogaster,NP_524219.1,ALPHA-CAT,Astyanax_mexicanus,XP_049328267.1,CTNNA2,0.0,1065.0,0.0,1065.0
165,ALPHA-CAT,NP_524219.1,Drosophila_melanogaster,NP_524219.1,ALPHA-CAT,Astyanax_mexicanus,XP_049328268.1,CTNNA2,0.0,1065.0,0.0,1065.0
166,ALPHACOP,NP_477395.1,Drosophila_melanogaster,NP_477395.1,ALPHACOP,Astyanax_mexicanus,XP_007234429.2,COPA,0.0,1404.0,0.0,1404.0
167,ALPHA-EST1,NP_524269.3,,,,,,,,,,
168,ALPHA-EST2,NP_524268.3,,,,,,,,,,
169,ALPHA-EST3,NP_524267.2,,,,,,,,,,
170,ALPHA-EST4,NP_524266.1,,,,,,,,,,
171,ALPHA-EST5,NP_524265.3,,,,,,,,,,
172,ALPHA-EST8,NP_524259.2,,,,,,,,,,
173,ALPHA-EST9,NP_524258.2,,,,,,,,,,
174,ALPHA-MAN-IIB,NP_650494.2,,,,,,,,,,
175,ALPHA-SPEC,NP_476739.1,Drosophila_melanogaster,NP_476739.1,ALPHA-SPEC,Astyanax_mexicanus,XP_049322581.1,SPTAN1,0.0,2992.0,0.0,2992.0
