,Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
54,AGGF1,NP_060516.2,"[('XP_007247049.3', 'AGGF1'), ('XP_049322483.1', 'AGGF1')]",55
55,AGR2,XP_054213068.1,"[('XP_015461287.1', 'AGR2'), ('XP_022529065.2', 'LOC103021781')]",56
56,AGT,NP_001369746.2,"[('XP_007256132.3', 'AGT')]",57
57,AGTR1,NP_001369665.1,"[('XP_007253823.3', 'AGTR1B')]",58
58,AHR,NP_001612.1,"[('XP_007230096.3', 'LOC103045566'), ('XP_022521118.2', 'AHR1B')]",59
59,AHRR,NP_001364168.1,"[('XP_022534428.2', 'AHRRB')]",60
60,AIP,XP_054226424.1,"[('XP_022541680.2', 'LOC103034758')]",61
61,AIRE,NP_000374.1,"[('XP_049322875.1', 'AIRE')]",62
62,AK4,NP_982289.1,"[('XP_007248276.2', 'AK4')]",63
63,AKAP12,NP_005091.2,"[('XP_022518862.2', 'AKAP12B'), ('XP_022518869.2', 'AKAP12B')]",64
64,AKR1B1,NP_001619.1,"[('XP_007230739.3', 'LOC125780396'), ('XP_022527461.2', 'AKR1B1.2'), ('XP_049330987.1', 'LOC125799086')]",65
65,AKT1,NP_001369359.1,"[('XP_007252983.1', 'LOC103026930'), ('XP_022528304.1', 'AKT1')]",66
66,ALAS1,NP_001291373.1,"[('XP_049327949.1', 'ALAS1')]",67
67,ALAS2,NP_001033057.1,"[('XP_049341546.1', 'ALAS2')]",68
68,ALDH1A3,NP_000684.2,"[('XP_022525246.1', 'ALDH1A3')]",69
69,ALDOA,NP_001230106.1,"[('XP_007248760.1', 'ALDOAB'), ('XP_007259662.1', 'ALDOCB')]",70
70,ALDOB,NP_000026.2,"[('XP_022539194.2', 'ALDOB')]",71
71,ALK,NP_004295.2,"[('XP_049320150.1', 'ALK')]",72
72,ALKBH2,NP_001138846.1,"[('XP_022522614.1', 'ALKBH2')]",73
73,ALOX12,NP_000688.2,"[('XP_007248177.1', 'ALOX12'), ('XP_049338200.1', 'ALOX12')]",74
74,ALOX15B,NP_001132.2,"[('XP_022532442.2', 'LOC103026959'), ('XP_049322961.1', 'LOC111190674'), ('XP_049322965.1', 'LOC103036852'), ('XP_049322967.1', 'LOC103036852'), ('XP_049322970.1', 'LOC103036852'), ('XP_049322974.1', 'LOC103036852'), ('XP_049322977.1', 'LOC103036852'), ('XP_049322980.1', 'LOC103036852'), ('XP_049322986.1', 'LOC103036852'), ('XP_049322988.1', 'LOC103036852'), ('XP_049322991.1', 'LOC103036852'), ('XP_049322995.1', 'LOC103036852'), ('XP_049323000.1', 'LOC111190048'), ('XP_049323003.1', 'LOC111190048')]",75
75,ALOX5,NP_000689.1,"[('XP_007240343.3', 'ALOX5A')]",76
76,ALOX5AP,NP_001191335.1,"[('XP_007235467.1', 'LOC103039025')]",77
77,ALPI,NP_001622.2,"[('XP_022525197.2', 'ALP3'), ('XP_049321615.1', 'ALPI.2'), ('XP_049321617.1', 'ALPI.1')]",78
78,ALPL,NP_000469.3,"[('XP_022538195.2', 'ALPL'), ('XP_049327776.1', 'ALPL')]",79
79,AMACR,NP_001161067.1,"[('XP_022522218.1', 'AMACR')]",80
80,ANAPC4,NP_001273685.1,"[('XP_007257079.3', 'ANAPC4')]",81
81,ANGPT1,NP_001186788.1,"[('XP_007245824.1', 'ANGPT1')]",82
82,ANGPTL4,XP_054177121.1,"[('XP_022542700.1', 'ANGPTL4')]",83
83,ANKRD1,NP_055206.2,"[('XP_049319898.1', 'ANKRD1A')]",84
84,ANPEP,NP_001141.2,"[('XP_022525607.2', 'LOC103045941'), ('XP_022525610.1', 'ANPEPA'), ('XP_022539693.2', 'ANPEPB.1')]",85
85,ANTXR1,NP_115584.1,"[('XP_015457192.2', 'ANTXR1A')]",86
86,APAF1,NP_863651.1,"[('XP_007245039.3', 'APAF1'), ('XP_049330251.1', 'APAF1')]",87
87,APBB1,NP_663722.1,"[('XP_022537011.2', 'APBB1'), ('XP_049324732.1', 'APBB1')]",88
88,APC,NP_001394375.1,"[('XP_022536604.2', 'APC')]",89
89,APCS,NP_001630.1,"[('XP_049336045.1', 'LOC103036721'), ('XP_049336047.1', 'LOC103036423')]",90
90,APEX1,NP_001632.2,"[('XP_007229800.1', 'APEX1')]",91
91,APLF,NP_775816.1,"[('XP_049325665.1', 'APLF'), ('XP_049325666.1', 'APLF')]",92
92,APLNR,NP_005152.1,"[('XP_007237454.2', 'APLNRA'), ('XP_015458372.2', 'APLNRB')]",93
93,APOB,NP_000375.3,"[('XP_022528241.2', 'APOBA')]",94
94,APOD,NP_001638.1,"[('XP_007252406.1', 'APODB'), ('XP_049338120.1', 'APODA.2')]",95
95,ARF1,NP_001649.1,"[('XP_007230008.1', 'ARF2A'), ('XP_007232528.1', 'ARF1'), ('XP_007236412.2', 'ARF2B'), ('XP_007253394.1', 'ARF3B'), ('XP_022532607.1', 'ARF3A'), ('XP_049323942.1', 'ARF2A')]",96
96,ARF6,NP_001654.1,"[('XP_007230784.1', 'ARF6A'), ('XP_007253850.1', 'ARF6B')]",97
97,ARG1,NP_001231367.1,"[('XP_022524862.2', 'ARG1')]",98
98,ARG2,NP_001163.1,"[('XP_007247583.3', 'ARG2')]",99
99,ARHGEF1,XP_054178551.1,"[('XP_007232504.3', 'ARHGEF1B'), ('XP_007232505.3', 'ARHGEF1B'), ('XP_007232506.3', 'ARHGEF1B'), ('XP_007232507.3', 'ARHGEF1B')]",100
100,ARID1A,NP_006006.3,"[('XP_007251849.3', 'ARID1AA'), ('XP_007251850.3', 'ARID1AA'), ('XP_007253084.3', 'ARID1AB'), ('XP_049332129.1', 'ARID1AB')]",101
101,ARID1B,XP_054212005.1,"[('XP_022528925.2', 'LOC103041141'), ('XP_049340563.1', 'ARID1B')]",102
102,ARID3A,XP_054176112.1,"[('XP_007240305.1', 'ARID3A')]",103
103,ARL6IP5,NP_006398.1,"[('XP_049319128.1', 'ARL6IP5B')]",104
104,ARNT2,NP_055677.3,"[('XP_022525224.2', 'ARNT2'), ('XP_022525225.2', 'ARNT2'), ('XP_022525226.2', 'ARNT2'), ('XP_022525227.1', 'ARNT2'), ('XP_022525228.2', 'ARNT2')]",105
105,ARX,NP_620689.1,"[('XP_015462112.3', 'ARXA')]",106
106,ASAH1,NP_004306.3,"[('XP_007232647.3', 'ASAH1B')]",107
107,ASAP2,XP_054200351.1,"[('XP_007252269.1', 'ASAP2A')]",108
108,ASCL1,NP_004307.2,"[('XP_007259060.2', 'ASCL1A')]",109
109,ASF1B,NP_060624.1,"[('XP_007229078.1', 'ASF1BA')]",110
110,ASH1L,XP_054193647.1,"[('XP_007230635.3', 'ASH1L'), ('XP_022538731.2', 'ASH1L')]",111
111,ASNS,NP_001339425.1,"[('XP_049332391.1', 'LOC111190432'), ('XP_049332392.1', 'LOC111190432'), ('XP_049332393.1', 'LOC111190432'), ('XP_049332394.1', 'LOC111190432'), ('XP_049332395.1', 'LOC111190432'), ('XP_049332396.1', 'LOC111190432'), ('XP_049332397.1', 'LOC111190432'), ('XP_049332398.1', 'LOC111190432'), ('XP_049332399.1', 'LOC111190432'), ('XP_049332400.1', 'LOC111190432'), ('XP_049332401.1', 'LOC111190432'), ('XP_049332402.1', 'LOC103025788')]",112
112,ASS1,NP_446464.1,"[('XP_049342341.1', 'ASS1')]",113
113,ASXL1,NP_056153.2,"[('XP_007246903.3', 'ASXL1'), ('XP_007246905.3', 'ASXL1')]",114
114,ATAD2,XP_054216337.1,"[('XP_007242161.3', 'LOC103046236'), ('XP_015459510.3', 'LOC103046236')]",115
115,ATF2,NP_001871.2,"[('XP_022536055.1', 'ATF2'), ('XP_022536056.1', 'ATF2')]",116
116,ATF3,XP_054192718.1,"[('XP_007245534.1', 'ATF3')]",117
117,ATF4,XP_054181624.1,"[('XP_007231405.2', 'ATF4A')]",118
118,ATF6,XP_054191190.1,"[('XP_049336600.1', 'ATF6')]",119
119,ATG5,NP_004840.1,"[('XP_022534809.1', 'ATG5'), ('XP_022534810.1', 'ATG5')]",120
120,ATG7,NP_001336164.1,"[('XP_007248362.3', 'ATG7'), ('XP_049327557.1', 'ATG7'), ('XP_049327558.1', 'ATG7')]",121
121,ATM,NP_001338763.1,"[('XP_022534729.2', 'ATM'), ('XP_022534730.2', 'ATM')]",122
122,ATP1B1,NP_001668.1,"[('XP_007236705.3', 'ATP1B1A'), ('XP_007241952.1', 'ATP1B1B')]",123
123,ATP2A2,NP_001672.1,"[('XP_022526303.1', 'ATP2A2A'), ('XP_022532348.2', 'ATP2A2B'), ('XP_022532349.2', 'ATP2A2B'), ('XP_022532350.2', 'ATP2A2B')]",124
124,ATP2A3,XP_054172252.1,"[('XP_007228659.1', 'ATP2A3'), ('XP_007228660.1', 'ATP2A3')]",125
125,ATP2C1,NP_001365440.1,"[('XP_049324548.1', 'LOC103042549'), ('XP_049324549.1', 'LOC103042549'), ('XP_049324553.1', 'LOC103042549'), ('XP_049324555.1', 'LOC103042549'), ('XP_049324829.1', 'LOC125784867'), ('XP_049324831.1', 'LOC125784867'), ('XP_049324836.1', 'LOC125784867')]",126
126,ATP6V0A2,NP_036595.2,"[('XP_022520421.2', 'ATP6V0A2B')]",127
127,ATP6V0E1,NP_003936.1,"[('XP_022521441.1', 'ATP6V0E1')]",128
128,ATRX,XP_054183258.1,"[('XP_007228484.3', 'ATRX'), ('XP_007228485.3', 'ATRX')]",129
129,ATXN2,NP_002964.4,"[('XP_007238018.3', 'ATXN2'), ('XP_007238019.3', 'ATXN2'), ('XP_007238020.3', 'ATXN2'), ('XP_007238021.3', 'ATXN2'), ('XP_007238024.3', 'ATXN2')]",130
130,ATXN7,NP_001170858.1,"[('XP_022538524.2', 'LOC103034685'), ('XP_022538525.2', 'LOC103034685')]",131
131,AURKA,NP_001411349.1,"[('XP_007246081.3', 'AURKA'), ('XP_015460472.3', 'AURKA'), ('XP_049322022.1', 'AURKA'), ('XP_049322023.1', 'AURKA'), ('XP_049322024.1', 'AURKA'), ('XP_049322025.1', 'AURKA'), ('XP_049322026.1', 'AURKA')]",132
132,AVP,NP_000481.2,"[('XP_049341857.1', 'LOC103042813')]",133
133,AXL,NP_068713.2,"[('XP_022534783.2', 'LOC103027673')]",134
134,B2M,NP_004039.1,"[('XP_007235551.2', 'B2ML'), ('XP_049329297.1', 'LOC103031987'), ('XP_049329298.1', 'LOC103032312')]",135
135,BAALC,NP_001351803.1,"[('XP_007256715.1', 'BAALCB'), ('XP_049338410.1', 'BAALCB')]",136
136,BACE2,NP_036237.2,"[('XP_022534728.2', 'BACE2')]",137
137,BACH1,NP_001177.1,"[('XP_007234563.3', 'BACH1A'), ('XP_007234564.3', 'BACH1A'), ('XP_007247318.3', 'BACH1B'), ('XP_007247319.3', 'BACH1B'), ('XP_015460827.3', 'BACH1B')]",138
138,BACH2,NP_068585.1,"[('XP_007254977.2', 'BACH2B')]",139
139,BAG1,NP_004314.6,"[('XP_007260231.1', 'BAG1')]",140
140,BAG2,NP_004273.1,"[('XP_007247386.1', 'BAG2')]",141
141,BAG3,NP_004272.2,"[('XP_007252313.2', 'BAG3')]",142
142,BAMBI,NP_036474.1,"[('XP_007259712.1', 'BAMBIA')]",143
143,BARX2,NP_003649.2,"[('XP_022523460.1', 'BARX2')]",144
144,BATF,NP_006390.1,"[('XP_007245535.1', 'BATF3'), ('XP_007259929.1', 'BATF')]",145
145,BCAR1,NP_001164186.1,"[('XP_022535439.1', 'BCAR1'), ('XP_022535440.1', 'BCAR1'), ('XP_049339315.1', 'BCAR1')]",146
146,BCAS2,NP_005863.1,"[('XP_007228957.2', 'BCAS2')]",147
147,BCAS3,NP_001340073.1,"[('XP_022531004.1', 'BCAS3'), ('XP_022531014.1', 'BCAS3'), ('XP_022531022.1', 'BCAS3')]",148
148,BCL2,NP_000624.2,"[('XP_007229224.3', 'BCL2B'), ('XP_007258676.3', 'BCL2A')]",149
149,BCL2L11,XP_054196038.1,"[('XP_007228807.1', 'BCL2L11')]",150
150,BCL6,NP_001124317.1,"[('XP_007253734.3', 'BCL6AA'), ('XP_007253735.3', 'BCL6AA'), ('XP_007253736.3', 'BCL6AA'), ('XP_015462465.3', 'BCL6AA')]",151
151,BDKRB1,NP_001372936.1,"[('XP_015463371.3', 'BDKRB1')]",152
152,BDKRB2,NP_001366621.1,"[('XP_007257496.1', 'LOC103031022')]",153
153,BDNF,NP_733927.1,"[('XP_007246974.1', 'BDNF'), ('XP_022522803.1', 'BDNF'), ('XP_022522804.1', 'BDNF'), ('XP_022522805.1', 'BDNF')]",154
154,BEST1,NP_004174.1,"[('XP_007235245.3', 'BEST1')]",155
155,BGLAP,NP_954642.1,"[('XP_022520077.1', 'BGLAP')]",156
156,BGN,XP_054183538.1,"[('XP_007237035.3', 'BGNA'), ('XP_007249930.3', 'BGNB'), ('XP_022533136.2', 'BGNB')]",157
157,BHLHE22,NP_689627.1,"[('XP_007249116.2', 'BHLHE22')]",158
158,BHLHE40,XP_054204135.1,"[('XP_007254615.3', 'BHLHE40')]",159
159,BHLHE41,NP_110389.1,"[('XP_007250634.2', 'BHLHE41')]",160
160,BHMT,XP_054209017.1,"[('XP_007252839.2', 'BHMT')]",161
161,BIRC2,XP_054224586.1,"[('XP_049322666.1', 'BIRC2'), ('XP_049322667.1', 'BIRC2'), ('XP_049322668.1', 'BIRC2')]",162
162,BIRC3,XP_054224588.1,"[('XP_049322666.1', 'BIRC2'), ('XP_049322667.1', 'BIRC2'), ('XP_049322668.1', 'BIRC2')]",163
163,BLK,XP_054216944.1,"[('XP_007256697.2', 'BLK'), ('XP_007256699.2', 'BLK'), ('XP_022519472.1', 'BLK')]",164
164,BLM,NP_000048.1,"[('XP_007235739.3', 'BLM'), ('XP_007235740.3', 'BLM'), ('XP_015457498.3', 'BLM'), ('XP_022535500.2', 'BLM')]",165
165,BLMH,NP_000377.1,"[('XP_007236884.3', 'BLMH')]",166
166,BMP2,NP_001191.1,"[('NP_001307136.1', 'BMP2B'), ('XP_007252122.1', 'BMP2A')]",167
167,BMP4,NP_001334841.1,"[('NP_001278181.1', 'BMP4')]",168
168,BMP7,NP_001710.1,"[('XP_007233065.3', 'BMP7B')]",169
169,BNIP3,NP_004043.4,"[('XP_022524827.1', 'BNIP3')]",170
170,BPTF,XP_054171404.1,"[('XP_022520754.2', 'BPTF')]",171
171,BRCA2,NP_000050.3,"[('XP_015463688.3', 'BRCA2'), ('XP_022524494.2', 'BRCA2')]",172
172,BRD2,NP_001186384.1,"[('XP_007233786.2', 'BRD2B'), ('XP_007253130.2', 'BRD2A'), ('XP_049323514.1', 'BRD2B')]",173
173,BRD3,XP_054219853.1,"[('XP_007254010.3', 'BRD3A'), ('XP_007254012.3', 'BRD3A'), ('XP_007254013.3', 'BRD3A'), ('XP_015459922.2', 'BRD3B'), ('XP_022523302.1', 'BRD3B'), ('XP_022523303.1', 'BRD3B'), ('XP_022523304.1', 'BRD3B'), ('XP_049326296.1', 'BRD3B'), ('XP_049326297.1', 'BRD3B')]",174
174,BRD4,NP_001366220.1,"[('XP_007229120.3', 'BRD4'), ('XP_007229121.3', 'BRD4'), ('XP_007229122.3', 'BRD4'), ('XP_007229123.3', 'BRD4'), ('XP_007229124.3', 'BRD4')]",175
175,BRIP1,XP_054173476.1,"[('XP_049323144.1', 'BRIP1'), ('XP_049323145.1', 'BRIP1'), ('XP_049323146.1', 'BRIP1'), ('XP_049323147.1', 'BRIP1'), ('XP_049323148.1', 'BRIP1')]",176
176,BRPF1,XP_054203765.1,"[('XP_007260574.3', 'BRPF1'), ('XP_022526490.2', 'BRPF1')]",177
177,BSG,XP_054177819.1,"[('XP_007240189.2', 'BSG'), ('XP_022525406.2', 'BSG')]",178
178,BTAF1,NP_003963.1,"[('XP_022540335.2', 'BTAF1')]",179
179,BTF3,NP_001032726.1,"[('XP_007259689.1', 'BTF3'), ('XP_022523580.1', 'BTF3')]",180
180,BTG1,NP_001722.1,"[('XP_007233751.1', 'BTG1')]",181
181,BTG2,NP_006754.1,"[('XP_007256780.1', 'BTG2')]",182
182,BTG3,XP_054180299.1,"[('XP_007235464.3', 'BTG3'), ('XP_007235465.1', 'BTG3'), ('XP_049324998.1', 'BTG3')]",183
183,BTK,NP_001274273.1,"[('XP_007236532.1', 'BTK')]",184
184,BUB1B,NP_001202.5,"[('XP_007238432.3', 'BUB1BA')]",185
185,C1QBP,NP_001203.1,"[('XP_007255892.2', 'LOC103043346')]",186
186,C1QTNF5,NP_056460.1,"[('XP_022530971.2', 'C1QTNF5')]",187
187,C3,NP_000055.2,"[('XP_022518996.2', 'LOC103045627'), ('XP_049325822.1', 'LOC103045627')]",188
188,C4A,NP_009224.2,"[('XP_022524517.2', 'C4'), ('XP_049322892.1', 'C4'), ('XP_049336489.1', 'C4B')]",189
189,C4B,NP_001002029.3,"[('XP_022524517.2', 'C4'), ('XP_049322892.1', 'C4'), ('XP_049336489.1', 'C4B')]",190
190,CA2,NP_000058.1,"[('XP_022529993.1', 'LOC103021731'), ('XP_022534849.1', 'CAHZ'), ('XP_049334472.1', 'LOC125801685')]",191
191,CA9,NP_001207.2,"[('XP_007255363.2', 'CA9')]",192
192,CABIN1,XP_054181289.1,"[('XP_022520205.2', 'CABIN1'), ('XP_049341482.1', 'CABIN1'), ('XP_049341483.1', 'CABIN1'), ('XP_049341484.1', 'CABIN1'), ('XP_049341485.1', 'CABIN1'), ('XP_049341486.1', 'CABIN1'), ('XP_049341487.1', 'CABIN1'), ('XP_049341488.1', 'CABIN1')]",193
193,CABLES1,NP_001094089.1,"[('XP_022534411.2', 'CABLES1')]",194
194,CACNA1H,XP_054170237.1,"[('XP_007247911.3', 'CACNA1HA'), ('XP_022539070.2', 'CACNA1HA')]",195
195,CAD,XP_054199815.1,"[('XP_022542830.2', 'CAD'), ('XP_022542832.2', 'CAD')]",196
196,CAPN10,NP_075571.2,"[('XP_022519736.2', 'CAPN10')]",197
197,CAPNS1,NP_001740.1,"[('XP_007236900.3', 'LOC103043366'), ('XP_007257529.3', 'CAPNS1A'), ('XP_022521386.1', 'LOC107197063')]",198
198,CARM1,NP_954592.1,"[('XP_049323667.1', 'CARM1'), ('XP_049323668.1', 'CARM1')]",199
199,CARTPT,NP_004282.1,"[('NP_001278189.1', 'CART2'), ('XP_022520885.2', 'LOC111191146')]",200
200,CASP1,XP_054226104.1,"[('XP_022534146.2', 'CASP23'), ('XP_049325109.1', 'CASPA'), ('XP_049325110.1', 'CASPA'), ('XP_049325111.1', 'CASPA'), ('XP_049335039.1', 'LOC125802140')]",201
201,CASP2,NP_116764.2,"[('XP_007249869.3', 'CASP2'), ('XP_007249870.3', 'CASP2'), ('XP_007249871.3', 'CASP2'), ('XP_015461404.3', 'CASP2'), ('XP_022529228.2', 'CASP2')]",202
202,CASP3,NP_001341706.1,"[('XP_007247533.3', 'CASP3B'), ('XP_049328419.1', 'CASP3A')]",203
203,CASP7,NP_001253986.1,"[('XP_007259314.2', 'CASP7'), ('XP_007259315.2', 'CASP7'), ('XP_007259316.2', 'CASP7'), ('XP_022524679.2', 'CASP7'), ('XP_049320569.1', 'CASP7')]",204
204,CASP8,NP_001073594.1,"[('XP_007230922.3', 'CASP8')]",205
205,CASR,NP_001171536.2,"[('XP_022522052.2', 'CASR')]",206
206,CAT,NP_001743.1,"[('XP_007235106.2', 'CAT')]",207
207,CAV1,NP_001744.2,"[('XP_022539296.1', 'CAV1')]",208
208,CBFA2T3,XP_054170220.1,"[('XP_007230137.1', 'CBFA2T3'), ('XP_022520859.1', 'CBFA2T3'), ('XP_049327000.1', 'CBFA2T3'), ('XP_049327001.1', 'CBFA2T3')]",209
209,CBFB,NP_074036.1,"[('XP_007256270.1', 'CBFB')]",210
