,Model_nodos,NCBI_Product_accesion,Ast,a,a2,Mus,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
14,ABHD14A,XP_006511866.1,Astyanax_mexicanus,XP_007234506.1,ABHD14A,Mus_musculus,XP_006511866.1,ABHD14A,1.6300000000000002e-58,226.0,9.49e-59,226.0
15,ABL1,XP_006497684.1,,,,,,,,,,
16,ABL2,NP_033725.2,Astyanax_mexicanus,XP_022526757.2,ABL2,Mus_musculus,NP_033725.2,ABL2,0.0,1412.0,0.0,1412.0
17,ABL2,NP_033725.2,Astyanax_mexicanus,XP_022526758.2,ABL2,Mus_musculus,NP_033725.2,ABL2,0.0,1404.0,0.0,1404.0
18,ABL2,NP_033725.2,Astyanax_mexicanus,XP_049341980.1,ABL2,Mus_musculus,NP_033725.2,ABL2,0.0,1401.0,0.0,1401.0
19,ACACB,NP_001390456.1,Astyanax_mexicanus,XP_049326198.1,ACACB,Mus_musculus,NP_001390456.1,ACACB,0.0,3486.0,0.0,3486.0
20,ACACB,NP_001390456.1,Astyanax_mexicanus,XP_049326199.1,ACACB,Mus_musculus,NP_001390456.1,ACACB,0.0,3486.0,0.0,3486.0
21,ACACB,NP_001390456.1,Astyanax_mexicanus,XP_049326200.1,ACACB,Mus_musculus,NP_001390456.1,ACACB,0.0,3486.0,0.0,3486.0
22,ACACB,NP_001390456.1,Astyanax_mexicanus,XP_049326201.1,ACACB,Mus_musculus,NP_001390456.1,ACACB,0.0,3486.0,0.0,3486.0
23,ACACB,NP_001390456.1,Astyanax_mexicanus,XP_049326202.1,ACACB,Mus_musculus,NP_001390456.1,ACACB,0.0,3489.0,0.0,3489.0
24,ACACB,NP_001390456.1,Astyanax_mexicanus,XP_049326203.1,ACACB,Mus_musculus,NP_001390456.1,ACACB,0.0,3493.0,0.0,3493.0
25,ACACB,NP_001390456.1,Astyanax_mexicanus,XP_049326204.1,ACACB,Mus_musculus,NP_001390456.1,ACACB,0.0,3497.0,0.0,3497.0
26,ACACB,NP_001390456.1,Astyanax_mexicanus,XP_049326205.1,ACACB,Mus_musculus,NP_001390456.1,ACACB,0.0,3476.0,0.0,3476.0
27,ACACB,NP_001390456.1,Astyanax_mexicanus,XP_049326206.1,ACACB,Mus_musculus,NP_001390456.1,ACACB,0.0,3470.0,0.0,3470.0
28,ACADM,NP_031408.1,Astyanax_mexicanus,XP_007245171.1,ACADM,Mus_musculus,NP_031408.1,ACADM,4.3699999999999997e-197,687.0,2.7099999999999997e-197,687.0
29,ACHE,NP_033729.1,Astyanax_mexicanus,XP_022534078.2,ACHE,Mus_musculus,NP_033729.1,ACHE,1.0500000000000001e-223,776.0,6.38e-224,776.0
30,ACHE,NP_033729.1,Astyanax_mexicanus,XP_022534079.2,ACHE,Mus_musculus,NP_033729.1,ACHE,1.0500000000000001e-223,776.0,6.38e-224,776.0
31,ACMSD,NP_001028213.1,Astyanax_mexicanus,XP_007232480.3,ACMSD,Mus_musculus,NP_001028213.1,ACMSD,5.64e-165,580.0,3.4999999999999997e-165,580.0
32,ACP5,NP_001095874.1,Astyanax_mexicanus,XP_007257220.1,ACP5A,Mus_musculus,NP_001095874.1,ACP5,1.76e-107,389.0,1.07e-107,389.0
33,ACP5,NP_001095874.1,Astyanax_mexicanus,XP_007257221.1,ACP5A,Mus_musculus,NP_001095874.1,ACP5,1.76e-107,389.0,1.07e-107,389.0
34,ACRV1,NP_031417.2,,,,,,,,,,
35,ACSBG1,NP_444408.1,Astyanax_mexicanus,XP_015460610.3,ACSBG1,Mus_musculus,NP_444408.1,ACSBG1,1.99e-244,845.0,1.27e-244,845.0
36,ACSBG1,NP_444408.1,Astyanax_mexicanus,XP_022527921.2,ACSBG1,Mus_musculus,NP_444408.1,ACSBG1,1.99e-244,845.0,1.27e-244,845.0
37,ACSL4,XP_030107239.1,Astyanax_mexicanus,XP_007247481.3,ACSL4A,Mus_musculus,XP_030107239.1,ACSL4,0.0,1107.0,0.0,1107.0
38,ACSL4,XP_030107239.1,Astyanax_mexicanus,XP_007247482.3,ACSL4A,Mus_musculus,XP_030107239.1,ACSL4,0.0,1107.0,0.0,1107.0
39,ACSL4,XP_030107239.1,Astyanax_mexicanus,XP_007247483.3,ACSL4A,Mus_musculus,XP_030107239.1,ACSL4,0.0,1107.0,0.0,1107.0
40,ACSS1,NP_542142.1,Astyanax_mexicanus,XP_049319749.1,ACSS1,Mus_musculus,NP_542142.1,ACSS1,2.1799999999999998e-288,991.0,1.3399999999999998e-288,991.0
41,ACSS2,NP_062785.2,Astyanax_mexicanus,XP_022519238.2,ACSS2,Mus_musculus,NP_062785.2,ACSS2,0.0,1089.0,0.0,1089.0
42,ACSS2,NP_062785.2,Astyanax_mexicanus,XP_022519239.2,ACSS2,Mus_musculus,NP_062785.2,ACSS2,0.0,1090.0,0.0,1090.0
43,ACSS2,NP_062785.2,Astyanax_mexicanus,XP_022519240.2,ACSS2,Mus_musculus,NP_062785.2,ACSS2,0.0,1100.0,0.0,1100.0
44,ACTA1,NP_033736.1,Astyanax_mexicanus,XP_007235317.1,ACTC1A,Mus_musculus,NP_033736.1,ACTA1,4.13e-219,760.0,2.57e-219,760.0
45,ACTA1,NP_033736.1,Astyanax_mexicanus,XP_007238991.1,ACTA1A,Mus_musculus,NP_033736.1,ACTA1,8.26e-219,759.0,5.13e-219,759.0
46,ACTA1,NP_033736.1,Astyanax_mexicanus,XP_007248613.1,ACTA1B,Mus_musculus,NP_033736.1,ACTA1,2.07e-219,761.0,1.2799999999999999e-219,761.0
47,ACTA1,NP_033736.1,Astyanax_mexicanus,XP_007252999.1,ACTC2,Mus_musculus,NP_033736.1,ACTA1,1.03e-219,762.0,6.41e-220,762.0
48,ACTA1,NP_033736.1,Astyanax_mexicanus,XP_015463524.1,ACTC1B,Mus_musculus,NP_033736.1,ACTA1,2.07e-219,761.0,1.2799999999999999e-219,761.0
49,ACTA1,NP_033736.1,Astyanax_mexicanus,XP_022520514.1,ACTA2,Mus_musculus,NP_033736.1,ACTA1,6.61e-218,756.0,4.11e-218,756.0
50,ACTA1,NP_033736.1,Astyanax_mexicanus,XP_022535157.1,LOC103039206,Mus_musculus,NP_033736.1,ACTA1,2.1199999999999997e-216,751.0,1.3099999999999999e-216,751.0
51,ACTA1,NP_033736.1,Astyanax_mexicanus,XP_022539577.1,ACTE1,Mus_musculus,NP_033736.1,ACTA1,2.1199999999999997e-216,751.0,1.3099999999999999e-216,751.0
52,ACTA2,NP_031418.1,Astyanax_mexicanus,XP_007235317.1,ACTC1A,Mus_musculus,NP_031418.1,ACTA2,5.29e-217,753.0,3.2800000000000002e-217,753.0
53,ACTA2,NP_031418.1,Astyanax_mexicanus,XP_007238991.1,ACTA1A,Mus_musculus,NP_031418.1,ACTA2,1.32e-217,755.0,8.21e-218,755.0
54,ACTA2,NP_031418.1,Astyanax_mexicanus,XP_007248613.1,ACTA1B,Mus_musculus,NP_031418.1,ACTA2,2.64e-217,754.0,1.6400000000000001e-217,754.0
55,ACTA2,NP_031418.1,Astyanax_mexicanus,XP_007252999.1,ACTC2,Mus_musculus,NP_031418.1,ACTA2,2.64e-217,754.0,1.6400000000000001e-217,754.0
56,ACTA2,NP_031418.1,Astyanax_mexicanus,XP_015463524.1,ACTC1B,Mus_musculus,NP_031418.1,ACTA2,2.64e-217,754.0,1.6400000000000001e-217,754.0
57,ACTA2,NP_031418.1,Astyanax_mexicanus,XP_022520514.1,ACTA2,Mus_musculus,NP_031418.1,ACTA2,5.16e-220,763.0,3.2099999999999997e-220,763.0
58,ACTA2,NP_031418.1,Astyanax_mexicanus,XP_022535157.1,LOC103039206,Mus_musculus,NP_031418.1,ACTA2,3.3800000000000004e-215,747.0,2.1e-215,747.0
59,ACTA2,NP_031418.1,Astyanax_mexicanus,XP_022539577.1,ACTE1,Mus_musculus,NP_031418.1,ACTA2,3.3800000000000004e-215,747.0,2.1e-215,747.0
60,ACTC1,NP_033738.1,Astyanax_mexicanus,XP_007235317.1,ACTC1A,Mus_musculus,NP_033738.1,ACTC1,1.03e-219,762.0,6.41e-220,762.0
61,ACTC1,NP_033738.1,Astyanax_mexicanus,XP_007238991.1,ACTA1A,Mus_musculus,NP_033738.1,ACTC1,2.58e-220,764.0,1.5999999999999998e-220,764.0
62,ACTC1,NP_033738.1,Astyanax_mexicanus,XP_007248613.1,ACTA1B,Mus_musculus,NP_033738.1,ACTC1,5.16e-220,763.0,3.2099999999999997e-220,763.0
63,ACTC1,NP_033738.1,Astyanax_mexicanus,XP_007252999.1,ACTC2,Mus_musculus,NP_033738.1,ACTC1,2.58e-220,764.0,1.5999999999999998e-220,764.0
64,ACTC1,NP_033738.1,Astyanax_mexicanus,XP_015463524.1,ACTC1B,Mus_musculus,NP_033738.1,ACTC1,5.16e-220,763.0,3.2099999999999997e-220,763.0
65,ACTC1,NP_033738.1,Astyanax_mexicanus,XP_022520514.1,ACTA2,Mus_musculus,NP_033738.1,ACTC1,2.07e-219,761.0,1.2799999999999999e-219,761.0
66,ACTC1,NP_033738.1,Astyanax_mexicanus,XP_022535157.1,LOC103039206,Mus_musculus,NP_033738.1,ACTC1,5.29e-217,753.0,3.2800000000000002e-217,753.0
67,ACTC1,NP_033738.1,Astyanax_mexicanus,XP_022539577.1,ACTE1,Mus_musculus,NP_033738.1,ACTC1,5.29e-217,753.0,3.2800000000000002e-217,753.0
68,ACTG2,NP_033740.2,Astyanax_mexicanus,XP_007235317.1,ACTC1A,Mus_musculus,NP_033740.2,ACTG2,1.6900000000000002e-215,748.0,1.05e-215,748.0
69,ACTG2,NP_033740.2,Astyanax_mexicanus,XP_007238991.1,ACTA1A,Mus_musculus,NP_033740.2,ACTG2,4.2299999999999995e-216,750.0,2.6199999999999997e-216,750.0
70,ACTG2,NP_033740.2,Astyanax_mexicanus,XP_007247883.1,ACTB2,Mus_musculus,NP_033740.2,ACTG2,4.52e-207,720.0,2.81e-207,720.0
71,ACTG2,NP_033740.2,Astyanax_mexicanus,XP_007248613.1,ACTA1B,Mus_musculus,NP_033740.2,ACTG2,8.459999999999999e-216,749.0,5.2399999999999995e-216,749.0
72,ACTG2,NP_033740.2,Astyanax_mexicanus,XP_007252999.1,ACTC2,Mus_musculus,NP_033740.2,ACTG2,4.2299999999999995e-216,750.0,2.6199999999999997e-216,750.0
73,ACTG2,NP_033740.2,Astyanax_mexicanus,XP_007260329.1,ACTB1,Mus_musculus,NP_033740.2,ACTG2,2.26e-207,721.0,1.4099999999999999e-207,721.0
74,ACTG2,NP_033740.2,Astyanax_mexicanus,XP_015463524.1,ACTC1B,Mus_musculus,NP_033740.2,ACTG2,8.459999999999999e-216,749.0,5.2399999999999995e-216,749.0
75,ACTG2,NP_033740.2,Astyanax_mexicanus,XP_022520514.1,ACTA2,Mus_musculus,NP_033740.2,ACTG2,1.32e-217,755.0,8.19e-218,755.0
76,ACTG2,NP_033740.2,Astyanax_mexicanus,XP_022535157.1,LOC103039206,Mus_musculus,NP_033740.2,ACTG2,2.71e-214,744.0,1.68e-214,744.0
77,ACTG2,NP_033740.2,Astyanax_mexicanus,XP_022539577.1,ACTE1,Mus_musculus,NP_033740.2,ACTG2,2.71e-214,744.0,1.68e-214,744.0
78,ADAM12,NP_031426.2,Astyanax_mexicanus,XP_022528278.2,ADAM12B,Mus_musculus,NP_031426.2,ADAM12,0.0,1080.0,0.0,1080.0
79,ADAM12,NP_031426.2,Astyanax_mexicanus,XP_022528279.2,ADAM12B,Mus_musculus,NP_031426.2,ADAM12,0.0,1083.0,0.0,1083.0
80,ADAM12,NP_031426.2,Astyanax_mexicanus,XP_049320339.1,LOC103040611,Mus_musculus,NP_031426.2,ADAM12,0.0,1029.0,0.0,1029.0
81,ADAM12,NP_031426.2,Astyanax_mexicanus,XP_049320340.1,LOC103040611,Mus_musculus,NP_031426.2,ADAM12,0.0,1029.0,0.0,1029.0
82,ADAM8,NP_001277995.1,Astyanax_mexicanus,XP_007248635.3,ADAM8A,Mus_musculus,NP_001277995.1,ADAM8,5.3000000000000004e-173,608.0,3.21e-173,608.0
83,ADCYAP1R1,XP_006505451.1,Astyanax_mexicanus,XP_022531576.2,ADCYAP1R1B,Mus_musculus,XP_006505451.1,ADCYAP1R1,1.94e-190,665.0,1.41e-190,665.0
84,ADCYAP1R1,XP_006505451.1,Astyanax_mexicanus,XP_022534444.2,ADCYAP1R1A,Mus_musculus,XP_006505451.1,ADCYAP1R1,4.8700000000000006e-200,697.0,3.2800000000000006e-200,697.0
85,ADD1,NP_001318011.1,Astyanax_mexicanus,XP_049322297.1,ADD1,Mus_musculus,NP_001318011.1,ADD1,0.0,1060.0,0.0,1060.0
86,ADD1,NP_001318011.1,Astyanax_mexicanus,XP_049322298.1,ADD1,Mus_musculus,NP_001318011.1,ADD1,0.0,1065.0,0.0,1065.0
87,ADD1,NP_001318011.1,Astyanax_mexicanus,XP_049322302.1,ADD1,Mus_musculus,NP_001318011.1,ADD1,0.0,1089.0,0.0,1089.0
88,ADD1,NP_001318011.1,Astyanax_mexicanus,XP_049322303.1,ADD1,Mus_musculus,NP_001318011.1,ADD1,0.0,1045.0,0.0,1045.0
89,ADD1,NP_001318011.1,Astyanax_mexicanus,XP_049322305.1,ADD1,Mus_musculus,NP_001318011.1,ADD1,0.0,1045.0,0.0,1045.0
90,ADD1,NP_001318011.1,Astyanax_mexicanus,XP_049322306.1,ADD1,Mus_musculus,NP_001318011.1,ADD1,0.0,1051.0,0.0,1051.0
91,ADD2,NP_038486.2,Astyanax_mexicanus,XP_022520402.2,ADD2,Mus_musculus,NP_038486.2,ADD2,1.8099999999999998e-191,669.0,1.22e-191,669.0
92,ADD2,NP_038486.2,Astyanax_mexicanus,XP_022520403.2,ADD2,Mus_musculus,NP_038486.2,ADD2,5.589999999999999e-190,664.0,3.9099999999999997e-190,664.0
93,ADIPOR1,NP_082596.2,Astyanax_mexicanus,XP_007231740.3,ADIPOR1B,Mus_musculus,NP_082596.2,ADIPOR1,1.44e-177,622.0,8.89e-178,622.0
94,ADIPOR1,NP_082596.2,Astyanax_mexicanus,XP_049327662.1,ADIPOR1A,Mus_musculus,NP_082596.2,ADIPOR1,1.3899999999999998e-180,632.0,8.68e-181,632.0
95,ADIPOR1,NP_082596.2,Astyanax_mexicanus,XP_049327663.1,ADIPOR1A,Mus_musculus,NP_082596.2,ADIPOR1,1.3899999999999998e-180,632.0,8.68e-181,632.0
96,ADIPOR1,NP_082596.2,Astyanax_mexicanus,XP_049327664.1,ADIPOR1A,Mus_musculus,NP_082596.2,ADIPOR1,3.47e-181,634.0,2.17e-181,634.0
97,ADORA1,NP_001278857.1,,,,,,,,,,
98,ADORA2A,NP_001318025.1,Astyanax_mexicanus,XP_007233964.1,ADORA2AB,Mus_musculus,NP_001318025.1,ADORA2A,7.1899999999999995e-115,414.0,3.9999999999999998e-115,414.0
99,ADRA2B,NP_033763.3,Astyanax_mexicanus,XP_007234270.2,ADRA2B,Mus_musculus,NP_033763.3,ADRA2B,4.25e-112,405.0,2.24e-112,405.0
100,AEBP2,NP_033767.2,Astyanax_mexicanus,XP_007256049.2,AEBP2,Mus_musculus,NP_033767.2,AEBP2,1.41e-139,496.0,1.02e-139,496.0
101,AFF1,NP_001395180.1,,,,,,,,,,
102,AFP,NP_031449.3,,,,,,,,,,
103,AGRP,NP_001258735.1,Astyanax_mexicanus,XP_049327118.1,LOC103047890,Mus_musculus,NP_001258735.1,AGRP,2.74e-14,78.2,1.56e-14,78.2
104,AGT,NP_031454.4,Astyanax_mexicanus,XP_007256132.3,AGT,Mus_musculus,NP_031454.4,AGT,6.63e-37,155.0,4.31e-37,155.0
105,AI467606,NP_849232.1,,,,,,,,,,
106,AICDA,NP_033775.1,Astyanax_mexicanus,XP_022529054.2,AICDA,Mus_musculus,NP_033775.1,AICDA,1.5699999999999999e-68,259.0,8.82e-69,259.0
107,AIRE,NP_001258484.1,Astyanax_mexicanus,XP_049322875.1,AIRE,Mus_musculus,NP_001258484.1,AIRE,1.16e-66,254.0,6.96e-67,254.0
108,AKAP12,NP_112462.1,Astyanax_mexicanus,XP_022518862.2,AKAP12B,Mus_musculus,NP_112462.1,AKAP12,2.4100000000000002e-70,268.0,1.47e-70,268.0
109,AKAP12,NP_112462.1,Astyanax_mexicanus,XP_022518869.2,AKAP12B,Mus_musculus,NP_112462.1,AKAP12,2.3500000000000002e-70,268.0,1.47e-70,268.0
110,AKIP1,NP_065641.1,Astyanax_mexicanus,XP_015461272.3,AKIP1,Mus_musculus,NP_065641.1,AKIP1,1.97e-09,62.4,1.44e-09,62.4
111,AKIP1,NP_065641.1,Astyanax_mexicanus,XP_015461273.3,AKIP1,Mus_musculus,NP_065641.1,AKIP1,1.97e-09,62.4,1.44e-09,62.4
112,AKR1B7,NP_033861.2,Astyanax_mexicanus,XP_007230739.3,LOC125780396,Mus_musculus,NP_033861.2,AKR1B7,7.4e-123,440.0,4.5900000000000004e-123,440.0
113,AKR1B7,NP_033861.2,Astyanax_mexicanus,XP_022527461.2,AKR1B1.2,Mus_musculus,NP_033861.2,AKR1B7,1.44e-125,449.0,8.969999999999999e-126,449.0
114,AKR1B8,NP_032038.1,Astyanax_mexicanus,XP_007230739.3,LOC125780396,Mus_musculus,NP_032038.1,AKR1B8,1.85e-123,442.0,1.1500000000000001e-123,442.0
115,AKR1B8,NP_032038.1,Astyanax_mexicanus,XP_022527461.2,AKR1B1.2,Mus_musculus,NP_032038.1,AKR1B8,1.44e-125,449.0,8.969999999999999e-126,449.0
116,AKR1B8,NP_032038.1,Astyanax_mexicanus,XP_049330983.1,LOC103040561,Mus_musculus,NP_032038.1,AKR1B8,1.89e-120,432.0,1.18e-120,432.0
117,AKR1B8,NP_032038.1,Astyanax_mexicanus,XP_049330984.1,LOC103040561,Mus_musculus,NP_032038.1,AKR1B8,1.89e-120,432.0,1.18e-120,432.0
118,ALB,NP_033784.2,,,,,,,,,,
119,ALDH1A1,NP_001348434.1,,,,,,,,,,
120,ALDH1A7,NP_036051.1,,,,,,,,,,
121,ALOX5,NP_033792.1,Astyanax_mexicanus,XP_007240343.3,ALOX5A,Mus_musculus,NP_033792.1,ALOX5,0.0,1065.0,0.0,1065.0
122,ALPL,XP_017175413.1,Astyanax_mexicanus,XP_022538195.2,ALPL,Mus_musculus,XP_017175413.1,ALPL,7.93e-211,733.0,4.79e-211,733.0
123,ALPL,XP_017175413.1,Astyanax_mexicanus,XP_049327776.1,ALPL,Mus_musculus,XP_017175413.1,ALPL,7.93e-211,733.0,4.79e-211,733.0
124,ALX1,NP_001408403.1,Astyanax_mexicanus,XP_007249311.2,ALX1,Mus_musculus,NP_001408403.1,ALX1,2.4900000000000002e-87,322.0,1.82e-87,322.0
125,ALX3,NP_031467.1,Astyanax_mexicanus,XP_022526771.2,ALX3,Mus_musculus,NP_031467.1,ALX3,5.3999999999999995e-62,238.0,3.1999999999999998e-62,238.0
126,ALX4,NP_031468.1,Astyanax_mexicanus,XP_007232960.1,ALX4A,Mus_musculus,NP_031468.1,ALX4,4.2800000000000004e-123,441.0,2.9000000000000004e-123,441.0
127,AMELX,NP_001075447.1,,,,,,,,,,
128,AMH,NP_031471.2,,,,,,,,,,
129,AMPD1,NP_001028475.2,Astyanax_mexicanus,XP_022526324.2,AMPD1,Mus_musculus,NP_001028475.2,AMPD1,0.0,1060.0,0.0,1060.0
130,AMPD1,NP_001028475.2,Astyanax_mexicanus,XP_049342175.1,AMPD1,Mus_musculus,NP_001028475.2,AMPD1,0.0,1056.0,0.0,1056.0
131,ANGPT2,NP_031452.2,Astyanax_mexicanus,XP_022540932.2,ANGPT2A,Mus_musculus,NP_031452.2,ANGPT2,9.600000000000001e-144,510.0,6.110000000000001e-144,510.0
132,ANGPTL2,NP_036053.2,Astyanax_mexicanus,XP_007248039.3,ANGPTL2B,Mus_musculus,NP_036053.2,ANGPTL2,9.36e-212,736.0,5.630000000000001e-212,736.0
133,ANGPTL2,NP_036053.2,Astyanax_mexicanus,XP_015460995.3,ANGPTL2B,Mus_musculus,NP_036053.2,ANGPTL2,9.36e-212,736.0,5.630000000000001e-212,736.0
134,ANGPTL2,NP_036053.2,Astyanax_mexicanus,XP_049330775.1,ANGPTL2A,Mus_musculus,NP_036053.2,ANGPTL2,4.1099999999999995e-205,714.0,2.3599999999999997e-205,714.0
135,ANKRD1,NP_038496.2,Astyanax_mexicanus,XP_049319898.1,ANKRD1A,Mus_musculus,NP_038496.2,ANKRD1,9.85e-20,97.4,6.3e-20,97.4
136,ANKRD2,NP_064417.2,,,,,,,,,,
137,ANPEP,XP_036008613.1,Astyanax_mexicanus,XP_022525607.2,LOC103045941,Mus_musculus,XP_036008613.1,ANPEP,0.0,1069.0,0.0,1069.0
138,ANPEP,XP_036008613.1,Astyanax_mexicanus,XP_022525610.1,ANPEPA,Mus_musculus,XP_036008613.1,ANPEP,0.0,1080.0,0.0,1080.0
139,ANPEP,XP_036008613.1,Astyanax_mexicanus,XP_022539693.2,ANPEPB.1,Mus_musculus,XP_036008613.1,ANPEP,0.0,1118.0,0.0,1118.0
140,APAF1,XP_036011453.1,Astyanax_mexicanus,XP_007245039.3,APAF1,Mus_musculus,XP_036011453.1,APAF1,0.0,1162.0,0.0,1162.0
141,APAF1,XP_036011453.1,Astyanax_mexicanus,XP_049330251.1,APAF1,Mus_musculus,XP_036011453.1,APAF1,0.0,1141.0,0.0,1141.0
142,APBB1,NP_001398887.1,Astyanax_mexicanus,XP_022537011.2,APBB1,Mus_musculus,NP_001398887.1,APBB1,2.2e-179,629.0,1.3100000000000002e-179,629.0
143,APBB1,NP_001398887.1,Astyanax_mexicanus,XP_049324732.1,APBB1,Mus_musculus,NP_001398887.1,APBB1,2.2e-179,629.0,1.3100000000000002e-179,629.0
144,APLP1,NP_031493.2,Astyanax_mexicanus,XP_007232595.2,APLP1,Mus_musculus,NP_031493.2,APLP1,2.35e-139,496.0,1.32e-139,496.0
145,APLP1,NP_031493.2,Astyanax_mexicanus,XP_007232596.2,APLP1,Mus_musculus,NP_031493.2,APLP1,2.35e-139,496.0,1.32e-139,496.0
146,APOA1,NP_033822.2,,,,,,,,,,
147,APOA4,NP_031494.2,,,,,,,,,,
148,APOA5,NP_001335024.1,,,,,,,,,,
149,APOC3,NP_001276684.1,,,,,,,,,,
150,APOE,NP_033826.2,,,,,,,,,,
151,AR,NP_038504.1,,,,,,,,,,
152,AREG,NP_033834.1,,,,,,,,,,
153,ARID3A,NP_001275554.1,Astyanax_mexicanus,XP_007240305.1,ARID3A,Mus_musculus,NP_001275554.1,ARID3A,1.06e-118,427.0,7.159999999999999e-119,427.0
154,ARID3B,NP_001366282.1,Astyanax_mexicanus,XP_007246657.2,ARID3B,Mus_musculus,NP_001366282.1,ARID3B,7.22e-95,348.0,4.0899999999999994e-95,348.0
155,ARID5B,NP_076087.2,Astyanax_mexicanus,XP_022524920.2,ARID5B,Mus_musculus,NP_076087.2,ARID5B,6.31e-281,967.0,3.93e-281,967.0
156,ARL6IP5,NP_075368.1,Astyanax_mexicanus,XP_049319128.1,ARL6IP5B,Mus_musculus,NP_075368.1,ARL6IP5,5.58e-65,247.0,3.4300000000000003e-65,247.0
157,ARNT,NP_001032826.1,,,,,,,,,,
158,ARR3,XP_006527928.1,,,,,,,,,,
159,ART1,XP_036008500.1,Astyanax_mexicanus,XP_007253792.3,LOC103045155,Mus_musculus,XP_036008500.1,ART1,5.54e-26,118.0,4.04e-26,118.0
160,ARX,NP_031518.2,Astyanax_mexicanus,XP_015462112.3,ARXA,Mus_musculus,NP_031518.2,ARX,1.79e-118,426.0,1.34e-118,426.0
161,ASAH1,XP_017168016.1,Astyanax_mexicanus,XP_007232647.3,ASAH1B,Mus_musculus,XP_017168016.1,ASAH1,2.32e-151,535.0,1.45e-151,535.0
162,ASCL1,NP_032579.2,Astyanax_mexicanus,XP_007259060.2,ASCL1A,Mus_musculus,NP_032579.2,ASCL1,4.96e-61,234.0,3.45e-61,234.0
163,ASCL2,NP_032580.2,,,,,,,,,,
164,ASH1L,XP_030108328.1,Astyanax_mexicanus,XP_007230635.3,ASH1L,Mus_musculus,XP_030108328.1,ASH1L,0.0,1828.0,0.0,1828.0
165,ASH1L,XP_030108328.1,Astyanax_mexicanus,XP_022538731.2,ASH1L,Mus_musculus,XP_030108328.1,ASH1L,0.0,1828.0,0.0,1828.0
166,ASXL1,NP_001035028.1,Astyanax_mexicanus,XP_007246903.3,ASXL1,Mus_musculus,NP_001035028.1,ASXL1,1.8e-134,481.0,9.999999999999999e-135,481.0
167,ASXL1,NP_001035028.1,Astyanax_mexicanus,XP_007246905.3,ASXL1,Mus_musculus,NP_001035028.1,ASXL1,2.94e-127,457.0,1.68e-127,457.0
168,ATF2,XP_030102713.1,,,,,,,,,,
169,ATF3,NP_031524.2,Astyanax_mexicanus,XP_007245534.1,ATF3,Mus_musculus,NP_031524.2,ATF3,1.64e-53,209.0,9.079999999999999e-54,209.0
170,ATF6,XP_011237098.1,Astyanax_mexicanus,XP_049336600.1,ATF6,Mus_musculus,XP_011237098.1,ATF6,2.05e-117,423.0,1.25e-117,423.0
171,ATM,NP_031525.3,Astyanax_mexicanus,XP_022534729.2,ATM,Mus_musculus,NP_031525.3,ATM,0.0,3114.0,0.0,3114.0
