,Ast,a,a2,Homo,b  ,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
13746,Astyanax_mexicanus,XP_007241243.3,ABCF2A,Homo_sapiens,NP_005683.2,ABCF2-H2BK1,0.0,1038.0,0.0,1038.0
3236,Astyanax_mexicanus,XP_007230382.1,ABCF2B,Homo_sapiens,NP_005683.2,ABCF2-H2BK1,0.0,1044.0,0.0,1044.0
30303,Astyanax_mexicanus,XP_007254665.1,ABCF3,Homo_sapiens,NP_060828.2,ABCF3,0.0,1054.0,0.0,1054.0
67659,Astyanax_mexicanus,XP_022531095.1,ABCG1,Homo_sapiens,NP_058198.2,ABCG1,0.0,1140.0,0.0,1140.0
46357,Astyanax_mexicanus,XP_022520165.1,ABCG2A,Homo_sapiens,NP_001335914.1,ABCG2,1.94e-218,759.0,8.919999999999999e-219,759.0
7424,Astyanax_mexicanus,XP_007234374.2,ABCG2D,Homo_sapiens,NP_001335914.1,ABCG2,1.48e-223,776.0,6.8e-224,776.0
38351,Astyanax_mexicanus,XP_007260569.2,ABCG4A,Homo_sapiens,NP_001135977.1,ABCG4,1.72e-289,995.0,7.96e-290,995.0
31946,Astyanax_mexicanus,XP_007255828.2,ABCG5,Homo_sapiens,NP_071881.1,ABCG5,2.0300000000000002e-212,739.0,9.290000000000001e-213,739.0
31944,Astyanax_mexicanus,XP_007255827.2,ABCG8,Homo_sapiens,NP_071882.1,ABCG8,1.42e-232,806.0,6.51e-233,806.0
98814,Astyanax_mexicanus,XP_049321541.1,ABHD10A,Homo_sapiens,NP_060864.1,ABHD10,5.33e-102,371.0,2.63e-102,371.0
22628,Astyanax_mexicanus,XP_007249042.2,ABHD10B,Homo_sapiens,NP_060864.1,ABHD10,2.77e-99,362.0,1.34e-99,362.0
29723,Astyanax_mexicanus,XP_007254244.2,ABHD11,Homo_sapiens,NP_683710.2,ABHD11,5.55e-80,298.0,2.48e-80,298.0
15930,Astyanax_mexicanus,XP_007244700.3,ABHD12,Homo_sapiens,NP_001035937.1,ABHD12,3.74e-152,538.0,1.83e-152,538.0
501,Astyanax_mexicanus,XP_007228003.1,ABHD13,Homo_sapiens,NP_116248.2,ABHD13,5.0000000000000006e-160,564.0,2.3000000000000002e-160,564.0
7580,Astyanax_mexicanus,XP_007234506.1,ABHD14A,Homo_sapiens,NP_056222.2,ABHD14A,1.07e-61,237.0,5.06e-62,237.0
10742,Astyanax_mexicanus,XP_007237752.1,ABHD14B,Homo_sapiens,NP_001139786.1,ABHD14B,6.79e-64,244.0,3.07e-64,244.0
17980,Astyanax_mexicanus,XP_007245989.3,ABHD15A,Homo_sapiens,NP_937790.2,ABHD15,4.25e-111,402.0,1.87e-111,402.0
66401,Astyanax_mexicanus,XP_022530045.1,ABHD16A,Homo_sapiens,NP_066983.1,ABHD16A,9.349999999999999e-229,793.0,4.42e-229,793.0
58680,Astyanax_mexicanus,XP_022526578.2,ABHD17AB,Homo_sapiens,NP_001123583.1,ABHD17A,3.35e-149,528.0,1.46e-149,528.0
12340,Astyanax_mexicanus,XP_007239719.1,ABHD17B,Homo_sapiens,NP_001020951.1,ABHD17B,1.67e-162,572.0,7.690000000000001e-163,572.0
98915,Astyanax_mexicanus,XP_049321618.1,ABHD17C,Homo_sapiens,NP_067037.1,ABHD17C,9.16e-154,543.0,4.72e-154,543.0
17607,Astyanax_mexicanus,XP_007245666.3,ABHD18,Homo_sapiens,NP_001345380.1,ABHD18,6.869999999999999e-188,657.0,3.1999999999999996e-188,657.0
38010,Astyanax_mexicanus,XP_007260290.3,ABHD2A,Homo_sapiens,NP_001403341.1,ABHD2,5.9e-200,697.0,2.67e-200,697.0
149217,Astyanax_mexicanus,XP_049340159.1,ABHD2B,Homo_sapiens,NP_001403341.1,ABHD2,4.92e-193,674.0,2.24e-193,674.0
88317,Astyanax_mexicanus,XP_022541922.2,ABHD3,Homo_sapiens,NP_612213.2,ABHD3,1.6800000000000002e-163,576.0,6.8200000000000006e-164,576.0
74803,Astyanax_mexicanus,XP_022534621.2,ABHD4,Homo_sapiens,NP_071343.2,ABHD4,4.7600000000000003e-116,418.0,2.09e-116,418.0
24802,Astyanax_mexicanus,XP_007250483.3,ABHD5A,Homo_sapiens,NP_001342115.1,ABHD5,1.55e-136,486.0,7.2099999999999995e-137,486.0
117448,Astyanax_mexicanus,XP_049327696.1,ABHD6A,Homo_sapiens,NP_001307055.1,ABHD6,2.32e-141,502.0,1.06e-141,502.0
8794,Astyanax_mexicanus,XP_007235622.2,ABHD8A,Homo_sapiens,NP_078803.4,ABHD8,1.06e-164,580.0,4.58e-165,580.0
13043,Astyanax_mexicanus,XP_007240299.2,ABHD8B,Homo_sapiens,NP_078803.4,ABHD8,5.42e-159,561.0,2.4e-159,561.0
44777,Astyanax_mexicanus,XP_022518437.2,ABI1A,Homo_sapiens,NP_001171590.1,ABI1,2.06e-204,712.0,9.19e-205,712.0
73137,Astyanax_mexicanus,XP_022533517.1,ABI1B,Homo_sapiens,NP_001397838.1,ABI1,2.86e-190,665.0,1.2799999999999999e-190,665.0
77679,Astyanax_mexicanus,XP_022535988.1,ABI2A,Homo_sapiens,XP_054196077.1,ABI2,2.14e-195,682.0,9.87e-196,682.0
22341,Astyanax_mexicanus,XP_007248925.2,ABI2B,Homo_sapiens,XP_054196077.1,ABI2,9.08e-192,670.0,4.04e-192,670.0
115551,Astyanax_mexicanus,XP_049327225.1,ABI3BPB,Homo_sapiens,XP_054202059.1,ABI3BP,2.06e-158,560.0,1.15e-158,560.0
84087,Astyanax_mexicanus,XP_022538937.1,ABITRAM,Homo_sapiens,NP_060302.1,ABITRAM,2.7399999999999998e-67,255.0,1.29e-67,255.0
29513,Astyanax_mexicanus,XP_007254055.2,ABL1,Homo_sapiens,NP_009297.2,ABL1,0.0,1378.0,0.0,1378.0
58972,Astyanax_mexicanus,XP_022526757.2,ABL2,Homo_sapiens,NP_001161708.1,ABL2,0.0,1432.0,0.0,1432.0
142140,Astyanax_mexicanus,XP_049337230.1,ABLIM1A,Homo_sapiens,NP_002304.3,ABLIM1,0.0,1029.0,0.0,1029.0
95449,Astyanax_mexicanus,XP_049320556.1,ABLIM1B,Homo_sapiens,XP_054221895.1,ABLIM1,2.5899999999999998e-287,988.0,1.2e-287,988.0
95362,Astyanax_mexicanus,XP_049320538.1,ABLIM2,Homo_sapiens,XP_054207041.1,ABLIM2,4.16e-221,768.0,1.75e-221,768.0
148315,Astyanax_mexicanus,XP_049339846.1,ABLIM3,Homo_sapiens,NP_001287944.1,ABLIM3,0.0,1050.0,0.0,1050.0
78026,Astyanax_mexicanus,XP_022536050.1,ABR,Homo_sapiens,NP_001309770.1,ABR,0.0,1407.0,0.0,1407.0
17814,Astyanax_mexicanus,XP_007245821.2,ABRAB,Homo_sapiens,NP_631905.1,ABRA,8.21e-81,301.0,3.86e-81,301.0
17309,Astyanax_mexicanus,XP_007245508.1,ABRACL,Homo_sapiens,NP_067066.1,ABRACL,2.3300000000000002e-31,135.0,7.68e-32,135.0
49853,Astyanax_mexicanus,XP_022522232.2,ABRAXAS1,Homo_sapiens,NP_620775.2,ABRAXAS1,2.4e-66,253.0,1.1700000000000001e-66,253.0
91297,Astyanax_mexicanus,XP_049319407.1,ABRAXAS2,Homo_sapiens,NP_115558.3,ABRAXAS2,1.13e-115,417.0,5.06e-116,417.0
57133,Astyanax_mexicanus,XP_022525906.2,ABT1,Homo_sapiens,NP_037507.1,ABT1,1.68e-50,200.0,6.99e-51,200.0
58721,Astyanax_mexicanus,XP_022526594.1,ABTB1,Homo_sapiens,NP_742024.1,ABTB1,5.32e-196,684.0,2.4599999999999997e-196,684.0
60935,Astyanax_mexicanus,XP_022527835.2,ABTB2B,Homo_sapiens,NP_665803.2,ABTB2,0.0,1323.0,0.0,1323.0
28995,Astyanax_mexicanus,XP_007253620.2,ACAA1,Homo_sapiens,NP_001598.1,ACAA1,2.27e-171,602.0,1.05e-171,602.0
57920,Astyanax_mexicanus,XP_022526269.2,ACAA2,Homo_sapiens,NP_006102.2,ACAA2,1.68e-173,609.0,7.71e-174,609.0
128043,Astyanax_mexicanus,XP_049331266.1,ACACA,Homo_sapiens,NP_942131.1,ACACA,0.0,4072.0,0.0,4072.0
111488,Astyanax_mexicanus,XP_049326198.1,ACACB,Homo_sapiens,NP_001084.3,ACACB,0.0,3552.0,0.0,3552.0
91364,Astyanax_mexicanus,XP_049319462.1,ACAD11,Homo_sapiens,NP_115545.3,ACAD11,2.57e-290,998.0,1.2e-290,998.0
66953,Astyanax_mexicanus,XP_022530472.2,ACAD8,Homo_sapiens,NP_055199.1,ACAD8,4.909999999999999e-190,664.0,2.2399999999999998e-190,664.0
82910,Astyanax_mexicanus,XP_022538177.1,ACAD9,Homo_sapiens,NP_054768.2,ACAD9,5.58e-254,877.0,2.5399999999999998e-254,877.0
88742,Astyanax_mexicanus,XP_022542719.2,ACADL,Homo_sapiens,NP_001599.1,ACADL,1.45e-175,616.0,6.53e-176,616.0
16927,Astyanax_mexicanus,XP_007245171.1,ACADM,Homo_sapiens,NP_000007.1,ACADM,5.75e-200,697.0,2.64e-200,697.0
46512,Astyanax_mexicanus,XP_022520311.1,ACADS,Homo_sapiens,NP_000008.1,ACADS,5.610000000000001e-169,594.0,2.62e-169,594.0
49447,Astyanax_mexicanus,XP_022521804.2,ACADSB,Homo_sapiens,NP_001600.1,ACADSB,3.81e-167,588.0,1.7600000000000002e-167,588.0
14124,Astyanax_mexicanus,XP_007242066.2,ACADVL,Homo_sapiens,NP_000009.1,ACADVL,2.8600000000000002e-257,888.0,1.31e-257,888.0
73935,Astyanax_mexicanus,XP_022534188.1,ACAP1,Homo_sapiens,NP_055531.1,ACAP1,4.37e-221,768.0,1.9699999999999998e-221,768.0
71597,Astyanax_mexicanus,XP_022532756.2,ACAP3A,Homo_sapiens,NP_085152.2,ACAP3,0.0,1115.0,0.0,1115.0
83395,Astyanax_mexicanus,XP_022538467.1,ACAP3B,Homo_sapiens,NP_085152.2,ACAP3,0.0,1104.0,0.0,1104.0
16029,Astyanax_mexicanus,XP_007244797.3,ACAT1,Homo_sapiens,NP_000010.1,ACAT1,6.73e-179,627.0,3.16e-179,627.0
38731,Astyanax_mexicanus,XP_007260922.2,ACAT2,Homo_sapiens,NP_005882.2,ACAT2,3.58e-164,578.0,1.6600000000000001e-164,578.0
38719,Astyanax_mexicanus,XP_007260908.3,ACBD3,Homo_sapiens,NP_073572.2,ACBD3,6.56e-153,541.0,3.03e-153,541.0
139019,Astyanax_mexicanus,XP_049336210.1,ACBD5A,Homo_sapiens,NP_001339500.1,ACBD5,2.7300000000000002e-87,323.0,1.29e-87,323.0
25236,Astyanax_mexicanus,XP_007250684.3,ACBD5B,Homo_sapiens,XP_054223109.1,ACBD5,4.1099999999999995e-40,166.0,1.86e-40,166.0
58624,Astyanax_mexicanus,XP_022526554.1,ACBD6,Homo_sapiens,NP_115736.1,ACBD6,1.0899999999999999e-55,217.0,5.53e-56,217.0
95374,Astyanax_mexicanus,XP_049320539.1,ACBD7,Homo_sapiens,NP_001034933.1,ACBD7,1.1900000000000001e-26,119.0,5.4600000000000006e-27,119.0
55185,Astyanax_mexicanus,XP_022525062.2,ACE,Homo_sapiens,NP_000780.1,ACE,0.0,1793.0,0.0,1793.0
52537,Astyanax_mexicanus,XP_022523929.2,ACE2,Homo_sapiens,NP_001358344.1,ACE2,7.23e-282,970.0,3.3299999999999997e-282,970.0
17860,Astyanax_mexicanus,XP_007245854.3,ACER1,Homo_sapiens,NP_597999.1,ACER1,4.0300000000000004e-79,295.0,1.71e-79,295.0
31022,Astyanax_mexicanus,XP_007255252.1,ACER2,Homo_sapiens,NP_001010887.2,ACER2,4.92e-136,484.0,2.2699999999999998e-136,484.0
16031,Astyanax_mexicanus,XP_007244802.1,ACER3,Homo_sapiens,NP_060837.3,ACER3,1.59e-100,366.0,7.33e-101,366.0
73788,Astyanax_mexicanus,XP_022534078.2,ACHE,Homo_sapiens,NP_000656.1,ACHE,2.22e-225,782.0,9.96e-226,782.0
24609,Astyanax_mexicanus,XP_007250278.3,ACIN1B,Homo_sapiens,XP_054231585.1,ACIN1,5.42e-92,340.0,2.47e-92,340.0
35121,Astyanax_mexicanus,XP_007258536.3,ACKR3B,Homo_sapiens,NP_064707.1,ACKR3,6.06e-117,421.0,2.76e-117,421.0
5578,Astyanax_mexicanus,XP_007232575.3,ACKR4A,Homo_sapiens,NP_057641.1,ACKR4,7.819999999999999e-84,311.0,3.46e-84,311.0
32322,Astyanax_mexicanus,XP_007256318.3,ACLYA,Homo_sapiens,NP_001290204.1,ACLY,0.0,1948.0,0.0,1948.0
5481,Astyanax_mexicanus,XP_007232480.3,ACMSD,Homo_sapiens,NP_612199.2,ACMSD,7.61e-165,580.0,3.4999999999999997e-165,580.0
31017,Astyanax_mexicanus,XP_007255249.3,ACO1,Homo_sapiens,NP_001265281.1,ACO1,0.0,1511.0,0.0,1511.0
25934,Astyanax_mexicanus,XP_007251336.1,ACO2,Homo_sapiens,NP_001089.1,ACO2,0.0,1331.0,0.0,1331.0
26490,Astyanax_mexicanus,XP_007251811.3,ACOD1,Homo_sapiens,NP_001245335.1,ACOD1,3.71e-154,545.0,1.72e-154,545.0
74121,Astyanax_mexicanus,XP_022534331.2,ACOT11A,Homo_sapiens,NP_671517.1,ACOT11,3.79e-206,718.0,1.78e-206,718.0
12273,Astyanax_mexicanus,XP_007239659.3,ACOT11B,Homo_sapiens,NP_671517.1,ACOT11,9.489999999999999e-207,720.0,4.4399999999999995e-207,720.0
84032,Astyanax_mexicanus,XP_022538914.1,ACOT13,Homo_sapiens,NP_060943.1,ACOT13,7.870000000000001e-51,200.0,3.6e-51,200.0
148013,Astyanax_mexicanus,XP_049339738.1,ACOT20,Homo_sapiens,NP_006812.3,ACOT2,8.69e-118,424.0,4.6e-118,424.0
21120,Astyanax_mexicanus,XP_007248003.3,ACOT7,Homo_sapiens,NP_863654.1,ACOT7,1.46e-142,506.0,7.49e-143,506.0
26114,Astyanax_mexicanus,XP_007251445.1,ACOT8,Homo_sapiens,NP_005460.2,ACOT8,6.320000000000001e-124,444.0,2.9e-124,444.0
68636,Astyanax_mexicanus,XP_022531316.1,ACOX1,Homo_sapiens,NP_004026.2,ACOX1,2.9599999999999996e-282,971.0,1.36e-282,971.0
21241,Astyanax_mexicanus,XP_007248073.3,ACOX3,Homo_sapiens,NP_001362712.1,ACOX3,1.09e-271,936.0,4.97e-272,936.0
87261,Astyanax_mexicanus,XP_022540731.2,ACOXL,Homo_sapiens,XP_054198772.1,ACOXL,2.68e-235,815.0,1.15e-235,815.0
12572,Astyanax_mexicanus,XP_007240018.2,ACP1,Homo_sapiens,NP_004291.1,ACP1,7.470000000000001e-72,270.0,3.4400000000000004e-72,270.0
16472,Astyanax_mexicanus,XP_007244987.3,ACP2,Homo_sapiens,NP_001601.1,ACP2,1.57e-129,463.0,7.33e-130,463.0
33467,Astyanax_mexicanus,XP_007257220.1,ACP5A,Homo_sapiens,NP_001104504.1,ACP5,1.52e-105,383.0,6.81e-106,383.0
48448,Astyanax_mexicanus,XP_022521377.1,ACP6,Homo_sapiens,NP_057445.4,ACP6,4.23e-96,352.0,1.93e-96,352.0
34481,Astyanax_mexicanus,XP_007257991.1,ACP7,Homo_sapiens,NP_001004318.2,ACP7,1.4e-150,533.0,6.43e-151,533.0
41300,Astyanax_mexicanus,XP_015460610.3,ACSBG1,Homo_sapiens,XP_054233536.1,ACSBG1,1.1e-240,833.0,5.0599999999999996e-241,833.0
57212,Astyanax_mexicanus,XP_022525932.2,ACSBG2,Homo_sapiens,XP_054178224.1,ACSBG2,4.4e-218,758.0,1.81e-218,758.0
36778,Astyanax_mexicanus,XP_007259399.2,ACSF2,Homo_sapiens,NP_079425.3,ACSF2,8.65e-194,677.0,4.0500000000000005e-194,677.0
47423,Astyanax_mexicanus,XP_022520876.2,ACSF3,Homo_sapiens,NP_001120686.1,ACSF3,2.62e-192,672.0,1.21e-192,672.0
39215,Astyanax_mexicanus,XP_015456654.3,ACSL1A,Homo_sapiens,NP_001273637.1,ACSL1,0.0,1046.0,0.0,1046.0
75046,Astyanax_mexicanus,XP_022534716.2,ACSL3B,Homo_sapiens,NP_001341087.1,ACSL3,0.0,1077.0,0.0,1077.0
20225,Astyanax_mexicanus,XP_007247481.3,ACSL4A,Homo_sapiens,NP_001305438.1,ACSL4,0.0,1101.0,0.0,1101.0
43747,Astyanax_mexicanus,XP_015463825.3,ACSL5,Homo_sapiens,NP_057318.2,ACSL5,7.66e-283,973.0,3.82e-283,973.0
102402,Astyanax_mexicanus,XP_049322722.1,ACSL6,Homo_sapiens,NP_001392408.1,ACSL6,0.0,1115.0,0.0,1115.0
63863,Astyanax_mexicanus,XP_022528867.2,ACSM3,Homo_sapiens,NP_005613.2,ACSM3,5.0399999999999996e-229,794.0,2.32e-229,794.0
92064,Astyanax_mexicanus,XP_049319749.1,ACSS1,Homo_sapiens,NP_115890.2,ACSS1,4.94e-281,967.0,2.28e-281,967.0
45638,Astyanax_mexicanus,XP_022519238.2,ACSS2,Homo_sapiens,NP_001070020.2,ACSS2,0.0,1094.0,0.0,1094.0
122830,Astyanax_mexicanus,XP_049329866.1,ACSS3,Homo_sapiens,NP_078836.1,ACSS3,1.0800000000000001e-271,936.0,4.87e-272,936.0
11858,Astyanax_mexicanus,XP_007238991.1,ACTA1A,Homo_sapiens,NP_001393411.1,ACTC1,3.4799999999999997e-220,764.0,1.5999999999999998e-220,764.0
21911,Astyanax_mexicanus,XP_007248613.1,ACTA1B,Homo_sapiens,NP_001393411.1,ACTC1,6.97e-220,763.0,3.2099999999999997e-220,763.0
46656,Astyanax_mexicanus,XP_022520514.1,ACTA2,Homo_sapiens,NP_001135417.1,ACTA2,6.97e-220,763.0,3.2099999999999997e-220,763.0
38073,Astyanax_mexicanus,XP_007260329.1,ACTB1,Homo_sapiens,NP_001186883.1,ACTG1,1.7700000000000001e-217,755.0,8.17e-218,755.0
20932,Astyanax_mexicanus,XP_007247883.1,ACTB2,Homo_sapiens,NP_001092.1,ACTB,8.870000000000001e-218,756.0,4.08e-218,756.0
8450,Astyanax_mexicanus,XP_007235317.1,ACTC1A,Homo_sapiens,NP_001393411.1,ACTC1,1.39e-219,762.0,6.41e-220,762.0
43601,Astyanax_mexicanus,XP_015463524.1,ACTC1B,Homo_sapiens,NP_001393411.1,ACTC1,6.97e-220,763.0,3.2099999999999997e-220,763.0
28147,Astyanax_mexicanus,XP_007252999.1,ACTC2,Homo_sapiens,NP_001393411.1,ACTC1,3.4799999999999997e-220,764.0,1.5999999999999998e-220,764.0
85038,Astyanax_mexicanus,XP_022539577.1,ACTE1,Homo_sapiens,NP_001393411.1,ACTC1,7.13e-217,753.0,3.2800000000000002e-217,753.0
87726,Astyanax_mexicanus,XP_022541041.1,ACTL6A,Homo_sapiens,NP_004292.1,ACTL6A,4.51e-233,807.0,2.0699999999999997e-233,807.0
157472,Astyanax_mexicanus,XP_049342476.1,ACTL6B,Homo_sapiens,NP_057272.1,ACTL6B,2.52e-218,758.0,1.16e-218,758.0
20504,Astyanax_mexicanus,XP_007247637.3,ACTN1,Homo_sapiens,NP_001123476.1,ACTN1,0.0,1657.0,0.0,1657.0
15899,Astyanax_mexicanus,XP_007244658.2,ACTN2B,Homo_sapiens,NP_001094.1,ACTN2,0.0,1518.0,0.0,1518.0
100596,Astyanax_mexicanus,XP_049322151.1,ACTN3A,Homo_sapiens,NP_001095.2,ACTN3,0.0,1480.0,0.0,1480.0
145642,Astyanax_mexicanus,XP_049339057.1,ACTN3B,Homo_sapiens,NP_001095.2,ACTN3,0.0,1513.0,0.0,1513.0
52712,Astyanax_mexicanus,XP_022524069.1,ACTN4,Homo_sapiens,NP_004915.2,ACTN4,0.0,1578.0,0.0,1578.0
