Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
ALPH,NP_651701.1,"[('XP_007235711.2', 'PPM1BB'), ('XP_007255830.2', 'PPM1BA'), ('XP_022540680.1', 'PPM1BA'), ('XP_022540681.1', 'PPM1BA'), ('XP_007255831.2', 'PPM1BA'), ('XP_007235710.3', 'PPM1BB'), ('XP_049337235.1', 'PPM1BA')]",23
ALPHA-CAT,NP_524219.1,"[('XP_049328267.1', 'CTNNA2'), ('XP_049328268.1', 'CTNNA2')]",24
ALPHA-SPEC,NP_476739.1,"[('XP_049322581.1', 'SPTAN1'), ('XP_049322580.1', 'SPTAN1'), ('XP_049322577.1', 'SPTAN1'), ('XP_049322578.1', 'SPTAN1'), ('XP_049322575.1', 'SPTAN1'), ('XP_049322579.1', 'SPTAN1'), ('XP_049322576.1', 'SPTAN1'), ('XP_049322571.1', 'SPTAN1'), ('XP_049322574.1', 'SPTAN1'), ('XP_049322573.1', 'SPTAN1'), ('XP_007233972.3', 'SPTAN1'), ('XP_007233973.3', 'SPTAN1'), ('XP_022532194.2', 'SPTAN1')]",25
ALPHACOP,NP_477395.1,"[('XP_007234429.2', 'COPA')]",26
ALPHATUB84B,NP_476772.1,"[('XP_022532807.1', 'TUBA1A'), ('XP_022538156.1', 'LOC103046666'), ('XP_022538155.1', 'LOC111195381'), ('XP_049342330.1', 'LOC111194075'), ('XP_007244243.1', 'LOC103034569'), ('XP_022538157.2', 'LOC111195382'), ('XP_007235803.2', 'LOC103037973'), ('XP_049342328.1', 'LOC103037973'), ('XP_022531090.1', 'LOC103034236'), ('XP_007259997.2', 'LOC103038315'), ('XP_015456352.1', 'TUBA5'), ('XP_007259998.3', 'LOC103038315'), ('XP_049325672.1', 'LOC125785677'), ('XP_007234880.2', 'TUBA8L2'), ('XP_049342023.1', 'TUBA5'), ('XP_007259999.2', 'LOC103038928')]",27
AMON,NP_477318.1,"[('XP_007238598.2', 'PCSK2')]",28
ANCE,NP_477046.1,"[('XP_022525063.2', 'ACE')]",29
AOP,NP_722766.1,"[('XP_007239065.2', 'ETV6'), ('XP_007239064.2', 'ETV6'), ('XP_007239063.2', 'ETV6'), ('XP_007239062.2', 'ETV6')]",30
AP,NP_001163058.1,"[('XP_049342205.1', 'LHX2B'), ('XP_007229184.1', 'LHX2B')]",31
AP-1GAMMA,NP_788891.2,"[('XP_022525811.1', 'AP1G1')]",32
AP-1SIGMA,NP_651198.1,"[('XP_007237542.1', 'LOC103030203'), ('XP_007237545.1', 'LOC103030203'), ('XP_007237544.1', 'LOC103030203'), ('XP_007237547.1', 'LOC103030203'), ('XP_007237546.1', 'LOC103030203'), ('XP_007237539.3', 'LOC103030203'), ('XP_049342377.1', 'LOC103030203'), ('XP_007237541.3', 'LOC103030203'), ('XP_049342379.1', 'LOC103030203'), ('XP_049342378.1', 'LOC103030203'), ('XP_022534071.1', 'AP1S1'), ('XP_022534072.1', 'AP1S1')]",33
APH-1,NP_608710.1,"[('XP_007241959.2', 'APH1B'), ('XP_022521280.1', 'ZGC:114200')]",34
APP,NP_001137936.1,"[('XP_022540516.2', 'ZDHHC14'), ('XP_007255490.3', 'ZDHHC14')]",35
APPL,NP_001245450.1,"[('XP_049325220.1', 'APPA'), ('XP_007227940.2', 'APPB'), ('XP_007227938.2', 'APPB')]",36
APRT,NP_476637.1,"[('XP_022520847.1', 'APRT')]",37
APS,NP_648421.1,"[('XP_022531274.1', 'NUDT3B'), ('XP_007250622.2', 'NUDT4A'), ('XP_007233746.1', 'NUDT4B'), ('XP_007250621.2', 'NUDT4A')]",38
ARG,NP_524875.1,"[('XP_022524862.2', 'ARG1'), ('XP_007247583.3', 'ARG2')]",39
ARI-1,NP_523399.1,"[('XP_049321767.1', 'ARIH1L'), ('XP_007249229.2', 'ARIH1')]",40
ARI-2,NP_477374.1,"[('XP_049341572.1', 'ARIH2'), ('XP_049341573.1', 'ARIH2')]",41
ARM,NP_476666.1,"[('XP_015461595.3', 'CTNNB1'), ('XP_007245655.1', 'LOC103034575'), ('XP_049336339.1', 'CTNNB1'), ('XP_049336340.1', 'CTNNB1'), ('XP_015461596.3', 'CTNNB1')]",42
ARR,NP_524737.2,"[('XP_049339875.1', 'LRP5')]",43
ARS2,NP_001260719.1,"[('XP_049321171.1', 'SRRT'), ('XP_022519945.2', 'SRRT')]",44
ART4,NP_649963.1,"[('XP_049323668.1', 'CARM1'), ('XP_049323667.1', 'CARM1')]",45
ARU,NP_722663.1,"[('XP_049330172.1', 'EPS8A'), ('XP_049330169.1', 'EPS8A'), ('XP_049330168.1', 'EPS8A'), ('XP_049330167.1', 'EPS8A'), ('XP_049330165.1', 'EPS8A'), ('XP_049330170.1', 'EPS8A'), ('XP_049330166.1', 'EPS8A'), ('XP_049330173.1', 'EPS8A'), ('XP_049330171.1', 'EPS8A')]",46
ASH2,NP_788735.1,"[('XP_022536591.1', 'ASH2L'), ('XP_022536592.1', 'ASH2L'), ('XP_022536590.1', 'ASH2L')]",47
ASPH,NP_001246357.1,"[('XP_022533929.2', 'UNM_HU7910')]",48
ASPP,NP_001261122.1,"[('XP_049338159.1', 'PPP1R13BB')]",49
ATE1,NP_477394.3,"[('XP_022540735.2', 'LOC103027203'), ('XP_022540736.2', 'LOC103027203'), ('XP_022540734.2', 'LOC103027203'), ('XP_022540733.2', 'LOC103027203'), ('XP_049337127.1', 'LOC103027203')]",50
ATF-2,NP_001033973.1,"[('XP_007254302.3', 'ATF7B')]",51
ATG1,NP_648601.1,"[('XP_007246057.2', 'ULK2'), ('XP_007246058.2', 'ULK2'), ('XP_007246109.3', 'ULK1B'), ('XP_049322350.1', 'ULK1B'), ('XP_049322349.1', 'ULK1B'), ('XP_049341864.1', 'ULK1A'), ('XP_007246107.3', 'ULK1B'), ('XP_007246106.3', 'ULK1B'), ('XP_049322348.1', 'ULK1B'), ('XP_007246108.3', 'ULK1B'), ('XP_049322351.1', 'ULK1B')]",52
ATG2,NP_647748.1,"[('XP_049319842.1', 'ATG2B'), ('XP_049319841.1', 'ATG2B'), ('XP_022539276.2', 'ATG2A')]",53
ATG5,NP_572390.1,"[('XP_022534810.1', 'ATG5'), ('XP_022534809.1', 'ATG5')]",54
ATG6,NP_651209.1,"[('XP_049320578.1', 'BECN1'), ('XP_049320579.1', 'BECN1'), ('XP_049320580.1', 'BECN1')]",55
ATG8A,NP_727447.1,"[('XP_015458704.1', 'GABARAPB'), ('XP_049340097.1', 'LOC103044705')]",56
ATG9,NP_001261023.1,"[('XP_049336441.1', 'ATG9B'), ('XP_022530968.1', 'ATG9A')]",57
ATL,NP_651274.1,"[('XP_049327003.1', 'LOC103043737'), ('XP_022520846.2', 'LOC103043737'), ('XP_007240423.3', 'ATL2'), ('XP_007248589.1', 'ATL1')]",58
ATMS,NP_649493.1,"[('XP_007234011.1', 'PAF1')]",59
ATPALPHA,NP_732572.1,"[('XP_049336677.1', 'ATP1A3B'), ('XP_007253156.2', 'ATP1A3A'), ('XP_022536277.2', 'ATP1A1B'), ('XP_049325214.1', 'LOC103026980'), ('XP_022530668.1', 'LOC103044221')]",60
ATPCL,NP_725514.2,"[('XP_007256318.3', 'ACLYA'), ('XP_049320397.1', 'LOC103023371'), ('XP_049320396.1', 'LOC103023371'), ('XP_049320395.1', 'LOC103023371'), ('XP_049320392.1', 'LOC103023371'), ('XP_049320393.1', 'LOC103023371')]",61
ATU,NP_524240.1,"[('XP_049339348.1', 'LEO1')]",62
AUX,NP_649438.1,"[('XP_049326829.1', 'GAK'), ('XP_049326830.1', 'GAK')]",63
AWH,NP_001261379.1,"[('XP_049334848.1', 'LHX8A'), ('XP_022534335.2', 'LHX8A'), ('XP_022534334.2', 'LHX8A'), ('XP_022536682.2', 'LHX6A'), ('XP_022536681.2', 'LHX6A'), ('XP_015459916.3', 'LHX6B'), ('XP_049324513.1', 'LHX6A')]",64
B,NP_476788.1,"[('XP_022532784.1', 'CSAD')]",65
B52,NP_788671.2,"[('XP_007251446.2', 'SRSF6B'), ('XP_007247648.1', 'SRSF5A')]",66
BABO,NP_476999.1,"[('XP_007233450.3', 'TGFBR1B'), ('XP_022532618.2', 'ACVR1BA')]",67
BAF,NP_609176.1,"[('XP_022531908.1', 'BANF1')]",68
BAI,NP_651323.3,"[('XP_007259925.1', 'TMED10')]",69
BAZ,NP_001285364.1,"[('XP_049334916.1', 'PARD3AB'), ('XP_049334915.1', 'PARD3AB')]",70
BCHS,NP_608968.2,"[('XP_022520535.2', 'WDFY3'), ('XP_022520537.2', 'WDFY3'), ('XP_022520534.2', 'WDFY3'), ('XP_022520533.2', 'WDFY3'), ('XP_022520536.2', 'WDFY3')]",71
BEG,NP_648950.1,"[('XP_007232343.3', 'MCAT'), ('XP_022526961.2', 'MCAT')]",72
BEL,NP_536783.1,"[('XP_007244294.2', 'DDX3XB'), ('XP_007244293.2', 'DDX3XB'), ('XP_007244292.2', 'DDX3XB'), ('XP_007244291.2', 'DDX3XB'), ('XP_007244290.2', 'DDX3XB'), ('XP_015460022.2', 'DDX3XB'), ('XP_007244289.2', 'DDX3XB'), ('XP_007244288.2', 'DDX3XB'), ('XP_007244287.2', 'DDX3XB'), ('XP_007244286.2', 'DDX3XB'), ('XP_049341122.1', 'DDX3XA'), ('XP_007227914.2', 'DDX3XA'), ('XP_049341121.1', 'DDX3XA'), ('XP_007227913.2', 'DDX3XA'), ('XP_049341120.1', 'DDX3XA'), ('XP_049341119.1', 'DDX3XA'), ('XP_049341118.1', 'DDX3XA'), ('XP_049341117.1', 'DDX3XA')]",73
BEST1,NP_652603.1,"[('XP_022522723.1', 'LOC103032327'), ('XP_007235245.3', 'BEST1')]",74
BETA'COP,NP_524836.2,"[('XP_022533672.1', 'COPB2')]",75
BETA-SPEC,NP_001259660.1,"[('XP_022537806.2', 'LOC103033421'), ('XP_049328109.1', 'LOC103033421'), ('XP_007231836.3', 'SPTBN1'), ('XP_022537805.2', 'LOC103033421'), ('XP_007231837.3', 'SPTBN1')]",76
BETA4GALT7,NP_651319.2,"[('XP_007246507.2', 'B4GALT7')]",77
BETATUB56D,NP_523795.2,"[('XP_007257036.1', 'ZGC:55461'), ('XP_007247510.1', 'TUBB4B'), ('XP_007231555.1', 'TUBB2B'), ('XP_022522714.1', 'TUBB5'), ('XP_022523824.1', 'TUBB4BL'), ('XP_049325970.1', 'ZGC:65894'), ('XP_022541852.1', 'LOC103041736')]",78
BETATUB60D,NP_523842.2,"[('XP_007231555.1', 'TUBB2B'), ('XP_022523824.1', 'TUBB4BL'), ('XP_049325970.1', 'ZGC:65894'), ('XP_022522714.1', 'TUBB5'), ('XP_022541852.1', 'LOC103041736'), ('XP_022529116.1', 'TUBB6')]",79
BGB,NP_001261271.1,"[('XP_007256271.1', 'CBFB'), ('XP_015463088.1', 'CBFB'), ('XP_007256270.1', 'CBFB')]",80
BGM,NP_524698.1,"[('XP_022523345.2', 'LOC103043523'), ('XP_022523344.2', 'LOC103043523'), ('XP_022525932.2', 'ACSBG2'), ('XP_022525931.2', 'ACSBG2')]",81
BIC,NP_476853.1,"[('XP_007240221.1', 'BTF3L4'), ('XP_007240222.1', 'BTF3L4'), ('XP_022525846.1', 'BTF3L4'), ('XP_007259689.1', 'BTF3'), ('XP_022523580.1', 'BTF3')]",82
BICC,NP_476865.1,"[('XP_022525082.2', 'LOC103032919'), ('XP_022525081.2', 'LOC103032919')]",83
BICD,NP_001260531.1,"[('XP_007254623.3', 'BICD2'), ('XP_007254622.3', 'BICD2'), ('XP_022535333.1', 'BICD1A'), ('XP_022535332.1', 'BICD1A'), ('XP_022535331.1', 'BICD1A')]",84
BIGMAX,NP_651556.2,"[('XP_007230011.1', 'MLX'), ('XP_007230010.1', 'MLX')]",85
BKA,NP_524867.2,"[('XP_007257370.1', 'FCF1'), ('XP_007257371.1', 'FCF1')]",86
BLP,NP_524370.2,"[('XP_007232245.1', 'PAM16')]",87
BLW,NP_726243.1,"[('XP_007256648.2', 'ATP5FA1')]",88
BMCP,NP_648501.1,"[('XP_007244505.2', 'SLC25A14'), ('XP_022531984.1', 'SLC25A14')]",89
BOCA,NP_724578.1,"[('XP_007258211.2', 'MESD')]",90
BON,NP_001262765.1,"[('XP_007237145.2', 'TRIM24'), ('XP_015458633.3', 'TRIM33'), ('XP_015457870.2', 'TRIM24'), ('XP_007237146.2', 'TRIM24'), ('XP_007237147.2', 'TRIM24'), ('XP_007228969.3', 'TRIM33')]",91
BONSAI,NP_611691.1,"[('XP_007249683.3', 'MRPS15')]",92
BR140,NP_610266.1,"[('XP_007260574.3', 'BRPF1'), ('XP_022526490.2', 'BRPF1')]",93
BRE1,NP_647989.2,"[('XP_022539193.2', 'RNF20'), ('XP_022539192.2', 'RNF20'), ('XP_049339895.1', 'RNF20'), ('XP_007259214.3', 'RNF40'), ('XP_015463877.3', 'RNF40')]",94
BRF,NP_650616.2,"[('XP_022540812.2', 'BRF1A')]",95
BRM,NP_001261906.1,"[('XP_049335083.1', 'LOC103032158'), ('XP_049335085.1', 'LOC103032158'), ('XP_049335082.1', 'LOC103032158'), ('XP_049335084.1', 'LOC103032158'), ('XP_049323841.1', 'SMARCA4A'), ('XP_049323842.1', 'SMARCA4A'), ('XP_022520627.2', 'SMARCA2'), ('XP_022520628.2', 'SMARCA2'), ('XP_022520629.2', 'SMARCA2')]",96
BRUCE,NP_001262462.1,"[('XP_022528427.2', 'BIRC6'), ('XP_022528423.2', 'BIRC6'), ('XP_022528417.2', 'BIRC6'), ('XP_022528432.2', 'BIRC6'), ('XP_022528418.2', 'BIRC6'), ('XP_022528421.2', 'BIRC6'), ('XP_022528424.2', 'BIRC6'), ('XP_022528426.2', 'BIRC6'), ('XP_022528416.2', 'BIRC6'), ('XP_022528425.2', 'BIRC6'), ('XP_049320159.1', 'BIRC6'), ('XP_022528431.2', 'BIRC6'), ('XP_022528420.2', 'BIRC6'), ('XP_022528422.2', 'BIRC6'), ('XP_022528430.2', 'BIRC6'), ('XP_022528428.2', 'BIRC6'), ('XP_022528434.2', 'BIRC6'), ('XP_022528429.2', 'BIRC6'), ('XP_022528433.2', 'BIRC6')]",97
BRWD3,NP_732982.1,"[('XP_049332445.1', 'BRWD3'), ('XP_022536597.2', 'BRWD3'), ('XP_022532584.2', 'LOC103042438'), ('XP_022532586.2', 'LOC103042438'), ('XP_022532582.2', 'LOC103042438'), ('XP_022532583.2', 'LOC103042438')]",98
BSK,NP_723541.1,"[('XP_049322054.1', 'MAPK10'), ('XP_049322055.1', 'MAPK10'), ('XP_049322056.1', 'MAPK10'), ('XP_049322053.1', 'MAPK10'), ('XP_049322057.1', 'MAPK10'), ('XP_049322051.1', 'MAPK10'), ('XP_007233631.1', 'MAPK8B'), ('XP_049322052.1', 'MAPK10'), ('XP_007233629.2', 'MAPK8B'), ('XP_007233630.2', 'MAPK8B'), ('XP_015456858.2', 'MAPK8B'), ('XP_007249602.2', 'MAPK8A'), ('XP_049337451.1', 'MAPK8A')]",99
BTL,NP_729956.1,"[('XP_049336985.1', 'FGFR2'), ('XP_049336986.1', 'FGFR2'), ('XP_049336984.1', 'FGFR2'), ('XP_007228823.3', 'FGFR2'), ('XP_049336989.1', 'FGFR2'), ('XP_015463776.1', 'FGFR3'), ('XP_022540650.1', 'FGFR3'), ('XP_049336988.1', 'FGFR2'), ('XP_049336987.1', 'FGFR2'), ('XP_007230954.1', 'FGFR3'), ('XP_007230953.1', 'FGFR3'), ('XP_049337279.1', 'FGFR3'), ('XP_049337280.1', 'FGFR3'), ('XP_049341672.1', 'FGFR1A'), ('XP_049341671.1', 'FGFR1A'), ('XP_007244498.2', 'FGFR4')]",100
BUFFY,NP_523702.1,"[('XP_007245140.2', 'BOKB'), ('XP_007253719.1', 'BOKA')]",101
BUR,NP_620114.3,"[('XP_022535517.1', 'GMPS')]",102
BVES,NP_001259752.1,"[('XP_007249653.3', 'BVES'), ('XP_007249652.3', 'BVES')]",103
BWA,NP_001260616.1,"[('XP_007255252.1', 'ACER2'), ('XP_022522985.1', 'LOC111191686')]",104
BYS,NP_511074.1,"[('XP_007256766.2', 'BYSL')]",105
C11.1,NP_652606.1,"[('XP_022529278.2', 'MROH1'), ('XP_022529277.2', 'MROH1'), ('XP_022529275.2', 'MROH1'), ('XP_022529276.2', 'MROH1')]",106
C12.1,NP_652605.1,"[('XP_007235896.3', 'CWC15'), ('XP_022523125.2', 'CWC15')]",107
C15,NP_476873.2,"[('XP_007231230.3', 'TLX3B'), ('XP_007247514.3', 'TLX2'), ('XP_007228079.1', 'LOC103036459')]",108
C1GALTA,NP_609258.1,"[('XP_022532626.2', 'C1GALT1LA'), ('XP_049318822.1', 'C1GALT1LA'), ('XP_007254281.3', 'C1GALT1LB')]",109
CA-ALPHA1D,NP_001260480.2,"[('XP_049342225.1', 'CACNA1DB'), ('XP_049342226.1', 'CACNA1DB'), ('XP_049328980.1', 'CACNA1C'), ('XP_049328995.1', 'CACNA1C'), ('XP_049329002.1', 'CACNA1C'), ('XP_049342230.1', 'CACNA1DB'), ('XP_049329009.1', 'CACNA1C'), ('XP_049342231.1', 'CACNA1DB'), ('XP_022538311.1', 'CACNA1DA'), ('XP_049342218.1', 'CACNA1DB'), ('XP_049342220.1', 'CACNA1DB'), ('XP_049342221.1', 'CACNA1DB'), ('XP_049342227.1', 'CACNA1DB'), ('XP_049342228.1', 'CACNA1DB'), ('XP_049342229.1', 'CACNA1DB'), ('XP_022538308.1', 'CACNA1DA'), ('XP_049342222.1', 'CACNA1DB'), ('XP_049327534.1', 'CACNA1DA'), ('XP_049327535.1', 'CACNA1DA'), ('XP_049327536.1', 'CACNA1DA'), ('XP_049328987.1', 'CACNA1C'), ('XP_049342219.1', 'CACNA1DB'), ('XP_049342223.1', 'CACNA1DB'), ('XP_022538305.1', 'CACNA1DA'), ('XP_049342224.1', 'CACNA1DB')]",110
CA-ALPHA1T,NP_001245545.1,"[('XP_022530611.2', 'CACNA1HB'), ('XP_049326078.1', 'CACNA1HB'), ('XP_049320237.1', 'CACNA1G'), ('XP_049320242.1', 'CACNA1G'), ('XP_049320241.1', 'CACNA1G'), ('XP_049320236.1', 'CACNA1G'), ('XP_049320240.1', 'CACNA1G'), ('XP_049320239.1', 'CACNA1G'), ('XP_049320235.1', 'CACNA1G')]",111
CA-BETA,NP_995684.2,"[('XP_007238783.3', 'CACNB2A'), ('XP_007238786.3', 'CACNB2A'), ('XP_049339153.1', 'CACNB2A'), ('XP_007238787.3', 'CACNB2A'), ('XP_007238785.3', 'CACNB2A'), ('XP_049339154.1', 'CACNB2A')]",112
CABP1,NP_609792.1,"[('XP_007257385.1', 'LOC103027650'), ('XP_022541966.1', 'PDIA6')]",113
CACT,NP_476942.1,"[('XP_007253018.2', 'NFKBIAA')]",114
CAD88C,NP_731930.3,"[('XP_049336961.1', 'CDH23')]",115
CAD96CB,NP_001163727.1,"[('XP_015458063.1', 'LOC107197089'), ('XP_015458062.1', 'LOC107197089'), ('XP_049324657.1', 'LOC103026865'), ('XP_049324640.1', 'LOC103026865'), ('XP_049324641.1', 'LOC103026865')]",116
CAD99C,NP_733314.1,"[('XP_049320721.1', 'PCDH15B'), ('XP_049320722.1', 'PCDH15B')]",117
CADN,NP_724068.1,"[('XP_022529863.2', 'SI:DKEY-22O22.2'), ('XP_049326854.1', 'SI:CH211-186J3.6')]",118
CAH1,NP_523561.1,"[('XP_049334472.1', 'LOC125801685'), ('XP_022534849.1', 'CAHZ'), ('XP_022529993.1', 'LOC103021731')]",119
CAH2,NP_648555.1,"[('XP_007246352.3', 'CA6')]",120
CALPB,NP_524016.4,"[('XP_049319979.1', 'CAPN3A'), ('XP_049319977.1', 'CAPN3A'), ('XP_049319978.1', 'CAPN3A')]",121
CALS,NP_524632.1,"[('XP_022533673.2', 'CLSTN2A')]",122
CALX,NP_001287434.1,"[('XP_022531991.2', 'SLC8A4A'), ('XP_049326981.1', 'SLC8A1A'), ('XP_049326980.1', 'SLC8A1A'), ('XP_022523857.2', 'SLC8A1A'), ('XP_022523856.2', 'SLC8A1A'), ('XP_049326979.1', 'SLC8A1A'), ('XP_007230046.3', 'SLC8A1A'), ('XP_049319748.1', 'SLC8A1B'), ('XP_007242102.3', 'SLC8A4B'), ('XP_007247633.1', 'SLC8A3'), ('XP_022540745.1', 'SLC8A3'), ('XP_022540746.1', 'SLC8A3'), ('XP_007247635.2', 'SLC8A3'), ('XP_022540748.1', 'SLC8A3'), ('XP_049319747.1', 'SLC8A1B'), ('XP_049322985.1', 'SLC8A2B'), ('XP_049322524.1', 'SLC8A2A'), ('XP_049322520.1', 'SLC8A2A')]",123
CAM,NP_523710.1,"[('XP_007231031.1', 'CALM2B'), ('XP_007244571.1', 'CALM3B'), ('XP_007253017.1', 'CALM1B'), ('XP_007255848.1', 'CALM2A'), ('XP_022520197.1', 'CALM3A'), ('XP_022517811.2', 'CALM1A')]",124
CAMKI,NP_524622.1,"[('XP_049331009.1', 'CAMK1DA'), ('XP_022531372.2', 'CAMK1A'), ('XP_022527535.2', 'CAMK1DA'), ('XP_007235231.1', 'CAMK1DB'), ('XP_049327613.1', 'CAMK1B'), ('XP_049327612.1', 'CAMK1B'), ('XP_049327611.1', 'CAMK1B')]",125
