,Model_nodos,NCBI_Product_accesion,Ast,a,a2,Homo,b  ,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
26,CHRNA1,NP_000070.1,Astyanax_mexicanus,XP_007234915.3,LOC103028684,Homo_sapiens,NP_000070.1,CHRNA1,3.8e-204,711.0,1.7499999999999998e-204,711.0
27,CHRNA1,NP_000070.1,Astyanax_mexicanus,XP_007248905.1,CHRNA1,Homo_sapiens,NP_000070.1,CHRNA1,1.26e-199,696.0,5.74e-200,696.0
28,COL1A2,NP_000080.2,,,,,,,,,,
29,COL4A3,NP_000082.2,,,,,,,,,,
30,COMP,NP_000086.2,Astyanax_mexicanus,XP_022525449.1,LOC103025571,Homo_sapiens,NP_000086.2,COMP,8.689999999999999e-221,767.0,4.0199999999999997e-221,767.0
31,CYP17A1,NP_000093.1,Astyanax_mexicanus,XP_015461326.2,LOC103036160,Homo_sapiens,NP_000093.1,CYP17A1,2.45e-130,466.0,1.1e-130,466.0
32,CYP17A1,NP_000093.1,Astyanax_mexicanus,XP_049337419.1,LOC103036160,Homo_sapiens,NP_000093.1,CYP17A1,3.1199999999999996e-128,459.0,1.41e-128,459.0
33,CYP1B1,NP_000095.2,Astyanax_mexicanus,XP_007258757.3,LOC103036816,Homo_sapiens,NP_000095.2,CYP1B1,8.59e-148,524.0,4.08e-148,524.0
34,CYP1B1,NP_000095.2,Astyanax_mexicanus,XP_049319489.1,LOC103030149,Homo_sapiens,NP_000095.2,CYP1B1,2.2e-145,516.0,1.04e-145,516.0
35,SLC26A3,NP_000102.1,Astyanax_mexicanus,XP_007232355.4,SLC26A3.1,Homo_sapiens,NP_000102.1,SLC26A3,1.17e-212,740.0,5.4500000000000004e-213,740.0
36,SLC26A3,NP_000102.1,Astyanax_mexicanus,XP_049329307.1,SLC26A3.2,Homo_sapiens,NP_000102.1,SLC26A3,6.200000000000001e-213,741.0,2.7300000000000002e-213,741.0
37,SLC26A3,NP_000102.1,Astyanax_mexicanus,XP_049329308.1,SLC26A3.2,Homo_sapiens,NP_000102.1,SLC26A3,5.8100000000000005e-213,741.0,2.7300000000000002e-213,741.0
38,SLC26A3,NP_000102.1,Astyanax_mexicanus,XP_049329309.1,SLC26A3.2,Homo_sapiens,NP_000102.1,SLC26A3,5.8100000000000005e-213,741.0,2.7300000000000002e-213,741.0
39,EPOR,NP_000112.1,Astyanax_mexicanus,XP_022520828.2,EPOR,Homo_sapiens,NP_000112.1,EPOR,5.14e-40,166.0,2.2399999999999997e-40,166.0
40,ERCC5,NP_000114.3,Astyanax_mexicanus,XP_049325909.1,ERCC5,Homo_sapiens,NP_000114.3,ERCC5,1.69e-196,687.0,7.619999999999999e-197,687.0
41,ERCC5,NP_000114.3,Astyanax_mexicanus,XP_049325910.1,ERCC5,Homo_sapiens,NP_000114.3,ERCC5,1.69e-196,687.0,7.619999999999999e-197,687.0
42,ERCC5,NP_000114.3,Astyanax_mexicanus,XP_049325911.1,ERCC5,Homo_sapiens,NP_000114.3,ERCC5,1.69e-196,687.0,7.619999999999999e-197,687.0
43,ERCC5,NP_000114.3,Astyanax_mexicanus,XP_049325912.1,ERCC5,Homo_sapiens,NP_000114.3,ERCC5,1.69e-196,687.0,7.619999999999999e-197,687.0
44,ERCC5,NP_000114.3,Astyanax_mexicanus,XP_049325913.1,ERCC5,Homo_sapiens,NP_000114.3,ERCC5,1.69e-196,687.0,7.619999999999999e-197,687.0
45,ERCC5,NP_000114.3,Astyanax_mexicanus,XP_049325914.1,ERCC5,Homo_sapiens,NP_000114.3,ERCC5,1.69e-196,687.0,7.619999999999999e-197,687.0
46,ERCC5,NP_000114.3,Astyanax_mexicanus,XP_049325915.1,ERCC5,Homo_sapiens,NP_000114.3,ERCC5,1.69e-196,687.0,7.619999999999999e-197,687.0
47,EXT1,NP_000118.2,Astyanax_mexicanus,XP_007233780.1,EXT1A,Homo_sapiens,NP_000118.2,EXT1,0.0,1306.0,0.0,1306.0
48,EXT1,NP_000118.2,Astyanax_mexicanus,XP_022539049.2,EXT1B,Homo_sapiens,NP_000118.2,EXT1,0.0,1276.0,0.0,1276.0
49,F13A1,NP_000120.2,Astyanax_mexicanus,XP_007237893.3,F13A1B,Homo_sapiens,NP_000120.2,F13A1,4.79e-212,738.0,2.09e-212,738.0
50,F8,NP_000123.1,Astyanax_mexicanus,XP_022532238.2,F8,Homo_sapiens,NP_000123.1,F8,0.0,1046.0,0.0,1046.0
51,F9,NP_000124.1,Astyanax_mexicanus,XP_007239145.2,F9B,Homo_sapiens,NP_000124.1,F9,2.62e-115,416.0,1.12e-115,416.0
52,FABP2,NP_000125.2,Astyanax_mexicanus,XP_007232785.1,FABP2,Homo_sapiens,NP_000125.2,FABP2,7.539999999999999e-48,190.0,3.47e-48,190.0
53,FANCA,NP_000126.2,Astyanax_mexicanus,XP_049339812.1,LOC103043385,Homo_sapiens,NP_000126.2,FANCA,1.31e-219,764.0,6.19e-220,764.0
54,FANCA,NP_000126.2,Astyanax_mexicanus,XP_049339813.1,LOC103043385,Homo_sapiens,NP_000126.2,FANCA,2.61e-219,763.0,1.2399999999999999e-219,763.0
55,FXN,NP_000135.2,Astyanax_mexicanus,XP_022526299.2,FXN,Homo_sapiens,NP_000135.2,FXN,8.36e-40,164.0,3.71e-40,164.0
56,GALT,NP_000146.2,Astyanax_mexicanus,XP_007260878.1,GALT,Homo_sapiens,NP_000146.2,GALT,2.6900000000000002e-160,565.0,1.3e-160,565.0
57,GJA1,NP_000156.1,Astyanax_mexicanus,XP_007255453.3,GJA1B,Homo_sapiens,NP_000156.1,GJA1,4.02e-174,611.0,1.8599999999999999e-174,611.0
58,GLI3,NP_000159.3,Astyanax_mexicanus,XP_022517988.2,GLI3,Homo_sapiens,NP_000159.3,GLI3,0.0,1145.0,0.0,1145.0
59,GLRA1,NP_000162.2,Astyanax_mexicanus,XP_007246495.1,GLRA1,Homo_sapiens,NP_000162.2,GLRA1,2.03e-226,785.0,9.11e-227,785.0
60,GLRA1,NP_000162.2,Astyanax_mexicanus,XP_007246496.1,GLRA1,Homo_sapiens,NP_000162.2,GLRA1,7.689999999999999e-229,793.0,3.56e-229,793.0
61,GP1BA,NP_000164.5,,,,,,,,,,
62,CFH,NP_000177.2,Astyanax_mexicanus,XP_049321926.1,LOC103046808,Homo_sapiens,NP_000177.2,CFH,1.2e-106,389.0,4.03e-107,389.0
63,TBX5,NP_000183.2,Astyanax_mexicanus,XP_007254059.2,TBX5A,Homo_sapiens,NP_000183.2,TBX5,3.11e-221,768.0,1.38e-221,768.0
64,TBX5,NP_000183.2,Astyanax_mexicanus,XP_049330552.1,TBX5A,Homo_sapiens,NP_000183.2,TBX5,1.4999999999999998e-221,769.0,6.89e-222,769.0
65,TBX5,NP_000183.2,Astyanax_mexicanus,XP_049330555.1,TBX5A,Homo_sapiens,NP_000183.2,TBX5,1.4999999999999998e-221,769.0,6.89e-222,769.0
66,HSD11B2,NP_000187.3,Astyanax_mexicanus,XP_007246946.3,HSD11B2,Homo_sapiens,NP_000187.3,HSD11B2,7.25e-80,298.0,3.2800000000000002e-80,298.0
67,ICAM1,NP_000192.2,,,,,,,,,,
68,IL2RG,NP_000197.1,Astyanax_mexicanus,XP_022536807.2,IL2RGA,Homo_sapiens,NP_000197.1,IL2RG,1.5200000000000002e-27,124.0,7.16e-28,124.0
69,PDX1,NP_000200.1,Astyanax_mexicanus,XP_007249118.1,PDX1,Homo_sapiens,NP_000200.1,PDX1,2.51e-56,219.0,1.39e-56,219.0
70,ITGB2,NP_000202.3,Astyanax_mexicanus,XP_049341005.1,ITGB2,Homo_sapiens,NP_000202.3,ITGB2,1.73e-195,683.0,7.91e-196,683.0
71,ITGB2,NP_000202.3,Astyanax_mexicanus,XP_049341006.1,ITGB2,Homo_sapiens,NP_000202.3,ITGB2,1.73e-195,683.0,7.91e-196,683.0
72,ITGB3,NP_000203.2,Astyanax_mexicanus,XP_022526036.2,ITGB3B,Homo_sapiens,NP_000203.2,ITGB3,0.0,1058.0,0.0,1058.0
73,JAG1,NP_000205.1,Astyanax_mexicanus,XP_022522949.2,JAG1B,Homo_sapiens,NP_000205.1,JAG1,5.16e-232,805.0,2.36e-232,805.0
74,KRT12,NP_000214.1,,,,,,,,,,
75,LCAT,NP_000220.1,Astyanax_mexicanus,XP_007237162.3,LCAT,Homo_sapiens,NP_000220.1,LCAT,3.3900000000000004e-157,555.0,1.5400000000000002e-157,555.0
76,LEP,NP_000221.1,,,,,,,,,,
77,LIPC,NP_000227.2,Astyanax_mexicanus,XP_049327112.1,LIPCA,Homo_sapiens,NP_000227.2,LIPC,1.36e-140,500.0,6.29e-141,500.0
78,LPL,NP_000228.1,Astyanax_mexicanus,XP_007240188.3,LPL,Homo_sapiens,NP_000228.1,LPL,3.53e-169,595.0,1.51e-169,595.0
79,KCNH2,NP_000229.1,Astyanax_mexicanus,XP_007256983.3,KCNH2B,Homo_sapiens,NP_000229.1,KCNH2,0.0,1420.0,0.0,1420.0
80,LYZ,NP_000230.1,Astyanax_mexicanus,XP_007255381.3,LOC103024567,Homo_sapiens,NP_000230.1,LYZ,2.14e-42,172.0,1.02e-42,172.0
81,LYZ,NP_000230.1,Astyanax_mexicanus,XP_049318768.1,LOC103028901,Homo_sapiens,NP_000230.1,LYZ,1.33e-40,166.0,6.53e-41,166.0
82,MAOA,NP_000231.1,Astyanax_mexicanus,XP_007227886.2,MAO,Homo_sapiens,NP_000231.1,MAOA,7.359999999999999e-225,780.0,3.42e-225,780.0
83,MEFV,NP_000234.1,Astyanax_mexicanus,XP_049337895.1,LOC125803761,Homo_sapiens,NP_000234.1,MEFV,1.61e-53,211.0,9.79e-54,211.0
84,MEFV,NP_000234.1,Astyanax_mexicanus,XP_049337914.1,LOC125803770,Homo_sapiens,NP_000234.1,MEFV,9.33e-55,215.0,6.12e-55,215.0
85,MEFV,NP_000234.1,Astyanax_mexicanus,XP_049337915.1,LOC125803770,Homo_sapiens,NP_000234.1,MEFV,9.28e-55,215.0,6.12e-55,215.0
86,MEFV,NP_000234.1,Astyanax_mexicanus,XP_049337916.1,LOC125803770,Homo_sapiens,NP_000234.1,MEFV,9.28e-55,215.0,6.12e-55,215.0
87,MEFV,NP_000234.1,Astyanax_mexicanus,XP_049337939.1,LOC125803783,Homo_sapiens,NP_000234.1,MEFV,1.16e-55,218.0,7.650000000000001e-56,218.0
88,MLH1,NP_000240.1,Astyanax_mexicanus,XP_022540961.2,MLH1,Homo_sapiens,NP_000240.1,MLH1,9.42e-296,1016.0,4.44e-296,1016.0
89,MLH1,NP_000240.1,Astyanax_mexicanus,XP_022540962.2,MLH1,Homo_sapiens,NP_000240.1,MLH1,1.45e-297,1022.0,6.94e-298,1022.0
90,MPO,NP_000241.1,Astyanax_mexicanus,XP_049324602.1,LOC103039300,Homo_sapiens,NP_000241.1,MPO,1.0599999999999998e-189,664.0,4.0199999999999996e-190,664.0
91,MPO,NP_000241.1,Astyanax_mexicanus,XP_049324603.1,LOC103039300,Homo_sapiens,NP_000241.1,MPO,9.059999999999999e-190,664.0,4.0199999999999996e-190,664.0
92,MTTP,NP_000244.2,Astyanax_mexicanus,XP_022537424.2,LOC103028418,Homo_sapiens,NP_000244.2,MTTP,3.26e-278,958.0,1.51e-278,958.0
93,MTTP,NP_000244.2,Astyanax_mexicanus,XP_049328415.1,LOC103028418,Homo_sapiens,NP_000244.2,MTTP,8.33e-270,930.0,4.0699999999999995e-270,930.0
94,NCF1,NP_000256.4,Astyanax_mexicanus,XP_007245354.3,NCF1,Homo_sapiens,NP_000256.4,NCF1,7.900000000000001e-124,444.0,3.5400000000000004e-124,444.0
95,NCF1,NP_000256.4,Astyanax_mexicanus,XP_022536288.1,NCF1,Homo_sapiens,NP_000256.4,NCF1,1.5800000000000003e-123,443.0,7.0900000000000006e-124,443.0
96,PGK1,NP_000282.1,Astyanax_mexicanus,XP_007244525.2,PGK1,Homo_sapiens,NP_000282.1,PGK1,3.3100000000000006e-210,731.0,1.5200000000000002e-210,731.0
97,PKLR,NP_000289.1,Astyanax_mexicanus,XP_007256959.3,PKLR,Homo_sapiens,NP_000289.1,PKLR,3.3400000000000004e-212,738.0,1.6400000000000002e-212,738.0
98,PKLR,NP_000289.1,Astyanax_mexicanus,XP_007256960.3,PKLR,Homo_sapiens,NP_000289.1,PKLR,3.2700000000000004e-212,738.0,1.6400000000000002e-212,738.0
99,PLG,NP_000292.1,Astyanax_mexicanus,XP_049340141.1,PLG,Homo_sapiens,NP_000292.1,PLG,2.6700000000000003e-293,1008.0,1.22e-293,1008.0
100,PLG,NP_000292.1,Astyanax_mexicanus,XP_049340143.1,PLG,Homo_sapiens,NP_000292.1,PLG,1.33e-293,1009.0,6.09e-294,1009.0
101,POU1F1,NP_000297.1,,,,,,,,,,
102,POU3F4,NP_000298.3,Astyanax_mexicanus,XP_007228452.2,LOC103039910,Homo_sapiens,NP_000298.3,POU3F4,1.08e-156,553.0,5.05e-157,553.0
103,PROS1,NP_000304.2,Astyanax_mexicanus,XP_007237468.3,PROS1,Homo_sapiens,NP_000304.2,PROS1,1.07e-181,637.0,4.89e-182,637.0
104,RB1,NP_000312.2,Astyanax_mexicanus,XP_022531737.2,RB1,Homo_sapiens,NP_000312.2,RB1,2.53e-255,882.0,1.19e-255,882.0
105,RS1,NP_000321.1,Astyanax_mexicanus,XP_007259436.3,RS1A,Homo_sapiens,NP_000321.1,RS1,4.7999999999999995e-90,331.0,2.11e-90,331.0
106,SLC3A1,NP_000332.2,Astyanax_mexicanus,XP_007255833.3,SLC3A1,Homo_sapiens,NP_000332.2,SLC3A1,6.9e-208,724.0,3.2e-208,724.0
107,SLC5A1,NP_000334.1,Astyanax_mexicanus,XP_007232043.3,LOC103043237,Homo_sapiens,NP_000334.1,SLC5A1,4.34e-262,904.0,2.03e-262,904.0
108,SLC5A1,NP_000334.1,Astyanax_mexicanus,XP_022536845.2,SLC5A1,Homo_sapiens,NP_000334.1,SLC5A1,1.05e-268,926.0,4.8300000000000005e-269,926.0
109,SOX9,NP_000337.1,Astyanax_mexicanus,XP_007241082.3,LOC103039568,Homo_sapiens,NP_000337.1,SOX9,9.74e-180,630.0,4.71e-180,630.0
110,STAR,NP_000340.2,Astyanax_mexicanus,XP_049342142.1,STAR,Homo_sapiens,NP_000340.2,STAR,5.19e-105,381.0,2.39e-105,381.0
111,TAT,NP_000344.1,Astyanax_mexicanus,XP_015461750.1,TAT,Homo_sapiens,NP_000344.1,TAT,1.83e-188,659.0,7.83e-189,659.0
112,TCN2,NP_000346.2,Astyanax_mexicanus,XP_049326316.1,TCN2,Homo_sapiens,NP_000346.2,TCN2,8.34e-37,155.0,3.86e-37,155.0
113,TGFBI,NP_000349.1,Astyanax_mexicanus,XP_007246517.2,TGFBI,Homo_sapiens,NP_000349.1,TGFBI,6.62e-242,837.0,3.0799999999999998e-242,837.0
114,TH,NP_000351.2,Astyanax_mexicanus,XP_007228125.2,TH,Homo_sapiens,NP_000351.2,TH,1.1599999999999999e-189,663.0,5.36e-190,663.0
115,THBD,NP_000352.1,Astyanax_mexicanus,XP_007241455.3,THBD,Homo_sapiens,NP_000352.1,THBD,4.79e-49,196.0,2.36e-49,196.0
116,TIMP3,NP_000353.1,Astyanax_mexicanus,XP_007256100.3,LOC103027234,Homo_sapiens,NP_000353.1,TIMP3,8.53e-93,340.0,3.89e-93,340.0
117,TNNI3,NP_000354.4,,,,,,,,,,
118,TYR,NP_000363.1,Astyanax_mexicanus,XP_007247325.3,LOC103041136,Homo_sapiens,NP_000363.1,TYR,2.4600000000000003e-192,672.0,1.1100000000000002e-192,672.0
119,TYR,NP_000363.1,Astyanax_mexicanus,XP_007248641.3,TYR,Homo_sapiens,NP_000363.1,TYR,3.95e-191,668.0,1.7799999999999998e-191,668.0
120,AIRE,NP_000374.1,Astyanax_mexicanus,XP_049322875.1,AIRE,Homo_sapiens,NP_000374.1,AIRE,5.02e-65,249.0,2.49e-65,249.0
121,APOB,NP_000375.3,Astyanax_mexicanus,XP_022528241.2,APOBA,Homo_sapiens,NP_000375.3,APOB,0.0,2287.0,0.0,2287.0
122,BLMH,NP_000377.1,Astyanax_mexicanus,XP_007236884.3,BLMH,Homo_sapiens,NP_000377.1,BLMH,1.9e-204,712.0,8.72e-205,712.0
123,SLC25A20,NP_000378.1,Astyanax_mexicanus,XP_007256742.1,SLC25A20,Homo_sapiens,NP_000378.1,SLC25A20,3.9299999999999996e-147,521.0,1.81e-147,521.0
124,SLC25A20,NP_000378.1,Astyanax_mexicanus,XP_015463211.1,SLC25A20,Homo_sapiens,NP_000378.1,SLC25A20,3.9299999999999996e-147,521.0,1.81e-147,521.0
125,ABCC2,NP_000383.2,Astyanax_mexicanus,XP_049328050.1,LOC103027747,Homo_sapiens,NP_000383.2,ABCC2,0.0,1720.0,0.0,1720.0
126,CTSK,NP_000387.1,Astyanax_mexicanus,XP_007249824.3,CTSK,Homo_sapiens,NP_000387.1,CTSK,1.0500000000000001e-122,440.0,4.78e-123,440.0
127,CYBB,NP_000388.2,Astyanax_mexicanus,XP_022523838.2,LOC103031151,Homo_sapiens,NP_000388.2,CYBB,1.3800000000000002e-226,786.0,5.78e-227,786.0
128,G6PD,NP_000393.4,Astyanax_mexicanus,XP_007229025.3,G6PD,Homo_sapiens,NP_000393.4,G6PD,5.24e-239,827.0,2.5099999999999997e-239,827.0
129,G6PD,NP_000393.4,Astyanax_mexicanus,XP_007229026.2,G6PD,Homo_sapiens,NP_000393.4,G6PD,5.15e-239,827.0,2.5099999999999997e-239,827.0
130,G6PD,NP_000393.4,Astyanax_mexicanus,XP_022533268.1,G6PD,Homo_sapiens,NP_000393.4,G6PD,5.15e-239,827.0,2.5099999999999997e-239,827.0
131,G6PD,NP_000393.4,Astyanax_mexicanus,XP_049318656.1,LOC103036206,Homo_sapiens,NP_000393.4,G6PD,1.1300000000000001e-226,786.0,5.53e-227,786.0
132,G6PD,NP_000393.4,Astyanax_mexicanus,XP_049342252.1,G6PD,Homo_sapiens,NP_000393.4,G6PD,5.4499999999999995e-239,827.0,2.5099999999999997e-239,827.0
133,G6PD,NP_000393.4,Astyanax_mexicanus,XP_049342253.1,G6PD,Homo_sapiens,NP_000393.4,G6PD,1.05e-238,826.0,5.03e-239,826.0
134,GP1BB,NP_000398.1,Astyanax_mexicanus,XP_007247253.1,GP1BB,Homo_sapiens,NP_000398.1,GP1BB,4.28e-28,125.0,2e-28,125.0
135,GP1BB,NP_000398.1,Astyanax_mexicanus,XP_049341468.1,GP1BB,Homo_sapiens,NP_000398.1,GP1BB,4.28e-28,125.0,2e-28,125.0
136,IFNGR1,NP_000407.1,,,,,,,,,,
137,KRT17,NP_000413.1,Astyanax_mexicanus,XP_007228983.3,KRT97,Homo_sapiens,NP_000413.1,KRT17,1.74e-107,390.0,7.069999999999999e-108,390.0
138,KRT5,NP_000415.2,,,,,,,,,,
139,PCSK1,NP_000430.3,Astyanax_mexicanus,XP_007254020.3,PCSK1,Homo_sapiens,NP_000430.3,PCSK1,0.0,1092.0,0.0,1092.0
140,SLC26A4,NP_000432.1,Astyanax_mexicanus,XP_007232333.3,LOC103029416,Homo_sapiens,NP_000432.1,SLC26A4,5.77e-219,761.0,2.6499999999999998e-219,761.0
141,SLC26A4,NP_000432.1,Astyanax_mexicanus,XP_007232334.3,LOC103029733,Homo_sapiens,NP_000432.1,SLC26A4,1.8099999999999998e-220,766.0,8.289999999999999e-221,766.0
142,PON1,NP_000437.3,,,,,,,,,,
143,PSEN2,NP_000438.2,Astyanax_mexicanus,XP_049325197.1,PSEN2,Homo_sapiens,NP_000438.2,PSEN2,4.18e-161,568.0,1.91e-161,568.0
144,PSEN2,NP_000438.2,Astyanax_mexicanus,XP_049325198.1,PSEN2,Homo_sapiens,NP_000438.2,PSEN2,4.18e-161,568.0,1.91e-161,568.0
145,RAG1,NP_000439.2,Astyanax_mexicanus,XP_022527882.2,RAG1,Homo_sapiens,NP_000439.2,RAG1,0.0,1200.0,0.0,1200.0
146,SELE,NP_000441.2,,,,,,,,,,
147,SLC10A2,NP_000443.2,Astyanax_mexicanus,XP_015464104.1,SLC10A2,Homo_sapiens,NP_000443.2,SLC10A2,5.78e-123,441.0,2.53e-123,441.0
148,SOD1,NP_000445.1,Astyanax_mexicanus,XP_015460818.3,SOD1,Homo_sapiens,NP_000445.1,SOD1,1.02e-57,223.0,4.71e-58,223.0
149,STK11,NP_000446.1,Astyanax_mexicanus,XP_022534643.1,STK11,Homo_sapiens,NP_000446.1,STK11,1.53e-197,689.0,6.96e-198,689.0
150,STK11,NP_000446.1,Astyanax_mexicanus,XP_022534644.1,STK11,Homo_sapiens,NP_000446.1,STK11,1.53e-197,689.0,6.96e-198,689.0
151,TEK,NP_000450.3,Astyanax_mexicanus,XP_049319309.1,TEK,Homo_sapiens,NP_000450.3,TEK,0.0,1115.0,0.0,1115.0
152,TEK,NP_000450.3,Astyanax_mexicanus,XP_049319359.1,TEK,Homo_sapiens,NP_000450.3,TEK,0.0,1116.0,0.0,1116.0
153,UGT1A1,NP_000454.1,Astyanax_mexicanus,XP_022535777.2,LOC103026744,Homo_sapiens,NP_000454.1,UGT1A1,2.0000000000000002e-157,556.0,9.33e-158,556.0
154,UGT1A1,NP_000454.1,Astyanax_mexicanus,XP_049340741.1,LOC103026744,Homo_sapiens,NP_000454.1,UGT1A1,2.06e-154,546.0,9.55e-155,546.0
155,UGT1A1,NP_000454.1,Astyanax_mexicanus,XP_049340742.1,LOC103026744,Homo_sapiens,NP_000454.1,UGT1A1,3.22e-156,552.0,1.49e-156,552.0
156,UGT1A1,NP_000454.1,Astyanax_mexicanus,XP_049340743.1,LOC103026744,Homo_sapiens,NP_000454.1,UGT1A1,3.22e-156,552.0,1.49e-156,552.0
157,UGT1A1,NP_000454.1,Astyanax_mexicanus,XP_049340745.1,LOC103026744,Homo_sapiens,NP_000454.1,UGT1A1,1.61e-156,553.0,7.460000000000001e-157,553.0
158,UGT1A1,NP_000454.1,Astyanax_mexicanus,XP_049340746.1,LOC103026744,Homo_sapiens,NP_000454.1,UGT1A1,3.84e-154,545.0,1.91e-154,545.0
159,UGT1A1,NP_000454.1,Astyanax_mexicanus,XP_049340747.1,LOC103026744,Homo_sapiens,NP_000454.1,UGT1A1,2.06e-154,546.0,9.55e-155,546.0
160,UGT1A1,NP_000454.1,Astyanax_mexicanus,XP_049340748.1,LOC103026744,Homo_sapiens,NP_000454.1,UGT1A1,2.05e-154,546.0,9.55e-155,546.0
161,UGT1A1,NP_000454.1,Astyanax_mexicanus,XP_049340749.1,LOC103026744,Homo_sapiens,NP_000454.1,UGT1A1,1.25e-158,560.0,5.83e-159,560.0
162,UGT1A1,NP_000454.1,Astyanax_mexicanus,XP_049340751.1,LOC103026744,Homo_sapiens,NP_000454.1,UGT1A1,2.4e-155,549.0,1.19e-155,549.0
163,UGT1A1,NP_000454.1,Astyanax_mexicanus,XP_049340752.1,LOC103026744,Homo_sapiens,NP_000454.1,UGT1A1,2.4e-155,549.0,1.19e-155,549.0
164,TWIST1,NP_000465.1,,,,,,,,,,
165,NR0B1,NP_000466.2,Astyanax_mexicanus,XP_007259454.3,NR0B1,Homo_sapiens,NP_000466.2,NR0B1,2.1899999999999998e-61,236.0,1.7599999999999998e-61,236.0
166,ALB,NP_000468.1,,,,,,,,,,
167,ALPL,NP_000469.3,Astyanax_mexicanus,XP_022538195.2,ALPL,Homo_sapiens,NP_000469.3,ALPL,4.1800000000000005e-213,741.0,1.8700000000000002e-213,741.0
