Model_nodos,NCBI_Product_accesion
ATTA,NP_523745.1
ATTB,NP_523746.1
ATTD,NP_524391.2
ATU,NP_524240.1
ATX2,NP_732033.1
AUB,NP_476734.1
AUX,NP_649438.1
AWH,NP_001261379.1
AXN,NP_733336.1
AXO,NP_001246631.1
AXUD1,NP_608673.1
B,NP_476788.1
B4,NP_477325.2
B52,NP_788671.2
B6,NP_477365.1
BAB1,NP_001261239.1
BAB2,NP_001261242.1
BABO,NP_476999.1
BAF,NP_609176.1
BAI,NP_651323.3
BAM,NP_476800.1
BAP,NP_732637.1
BAP170,NP_610216.1
BAZ,NP_001285364.1
BBC,NP_001260955.1
BBG,NP_648705.2
BCHS,NP_608968.2
BDG,NP_001286469.1
BE,NP_727817.1
BEAF-32,NP_523747.1
BEAT-IA,NP_001285975.1
BEAT-IB,NP_523579.1
BEAT-IC,NP_523580.1
BEAT-IIA,NP_524384.3
BEAT-IIB,NP_001163635.2
BEAT-IIIA,NP_001188828.1
BEAT-IIIB,NP_788071.3
BEAT-IIIC,NP_609830.2
BEAT-IV,NP_001262876.1
BEAT-VA,NP_001189214.1
BEAT-VB,NP_731748.1
BEAT-VC,NP_001356887.1
BEAT-VI,NP_651619.1
BEAT-VII,NP_733162.2
BEG,NP_648950.1
BEL,NP_536783.1
BEST1,NP_652603.1
BEST2,NP_729159.2
BETA4GALNACTB,NP_651657.1
BETA4GALT7,NP_651319.2
BETA'COP,NP_524836.2
BETA-SPEC,NP_001259660.1
BETATRY,NP_524904.1
BETATUB56D,NP_523795.2
BETATUB60D,NP_523842.2
BGB,NP_001261271.1
BGCN,NP_001286787.1
BGM,NP_524698.1
B-H1,NP_523387.1
B-H2,NP_523386.1
BI,NP_001259238.1
BIB,NP_001260313.1
BIC,NP_476853.1
BICC,NP_476865.1
BICD,NP_001260531.1
BIF,NP_727547.1
BIGMAX,NP_651556.2
BIP1,NP_648169.2
BKA,NP_524867.2
BLIMP-1,NP_001261442.1
BLOT,NP_524125.2
BLOW,NP_724580.1
BLP,NP_524370.2
BLW,NP_726243.1
BMCP,NP_648501.1
BMM,NP_001163445.1
BNL,NP_732452.1
BOCA,NP_724578.1
BOI,NP_726811.1
BOL,NP_523989.1
BON,NP_001262765.1
BOND,NP_732761.1
BONSAI,NP_611691.1
BOSS,NP_542440.1
BOU,NP_572373.1
BOWL,NP_476883.1
BR,NP_001401048.1
BR140,NP_610266.1
BRAT,NP_001188842.2
BRD,NP_476889.1
BRE1,NP_647989.2
BRF,NP_650616.2
BRK,NP_511069.3
BRM,NP_001261906.1
BRP,NP_001400998.1
BRUCE,NP_001262462.1
BRWD3,NP_732982.1
BS,NP_726438.1
BSG,NP_723346.2
BSH,NP_477350.2
BSK,NP_723541.1
BTBVII,NP_647774.2
BTD,NP_511100.1
BTL,NP_729956.1
BTSZ,NP_001262582.1
BTZ,NP_733229.2
BUB1,NP_608919.1
BUBR1,NP_477382.1
BUFFY,NP_523702.1
BUN,NP_525103.2
BUR,NP_620114.3
BVES,NP_001259752.1
BW,NP_523824.1
BWA,NP_001260616.1
BX,NP_001259688.2
BY,NP_649901.1
BYS,NP_511074.1
C11.1,NP_652606.1
C12.1,NP_652605.1
C15,NP_476873.2
C1GALTA,NP_609258.1
C3G,NP_001284966.1
C901,NP_572673.1
CA,NP_733309.3
CA-ALPHA1D,NP_001260480.2
CA-ALPHA1T,NP_001245545.1
CA-BETA,NP_995684.2
CABP1,NP_609792.1
CACT,NP_476942.1
CAD74A,NP_648973.1
CAD86C,NP_001247033.1
CAD87A,NP_731649.2
CAD88C,NP_731930.3
CAD96CB,NP_001163727.1
CAD99C,NP_733314.1
CADN,NP_724068.1
CADN2,NP_001036368.2
CAF1-180,NP_572495.1
CAH1,NP_523561.1
CAH2,NP_648555.1
CAHBETA,NP_649849.1
CAL1,NP_650597.2
CALPB,NP_524016.4
CALS,NP_524632.1
CALX,NP_001287434.1
CAM,NP_523710.1
CAMKI,NP_524622.1
CAMKII,NP_001259082.1
CAMTA,NP_001137624.1
CAN,NP_524827.1
CANA1,NP_524600.3
CANA-14F,NP_001245717.1
CAP,NP_610570.1
CAPR,NP_652671.1
CAPS,NP_001303391.1
CAPT,NP_001033870.1
CAPU,NP_722950.2
CAS,NP_001262300.1
CASK,NP_001262811.1
CATO,NP_477344.1
CAUP,NP_524046.2
CAZ,NP_523365.2
CBL,NP_648224.1
CBP,NP_001259309.1
CBP53E,NP_476838.1
CBP80,NP_726938.1
CBT,NP_722636.1
CCHA1,NP_001097784.1
CCHA2,NP_650285.1
CCKLR-17D1,NP_001097021.1
CCKLR-17D3,NP_001097023.1
CCN,NP_730294.1
CCT1,NP_524450.2
CCT2,NP_572524.1
CCT5,NP_523707.1
CDA4,NP_728468.1
CDA9,NP_611192.1
CDASE,NP_651797.1
CDC14,NP_609153.1
CDC42,NP_523414.1
CDC6,NP_648247.1
CDEP,NP_001036676.1
CDGAPR,NP_001163018.1
CDI,NP_524401.2
CDK12,NP_649325.2
CDK4,NP_477196.1
CECC,NP_524591.1
CED-6,NP_001246225.1
CENB1A,NP_524458.1
CENG1A,NP_723849.1
CENP-C,NP_731254.2
CEP135,NP_001189108.1
CEP97,NP_608811.2
CERK,NP_730923.1
CERT,NP_648199.1
CF2,NP_001350854.1
CG,NP_001097306.2
CG10005,NP_650137.3
CG10011,NP_651624.2
CG10019,NP_001368961.1
CG10026,NP_609968.3
CG10031,NP_608802.2
CG10055,NP_649703.1
CG10062,NP_001261089.1
CG10063,NP_648068.1
CG10077,NP_648062.2
CG10140,NP_648648.2
CG10151,NP_725414.1
CG10154,NP_001189089.1
CG10175,NP_651151.1
CG10182,NP_651158.1
CG10185,NP_650521.1
CG10211,NP_609883.1
CG10226,NP_648040.1
CG10232,NP_651175.4
CG10254,NP_001262878.1
CG10265,NP_611012.1
CG10280,NP_649607.1
CG10283,NP_001163006.1
CG10311,NP_650536.1
CG10321,NP_001261124.1
CG10343,NP_609900.1
CG10352,NP_001259468.1
CG10359,NP_001137882.1
CG10365,NP_651176.1
CG10376,NP_609899.1
CG10383,NP_609896.1
CG10384,NP_611673.3
CG10405,NP_001036717.1
CG10418,NP_648570.1
CG10467,NP_648026.1
CG10469,NP_648025.1
CG10479,NP_648006.1
CG10492,NP_001097179.1
CG10508,NP_001246859.1
CG10512,NP_649289.2
CG10527,NP_611544.1
CG10543,NP_001369100.1
CG10550,NP_651380.2
CG10555,NP_572474.2
CG10559,NP_651382.2
CG10565,NP_649284.1
CG10576,NP_647984.1
CG10600,NP_001260547.1
CG10602,NP_609916.5
CG10616,NP_001246734.1
CG10621,NP_609920.1
CG10631,NP_609998.1
CG10638,NP_729808.1
CG10650,NP_609929.2
CG10654,NP_648583.2
CG10657,NP_648579.3
CG10663,NP_001097592.1
CG10669,NP_651388.1
CG10674,NP_647950.1
CG10700,NP_609942.1
CG10702,NP_724157.1
CG10710,NP_648662.1
CG10713,NP_648645.1
CG10725,NP_648647.1
CG10737,NP_001401018.1
CG10747,NP_610022.3
CG10764,NP_611213.2
CG10803,NP_570064.1
CG10814,NP_610868.1
CG10841,NP_650299.1
CG10864,NP_650726.1
CG10898,NP_650083.1
CG1090,NP_649459.4
CG10903,NP_649762.1
CG10904,NP_611860.1
CG10910,NP_611280.2
CG10912,NP_611287.1
CG1092,NP_730797.2
CG10936,NP_611239.1
CG10947,NP_610031.1
CG10958,NP_572445.1
CG10962,NP_788887.1
CG10970,NP_572517.1
CG10979,NP_649591.1
CG11000,NP_001097690.1
CG11007,NP_611429.1
CG1103,NP_001036660.1
CG11030,NP_608956.1
CG11035,NP_649763.1
CG1105,NP_649688.1
CG11050,NP_609052.1
CG11060,NP_610262.1
CG11069,NP_651307.2
CG11085,NP_572815.3
CG11109,NP_730761.1
CG11122,NP_572685.2
CG11134,NP_572916.1
CG11141,NP_610282.1
CG11145,NP_610275.2
CG11155,NP_726649.3
CG11170,NP_726172.1
CG11178,NP_572901.1
CG11180,NP_611495.1
CG11200,NP_611471.1
CG11247,NP_001097659.1
CG11249,NP_649346.1
CG11263,NP_648618.1
CG11267,NP_648622.1
CG11279,NP_648628.1
CG11294,NP_572500.1
CG11313,NP_001263123.1
CG11317,NP_651840.1
CG11334,NP_651868.1
CG11350,NP_647910.1
CG11353,NP_647915.1
CG11360,NP_001259068.1
CG11370,NP_649408.1
CG11374,NP_608488.3
CG11378,NP_569886.1
CG11380,NP_569891.1
CG11396,NP_649255.1
CG11406,NP_001014548.1
CG11409,NP_569902.2
CG11414,NP_611932.2
CG11417,NP_569906.1
CG1142,NP_788592.1
CG11426,NP_649394.1
CG11444,NP_572171.1
CG1146,NP_647725.1
CG11498,NP_001334706.1
CG11529,NP_648558.1
CG11550,NP_651882.1
CG11555,NP_608510.2
CG11562,NP_608516.1
CG11563,NP_651884.1
CG11583,NP_001033989.1
CG11593,NP_647851.3
CG11617,NP_608502.1
CG11619,NP_649081.1
CG11638,NP_569879.1
CG11658,NP_648498.1
CG11672,NP_649779.1
CG11686,NP_652204.1
CG11710,NP_608393.1
CG11737,NP_649803.1
CG11771,NP_651314.1
CG11779,NP_650786.2
CG11790,NP_651326.1
CG11837,NP_651660.1
CG11842,NP_651662.1
CG11857,NP_001303417.1
CG11882,NP_651676.1
CG11893,NP_651375.1
CG11898,NP_651679.2
CG11899,NP_652046.1
CG11905,NP_001097625.1
CG11920,NP_651335.2
CG11927,NP_608867.1
CG11951,NP_001350853.2
CG11961,NP_611413.2
CG11964,NP_649847.1
CG11980,NP_649857.1
CG11983,NP_649860.1
CG12009,NP_647799.1
CG12010,NP_728878.1
CG12011,NP_647646.1
CG12012,NP_647813.1
CG12024,NP_647670.3
CG12025,NP_647671.1
CG12054,NP_001247385.2
CG12065,NP_001368976.1
CG12071,NP_651832.3
CG12075,NP_001245582.1
CG12084,NP_001261257.1
CG12093,NP_647747.1
CG12099,NP_647623.1
CG12104,NP_647629.1
CG12105,NP_647632.2
CG12107,NP_610314.1
CG12115,NP_572533.1
CG12116,NP_572481.1
CG12121,NP_572545.1
CG12123,NP_572478.1
CG12128,NP_610543.1
CG1213,NP_649599.1
CG12134,NP_001369072.1
CG12159,NP_995776.1
CG12164,NP_610268.2
CG12170,NP_649565.1
CG12194,NP_001162873.1
CG12206,NP_570060.1
CG12241,NP_650432.1
CG12268,NP_651197.1
CG12288,NP_609822.1
CG12301,NP_648781.1
CG12316,NP_648752.1
CG12325,NP_610618.1
CG12343,NP_610617.1
CG12355,NP_001097610.1
CG12374,NP_610819.1
CG12384,NP_610676.2
CG1239,NP_649577.1
CG1246,NP_647736.1
CG12496,NP_570003.1
CG12499,NP_651044.1
CG12531,NP_608350.2
CG12541,NP_001036262.2
CG12560,NP_001285736.1
CG12576,NP_608465.1
CG12581,NP_649435.2
CG12594,NP_650109.1
CG12605,NP_647845.2
CG1265,NP_647878.1
CG12702,NP_608355.1
CG12708,NP_001138199.1
CG12723,NP_572864.2
CG1273,NP_647883.1
CG12730,NP_572228.1
CG1275,NP_728726.1
CG12768,NP_649431.1
CG12769,NP_610347.3
CG12773,NP_001259131.1
CG12814,NP_649984.3
CG12824,NP_001097214.1
CG12825,NP_610322.1
CG12848,NP_652307.1
CG12851,NP_611987.3
CG12857,NP_610987.1
CG12860,NP_610979.1
CG12863,NP_610973.3
CG12869,NP_001369085.1
CG12877,NP_001034073.1
CG12880,NP_651580.3
CG12909,NP_610573.1
CG12910,NP_001260857.1
CG12912,NP_610564.1
CG12917,NP_610558.2
CG12920,NP_610550.1
CG12926,NP_610510.2
CG12934,NP_610601.1
CG12945,NP_001262439.1
CG12947,NP_001097731.1
CG12948,NP_649936.1
CG12963,NP_001261002.1
CG12964,NP_611040.2
CG12974,NP_730613.2
CG12984,NP_649276.2
CG1299,NP_647862.1
CG12991,NP_573223.1
CG12992,NP_001259651.1
CG13001,NP_573181.1
CG13003,NP_001162779.1
CG13004,NP_001245721.1
CG13014,NP_573134.1
CG13016,NP_610929.2
CG13023,NP_648935.1
CG13024,NP_001246806.1
CG13033,NP_648902.1
CG13044,NP_648867.1
CG13055,NP_648851.1
CG13067,NP_648857.1
CG13078,NP_609989.1
CG13081,NP_609985.1
CG13082,NP_609984.2
CG13096,NP_609236.2
CG13097,NP_609237.1
CG13102,NP_609268.2
CG13116,NP_609306.2
CG13117,NP_609307.1
CG13123,NP_609315.1
CG13124,NP_001137811.1
CG13126,NP_609330.1
CG1316,NP_647887.1
CG13177,NP_001097281.1
CG13192,NP_610702.1
CG13197,NP_610696.1
CG13204,NP_610678.1
CG13220,NP_610664.1
CG13227,NP_610646.1
CG13229,NP_610637.1
CG13239,NP_649422.1
CG13248,NP_649219.1
CG13250,NP_649245.1
CG13251,NP_649246.1
CG13252,NP_649248.3
CG13255,NP_652282.1
CG13258,NP_609785.1
CG13285,NP_001246638.1
CG13287,NP_001261454.1
CG13288,NP_001097522.1
CG13293,NP_648024.2
CG13300,NP_648043.1
CG13305,NP_001137913.1
CG13315,NP_652443.1
CG13319,NP_610825.2
CG13321,NP_610831.1
CG13323,NP_610832.1
CG13324,NP_610833.1
CG13325,NP_610836.1
CG13344,NP_610915.2
CG13358,NP_569862.3
CG13361,NP_569855.2
CG13362,NP_569854.1
CG13367,NP_569851.2
CG13369,NP_569850.1
CG13373,NP_001096858.1
CG13384,NP_723383.1
CG13403,NP_572944.1
CG13437,NP_611507.1
CG1344,NP_001260711.1
CG13454,NP_648771.1
CG13457,NP_648751.1
CG13460,NP_648741.2
CG13482,NP_648700.1
CG13488,NP_001286699.1
CG13492,NP_726121.3
CG13506,NP_611666.2
CG13510,NP_611700.2
CG13511,NP_611701.1
CG13532,NP_611728.1
CG1354,NP_001356937.1
CG13559,NP_611801.1
CG13575,NP_611903.1
CG13579,NP_001261169.1
CG13587,NP_611939.1
CG13594,NP_611949.1
CG13606,NP_001287498.1
CG13607,NP_651215.1
CG13625,NP_651272.1
CG13631,NP_652252.1
CG13643,NP_001262938.1
CG13659,NP_651378.1
CG13671,NP_648202.1
CG13676,NP_648179.3
CG13690,NP_608521.1
CG13699,NP_649033.1
CG13707,NP_001246634.1
CG1371,NP_610551.1
CG13713,NP_652709.1
CG13728,NP_648974.3
CG13731,NP_730262.3
CG13737,NP_648666.1
CG13739,NP_610480.2
CG13743,NP_001246214.1
CG13766,NP_609050.1
CG13784,NP_001260176.1
CG13796,NP_723308.2
CG13806,NP_647708.1
CG13810,NP_647697.2
CG13842,NP_651085.2
CG13856,NP_651036.1
CG13857,NP_651035.1
CG13868,NP_001368955.1
CG13891,NP_612036.1
CG13893,NP_612042.3
CG13894,NP_612054.1
CG13907,NP_612069.1
CG13912,NP_612079.1
CG13917,NP_647628.1
CG13920,NP_647639.1
CG13921,NP_001356973.1
CG13924,NP_001189024.1
CG13928,NP_647635.1
CG13937,NP_647673.2
CG13947,NP_608542.1
CG13950,NP_001334728.1
CG13962,NP_610004.1
CG13991,NP_609000.2
CG13992,NP_608975.1
CG13995,NP_608986.1
CG14020,NP_001260097.1
CG14024,NP_608920.1
CG14073,NP_649060.1
CG14075,NP_649080.1
CG14107,NP_648637.2
CG14109,NP_648649.1
CG14131,NP_648506.1
CG14132,NP_001097586.1
CG14160,NP_648380.2
CG1418,NP_610539.1
CG14186,NP_649174.1
CG14196,NP_573367.1
CG14200,NP_573387.1
CG14207,NP_728275.1
CG14210,NP_608328.1
CG14220,NP_608325.1
CG14221,NP_001259713.1
CG14223,NP_608341.1
CG14230,NP_608349.1
CG14237,NP_651479.2
CG14247,NP_651502.2
CG14252,NP_651513.1
CG14253,NP_651517.1
CG14257,NP_001263005.1
CG14273,NP_609213.2
CG14277,NP_609200.1
CG14300,NP_001014639.1
CG14301,NP_650734.2
CG14302,NP_650749.2
CG14304,NP_001247183.1
CG14309,NP_650718.2
CG14322,NP_001262676.1
CG14332,NP_650625.1
CG1440,NP_001285018.1
CG14400,NP_610068.2
CG14408,NP_572971.2
CG14410,NP_572973.2
CG14411,NP_572972.1
CG14414,NP_001285240.1
CG14431,NP_001368974.1
CG14434,NP_001284969.1
CG14435,NP_572359.2
CG14439,NP_572347.1
CG14440,NP_572343.1
CG14441,NP_572344.2
CG14442,NP_001162681.1
CG14445,NP_001284934.1
CG14459,NP_001356911.1
CG14478,NP_611214.1
CG14502,NP_611311.1
CG14505,NP_001036558.1
CG14535,NP_609156.1
CG14562,NP_649372.1
CG14566,NP_649358.1
CG14591,NP_610196.1
CG14598,NP_649722.1
CG14618,NP_608464.1
CG14621,NP_608458.1
CG14629,NP_569881.1
CG14636,NP_001036655.1
CG14642,NP_730791.1
CG14647,NP_649465.6
CG14668,NP_649533.1
CG14669,NP_649537.5
CG14671,NP_649550.1
CG1468,NP_572585.3
CG14687,NP_650018.1
CG14694,NP_650028.1
CG14712,NP_650096.1
CG14762,NP_610346.1
CG14763,NP_610340.1
CG14767,NP_652400.3
CG14780,NP_569920.2
CG14817,NP_569953.1
CG14826,NP_648088.1
CG14830,NP_648095.2
CG14860,NP_650403.2
CG14883,NP_650547.1
CG14892,NP_650562.1
CG14931,NP_001260389.1
CG14932,NP_001162956.1
CG14937,NP_609518.1
CG14960,NP_647797.1
CG14961,NP_647808.1
CG14966,NP_647784.1
CG14968,NP_647800.1
CG14982,NP_647841.1
CG14984,NP_647844.2
CG14985,NP_647846.2
CG14989,NP_001246611.1
CG14990,NP_647856.2
CG14995,NP_728933.1
CG15019,NP_001097502.1
CG15021,NP_647902.1
CG15027,NP_572999.1
CG15043,NP_573300.1
CG15044,NP_573299.1
CG15073,NP_611362.2
CG15082,NP_611378.1
CG15093,NP_611373.1
CG15096,NP_611376.1
CG15097,NP_001261079.1
CG15098,NP_611379.2
CG15099,NP_001261081.1
CG15115,NP_611391.2
CG15118,NP_611396.1
CG1513,NP_610534.3
CG15152,NP_609865.1
CG15153,NP_609863.1
CG15160,NP_001286047.1
CG15170,NP_001286080.1
CG15186,NP_001246950.1
CG15196,NP_572715.2
CG15199,NP_572689.1
CG15201,NP_572691.1
CG15202,NP_572690.1
CG15210,NP_652465.1
CG15211,NP_001096945.1
CG15233,NP_610214.2
CG15236,NP_610241.1
CG15239,NP_570081.2
CG15247,NP_572584.1
CG15279,NP_609726.1
CG15282,NP_609716.2
CG15286,NP_609706.2
CG15312,NP_572601.1
CG15322,NP_608371.2
CG15347,NP_572479.1
CG15356,NP_608633.1
CG15365,NP_572516.1
CG1537,NP_572678.1
CG15382,NP_608650.1
CG15412,NP_001097072.1
CG15414,NP_608784.1
CG1542,NP_651850.1
CG15422,NP_608814.1
CG15431,NP_608831.1
CG15445,NP_728390.1
CG1545,NP_572677.2
CG15456,NP_652292.1
CG15465,NP_572206.1
CG15478,NP_572400.1
CG15515,NP_001263088.1
CG15517,NP_651745.1
CG15522,NP_651749.1
CG15528,NP_651767.2
CG15537,NP_001097981.1
CG15544,NP_651828.2
CG15550,NP_651835.1
CG15564,NP_651855.1
CG15611,NP_611189.2
CG15617,NP_611151.1
CG15628,NP_001260047.1
CG15646,NP_573051.1
CG15657,NP_611554.1
CG15673,NP_611591.3
CG15695,NP_650920.3
CG1572,NP_572726.1
CG15725,NP_572823.1
CG15743,NP_572869.1
CG15756,NP_572895.1
CG15765,NP_572269.1
CG15767,NP_572264.1
CG15773,NP_572251.1
CG1578,NP_001285140.1
CG15784,NP_572223.1
CG15803,NP_650713.2
CG15822,NP_647693.2
CG15824,NP_608555.2
CG15865,NP_573143.1
CG15876,NP_647925.1
CG15877,NP_647718.1
CG15890,NP_572968.1
CG15894,NP_001096891.1
CG15905,NP_611436.2
CG15914,NP_573084.1
CG15922,NP_652228.1
CG1598,NP_610296.2
CG1607,NP_001263139.1
CG1632,NP_572467.1
CG1635,NP_651873.3
CG1636,NP_572470.3
CG1647,NP_651636.1
CG1648,NP_610518.1
CG1662,NP_572883.1
CG1663,NP_610521.1
CG16700,NP_573191.1
CG1671,NP_610526.1
CG16711,NP_648347.2
CG1677,NP_001284977.1
CG16779,NP_649896.2
CG16798,NP_610030.1
CG16812,NP_609619.1
CG16820,NP_609627.1
CG16854,NP_001245974.1
CG16868,NP_611469.1
CG1688,NP_610516.1
CG16894,NP_611455.1
CG1695,NP_728346.2
CG16952,NP_001356947.1
CG16953,NP_650897.3
CG16959,NP_001189109.1
CG1698,NP_610517.1
CG16989,NP_569860.3
CG17002,NP_610253.1
CG17027,NP_648823.1
CG1703,NP_572736.1
CG17032,NP_648817.1
CG17047,NP_610865.1
CG17068,NP_608379.1
CG17075,NP_608508.1
CG17104,NP_609433.1
CG17107,NP_609435.1
CG17110,NP_651121.1
CG17111,NP_651119.2
CG17121,NP_651114.1
CG17122,NP_730506.1
CG17124,NP_609450.1
CG17145,NP_649192.2
CG17193,NP_652224.1
CG17202,NP_650194.1
CG17211,NP_609552.1
CG1722,NP_608443.1
CG17221,NP_608746.1
CG17230,NP_650077.1
CG17233,NP_730499.1
CG17266,NP_610224.1
CG17270,NP_650915.1
CG17271,NP_001036734.1
CG17321,NP_609915.1
CG17350,NP_609958.1
CG17362,NP_648676.2
CG1737,NP_572711.2
CG17378,NP_609073.2
CG17385,NP_610962.1
CG17508,NP_652101.2
CG17544,NP_609961.2
CG17549,NP_724178.1
CG17572,NP_609941.2
CG17597,NP_609912.1
CG17598,NP_608468.1
CG17612,NP_608824.1
CG17636,NP_001096854.1
CG17646,NP_608618.1
CG17672,NP_001036603.1
CG17683,NP_001036428.1
CG17707,NP_001284731.1
CG17712,NP_608619.1
CG17721,NP_001247041.1
CG17738,NP_650172.1
CG17754,NP_727331.1
CG17776,NP_652509.1
CG17786,NP_651231.1
CG17816,NP_001097705.1
CG17826,NP_648528.1
CG17834,NP_609242.2
CG17839,NP_996085.2
CG1785,NP_572502.1
CG17855,NP_609294.1
CG1789,NP_572504.1
CG17896,NP_569845.2
CG17917,NP_649642.1
CG17928,NP_609810.1
CG17929,NP_650532.2
CG17930,NP_650533.1
CG17991,NP_651547.1
CG17994,NP_610212.1
CG1806,NP_572773.1
CG1812,NP_608397.1
CG18130,NP_572772.1
CG18135,NP_788524.1
CG18178,NP_648350.1
CG18180,NP_648341.1
CG18213,NP_001287368.1
CG18249,NP_001163549.1
CG18265,NP_648982.1
CG18273,NP_569843.2
CG18336,NP_652387.1
CG18343,NP_610728.1
CG18467,NP_611211.3
CG18473,NP_731339.1
CG18480,NP_609761.1
CG1850,NP_610265.1
CG18507,NP_001260447.1
CG18508,NP_652721.1
CG18536,NP_611312.1
CG18547,NP_650138.1
CG18598,NP_650698.1
CG18599,NP_650701.1
CG18622,NP_650579.1
CG18628,NP_648401.1
CG18659,NP_001188890.1
CG18745,NP_652648.1
CG18747,NP_652650.2
CG18748,NP_001097702.1
CG18764,NP_652712.2
CG18858,NP_652700.1
CG18870,NP_652704.1
CG1902,NP_610507.1
CG1910,NP_651888.1
CG1943,NP_649691.1
CG1983,NP_651776.2
CG2003,NP_651903.2
CG2006,NP_001189310.1
CG2065,NP_610309.1
CG2082,NP_001246935.1
CG2116,NP_572444.2
CG2121,NP_001137618.1
CG2147,NP_572465.1
CG2162,NP_001163332.2
CG2186,NP_001368978.1
CG2200,NP_572852.1
CG2201,NP_724348.1
CG2202,NP_572657.2
CG2218,NP_651790.1
CG2224,NP_651796.1
CG2225,NP_001260677.1
CG2258,NP_572439.1
CG2260,NP_572441.1
CG2269,NP_724880.1
CG2310,NP_651694.1
CG2321,NP_651692.2
CG2444,NP_572739.1
CG2519,NP_001262286.1
CG2608,NP_610042.1
CG2641,NP_649737.1
CG2656,NP_649699.1
CG2663,NP_730931.1
CG2681,NP_570022.2
CG2736,NP_611991.1
CG2747,NP_001163547.1
CG2765,NP_001097451.1
CG2794,NP_608533.1
CG2811,NP_001246514.1
CG2816,NP_608803.2
CG2852,NP_611695.1
CG2861,NP_001259246.1
CG2865,NP_569997.1
CG2889,NP_572632.1
CG2921,NP_611635.1
CG2924,NP_569994.1
CG2930,NP_788855.1
CG2938,NP_570085.1
CG2972,NP_572603.1
CG2975,NP_608719.1
CG2991,NP_608725.1
CG30010,NP_724847.2
CG30015,NP_001260873.1
CG30020,NP_610627.2
CG30046,NP_725129.1
CG3008,NP_608871.1
CG30089,NP_611056.2
CG30091,NP_725484.1
CG30116,NP_611338.1
