,Model_nodos,NCBI_Product_accesion,Ast,a,a2,Homo,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
17,CETP,NP_000069.2,Astyanax_pachon,KAG9273157.1,CETP,Homo_sapiens,NP_000069.2,CETP,4.4599999999999996e-108,392.0,6.7e-109,392.0
18,CHRNA1,NP_000070.1,Astyanax_pachon,KAG9271466.1,CHRNA1,Homo_sapiens,NP_000070.1,CHRNA1,3.8e-204,711.0,5.81e-205,711.0
19,CHRNA1,NP_000070.1,Astyanax_pachon,KAG9277591.1,CHRNA1,Homo_sapiens,NP_000070.1,CHRNA1,1.26e-199,696.0,1.9100000000000002e-200,696.0
20,COL1A2,NP_000080.2,,,,,,,,,,
21,COL4A3,NP_000082.2,,,,,,,,,,
22,COMP,NP_000086.2,Astyanax_pachon,KAG9266766.1,THBS4,Homo_sapiens,NP_000086.2,COMP,2.78e-219,762.0,4.28e-220,762.0
23,CYP17A1,NP_000093.1,Astyanax_pachon,KAG9275388.1,CYP17A1,Homo_sapiens,NP_000093.1,CYP17A1,2.45e-130,466.0,3.65e-131,466.0
24,CYP1B1,NP_000095.2,Astyanax_pachon,KAG9268172.1,CYP1B1,Homo_sapiens,NP_000095.2,CYP1B1,8.81e-145,514.0,1.39e-145,514.0
25,CYP1B1,NP_000095.2,Astyanax_pachon,KAG9275526.1,CYP1B1,Homo_sapiens,NP_000095.2,CYP1B1,1.07e-148,527.0,1.69e-149,527.0
26,SLC26A3,NP_000102.1,Astyanax_pachon,KAG9280332.1,SLC26A3,Homo_sapiens,NP_000102.1,SLC26A3,1.17e-212,740.0,1.8100000000000003e-213,740.0
27,SLC26A3,NP_000102.1,Astyanax_pachon,KAG9280333.1,SLC26A3,Homo_sapiens,NP_000102.1,SLC26A3,1.2400000000000002e-212,740.0,1.8100000000000003e-213,740.0
28,EPOR,NP_000112.1,Astyanax_pachon,KAG9264523.1,EPOR,Homo_sapiens,NP_000112.1,EPOR,5.14e-40,166.0,7.44e-41,166.0
29,ERCC5,NP_000114.3,Astyanax_pachon,KAG9262187.1,ERCC5,Homo_sapiens,NP_000114.3,ERCC5,3.48e-193,676.0,5.18e-194,676.0
30,EXT1,NP_000118.2,Astyanax_pachon,KAG9279896.1,EXT1B,Homo_sapiens,NP_000118.2,EXT1,0.0,1276.0,0.0,1276.0
31,EXT1,NP_000118.2,Astyanax_pachon,KAG9283741.1,EXT1A,Homo_sapiens,NP_000118.2,EXT1,0.0,1306.0,0.0,1306.0
32,F13A1,NP_000120.2,,,,,,,,,,
33,F8,NP_000123.1,Astyanax_pachon,KAG9263782.1,F8,Homo_sapiens,NP_000123.1,F8,0.0,1045.0,0.0,1045.0
34,F9,NP_000124.1,Astyanax_pachon,KAG9263220.1,F9,Homo_sapiens,NP_000124.1,F9,2.62e-115,416.0,3.73e-116,416.0
35,FABP2,NP_000125.2,Astyanax_pachon,KAG9259989.1,FABP2,Homo_sapiens,NP_000125.2,FABP2,7.539999999999999e-48,190.0,1.1499999999999999e-48,190.0
36,FANCA,NP_000126.2,Astyanax_pachon,KAG9272099.1,FANCA,Homo_sapiens,NP_000126.2,FANCA,1.05e-218,761.0,1.64e-219,761.0
37,FXN,NP_000135.2,Astyanax_pachon,KAG9269992.1,FXN,Homo_sapiens,NP_000135.2,FXN,8.36e-40,164.0,1.2299999999999999e-40,164.0
38,GALT,NP_000146.2,Astyanax_pachon,KAG9263466.1,GALT,Homo_sapiens,NP_000146.2,GALT,3.58e-155,548.0,5.640000000000001e-156,548.0
39,GJA1,NP_000156.1,Astyanax_pachon,KAG9268927.1,GJA1,Homo_sapiens,NP_000156.1,GJA1,5.94e-117,421.0,9.67e-118,421.0
40,GLI3,NP_000159.3,Astyanax_pachon,KAG9283514.1,GLI3,Homo_sapiens,NP_000159.3,GLI3,0.0,1145.0,0.0,1145.0
41,GLRA1,NP_000162.2,Astyanax_pachon,KAG9272501.1,GLRA1,Homo_sapiens,NP_000162.2,GLRA1,2.03e-226,785.0,3.02e-227,785.0
42,GP1BA,NP_000164.5,,,,,,,,,,
43,CFH,NP_000177.2,Astyanax_pachon,KAG9266810.1,CFH,Homo_sapiens,NP_000177.2,CFH,3e-76,287.0,6.79e-77,287.0
44,TBX5,NP_000183.2,Astyanax_pachon,KAG9281886.1,TBX5A,Homo_sapiens,NP_000183.2,TBX5,1.56e-221,769.0,2.2900000000000002e-222,769.0
45,HSD11B2,NP_000187.3,Astyanax_pachon,KAG9260904.1,HSD11B2,Homo_sapiens,NP_000187.3,HSD11B2,7.25e-80,298.0,1.09e-80,298.0
46,ICAM1,NP_000192.2,,,,,,,,,,
47,IL2RG,NP_000197.1,Astyanax_pachon,KAG9263211.1,IL2RG,Homo_sapiens,NP_000197.1,IL2RG,7.61e-28,125.0,1.19e-28,125.0
48,PDX1,NP_000200.1,Astyanax_pachon,KAG9283344.1,PDX1,Homo_sapiens,NP_000200.1,PDX1,2.51e-56,219.0,4.6e-57,219.0
49,ITGB2,NP_000202.3,Astyanax_pachon,KAG9271628.1,ITGB2,Homo_sapiens,NP_000202.3,ITGB2,1.82e-195,683.0,2.63e-196,683.0
50,ITGB3,NP_000203.2,Astyanax_pachon,KAG9268029.1,ITGB3,Homo_sapiens,NP_000203.2,ITGB3,0.0,1058.0,0.0,1058.0
51,JAG1,NP_000205.1,Astyanax_pachon,KAG9259854.1,JAG1B,Homo_sapiens,NP_000205.1,JAG1,1.03e-231,804.0,1.56e-232,804.0
52,KRT12,NP_000214.1,,,,,,,,,,
53,LCAT,NP_000220.1,Astyanax_pachon,KAG9272009.1,LCAT,Homo_sapiens,NP_000220.1,LCAT,1.3600000000000002e-156,553.0,2.05e-157,553.0
54,LEP,NP_000221.1,,,,,,,,,,
55,LIPC,NP_000227.2,Astyanax_pachon,KAG9280856.1,LIPC,Homo_sapiens,NP_000227.2,LIPC,2.22e-111,403.0,3.31e-112,403.0
56,LPL,NP_000228.1,Astyanax_pachon,KAG9266657.1,LPL,Homo_sapiens,NP_000228.1,LPL,3.53e-169,595.0,5.02e-170,595.0
57,KCNH2,NP_000229.1,Astyanax_pachon,KAG9265091.1,KCNH2,Homo_sapiens,NP_000229.1,KCNH2,0.0,1280.0,0.0,1280.0
58,LYZ,NP_000230.1,Astyanax_pachon,KAG9263502.1,KAG9263502.1,Homo_sapiens,NP_000230.1,LYZ,2.14e-42,172.0,3.3900000000000004e-43,172.0
59,MAOA,NP_000231.1,Astyanax_pachon,KAG9271095.1,MAO,Homo_sapiens,NP_000231.1,MAOA,7.359999999999999e-225,780.0,1.1399999999999999e-225,780.0
60,MEFV,NP_000234.1,Astyanax_pachon,KAG9274337.1,KAG9274337.1,Homo_sapiens,NP_000234.1,MEFV,1.3e-49,198.0,2.66e-50,198.0
61,MLH1,NP_000240.1,Astyanax_pachon,KAG9274816.1,MLH1,Homo_sapiens,NP_000240.1,MLH1,1.45e-297,1022.0,2.31e-298,1022.0
62,MPO,NP_000241.1,Astyanax_pachon,KAG9263346.1,MPO,Homo_sapiens,NP_000241.1,MPO,3.32e-191,669.0,4.1700000000000004e-192,669.0
63,MPO,NP_000241.1,Astyanax_pachon,KAG9263347.1,MPO,Homo_sapiens,NP_000241.1,MPO,1.0499999999999999e-189,664.0,1.33e-190,664.0
64,MTTP,NP_000244.2,Astyanax_pachon,KAG9259723.1,MTTP,Homo_sapiens,NP_000244.2,MTTP,6.52e-278,957.0,1.01e-278,957.0
65,NCF1,NP_000256.4,Astyanax_pachon,KAG9282050.1,NCF1,Homo_sapiens,NP_000256.4,NCF1,8.230000000000001e-124,444.0,1.1800000000000001e-124,444.0
66,PGK1,NP_000282.1,Astyanax_pachon,KAG9265883.1,PGK1,Homo_sapiens,NP_000282.1,PGK1,3.3100000000000006e-210,731.0,5.06e-211,731.0
67,PKLR,NP_000289.1,Astyanax_pachon,KAG9276287.1,PKM,Homo_sapiens,NP_000289.1,PKLR,3.4900000000000004e-212,738.0,5.4400000000000005e-213,738.0
68,PLG,NP_000292.1,Astyanax_pachon,KAG9283045.1,PLG,Homo_sapiens,NP_000292.1,PLG,8.539999999999999e-292,1003.0,1.2999999999999998e-292,1003.0
69,POU1F1,NP_000297.1,,,,,,,,,,
70,POU3F4,NP_000298.3,Astyanax_pachon,KAG9271924.1,POU3F4,Homo_sapiens,NP_000298.3,POU3F4,1.08e-156,553.0,1.6800000000000003e-157,553.0
71,PROS1,NP_000304.2,Astyanax_pachon,KAG9262318.1,PROS1,Homo_sapiens,NP_000304.2,PROS1,2.6699999999999998e-182,639.0,4.06e-183,639.0
72,RB1,NP_000312.2,,,,,,,,,,
73,RS1,NP_000321.1,Astyanax_pachon,KAG9261034.1,XLRS1,Homo_sapiens,NP_000321.1,RS1,4.7999999999999995e-90,331.0,7.02e-91,331.0
74,SLC3A1,NP_000332.2,Astyanax_pachon,KAG9275136.1,SLC3A1,Homo_sapiens,NP_000332.2,SLC3A1,6.9e-208,724.0,1.0600000000000002e-208,724.0
75,SLC5A1,NP_000334.1,Astyanax_pachon,KAG9263321.1,SLC5A1,Homo_sapiens,NP_000334.1,SLC5A1,4.34e-262,904.0,6.73e-263,904.0
76,SLC5A1,NP_000334.1,Astyanax_pachon,KAG9263322.1,SLC5A1,Homo_sapiens,NP_000334.1,SLC5A1,4.21e-268,924.0,6.42e-269,924.0
77,SOX9,NP_000337.1,Astyanax_pachon,KAG9264569.1,SOX9,Homo_sapiens,NP_000337.1,SOX9,2.44e-180,632.0,3.91e-181,632.0
78,STAR,NP_000340.2,Astyanax_pachon,KAG9270548.1,STAR,Homo_sapiens,NP_000340.2,STAR,5.19e-105,381.0,7.93e-106,381.0
79,TAT,NP_000344.1,Astyanax_pachon,KAG9273051.1,TAT,Homo_sapiens,NP_000344.1,TAT,1.83e-188,659.0,2.6e-189,659.0
80,TCN2,NP_000346.2,,,,,,,,,,
81,TGFBI,NP_000349.1,Astyanax_pachon,KAG9272518.1,TGFBI,Homo_sapiens,NP_000349.1,TGFBI,2.65e-241,835.0,4.089999999999999e-242,835.0
82,TH,NP_000351.2,Astyanax_pachon,KAG9281130.1,TH,Homo_sapiens,NP_000351.2,TH,2.8799999999999997e-190,665.0,4.4499999999999994e-191,665.0
83,THBD,NP_000352.1,Astyanax_pachon,KAG9282552.1,THBD,Homo_sapiens,NP_000352.1,THBD,4.79e-49,196.0,7.85e-50,196.0
84,TIMP3,NP_000353.1,Astyanax_pachon,KAG9280582.1,TIMP3,Homo_sapiens,NP_000353.1,TIMP3,8.53e-93,340.0,1.29e-93,340.0
85,TNNI3,NP_000354.4,,,,,,,,,,
86,TYR,NP_000363.1,Astyanax_pachon,KAG9263668.1,TYR,Homo_sapiens,NP_000363.1,TYR,2.4600000000000003e-192,672.0,3.7e-193,672.0
87,TYR,NP_000363.1,Astyanax_pachon,KAG9265280.1,TYR,Homo_sapiens,NP_000363.1,TYR,7.89e-191,667.0,1.18e-191,667.0
88,AIRE,NP_000374.1,Astyanax_pachon,KAG9264757.1,AIRE,Homo_sapiens,NP_000374.1,AIRE,1.9e-67,257.0,3.23e-68,257.0
89,APOB,NP_000375.3,Astyanax_pachon,KAG9268103.1,APOB,Homo_sapiens,NP_000375.3,APOB,0.0,2241.0,0.0,2241.0
90,BLMH,NP_000377.1,Astyanax_pachon,KAG9265097.1,BLMH,Homo_sapiens,NP_000377.1,BLMH,2.37e-205,715.0,3.62e-206,715.0
91,SLC25A20,NP_000378.1,Astyanax_pachon,KAG9269844.1,SLC25A20,Homo_sapiens,NP_000378.1,SLC25A20,1.03e-113,410.0,1.56e-114,410.0
92,ABCC2,NP_000383.2,Astyanax_pachon,KAG9260121.1,ABCC2,Homo_sapiens,NP_000383.2,ABCC2,0.0,1719.0,0.0,1719.0
93,CTSK,NP_000387.1,Astyanax_pachon,KAG9276598.1,CTSK,Homo_sapiens,NP_000387.1,CTSK,5.2300000000000005e-123,441.0,7.94e-124,441.0
94,CYBB,NP_000388.2,Astyanax_pachon,KAG9261019.1,CYBB,Homo_sapiens,NP_000388.2,CYBB,1.3800000000000002e-226,786.0,1.92e-227,786.0
95,G6PD,NP_000393.4,Astyanax_pachon,KAG9269299.1,G6PD,Homo_sapiens,NP_000393.4,G6PD,2.06e-238,825.0,3.3399999999999996e-239,825.0
96,GP1BB,NP_000398.1,Astyanax_pachon,KAG9270625.1,GP1BB,Homo_sapiens,NP_000398.1,GP1BB,4.28e-28,125.0,6.64e-29,125.0
97,IFNGR1,NP_000407.1,,,,,,,,,,
98,KRT17,NP_000413.1,Astyanax_pachon,KAG9279477.1,KAG9279477.1,Homo_sapiens,NP_000413.1,KRT17,2.7900000000000003e-97,356.0,4.03e-98,356.0
99,KRT17,NP_000413.1,Astyanax_pachon,KAG9279478.1,KAG9279478.1,Homo_sapiens,NP_000413.1,KRT17,6.44e-98,358.0,1.01e-98,358.0
100,KRT17,NP_000413.1,Astyanax_pachon,KAG9279479.1,KAG9279479.1,Homo_sapiens,NP_000413.1,KRT17,2.06e-96,353.0,3.23e-97,353.0
101,KRT5,NP_000415.2,,,,,,,,,,
102,PCSK1,NP_000430.3,Astyanax_pachon,KAG9266302.1,PCSK1,Homo_sapiens,NP_000430.3,PCSK1,0.0,1090.0,0.0,1090.0
103,SLC26A4,NP_000432.1,Astyanax_pachon,KAG9280334.1,SLC26A4,Homo_sapiens,NP_000432.1,SLC26A4,1.8099999999999998e-220,766.0,2.75e-221,766.0
104,SLC26A4,NP_000432.1,Astyanax_pachon,KAG9280335.1,SLC26A4,Homo_sapiens,NP_000432.1,SLC26A4,1.8500000000000002e-217,756.0,2.82e-218,756.0
105,PON1,NP_000437.3,,,,,,,,,,
106,PSEN2,NP_000438.2,Astyanax_pachon,KAG9262632.1,PSEN2,Homo_sapiens,NP_000438.2,PSEN2,2.09e-161,569.0,3.18e-162,569.0
107,RAG1,NP_000439.2,Astyanax_pachon,KAG9281088.1,RAG1,Homo_sapiens,NP_000439.2,RAG1,0.0,1199.0,0.0,1199.0
108,SELE,NP_000441.2,,,,,,,,,,
109,SLC10A2,NP_000443.2,Astyanax_pachon,KAG9271177.1,SLC10A2,Homo_sapiens,NP_000443.2,SLC10A2,2.89e-123,442.0,4.2e-124,442.0
110,SOD1,NP_000445.1,Astyanax_pachon,KAG9263678.1,SOD1,Homo_sapiens,NP_000445.1,SOD1,4.07e-57,221.0,6.26e-58,221.0
111,STK11,NP_000446.1,Astyanax_pachon,KAG9278646.1,STK11,Homo_sapiens,NP_000446.1,STK11,1.53e-197,689.0,2.3100000000000003e-198,689.0
112,TEK,NP_000450.3,Astyanax_pachon,KAG9281652.1,TIE2,Homo_sapiens,NP_000450.3,TEK,0.0,1118.0,0.0,1118.0
113,UGT1A1,NP_000454.1,Astyanax_pachon,KAG9271745.1,UGT1A5,Homo_sapiens,NP_000454.1,UGT1A1,5.1000000000000004e-155,548.0,7.93e-156,548.0
114,TWIST1,NP_000465.1,,,,,,,,,,
115,NR0B1,NP_000466.2,Astyanax_pachon,KAG9261013.1,NR0B1,Homo_sapiens,NP_000466.2,NR0B1,4.3799999999999995e-61,235.0,1.17e-61,235.0
116,ALB,NP_000468.1,,,,,,,,,,
117,ALPL,NP_000469.3,Astyanax_pachon,KAG9260765.1,KAG9260765.1,Homo_sapiens,NP_000469.3,ALPL,4.0700000000000006e-213,741.0,6.21e-214,741.0
118,AMH,NP_000470.3,Astyanax_pachon,KAG9266835.1,AMH,Homo_sapiens,NP_000470.3,AMH,6.54e-14,79.3,1.03e-14,79.3
119,APOA4,NP_000473.2,,,,,,,,,,
120,AVP,NP_000481.2,Astyanax_pachon,KAG9270647.1,KAG9270647.1,Homo_sapiens,NP_000481.2,AVP,1.26e-36,153.0,1.97e-37,153.0
121,AVP,NP_000481.2,Astyanax_pachon,KAG9281625.1,KAG9281625.1,Homo_sapiens,NP_000481.2,AVP,1.0100000000000001e-35,150.0,1.57e-36,150.0
122,AVP,NP_000481.2,Astyanax_pachon,KAG9281896.1,KAG9281896.1,Homo_sapiens,NP_000481.2,AVP,1.56e-34,146.0,2.5200000000000003e-35,146.0
123,CFTR,NP_000483.3,Astyanax_pachon,KAG9273217.1,CFTR,Homo_sapiens,NP_000483.3,CFTR,0.0,1598.0,0.0,1598.0
124,COL10A1,NP_000484.2,,,,,,,,,,
125,CYP11B2,NP_000489.3,Astyanax_pachon,KAG9276288.1,CYP11B,Homo_sapiens,NP_000489.3,CYP11B2,3.13e-108,393.0,3.42e-109,393.0
126,F10,NP_000495.1,Astyanax_pachon,KAG9262332.1,KAG9262332.1,Homo_sapiens,NP_000495.1,F10,2.43e-130,466.0,3.51e-131,466.0
127,F12,NP_000496.2,,,,,,,,,,
128,FBP1,NP_000498.2,Astyanax_pachon,KAG9261740.1,FBP1,Homo_sapiens,NP_000498.2,FBP1,2.05e-156,552.0,3.1400000000000003e-157,552.0
129,FBP1,NP_000498.2,Astyanax_pachon,KAG9281926.1,FBP1,Homo_sapiens,NP_000498.2,FBP1,8.2e-156,550.0,1.26e-156,550.0
130,FGG,NP_000500.2,Astyanax_pachon,KAG9259983.1,FGG,Homo_sapiens,NP_000500.2,FGG,2.37e-140,499.0,3.66e-141,499.0
131,HBA2,NP_000508.1,Astyanax_pachon,KAG9280087.1,KAG9280087.1,Homo_sapiens,NP_000508.1,HBA2,5.61e-37,154.0,8.52e-38,154.0
132,HBA2,NP_000508.1,Astyanax_pachon,KAG9280093.1,HBA,Homo_sapiens,NP_000508.1,HBA2,8.77e-39,160.0,1.33e-39,160.0
133,HBA2,NP_000508.1,Astyanax_pachon,KAG9280095.1,HBA,Homo_sapiens,NP_000508.1,HBA2,2.8100000000000003e-37,155.0,4.26e-38,155.0
134,HBA2,NP_000508.1,Astyanax_pachon,KAG9280099.1,KAG9280099.1,Homo_sapiens,NP_000508.1,HBA2,2.25e-36,152.0,3.4100000000000004e-37,152.0
135,HBB,NP_000509.1,Astyanax_pachon,KAG9280088.1,HBB2,Homo_sapiens,NP_000509.1,HBB,2.15e-44,179.0,2.6299999999999997e-45,179.0
136,HBD,NP_000510.1,Astyanax_pachon,KAG9280088.1,HBB2,Homo_sapiens,NP_000510.1,HBD,1.72e-43,176.0,2.1e-44,176.0
137,HOXD13,NP_000514.2,,,,,,,,,,
138,HTR1A,NP_000515.2,Astyanax_pachon,KAG9265546.1,HTR1A-B,Homo_sapiens,NP_000515.2,HTR1A,4.46e-143,508.0,6.9e-144,508.0
139,KCNJ11,NP_000516.3,Astyanax_pachon,KAG9281119.1,KCNJ11,Homo_sapiens,NP_000516.3,KCNJ11,3.01e-154,545.0,4.64e-155,545.0
140,KRT14,NP_000517.3,Astyanax_pachon,KAG9279477.1,KAG9279477.1,Homo_sapiens,NP_000517.3,KRT14,1.39e-97,357.0,2.2e-98,357.0
141,KRT14,NP_000517.3,Astyanax_pachon,KAG9279478.1,KAG9279478.1,Homo_sapiens,NP_000517.3,KRT14,2.06e-96,353.0,3.5300000000000003e-97,353.0
142,KRT14,NP_000517.3,Astyanax_pachon,KAG9279479.1,KAG9279479.1,Homo_sapiens,NP_000517.3,KRT14,8.23e-96,351.0,1.41e-96,351.0
143,LDLR,NP_000518.1,Astyanax_pachon,KAG9264331.1,LDLR,Homo_sapiens,NP_000518.1,LDLR,1.9500000000000003e-167,590.0,2.91e-168,590.0
144,RAG2,NP_000527.2,Astyanax_pachon,KAG9281087.1,RAG2,Homo_sapiens,NP_000527.2,RAG2,2.0700000000000002e-154,546.0,3.14e-155,546.0
145,REN,NP_000528.1,Astyanax_pachon,KAG9270348.1,REN,Homo_sapiens,NP_000528.1,REN,5.25e-113,408.0,8.42e-114,408.0
146,RFXAP,NP_000529.1,,,,,,,,,,
147,RHO,NP_000530.1,Astyanax_pachon,KAG9270219.1,RHO,Homo_sapiens,NP_000530.1,RHO,1.37e-154,546.0,2.07e-155,546.0
148,RHO,NP_000530.1,Astyanax_pachon,KAG9270262.1,RHO,Homo_sapiens,NP_000530.1,RHO,8.409999999999999e-159,560.0,1.26e-159,560.0
149,TP53,NP_000537.3,Astyanax_pachon,KAG9281523.1,TP53,Homo_sapiens,NP_000537.3,TP53,8.23e-84,311.0,1.29e-84,311.0
150,TSHB,NP_000540.2,Astyanax_pachon,KAG9277040.1,TSHB,Homo_sapiens,NP_000540.2,TSHB,7.960000000000001e-29,127.0,1.1100000000000001e-29,127.0
151,TYRP1,NP_000541.1,Astyanax_pachon,KAG9259912.1,TYRP1,Homo_sapiens,NP_000541.1,TYRP1,1.63e-212,739.0,2.5500000000000002e-213,739.0
152,TYRP1,NP_000541.1,Astyanax_pachon,KAG9259950.1,TYRP1,Homo_sapiens,NP_000541.1,TYRP1,8.55e-207,720.0,1.33e-207,720.0
153,VHL,NP_000542.1,Astyanax_pachon,KAG9277168.1,VHL,Homo_sapiens,NP_000542.1,VHL,6.52e-40,164.0,1.25e-40,164.0
154,VWF,NP_000543.3,Astyanax_pachon,KAG9272994.1,VWF,Homo_sapiens,NP_000543.3,VWF,0.0,2701.0,0.0,2701.0
155,WRN,NP_000544.2,Astyanax_pachon,KAG9263527.1,WRN,Homo_sapiens,NP_000544.2,WRN,0.0,1148.0,0.0,1148.0
156,CRX,NP_000545.1,,,,,,,,,,
157,GDF5,NP_000548.2,Astyanax_pachon,KAG9259419.1,GDF5,Homo_sapiens,NP_000548.2,GDF5,3.24e-126,452.0,5.9e-127,452.0
158,GDF5,NP_000548.2,Astyanax_pachon,KAG9277681.1,GDF5,Homo_sapiens,NP_000548.2,GDF5,1.3e-125,450.0,2.36e-126,450.0
159,HBA1,NP_000549.1,Astyanax_pachon,KAG9280087.1,KAG9280087.1,Homo_sapiens,NP_000549.1,HBA1,5.61e-37,154.0,8.52e-38,154.0
160,HBA1,NP_000549.1,Astyanax_pachon,KAG9280093.1,HBA,Homo_sapiens,NP_000549.1,HBA1,8.77e-39,160.0,1.33e-39,160.0
161,HBA1,NP_000549.1,Astyanax_pachon,KAG9280095.1,HBA,Homo_sapiens,NP_000549.1,HBA1,2.8100000000000003e-37,155.0,4.26e-38,155.0
162,HBA1,NP_000549.1,Astyanax_pachon,KAG9280099.1,KAG9280099.1,Homo_sapiens,NP_000549.1,HBA1,2.25e-36,152.0,3.4100000000000004e-37,152.0
163,HBG1,NP_000550.2,Astyanax_pachon,KAG9280088.1,HBB2,Homo_sapiens,NP_000550.2,HBG1,8.61e-44,177.0,1.05e-44,177.0
164,IL5RA,NP_000555.2,Astyanax_pachon,KAG9262364.1,IL5RA,Homo_sapiens,NP_000555.2,IL5RA,9.91e-13,74.7,1.88e-13,74.7
165,IL10,NP_000563.1,Astyanax_pachon,KAG9260526.1,IL10,Homo_sapiens,NP_000563.1,IL10,2.21e-19,95.9,3.3e-20,95.9
166,IL1B,NP_000567.1,Astyanax_pachon,KAG9262952.1,IL1B,Homo_sapiens,NP_000567.1,IL1B,2.23e-15,83.2,3.32e-16,83.2
167,IL1B,NP_000567.1,Astyanax_pachon,KAG9262953.1,IL1B,Homo_sapiens,NP_000567.1,IL1B,2.84e-15,83.2,3.32e-16,83.2
168,CXCL8,NP_000575.1,Astyanax_pachon,KAG9259640.1,CXCL8,Homo_sapiens,NP_000575.1,CXCL8,1.02e-10,66.2,1.6e-11,66.2
169,CXCL8,NP_000575.1,Astyanax_pachon,KAG9261719.1,CXCL8,Homo_sapiens,NP_000575.1,CXCL8,1.39e-10,65.9,1.97e-11,65.9
170,IL15,NP_000576.1,,,,,,,,,,
171,IL2,NP_000577.2,,,,,,,,,,
172,IL3,NP_000579.2,,,,,,,,,,
173,IL4,NP_000580.1,,,,,,,,,,
174,TAP1,NP_000584.3,Astyanax_pachon,KAG9283745.1,TAP1,Homo_sapiens,NP_000584.3,TAP1,1.39e-157,557.0,2.17e-158,557.0
175,TNF,NP_000585.2,Astyanax_pachon,KAG9264931.1,TNF,Homo_sapiens,NP_000585.2,TNF,9.82e-15,80.9,1.42e-15,80.9
176,IGFBP5,NP_000590.1,Astyanax_pachon,KAG9271644.1,IGFBP5,Homo_sapiens,NP_000590.1,IGFBP5,2.39e-77,289.0,3.75e-78,289.0
177,IGFBP5,NP_000590.1,Astyanax_pachon,KAG9277900.1,IGFBP5,Homo_sapiens,NP_000590.1,IGFBP5,1.56e-75,283.0,2.4e-76,283.0
178,IL6,NP_000591.1,,,,,,,,,,
179,NOS3,NP_000594.2,,,,,,,,,,
180,IFNA2,NP_000596.2,,,,,,,,,,
181,CD59,NP_000602.1,,,,,,,,,,
182,CD4,NP_000607.1,,,,,,,,,,
183,IFNG,NP_000610.2,,,,,,,,,,
184,NOS1,NP_000611.1,Astyanax_pachon,KAG9261998.1,NOS1,Homo_sapiens,NP_000611.1,NOS1,0.0,2197.0,0.0,2197.0
185,NOS2,NP_000616.3,Astyanax_pachon,KAG9264903.1,NOS2,Homo_sapiens,NP_000616.3,NOS2,0.0,1353.0,0.0,1353.0
186,NOS2,NP_000616.3,Astyanax_pachon,KAG9264904.1,NOS2,Homo_sapiens,NP_000616.3,NOS2,0.0,1363.0,0.0,1363.0
187,BCL2,NP_000624.2,Astyanax_pachon,KAG9273651.1,BCL2,Homo_sapiens,NP_000624.2,BCL2,2.59e-41,169.0,4.38e-42,169.0
