,Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
34,AP-1GAMMA,NP_788891.2,"[('KAG9267157.1', 'AP1G1')]",35
35,AP-1SIGMA,NP_651198.1,"[('KAG9266679.1', 'AP1S2'), ('KAG9269217.1', 'AP1S2'), ('KAG9274258.1', 'AP1S1')]",36
36,APH-1,NP_608710.1,"[('KAG9267205.1', 'APH1B')]",37
37,APPL,NP_001245450.1,"[('KAG9262175.1', 'APP')]",38
38,APRT,NP_476637.1,"[('KAG9261253.1', 'APRT')]",39
39,APS,NP_648421.1,"[('KAG9276910.1', 'NUDT3'), ('KAG9280689.1', 'NUDT4B')]",40
40,ARG,NP_524875.1,"[('KAG9267570.1', 'ARG1')]",41
41,ARI-1,NP_523399.1,"[('KAG9266499.1', 'ARIH1'), ('KAG9273177.1', 'ARIH1')]",42
42,ARI-2,NP_477374.1,"[('KAG9270906.1', 'ARIH2')]",43
43,ARM,NP_476666.1,"[('KAG9263822.1', 'CTNNB1'), ('KAG9276534.1', 'CTNNB1')]",44
44,ARR,NP_524737.2,"[('KAG9272066.1', 'LRP5')]",45
45,ART4,NP_649963.1,"[('KAG9263926.1', 'CARM1')]",46
46,ARU,NP_722663.1,"[('KAG9280577.1', 'EPS8')]",47
47,ASH2,NP_788735.1,"[('KAG9263020.1', 'ASH2L')]",48
48,ASPH,NP_001246357.1,"[('KAG9274038.1', 'ASPH')]",49
49,ATE1,NP_477394.3,"[('KAG9274997.1', 'ATE1')]",50
50,ATG1,NP_648601.1,"[('KAG9265136.1', 'ULK2'), ('KAG9270505.1', 'ULK1')]",51
51,ATG2,NP_647748.1,"[('KAG9268560.1', 'KAG9268560.1')]",52
52,ATG5,NP_572390.1,"[('KAG9278476.1', 'ATG5')]",53
53,ATG6,NP_651209.1,"[('KAG9267249.1', 'BECN1')]",54
54,ATG8A,NP_727447.1,"[('KAG9274238.1', 'GABARAP'), ('KAG9281525.1', 'GABARAP')]",55
55,ATG9,NP_001261023.1,"[('KAG9276102.1', 'ATG9A'), ('KAG9277604.1', 'ATG9A')]",56
56,ATL,NP_651274.1,"[('KAG9261263.1', 'ATL2'), ('KAG9275482.1', 'ATL1')]",57
57,ATMS,NP_649493.1,"[('KAG9265345.1', 'KAG9265345.1')]",58
58,ATPALPHA,NP_732572.1,"[('KAG9262149.1', 'ATP1A1'), ('KAG9262152.1', 'ATP1A1'), ('KAG9262153.1', 'ATP1A1'), ('KAG9271125.1', 'ATP1A1'), ('KAG9275966.1', 'ATP1A3'), ('KAG9279334.1', 'ATP1A3')]",59
59,ATPCL,NP_725514.2,"[('KAG9264241.1', 'ACLY'), ('KAG9267434.1', 'ACLY')]",60
60,AUX,NP_649438.1,"[('KAG9261580.1', 'GAK')]",61
61,AWH,NP_001261379.1,"[('KAG9263277.1', 'LHX6'), ('KAG9278819.1', 'LHX8')]",62
62,B,NP_476788.1,"[('KAG9269034.1', 'CSAD')]",63
63,B52,NP_788671.2,"[('KAG9260293.1', 'SRSF6'), ('KAG9269869.1', 'SRSF6'), ('KAG9274979.1', 'SRSF5')]",64
64,BABO,NP_476999.1,"[('KAG9276696.1', 'TGFBR1'), ('KAG9277053.1', 'ACVR1B')]",65
65,BAF,NP_609176.1,"[('KAG9265855.1', 'BANF1')]",66
66,BAI,NP_651323.3,"[('KAG9282294.1', 'TMED10')]",67
67,BAZ,NP_001285364.1,"[('KAG9278225.1', 'KAG9278225.1')]",68
68,BCHS,NP_608968.2,"[('KAG9261700.1', 'WDFY3')]",69
69,BEG,NP_648950.1,"[('KAG9280325.1', 'MCAT')]",70
70,BEL,NP_536783.1,"[('KAG9271099.1', 'AN3'), ('KAG9277887.1', 'AN3')]",71
71,BEST1,NP_652603.1,"[('KAG9262578.1', 'BEST2'), ('KAG9280517.1', 'BEST3')]",72
72,BETA'COP,NP_524836.2,"[('KAG9273797.1', 'COPB2')]",73
73,BETA-SPEC,NP_001259660.1,"[('KAG9268524.1', 'SPTBN1'), ('KAG9282119.1', 'SPTBN1')]",74
74,BETA4GALT7,NP_651319.2,"[('KAG9272511.1', 'B4GALT7')]",75
75,BETATRY,NP_524904.1,"[('KAG9273414.1', 'KAG9273414.1')]",76
76,BETATUB56D,NP_523795.2,"[('KAG9262731.1', 'TUBB4B'), ('KAG9270469.1', 'KAG9270469.1'), ('KAG9272564.1', 'TUBB4B'), ('KAG9272950.1', 'TUBB3'), ('KAG9274781.1', 'TUBB2A'), ('KAG9275838.1', 'TUBB'), ('KAG9281792.1', 'TUBB4B')]",77
77,BETATUB60D,NP_523842.2,"[('KAG9262731.1', 'TUBB4B'), ('KAG9272950.1', 'TUBB3'), ('KAG9274781.1', 'TUBB2A'), ('KAG9276734.1', 'TUBB6')]",78
78,BGB,NP_001261271.1,"[('KAG9273258.1', 'CBFB')]",79
79,BGM,NP_524698.1,"[('KAG9261834.1', 'ACSBG2'), ('KAG9270083.1', 'ACSBG2')]",80
80,BIC,NP_476853.1,"[('KAG9266687.1', 'KAG9266687.1'), ('KAG9281962.1', 'BTF3')]",81
81,BICC,NP_476865.1,"[('KAG9267299.1', 'KAG9267299.1'), ('KAG9268429.1', 'KAG9268429.1'), ('KAG9281192.1', 'KAG9281192.1')]",82
82,BICD,NP_001260531.1,"[('KAG9260673.1', 'KAG9260673.1'), ('KAG9273063.1', 'KAG9273063.1')]",83
83,BIGMAX,NP_651556.2,"[('KAG9264196.1', 'MLX')]",84
84,BKA,NP_524867.2,"[('KAG9268806.1', 'KAG9268806.1')]",85
85,BLP,NP_524370.2,"[('KAG9264547.1', 'PAM16')]",86
86,BLW,NP_726243.1,"[('KAG9266062.1', 'ATP5F1A')]",87
87,BMCP,NP_648501.1,"[('KAG9265895.1', 'SLC25A14')]",88
88,BMM,NP_001163445.1,"[('KAG9280210.1', 'PNPLA2')]",89
89,BOCA,NP_724578.1,"[('KAG9266538.1', 'MESD')]",90
90,BON,NP_001262765.1,"[('KAG9270015.1', 'TRIM33'), ('KAG9280401.1', 'TRIM24')]",91
91,BONSAI,NP_611691.1,"[('KAG9276440.1', 'MRPS15')]",92
92,BR140,NP_610266.1,"[('KAG9270239.1', 'BRPF1')]",93
93,BRE1,NP_647989.2,"[('KAG9267847.1', 'RNF40'), ('KAG9272191.1', 'RNF20')]",94
94,BRF,NP_650616.2,"[('KAG9274909.1', 'BRF1'), ('KAG9282808.1', 'BRF1')]",95
95,BRM,NP_001261906.1,"[('KAG9261732.1', 'SMARCA2'), ('KAG9264330.1', 'SMARCA4'), ('KAG9277505.1', 'SMARCA4')]",96
96,BRUCE,NP_001262462.1,"[('KAG9268386.1', 'BIRC6')]",97
97,BRWD3,NP_732982.1,"[('KAG9269785.1', 'PHIP'), ('KAG9282187.1', 'BRWD3')]",98
98,BSK,NP_723541.1,"[('KAG9266197.1', 'MAPK10'), ('KAG9267362.1', 'MAPK8'), ('KAG9275335.1', 'MAPK8A')]",99
99,BTL,NP_729956.1,"[('KAG9270425.1', 'FGFR1A'), ('KAG9274998.1', 'FGFR2'), ('KAG9275189.1', 'FGFR3')]",100
100,BUFFY,NP_523702.1,"[('KAG9277764.1', 'BOKA')]",101
101,BUR,NP_620114.3,"[('KAG9273375.1', 'GMPS')]",102
102,BVES,NP_001259752.1,"[('KAG9276466.1', 'BVES')]",103
103,BWA,NP_001260616.1,"[('KAG9260024.1', 'ACER2'), ('KAG9274215.1', 'ACER2')]",104
104,BYS,NP_511074.1,"[('KAG9260728.1', 'BYSL')]",105
105,C11.1,NP_652606.1,"[('KAG9276623.1', 'MROH1')]",106
106,C12.1,NP_652605.1,"[('KAG9282249.1', 'KAG9282249.1')]",107
107,C15,NP_476873.2,"[('KAG9263157.1', 'TLX3'), ('KAG9281176.1', 'TLX3')]",108
108,C1GALTA,NP_609258.1,"[('KAG9269747.1', 'C1GALT1A'), ('KAG9277209.1', 'C1GALT1B')]",109
109,CA-ALPHA1D,NP_001260480.2,"[('KAG9260670.1', 'CACNA1D'), ('KAG9270211.1', 'CACNA1D'), ('KAG9280144.1', 'CACNA1C')]",110
110,CA-ALPHA1T,NP_001245545.1,"[('KAG9262294.1', 'CACNA1H'), ('KAG9267822.1', 'CACNA1G')]",111
111,CA-BETA,NP_995684.2,"[('KAG9274091.1', 'CACNB2')]",112
112,CABP1,NP_609792.1,"[('KAG9268818.1', 'PDIA6'), ('KAG9282913.1', 'PDIA6')]",113
113,CAD88C,NP_731930.3,"[('KAG9274790.1', 'CDH23')]",114
114,CAD99C,NP_733314.1,"[('KAG9267307.1', 'PCDH15')]",115
115,CADN,NP_724068.1,"[('KAG9260840.1', 'CADN'), ('KAG9276140.1', 'CADN')]",116
116,CAH1,NP_523561.1,"[('KAG9278406.1', 'CAHZ'), ('KAG9278407.1', 'CAHZ')]",117
117,CAH2,NP_648555.1,"[('KAG9269660.1', 'CA6')]",118
118,CALPB,NP_524016.4,"[('KAG9262609.1', 'CAPN9'), ('KAG9268586.1', 'CAPN3')]",119
119,CALS,NP_524632.1,"[('KAG9269720.1', 'CLSTN1'), ('KAG9273793.1', 'CLSTN2')]",120
120,CALX,NP_001287434.1,"[('KAG9261082.1', 'SLC8A1'), ('KAG9265862.1', 'SLC8A1'), ('KAG9274388.1', 'SLC8A1'), ('KAG9274974.1', 'SLC8A3')]",121
121,CAM,NP_523710.1,"[('KAG9264996.1', 'CALM1'), ('KAG9265857.1', 'CALM1'), ('KAG9268003.1', 'CALM1'), ('KAG9275123.1', 'CALM1'), ('KAG9283208.1', 'KAG9283208.1')]",122
122,CAMKI,NP_524622.1,"[('KAG9277003.1', 'CAMK1'), ('KAG9280207.1', 'CAMK1D'), ('KAG9280800.1', 'CAMK1D')]",123
123,CAMKII,NP_001259082.1,"[('KAG9259639.1', 'CAMK2D2'), ('KAG9263008.1', 'CAMK2B'), ('KAG9266163.1', 'CAMK2A'), ('KAG9274032.1', 'CAMK2D1'), ('KAG9275543.1', 'CAMK2G')]",124
124,CAMTA,NP_001137624.1,"[('KAG9269430.1', 'CAMTA2')]",125
125,CANA-14F,NP_001245717.1,"[('KAG9261462.1', 'PPP3CC'), ('KAG9265732.1', 'PPP3CA'), ('KAG9274165.1', 'PPP3CA'), ('KAG9281255.1', 'PPP3CA')]",126
126,CAPT,NP_001033870.1,"[('KAG9279860.1', 'CAP1')]",127
127,CASK,NP_001262811.1,"[('KAG9271096.1', 'CASK'), ('KAG9277884.1', 'CASK')]",128
128,CBP53E,NP_476838.1,"[('KAG9273231.1', 'CALB2'), ('KAG9276187.1', 'SCGN')]",129
129,CBP80,NP_726938.1,"[('KAG9281159.1', 'NCBP1')]",130
130,CCKLR-17D3,NP_001097023.1,"[('KAG9262399.1', 'CCKAR'), ('KAG9271160.1', 'CCKAR')]",131
131,CCN,NP_730294.1,"[('KAG9279774.1', 'CCN4'), ('KAG9282423.1', 'CCN2')]",132
132,CCT1,NP_524450.2,"[('KAG9269364.1', 'TCP1')]",133
133,CCT2,NP_572524.1,"[('KAG9280376.1', 'CCT2')]",134
134,CCT5,NP_523707.1,"[('KAG9283260.1', 'CCT5')]",135
135,CDASE,NP_651797.1,"[('KAG9267314.1', 'ASAH2'), ('KAG9267315.1', 'ASAH2')]",136
136,CDC42,NP_523414.1,"[('KAG9260262.1', 'KAG9260262.1'), ('KAG9269525.1', 'KAG9269525.1'), ('KAG9276306.1', 'KAG9276306.1'), ('KAG9279357.1', 'KAG9279357.1')]",137
137,CDC6,NP_648247.1,"[('KAG9266670.1', 'KAG9266670.1')]",138
138,CDEP,NP_001036676.1,"[('KAG9277766.1', 'FARP2')]",139
139,CDK4,NP_477196.1,"[('KAG9260434.1', 'CDK4'), ('KAG9279787.1', 'CDK6')]",140
140,CENB1A,NP_524458.1,"[('KAG9260555.1', 'ACAP3'), ('KAG9266921.1', 'ACAP2'), ('KAG9269021.1', 'ACAP3')]",141
141,CENG1A,NP_723849.1,"[('KAG9276099.1', 'AGAP3'), ('KAG9277920.1', 'AGAP1')]",142
142,CERK,NP_730923.1,"[('KAG9280414.1', 'CERK')]",143
143,CERT,NP_648199.1,"[('KAG9266343.1', 'CERT1')]",144
144,CG10026,NP_609968.3,"[('KAG9264730.1', 'TTPA')]",145
145,CG10077,NP_648062.2,"[('KAG9264500.1', 'DDX5'), ('KAG9277457.1', 'DDX5'), ('KAG9277478.1', 'DDX17')]",146
146,CG10185,NP_650521.1,"[('KAG9266722.1', 'NWD1'), ('KAG9274379.1', 'NWD2')]",147
147,CG10254,NP_001262878.1,"[('KAG9277447.1', 'UBE2O')]",148
148,CG10280,NP_649607.1,"[('KAG9267096.1', 'HCEA')]",149
149,CG10343,NP_609900.1,"[('KAG9274376.1', 'RWDD4')]",150
150,CG10359,NP_001137882.1,"[('KAG9270006.1', 'FIBCD1')]",151
151,CG10365,NP_651176.1,"[('KAG9282990.1', 'CHAC1')]",152
152,CG10376,NP_609899.1,"[('KAG9261983.1', 'PPM1F')]",153
153,CG10418,NP_648570.1,"[('KAG9277744.1', 'LSM2')]",154
154,CG10467,NP_648026.1,"[('KAG9275295.1', 'GALM')]",155
155,CG10512,NP_649289.2,"[('KAG9280727.1', 'KAG9280727.1')]",156
156,CG10565,NP_649284.1,"[('KAG9280690.1', 'KAG9280690.1')]",157
157,CG10576,NP_647984.1,"[('KAG9269096.1', 'PA2G4'), ('KAG9277051.1', 'PA2G4')]",158
158,CG10602,NP_609916.5,"[('KAG9280345.1', 'LTA4H')]",159
159,CG10621,NP_609920.1,"[('KAG9277726.1', 'KAG9277726.1')]",160
160,CG10657,NP_648579.3,"[('KAG9283070.1', 'CLVS2')]",161
161,CG10674,NP_647950.1,"[('KAG9261070.1', 'WDR83OS')]",162
162,CG10700,NP_609942.1,"[('KAG9261992.1', 'AIFM3')]",163
163,CG10747,NP_610022.3,"[('KAG9270601.1', 'PLCXD3')]",164
164,CG10898,NP_650083.1,"[('KAG9270513.1', 'NUDT18')]",165
165,CG1090,NP_649459.4,"[('KAG9268528.1', 'SLC24A4'), ('KAG9272713.1', 'SLC24A3'), ('KAG9275408.1', 'SLC24A3'), ('KAG9283125.1', 'SLC24A4')]",166
166,CG10903,NP_649762.1,"[('KAG9278511.1', 'BUD23')]",167
167,CG11007,NP_611429.1,"[('KAG9272218.1', 'TMX2B'), ('KAG9275597.1', 'TMX2B')]",168
168,CG11030,NP_608956.1,"[('KAG9283227.1', 'NGDN')]",169
169,CG1105,NP_649688.1,"[('KAG9261791.1', 'ARRDC3'), ('KAG9262935.1', 'ARRDC3'), ('KAG9266701.1', 'ARRDC2')]",170
170,CG11109,NP_730761.1,"[('KAG9274090.1', 'NSUN6')]",171
171,CG11134,NP_572916.1,"[('KAG9260811.1', 'APIP')]",172
172,CG11200,NP_611471.1,"[('KAG9262521.1', 'DHRSX'), ('KAG9270971.1', 'DHRSX')]",173
173,CG11334,NP_651868.1,"[('KAG9262690.1', 'MRI1')]",174
174,CG11360,NP_001259068.1,"[('KAG9266553.1', 'MEX3B')]",175
175,CG11414,NP_611932.2,"[('KAG9279929.1', 'ZNF598')]",176
176,CG11417,NP_569906.1,"[('KAG9262637.1', 'KAG9262637.1')]",177
177,CG11529,NP_648558.1,"[('KAG9266323.1', 'PRSS12')]",178
178,CG11562,NP_608516.1,"[('KAG9261185.1', 'KAG9261185.1')]",179
179,CG11583,NP_001033989.1,"[('KAG9266364.1', 'KAG9266364.1')]",180
180,CG11617,NP_608502.1,"[('KAG9268049.1', 'MKX')]",181
181,CG11658,NP_648498.1,"[('KAG9269831.1', 'FBXO25')]",182
182,CG11710,NP_608393.1,"[('KAG9267086.1', 'TRIP4')]",183
183,CG11737,NP_649803.1,"[('KAG9263671.1', 'TMEM135')]",184
184,CG11779,NP_650786.2,"[('KAG9266954.1', 'TIMM44')]",185
185,CG11837,NP_651660.1,"[('KAG9269988.1', 'DIMT1')]",186
186,CG11857,NP_001303417.1,"[('KAG9270333.1', 'RER1')]",187
187,CG11899,NP_652046.1,"[('KAG9261394.1', 'PSAT1')]",188
188,CG11920,NP_651335.2,"[('KAG9262084.1', 'IMP4')]",189
189,CG11951,NP_001350853.2,"[('KAG9273223.1', 'ANPEP')]",190
190,CG11961,NP_611413.2,"[('KAG9266133.1', 'ERMP1')]",191
191,CG11964,NP_649847.1,"[('KAG9269263.1', 'CTNNBL1')]",192
192,CG11980,NP_649857.1,"[('KAG9260764.1', 'MYG1')]",193
193,CG12012,NP_647813.1,"[('KAG9264373.1', 'BRI3')]",194
194,CG12024,NP_647670.3,"[('KAG9265115.1', 'CUEDC1')]",195
195,CG12084,NP_001261257.1,"[('KAG9266322.1', 'KAG9266322.1')]",196
196,CG12099,NP_647623.1,"[('KAG9270522.1', 'RNF10')]",197
197,CG12107,NP_610314.1,"[('KAG9269885.1', 'KAG9269885.1')]",198
198,CG12128,NP_610543.1,"[('KAG9266086.1', 'KAG9266086.1')]",199
199,CG12134,NP_001369072.1,"[('KAG9274898.1', 'WDR89')]",200
200,CG12170,NP_649565.1,"[('KAG9278976.1', 'OXSM')]",201
201,CG12194,NP_001162873.1,"[('KAG9278529.1', 'MFSD1')]",202
202,CG12241,NP_650432.1,"[('KAG9263896.1', 'SGSM3')]",203
203,CG12301,NP_648781.1,"[('KAG9281587.1', 'KAG9281587.1')]",204
204,CG12325,NP_610618.1,"[('KAG9262381.1', 'KAG9262381.1')]",205
205,CG12343,NP_610617.1,"[('KAG9274860.1', 'SYF2')]",206
206,CG12355,NP_001097610.1,"[('KAG9264016.1', 'MPV17L'), ('KAG9277508.1', 'MPV17L')]",207
207,CG12384,NP_610676.2,"[('KAG9283398.1', 'DAP')]",208
208,CG1239,NP_649577.1,"[('KAG9269416.1', 'MEPCE')]",209
209,CG12531,NP_608350.2,"[('KAG9264710.1', 'SLC7A14A'), ('KAG9283451.1', 'SLC7A14A')]",210
210,CG1265,NP_647878.1,"[('KAG9282474.1', 'SLC66A3')]",211
211,CG1275,NP_728726.1,"[('KAG9271448.1', 'CYBRD1'), ('KAG9279065.1', 'CYB561')]",212
212,CG12773,NP_001259131.1,"[('KAG9271608.1', 'SLC12A8')]",213
213,CG12863,NP_610973.3,"[('KAG9268051.1', 'ZCCHC4')]",214
214,CG13001,NP_573181.1,"[('KAG9271936.1', 'ZC4H2'), ('KAG9282217.1', 'ZC4H2')]",215
215,CG13016,NP_610929.2,"[('KAG9262345.1', 'TMEM39A')]",216
216,CG13097,NP_609237.1,"[('KAG9261274.1', 'MPHOSPH10')]",217
217,CG13126,NP_609330.1,"[('KAG9273902.1', 'METTL17')]",218
218,CG1316,NP_647887.1,"[('KAG9271486.1', 'RBM45')]",219
219,CG13192,NP_610702.1,"[('KAG9262069.1', 'GNB1L')]",220
220,CG13248,NP_649219.1,"[('KAG9270538.1', 'SLC7A4')]",221
221,CG13293,NP_648024.2,"[('KAG9281816.1', 'SCAI')]",222
222,CG13369,NP_569850.1,"[('KAG9268865.1', 'RBKS')]",223
223,CG13384,NP_723383.1,"[('KAG9272505.1', 'SLC36A1')]",224
224,CG1344,NP_001260711.1,"[('KAG9282610.1', 'SCYL3')]",225
225,CG1354,NP_001356937.1,"[('KAG9277588.1', 'OLA1')]",226
226,CG13690,NP_608521.1,"[('KAG9262583.1', 'RNASEH2A')]",227
227,CG1371,NP_610551.1,"[('KAG9277912.1', 'NOMO1')]",228
228,CG13743,NP_001246214.1,"[('KAG9271501.1', 'SLC38A11')]",229
229,CG13893,NP_612042.3,"[('KAG9261975.1', 'SEC14L2'), ('KAG9262949.1', 'SEC14L2')]",230
230,CG13920,NP_647639.1,"[('KAG9272752.1', 'TMEM35A')]",231
231,CG1418,NP_610539.1,"[('KAG9275967.1', 'RABAC1')]",232
232,CG14207,NP_728275.1,"[('KAG9265415.1', 'CRYAB')]",233
233,CG14210,NP_608328.1,"[('KAG9260017.1', 'CCDC86')]",234
234,CG1440,NP_001285018.1,"[('KAG9265097.1', 'BLMH')]",235
235,CG14411,NP_572972.1,"[('KAG9261275.1', 'MTMR10')]",236
236,CG14434,NP_001284969.1,"[('KAG9265038.1', 'KAG9265038.1')]",237
237,CG14591,NP_610196.1,"[('KAG9265935.1', 'TMEM164')]",238
238,CG14618,NP_608464.1,"[('KAG9274194.1', 'KAG9274194.1')]",239
239,CG14621,NP_608458.1,"[('KAG9266762.1', 'SLC35E1')]",240
240,CG14669,NP_649537.5,"[('KAG9262040.1', 'RASL10B')]",241
241,CG14767,NP_652400.3,"[('KAG9283025.1', 'LAPTM4A')]",242
242,CG14883,NP_650547.1,"[('KAG9261315.1', 'GDE1')]",243
243,CG14966,NP_647784.1,"[('KAG9272430.1', 'KAG9272430.1')]",244
244,CG14985,NP_647846.2,"[('KAG9271337.1', 'MITD1')]",245
245,CG15093,NP_611373.1,"[('KAG9276683.1', 'HIBADH')]",246
246,CG15097,NP_001261079.1,"[('KAG9266930.1', 'ENC1'), ('KAG9272055.1', 'KLHL25')]",247
247,CG15099,NP_001261081.1,"[('KAG9278372.1', 'DOP1A')]",248
248,CG15118,NP_611396.1,"[('KAG9272203.1', 'ANKRD13D')]",249
249,CG1513,NP_610534.3,"[('KAG9270865.1', 'OSBPL9')]",250
250,CG15211,NP_001096945.1,"[('KAG9273175.1', 'PLLP')]",251
251,CG1542,NP_651850.1,"[('KAG9273685.1', 'EBNA1BP2')]",252
252,CG15456,NP_652292.1,"[('KAG9264465.1', 'MIEN1')]",253
253,CG15528,NP_651767.2,"[('KAG9261666.1', 'DUSP18')]",254
254,CG15537,NP_001097981.1,"[('KAG9266003.1', 'CRHBP')]",255
255,CG15743,NP_572869.1,"[('KAG9278816.1', 'IMPAD1')]",256
256,CG1578,NP_001285140.1,"[('KAG9268765.1', 'DPH6')]",257
257,CG15914,NP_573084.1,"[('KAG9271231.1', 'GTDC1')]",258
258,CG1598,NP_610296.2,"[('KAG9262577.1', 'ASNA1')]",259
259,CG1607,NP_001263139.1,"[('KAG9267185.1', 'SLC7A6'), ('KAG9273809.1', 'SLC7A8'), ('KAG9274346.1', 'SLC7A7'), ('KAG9274453.1', 'SLC7A8')]",260
260,CG1635,NP_651873.3,"[('KAG9283355.1', 'ACOT9')]",261
261,CG1662,NP_572883.1,"[('KAG9266774.1', 'MPV17L2')]",262
262,CG1671,NP_610526.1,"[('KAG9264363.1', 'TBL3')]",263
263,CG16868,NP_611469.1,"[('KAG9277320.1', 'CACHD1')]",264
264,CG1695,NP_728346.2,"[('KAG9261533.1', 'SGSM1'), ('KAG9263042.1', 'SGSM1'), ('KAG9265140.1', 'SGSM2')]",265
265,CG16952,NP_001356947.1,"[('KAG9268781.1', 'BTBD7'), ('KAG9282971.1', 'BTBD7')]",266
266,CG16989,NP_569860.3,"[('KAG9265774.1', 'HEATR6')]",267
267,CG1703,NP_572736.1,"[('KAG9279665.1', 'ABCF1')]",268
268,CG17124,NP_609450.1,"[('KAG9268159.1', 'PPP1R14B'), ('KAG9274386.1', 'PPP1R14B')]",269
269,CG17221,NP_608746.1,"[('KAG9268286.1', 'RTN4IP1')]",270
270,CG17266,NP_610224.1,"[('KAG9270304.1', 'PPIH')]",271
271,CG17271,NP_001036734.1,"[('KAG9275126.1', 'MCFD2')]",272
272,CG17544,NP_609961.2,"[('KAG9274352.1', 'ACOX3')]",273
273,CG17598,NP_608468.1,"[('KAG9277033.1', 'PPM1H'), ('KAG9280405.1', 'PPM1H'), ('KAG9280834.1', 'PPM1H')]",274
274,CG17683,NP_001036428.1,"[('KAG9264311.1', 'NARFL')]",275
275,CG17712,NP_608619.1,"[('KAG9276278.1', 'GFOD1')]",276
276,CG17754,NP_727331.1,"[('KAG9259740.1', 'KLHL5'), ('KAG9272526.1', 'KLHL4')]",277
