,Model_nodos,NCBI_Product_accesion,Ast,a,a2,Dmel,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
25,AC3,NP_610116.2,Astyanax_pachon,KAG9282289.1,ADCY3,Drosophila_melanogaster,NP_610116.2,AC3,7.269999999999999e-191,666.0,5.22e-191,666.0
26,AC76E,NP_001246838.1,Astyanax_pachon,KAG9260929.1,ADCY2,Drosophila_melanogaster,NP_001246838.1,AC76E,3.8100000000000004e-163,574.0,2.9100000000000005e-163,574.0
27,AC76E,NP_001246838.1,Astyanax_pachon,KAG9276173.1,ADCY2,Drosophila_melanogaster,NP_001246838.1,AC76E,4.52e-170,597.0,3.47e-170,597.0
28,AC76E,NP_001246838.1,Astyanax_pachon,KAG9279636.1,ADCY2,Drosophila_melanogaster,NP_001246838.1,AC76E,7.180000000000001e-169,593.0,5.55e-169,593.0
29,AC78C,NP_001262138.1,,,,,,,,,,
30,ACC,NP_610342.1,Astyanax_pachon,KAG9261557.1,ACACB,Drosophila_melanogaster,NP_610342.1,ACC,0.0,2761.0,0.0,2761.0
31,ACC,NP_610342.1,Astyanax_pachon,KAG9281984.1,ACACA,Drosophila_melanogaster,NP_610342.1,ACC,0.0,2796.0,0.0,2796.0
32,ACE,NP_001262530.1,Astyanax_pachon,KAG9272871.1,BCHE,Drosophila_melanogaster,NP_001262530.1,ACE,4.82e-111,400.0,3.38e-111,400.0
33,ACHI,NP_725182.1,,,,,,,,,,
34,ACJ6,NP_001245683.1,Astyanax_pachon,KAG9277807.1,POU4F1,Drosophila_melanogaster,NP_001245683.1,ACJ6,6.38e-74,276.0,4.03e-74,276.0
35,ACK,NP_647859.1,,,,,,,,,,
36,ACP53C14C,NP_001188961.1,,,,,,,,,,
37,ACP65AA,NP_477282.2,,,,,,,,,,
38,ACT42A,NP_523625.1,Astyanax_pachon,KAG9262281.1,ACTBA,Drosophila_melanogaster,NP_523625.1,ACT42A,5.159999999999999e-216,748.0,3.48e-216,748.0
39,ACT42A,NP_523625.1,Astyanax_pachon,KAG9272000.1,ACTC1,Drosophila_melanogaster,NP_523625.1,ACT42A,2.7899999999999996e-207,719.0,1.8699999999999998e-207,719.0
40,ACT42A,NP_523625.1,Astyanax_pachon,KAG9272884.1,ACTC1,Drosophila_melanogaster,NP_523625.1,ACT42A,2.7899999999999996e-207,719.0,1.8699999999999998e-207,719.0
41,ACT42A,NP_523625.1,Astyanax_pachon,KAG9279940.1,ACTBB,Drosophila_melanogaster,NP_523625.1,ACT42A,1.03e-215,747.0,6.96e-216,747.0
42,ACT57B,NP_523800.1,Astyanax_pachon,KAG9262281.1,ACTBA,Drosophila_melanogaster,NP_523800.1,ACT57B,2.1100000000000002e-212,736.0,1.43e-212,736.0
43,ACT57B,NP_523800.1,Astyanax_pachon,KAG9272000.1,ACTC1,Drosophila_melanogaster,NP_523800.1,ACT57B,2.85e-204,709.0,1.91e-204,709.0
44,ACT57B,NP_523800.1,Astyanax_pachon,KAG9272884.1,ACTC1,Drosophila_melanogaster,NP_523800.1,ACT57B,2.85e-204,709.0,1.91e-204,709.0
45,ACT57B,NP_523800.1,Astyanax_pachon,KAG9279940.1,ACTBB,Drosophila_melanogaster,NP_523800.1,ACT57B,5.29e-213,738.0,3.5600000000000004e-213,738.0
46,ACT5C,NP_511052.1,Astyanax_pachon,KAG9262281.1,ACTBA,Drosophila_melanogaster,NP_511052.1,ACT5C,2.5799999999999996e-216,749.0,1.74e-216,749.0
47,ACT5C,NP_511052.1,Astyanax_pachon,KAG9272000.1,ACTC1,Drosophila_melanogaster,NP_511052.1,ACT5C,2.7899999999999996e-207,719.0,1.8699999999999998e-207,719.0
48,ACT5C,NP_511052.1,Astyanax_pachon,KAG9272884.1,ACTC1,Drosophila_melanogaster,NP_511052.1,ACT5C,2.7899999999999996e-207,719.0,1.8699999999999998e-207,719.0
49,ACT5C,NP_511052.1,Astyanax_pachon,KAG9279940.1,ACTBB,Drosophila_melanogaster,NP_511052.1,ACT5C,5.159999999999999e-216,748.0,3.48e-216,748.0
50,ACT87E,NP_477091.1,Astyanax_pachon,KAG9262281.1,ACTBA,Drosophila_melanogaster,NP_477091.1,ACT87E,2.1100000000000002e-212,736.0,1.43e-212,736.0
51,ACT87E,NP_477091.1,Astyanax_pachon,KAG9272000.1,ACTC1,Drosophila_melanogaster,NP_477091.1,ACT87E,7.13e-205,711.0,4.78e-205,711.0
52,ACT87E,NP_477091.1,Astyanax_pachon,KAG9272884.1,ACTC1,Drosophila_melanogaster,NP_477091.1,ACT87E,7.13e-205,711.0,4.78e-205,711.0
53,ACT87E,NP_477091.1,Astyanax_pachon,KAG9279940.1,ACTBB,Drosophila_melanogaster,NP_477091.1,ACT87E,1.06e-212,737.0,7.130000000000001e-213,737.0
54,ACT88F,NP_524367.1,Astyanax_pachon,KAG9262281.1,ACTBA,Drosophila_melanogaster,NP_524367.1,ACT88F,1.69e-211,733.0,1.1400000000000001e-211,733.0
55,ACT88F,NP_524367.1,Astyanax_pachon,KAG9272000.1,ACTC1,Drosophila_melanogaster,NP_524367.1,ACT88F,5.71e-204,708.0,3.8299999999999996e-204,708.0
56,ACT88F,NP_524367.1,Astyanax_pachon,KAG9272884.1,ACTC1,Drosophila_melanogaster,NP_524367.1,ACT88F,5.71e-204,708.0,3.8299999999999996e-204,708.0
57,ACT88F,NP_524367.1,Astyanax_pachon,KAG9279940.1,ACTBB,Drosophila_melanogaster,NP_524367.1,ACT88F,8.46e-212,734.0,5.700000000000001e-212,734.0
58,ACTBETA,NP_651942.2,,,,,,,,,,
59,ACXD,NP_620469.2,,,,,,,,,,
60,ADAR,NP_001245474.1,Astyanax_pachon,KAG9261115.1,ADARB1,Drosophila_melanogaster,NP_001245474.1,ADAR,1.2e-138,492.0,7.13e-139,492.0
61,ADAR,NP_001245474.1,Astyanax_pachon,KAG9271629.1,ADARB1,Drosophila_melanogaster,NP_001245474.1,ADAR,9.4e-141,499.0,5.57e-141,499.0
62,ADF1,NP_995750.1,,,,,,,,,,
63,ADGF-A,NP_524130.1,Astyanax_pachon,KAG9271964.1,ADA2A,Drosophila_melanogaster,NP_524130.1,ADGF-A,4.67e-90,330.0,3.47e-90,330.0
64,ADK1,NP_731676.2,,,,,,,,,,
65,ADK2,NP_648624.1,Astyanax_pachon,KAG9275437.1,ADK,Drosophila_melanogaster,NP_648624.1,ADK2,3.28e-93,340.0,2.11e-93,340.0
66,ADK3,NP_651995.1,,,,,,,,,,
67,ADOR,NP_001263101.1,,,,,,,,,,
68,AEF1,NP_001262157.1,,,,,,,,,,
69,AFT,NP_477413.1,Astyanax_pachon,KAG9266502.1,CMTR2,Drosophila_melanogaster,NP_477413.1,AFT,2.48e-73,275.0,1.58e-73,275.0
70,AG5R,NP_524770.1,,,,,,,,,,
71,AGO,NP_523922.1,,,,,,,,,,
72,AKAP200,NP_787998.1,,,,,,,,,,
73,AKH,NP_523918.1,,,,,,,,,,
74,AL,NP_722629.1,,,,,,,,,,
75,ALDH,NP_609285.1,Astyanax_pachon,KAG9261669.1,ALDH2,Drosophila_melanogaster,NP_609285.1,ALDH,1.26e-202,704.0,8.47e-203,704.0
76,ALDH-III,NP_610285.5,Astyanax_pachon,KAG9265137.1,ALDH3A2,Drosophila_melanogaster,NP_610285.5,ALDH-III,7.72e-120,429.0,5.57e-120,429.0
77,ALDH-III,NP_610285.5,Astyanax_pachon,KAG9265138.1,ALDH3A2,Drosophila_melanogaster,NP_610285.5,ALDH-III,1.39e-125,448.0,1.06e-125,448.0
78,ALDH-III,NP_610285.5,Astyanax_pachon,KAG9265768.1,ALDH3A2,Drosophila_melanogaster,NP_610285.5,ALDH-III,2.81e-122,437.0,2.17e-122,437.0
79,ALH,NP_001097697.2,,,,,,,,,,
80,ALIX,NP_651582.1,Astyanax_pachon,KAG9279836.1,PDCD6IP,Drosophila_melanogaster,NP_651582.1,ALIX,5.760000000000001e-163,573.0,3.71e-163,573.0
81,ALK,NP_652600.1,Astyanax_pachon,KAG9268120.1,ALK,Drosophila_melanogaster,NP_652600.1,ALK,8.18e-162,570.0,6.03e-162,570.0
82,ALPH,NP_651701.1,Astyanax_pachon,KAG9268015.1,PPM1B,Drosophila_melanogaster,NP_651701.1,ALPH,7.66e-108,389.0,4.0699999999999995e-108,389.0
83,ALPH,NP_651701.1,Astyanax_pachon,KAG9274956.1,PPM1A,Drosophila_melanogaster,NP_651701.1,ALPH,6.52e-105,379.0,4.16e-105,379.0
84,ALPH,NP_651701.1,Astyanax_pachon,KAG9275137.1,PPM1B,Drosophila_melanogaster,NP_651701.1,ALPH,7.880000000000001e-109,392.0,5.08e-109,392.0
85,ALPH,NP_651701.1,Astyanax_pachon,KAG9282816.1,PPM1A,Drosophila_melanogaster,NP_651701.1,ALPH,2.12e-103,374.0,1.33e-103,374.0
86,ALPHA-CAT,NP_524219.1,Astyanax_pachon,KAG9281316.1,CTNNA1,Drosophila_melanogaster,NP_524219.1,ALPHA-CAT,8.63e-292,1001.0,5.86e-292,1001.0
87,ALPHACOP,NP_477395.1,Astyanax_pachon,KAG9273927.1,COPA,Drosophila_melanogaster,NP_477395.1,ALPHACOP,0.0,1402.0,0.0,1402.0
88,ALPHA-EST1,NP_524269.3,,,,,,,,,,
89,ALPHA-EST2,NP_524268.3,,,,,,,,,,
90,ALPHA-EST3,NP_524267.2,,,,,,,,,,
91,ALPHA-EST4,NP_524266.1,,,,,,,,,,
92,ALPHA-EST5,NP_524265.3,,,,,,,,,,
93,ALPHA-EST8,NP_524259.2,,,,,,,,,,
94,ALPHA-EST9,NP_524258.2,,,,,,,,,,
95,ALPHA-MAN-IIB,NP_650494.2,,,,,,,,,,
96,ALPHA-SPEC,NP_476739.1,Astyanax_pachon,KAG9266214.1,SPTAN1,Drosophila_melanogaster,NP_476739.1,ALPHA-SPEC,0.0,2949.0,0.0,2949.0
97,ALPHATRY,NP_476771.1,Astyanax_pachon,KAG9273414.1,KAG9273414.1,Drosophila_melanogaster,NP_476771.1,ALPHATRY,1.6799999999999997e-42,171.0,1.17e-42,171.0
98,ALPHATUB67C,NP_524009.2,,,,,,,,,,
99,ALPHATUB84B,NP_476772.1,Astyanax_pachon,KAG9262236.1,TUBA,Drosophila_melanogaster,NP_476772.1,ALPHATUB84B,2.9799999999999994e-250,862.0,2.01e-250,862.0
100,ALPHATUB84B,NP_476772.1,Astyanax_pachon,KAG9271578.1,KAG9271578.1,Drosophila_melanogaster,NP_476772.1,ALPHATUB84B,3.05e-247,852.0,2.0500000000000002e-247,852.0
101,ALT,NP_732256.1,,,,,,,,,,
102,ALY,NP_001261348.1,,,,,,,,,,
103,AMD,NP_724162.1,,,,,,,,,,
104,AMN,NP_523416.2,,,,,,,,,,
105,AMON,NP_477318.1,Astyanax_pachon,KAG9274835.1,PCSK2,Drosophila_melanogaster,NP_477318.1,AMON,2.89e-211,733.0,1.98e-211,733.0
106,AMUN,NP_572741.1,,,,,,,,,,
107,ANA,NP_001286226.1,,,,,,,,,,
108,ANCE,NP_477046.1,Astyanax_pachon,KAG9261029.1,ACE2,Drosophila_melanogaster,NP_477046.1,ANCE,1.51e-117,422.0,7.78e-118,422.0
109,ANCE-3,NP_001285917.1,Astyanax_pachon,KAG9261029.1,ACE2,Drosophila_melanogaster,NP_001285917.1,ANCE-3,2.42e-116,418.0,1.71e-116,418.0
110,ANCE-5,NP_573392.2,,,,,,,,,,
111,ANK,NP_001162819.1,,,,,,,,,,
112,ANK2,NP_001097536.1,,,,,,,,,,
113,ANT2,NP_511110.1,,,,,,,,,,
114,ANTP,NP_996166.1,,,,,,,,,,
115,ANXB11,NP_523370.1,,,,,,,,,,
116,AOP,NP_722766.1,Astyanax_pachon,KAG9280587.1,ETV6,Drosophila_melanogaster,NP_722766.1,AOP,3.6500000000000004e-27,121.0,3.770000000000001e-27,121.0
117,AP,NP_001163058.1,Astyanax_pachon,KAG9269975.1,LHX2,Drosophila_melanogaster,NP_001163058.1,AP,3.47e-77,287.0,2.58e-77,287.0
118,AP-1GAMMA,NP_788891.2,Astyanax_pachon,KAG9267157.1,AP1G1,Drosophila_melanogaster,NP_788891.2,AP-1GAMMA,2.5599999999999998e-228,790.0,2.0699999999999998e-228,790.0
119,AP-1SIGMA,NP_651198.1,Astyanax_pachon,KAG9266679.1,AP1S2,Drosophila_melanogaster,NP_651198.1,AP-1SIGMA,2.9e-62,236.0,1.95e-62,236.0
120,AP-1SIGMA,NP_651198.1,Astyanax_pachon,KAG9269217.1,AP1S2,Drosophila_melanogaster,NP_651198.1,AP-1SIGMA,5.7899999999999996e-61,232.0,3.1199999999999996e-61,232.0
121,AP-1SIGMA,NP_651198.1,Astyanax_pachon,KAG9274258.1,AP1S1,Drosophila_melanogaster,NP_651198.1,AP-1SIGMA,1.81e-63,240.0,1.22e-63,240.0
122,APC,NP_477152.1,,,,,,,,,,
123,APC2,NP_001334699.1,,,,,,,,,,
124,APH-1,NP_608710.1,Astyanax_pachon,KAG9267205.1,APH1B,Drosophila_melanogaster,NP_608710.1,APH-1,7.99e-55,212.0,4.96e-55,212.0
125,APKC,NP_001260987.1,,,,,,,,,,
126,APLIP1,NP_728573.1,,,,,,,,,,
127,APP,NP_001137936.1,,,,,,,,,,
128,APPL,NP_001245450.1,Astyanax_pachon,KAG9262175.1,APP,Drosophila_melanogaster,NP_001245450.1,APPL,3.44e-37,155.0,2.66e-37,155.0
129,APRT,NP_476637.1,Astyanax_pachon,KAG9261253.1,APRT,Drosophila_melanogaster,NP_476637.1,APRT,6.5499999999999995e-40,162.0,4.27e-40,162.0
130,APS,NP_648421.1,Astyanax_pachon,KAG9276910.1,NUDT3,Drosophila_melanogaster,NP_648421.1,APS,2.3099999999999997e-48,190.0,1.5499999999999998e-48,190.0
131,APS,NP_648421.1,Astyanax_pachon,KAG9280689.1,NUDT4B,Drosophila_melanogaster,NP_648421.1,APS,3.68e-47,186.0,2.47e-47,186.0
132,APT,NP_477179.1,,,,,,,,,,
133,ARA,NP_524045.2,,,,,,,,,,
134,ARG,NP_524875.1,Astyanax_pachon,KAG9267570.1,ARG1,Drosophila_melanogaster,NP_524875.1,ARG,4.7799999999999995e-61,233.0,3.49e-61,233.0
135,ARI-1,NP_523399.1,Astyanax_pachon,KAG9266499.1,ARIH1,Drosophila_melanogaster,NP_523399.1,ARI-1,1.01e-204,711.0,6.4e-205,711.0
136,ARI-1,NP_523399.1,Astyanax_pachon,KAG9273177.1,ARIH1,Drosophila_melanogaster,NP_523399.1,ARI-1,1.59e-203,707.0,1.0199999999999999e-203,707.0
137,ARI-2,NP_477374.1,Astyanax_pachon,KAG9270906.1,ARIH2,Drosophila_melanogaster,NP_477374.1,ARI-2,1.82e-151,534.0,1.24e-151,534.0
138,ARM,NP_476666.1,Astyanax_pachon,KAG9263822.1,CTNNB1,Drosophila_melanogaster,NP_476666.1,ARM,1.47e-204,711.0,1.07e-204,711.0
139,ARM,NP_476666.1,Astyanax_pachon,KAG9276534.1,CTNNB1,Drosophila_melanogaster,NP_476666.1,ARM,9.659999999999999e-203,705.0,6.86e-203,705.0
140,ARR,NP_524737.2,Astyanax_pachon,KAG9272066.1,LRP5,Drosophila_melanogaster,NP_524737.2,ARR,4.0799999999999997e-196,684.0,2.87e-196,684.0
141,ARS2,NP_001260719.1,,,,,,,,,,
142,ART4,NP_649963.1,Astyanax_pachon,KAG9263926.1,CARM1,Drosophila_melanogaster,NP_649963.1,ART4,4.25e-151,533.0,2.58e-151,533.0
143,ARU,NP_722663.1,Astyanax_pachon,KAG9280577.1,EPS8,Drosophila_melanogaster,NP_722663.1,ARU,5.21e-54,211.0,3.35e-54,211.0
144,ASATOR,NP_001259056.1,,,,,,,,,,
145,ASE,NP_476694.1,,,,,,,,,,
146,ASH2,NP_788735.1,Astyanax_pachon,KAG9263020.1,ASH2L,Drosophila_melanogaster,NP_788735.1,ASH2,7.940000000000001e-132,469.0,5.0000000000000006e-132,469.0
147,ASP,NP_524488.3,,,,,,,,,,
148,ASPH,NP_001246357.1,Astyanax_pachon,KAG9274038.1,ASPH,Drosophila_melanogaster,NP_001246357.1,ASPH,1.0599999999999999e-90,332.0,1.26e-90,332.0
149,ASPP,NP_001261122.1,,,,,,,,,,
150,AST,NP_523451.2,,,,,,,,,,
151,ASX,NP_001260969.1,,,,,,,,,,
152,ATE1,NP_477394.3,Astyanax_pachon,KAG9274997.1,ATE1,Drosophila_melanogaster,NP_477394.3,ATE1,4.93e-90,330.0,2.99e-90,330.0
153,ATF-2,NP_001033973.1,,,,,,,,,,
154,ATF3,NP_001259125.1,,,,,,,,,,
155,ATG1,NP_648601.1,Astyanax_pachon,KAG9265136.1,ULK2,Drosophila_melanogaster,NP_648601.1,ATG1,3.2800000000000003e-110,398.0,1.77e-110,398.0
156,ATG1,NP_648601.1,Astyanax_pachon,KAG9270505.1,ULK1,Drosophila_melanogaster,NP_648601.1,ATG1,7.56e-108,390.0,4.54e-108,390.0
157,ATG2,NP_647748.1,Astyanax_pachon,KAG9268560.1,KAG9268560.1,Drosophila_melanogaster,NP_647748.1,ATG2,2.9e-184,645.0,1.79e-184,645.0
158,ATG5,NP_572390.1,Astyanax_pachon,KAG9278476.1,ATG5,Drosophila_melanogaster,NP_572390.1,ATG5,1.21e-68,258.0,7.959999999999999e-69,258.0
159,ATG6,NP_651209.1,Astyanax_pachon,KAG9267249.1,BECN1,Drosophila_melanogaster,NP_651209.1,ATG6,2.42e-100,364.0,1.54e-100,364.0
160,ATG7,NP_725809.1,,,,,,,,,,
161,ATG8A,NP_727447.1,Astyanax_pachon,KAG9274238.1,GABARAP,Drosophila_melanogaster,NP_727447.1,ATG8A,2.83e-57,219.0,1.97e-57,219.0
162,ATG8A,NP_727447.1,Astyanax_pachon,KAG9281525.1,GABARAP,Drosophila_melanogaster,NP_727447.1,ATG8A,5.9e-57,218.0,3.94e-57,218.0
163,ATG9,NP_001261023.1,Astyanax_pachon,KAG9276102.1,ATG9A,Drosophila_melanogaster,NP_001261023.1,ATG9,1.41e-157,555.0,9.9e-158,555.0
164,ATG9,NP_001261023.1,Astyanax_pachon,KAG9277604.1,ATG9A,Drosophila_melanogaster,NP_001261023.1,ATG9,2.4e-153,541.0,1.62e-153,541.0
165,ATL,NP_651274.1,Astyanax_pachon,KAG9261263.1,ATL2,Drosophila_melanogaster,NP_651274.1,ATL,2.7999999999999998e-171,600.0,1.79e-171,600.0
166,ATL,NP_651274.1,Astyanax_pachon,KAG9275482.1,ATL1,Drosophila_melanogaster,NP_651274.1,ATL,3.51e-169,593.0,2.29e-169,593.0
167,ATMS,NP_649493.1,Astyanax_pachon,KAG9265345.1,KAG9265345.1,Drosophila_melanogaster,NP_649493.1,ATMS,2.01e-114,411.0,1.39e-114,411.0
168,ATO,NP_731223.1,,,,,,,,,,
169,ATPALPHA,NP_732572.1,Astyanax_pachon,KAG9262149.1,ATP1A1,Drosophila_melanogaster,NP_732572.1,ATPALPHA,0.0,1514.0,0.0,1514.0
170,ATPALPHA,NP_732572.1,Astyanax_pachon,KAG9262152.1,ATP1A1,Drosophila_melanogaster,NP_732572.1,ATPALPHA,0.0,1494.0,0.0,1494.0
171,ATPALPHA,NP_732572.1,Astyanax_pachon,KAG9262153.1,ATP1A1,Drosophila_melanogaster,NP_732572.1,ATPALPHA,0.0,1515.0,0.0,1515.0
172,ATPALPHA,NP_732572.1,Astyanax_pachon,KAG9271125.1,ATP1A1,Drosophila_melanogaster,NP_732572.1,ATPALPHA,0.0,1522.0,0.0,1522.0
173,ATPALPHA,NP_732572.1,Astyanax_pachon,KAG9275966.1,ATP1A3,Drosophila_melanogaster,NP_732572.1,ATPALPHA,0.0,1571.0,0.0,1571.0
174,ATPALPHA,NP_732572.1,Astyanax_pachon,KAG9279334.1,ATP1A3,Drosophila_melanogaster,NP_732572.1,ATPALPHA,0.0,1546.0,0.0,1546.0
175,ATPCL,NP_725514.2,Astyanax_pachon,KAG9264241.1,ACLY,Drosophila_melanogaster,NP_725514.2,ATPCL,0.0,1540.0,0.0,1540.0
176,ATPCL,NP_725514.2,Astyanax_pachon,KAG9267434.1,ACLY,Drosophila_melanogaster,NP_725514.2,ATPCL,0.0,1532.0,0.0,1532.0
177,ATTA,NP_523745.1,,,,,,,,,,
178,ATTB,NP_523746.1,,,,,,,,,,
179,ATTD,NP_524391.2,,,,,,,,,,
180,ATU,NP_524240.1,,,,,,,,,,
181,ATX2,NP_732033.1,,,,,,,,,,
182,AUB,NP_476734.1,,,,,,,,,,
183,AUX,NP_649438.1,Astyanax_pachon,KAG9261580.1,GAK,Drosophila_melanogaster,NP_649438.1,AUX,2.6800000000000003e-164,578.0,1.6100000000000001e-164,578.0
184,AWH,NP_001261379.1,Astyanax_pachon,KAG9263277.1,LHX6,Drosophila_melanogaster,NP_001261379.1,AWH,1.9300000000000001e-56,218.0,9.34e-57,218.0
185,AWH,NP_001261379.1,Astyanax_pachon,KAG9278819.1,LHX8,Drosophila_melanogaster,NP_001261379.1,AWH,1.32e-55,215.0,7.47e-56,215.0
186,AXN,NP_733336.1,,,,,,,,,,
187,AXO,NP_001246631.1,,,,,,,,,,
188,AXUD1,NP_608673.1,,,,,,,,,,
189,B,NP_476788.1,Astyanax_pachon,KAG9269034.1,CSAD,Drosophila_melanogaster,NP_476788.1,B,5.23e-137,486.0,3.94e-137,486.0
190,B4,NP_477325.2,,,,,,,,,,
191,B52,NP_788671.2,Astyanax_pachon,KAG9260293.1,SRSF6,Drosophila_melanogaster,NP_788671.2,B52,8.69e-60,229.0,5.64e-60,229.0
192,B52,NP_788671.2,Astyanax_pachon,KAG9269869.1,SRSF6,Drosophila_melanogaster,NP_788671.2,B52,4.5e-60,230.0,2.82e-60,230.0
193,B52,NP_788671.2,Astyanax_pachon,KAG9274979.1,SRSF5,Drosophila_melanogaster,NP_788671.2,B52,8.32e-58,222.0,7.22e-58,222.0
194,B6,NP_477365.1,,,,,,,,,,
195,BAB1,NP_001261239.1,,,,,,,,,,
196,BAB2,NP_001261242.1,,,,,,,,,,
197,BABO,NP_476999.1,Astyanax_pachon,KAG9276696.1,TGFBR1,Drosophila_melanogaster,NP_476999.1,BABO,1.63e-147,521.0,1.2399999999999999e-147,521.0
198,BABO,NP_476999.1,Astyanax_pachon,KAG9277053.1,ACVR1B,Drosophila_melanogaster,NP_476999.1,BABO,6.35e-141,499.0,5.21e-141,499.0
199,BAF,NP_609176.1,Astyanax_pachon,KAG9265855.1,BANF1,Drosophila_melanogaster,NP_609176.1,BAF,5.2600000000000004e-33,138.0,3.54e-33,138.0
200,BAI,NP_651323.3,Astyanax_pachon,KAG9282294.1,TMED10,Drosophila_melanogaster,NP_651323.3,BAI,5.0999999999999995e-54,209.0,3.43e-54,209.0
201,BAM,NP_476800.1,,,,,,,,,,
202,BAP,NP_732637.1,,,,,,,,,,
203,BAP170,NP_610216.1,,,,,,,,,,
204,BAZ,NP_001285364.1,Astyanax_pachon,KAG9278225.1,KAG9278225.1,Drosophila_melanogaster,NP_001285364.1,BAZ,2.2900000000000003e-73,276.0,1.6900000000000002e-73,276.0
205,BBC,NP_001260955.1,,,,,,,,,,
206,BBG,NP_648705.2,,,,,,,,,,
207,BCHS,NP_608968.2,Astyanax_pachon,KAG9261700.1,WDFY3,Drosophila_melanogaster,NP_608968.2,BCHS,0.0,2908.0,0.0,2908.0
208,BDG,NP_001286469.1,,,,,,,,,,
209,BE,NP_727817.1,,,,,,,,,,
210,BEAF-32,NP_523747.1,,,,,,,,,,
211,BEAT-IA,NP_001285975.1,,,,,,,,,,
212,BEAT-IB,NP_523579.1,,,,,,,,,,
213,BEAT-IC,NP_523580.1,,,,,,,,,,
214,BEAT-IIA,NP_524384.3,,,,,,,,,,
215,BEAT-IIB,NP_001163635.2,,,,,,,,,,
216,BEAT-IIIA,NP_001188828.1,,,,,,,,,,
217,BEAT-IIIB,NP_788071.3,,,,,,,,,,
218,BEAT-IIIC,NP_609830.2,,,,,,,,,,
219,BEAT-IV,NP_001262876.1,,,,,,,,,,
220,BEAT-VA,NP_001189214.1,,,,,,,,,,
221,BEAT-VB,NP_731748.1,,,,,,,,,,
222,BEAT-VC,NP_001356887.1,,,,,,,,,,
223,BEAT-VI,NP_651619.1,,,,,,,,,,
224,BEAT-VII,NP_733162.2,,,,,,,,,,
225,BEG,NP_648950.1,Astyanax_pachon,KAG9280325.1,MCAT,Drosophila_melanogaster,NP_648950.1,BEG,1.8e-87,321.0,1.22e-87,321.0
