,Model_nodos,NCBI_Product_accesion,Ast,a,a2,Mus,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
39,ADAM12,NP_031426.2,Astyanax_pachon,KAG9267464.1,ADAM12,Mus_musculus,NP_031426.2,ADAM12,0.0,1029.0,0.0,1029.0
40,ADAM8,NP_001277995.1,Astyanax_pachon,KAG9275447.1,ADAM8,Mus_musculus,NP_001277995.1,ADAM8,1.06e-172,607.0,2.13e-173,607.0
41,ADCYAP1R1,XP_006505451.1,Astyanax_pachon,KAG9277304.1,ADCYAP1R1,Mus_musculus,XP_006505451.1,ADCYAP1R1,9.68e-191,666.0,2.34e-191,666.0
42,ADD1,NP_001318011.1,Astyanax_pachon,KAG9266359.1,ADD1,Mus_musculus,NP_001318011.1,ADD1,6.069999999999999e-282,970.0,1.0899999999999999e-282,970.0
43,ADD2,NP_038486.2,Astyanax_pachon,KAG9262059.1,ADD2,Mus_musculus,NP_038486.2,ADD2,5.589999999999999e-190,664.0,1.3e-190,664.0
44,ADIPOR1,NP_082596.2,Astyanax_pachon,KAG9260470.1,ADIPOR1,Mus_musculus,NP_082596.2,ADIPOR1,1.3899999999999998e-180,632.0,2.8800000000000004e-181,632.0
45,ADIPOR1,NP_082596.2,Astyanax_pachon,KAG9270871.1,ADIPOR1,Mus_musculus,NP_082596.2,ADIPOR1,1.45e-177,622.0,2.95e-178,622.0
46,ADORA1,NP_001278857.1,,,,,,,,,,
47,ADORA2A,NP_001318025.1,Astyanax_pachon,KAG9266218.1,ADORA2A,Mus_musculus,NP_001318025.1,ADORA2A,7.1899999999999995e-115,414.0,1.33e-115,414.0
48,ADRA2B,NP_033763.3,Astyanax_pachon,KAG9270485.1,ADRA2B,Mus_musculus,NP_033763.3,ADRA2B,4.25e-112,405.0,7.43e-113,405.0
49,AEBP2,NP_033767.2,Astyanax_pachon,KAG9280549.1,AEBP2,Mus_musculus,NP_033767.2,AEBP2,1.41e-139,496.0,3.3799999999999998e-140,496.0
50,AFF1,NP_001395180.1,,,,,,,,,,
51,AFP,NP_031449.3,,,,,,,,,,
52,AGRP,NP_001258735.1,Astyanax_pachon,KAG9260902.1,AGRP,Mus_musculus,NP_001258735.1,AGRP,2.74e-14,78.2,5.17e-15,78.2
53,AGT,NP_031454.4,Astyanax_pachon,KAG9275581.1,AGT,Mus_musculus,NP_031454.4,AGT,2.59e-39,163.0,5.59e-40,163.0
54,AI467606,NP_849232.1,,,,,,,,,,
55,AICDA,NP_033775.1,Astyanax_pachon,KAG9276012.1,AICDA,Mus_musculus,NP_033775.1,AICDA,1.18e-70,266.0,2.29e-71,266.0
56,AIRE,NP_001258484.1,Astyanax_pachon,KAG9264757.1,AIRE,Mus_musculus,NP_001258484.1,AIRE,7.039999999999999e-68,258.0,1.4399999999999999e-68,258.0
57,AKAP12,NP_112462.1,Astyanax_pachon,KAG9283009.1,AKAP12,Mus_musculus,NP_112462.1,AKAP12,2.4100000000000002e-70,268.0,4.87e-71,268.0
58,AKIP1,NP_065641.1,Astyanax_pachon,KAG9273137.1,AKIP1,Mus_musculus,NP_065641.1,AKIP1,3.03e-10,65.1,7.35e-11,65.1
59,AKR1B7,NP_033861.2,Astyanax_pachon,KAG9280149.1,AKR1B1,Mus_musculus,NP_033861.2,AKR1B7,1.8099999999999998e-126,452.0,3.72e-127,452.0
60,AKR1B8,NP_032038.1,Astyanax_pachon,KAG9280149.1,AKR1B1,Mus_musculus,NP_032038.1,AKR1B8,1.8099999999999998e-126,452.0,3.72e-127,452.0
61,ALB,NP_033784.2,,,,,,,,,,
62,ALDH1A1,NP_001348434.1,,,,,,,,,,
63,ALDH1A7,NP_036051.1,,,,,,,,,,
64,ALOX5,NP_033792.1,Astyanax_pachon,KAG9275247.1,ALOX5,Mus_musculus,NP_033792.1,ALOX5,0.0,1065.0,0.0,1065.0
65,ALPL,XP_017175413.1,Astyanax_pachon,KAG9260765.1,KAG9260765.1,Mus_musculus,XP_017175413.1,ALPL,7.72e-211,733.0,1.59e-211,733.0
66,ALX1,NP_001408403.1,Astyanax_pachon,KAG9273122.1,ALX1,Mus_musculus,NP_001408403.1,ALX1,2e-86,319.0,4.84e-87,319.0
67,ALX3,NP_031467.1,Astyanax_pachon,KAG9270769.1,ALX3,Mus_musculus,NP_031467.1,ALX3,5.3999999999999995e-62,238.0,1.06e-62,238.0
68,ALX4,NP_031468.1,Astyanax_pachon,KAG9267165.1,ALX4,Mus_musculus,NP_031468.1,ALX4,4.2800000000000004e-123,441.0,9.63e-124,441.0
69,AMELX,NP_001075447.1,,,,,,,,,,
70,AMH,NP_031471.2,,,,,,,,,,
71,AMPD1,NP_001028475.2,,,,,,,,,,
72,ANGPT2,NP_031452.2,Astyanax_pachon,KAG9274843.1,ANGPT2,Mus_musculus,NP_031452.2,ANGPT2,9.97e-144,510.0,2.03e-144,510.0
73,ANGPTL2,NP_036053.2,Astyanax_pachon,KAG9270287.1,ANGPTL2,Mus_musculus,NP_036053.2,ANGPTL2,9.36e-212,736.0,1.87e-212,736.0
74,ANGPTL2,NP_036053.2,Astyanax_pachon,KAG9281924.1,ANGPTL2,Mus_musculus,NP_036053.2,ANGPTL2,8.25e-205,713.0,1.57e-205,713.0
75,ANKRD1,NP_038496.2,Astyanax_pachon,KAG9268373.1,ANKRD1,Mus_musculus,NP_038496.2,ANKRD1,1.21e-19,97.1,2.57e-20,97.1
76,ANKRD2,NP_064417.2,,,,,,,,,,
77,ANPEP,XP_036008613.1,Astyanax_pachon,KAG9266984.1,ANPEP,Mus_musculus,XP_036008613.1,ANPEP,0.0,1068.0,0.0,1068.0
78,ANPEP,XP_036008613.1,Astyanax_pachon,KAG9266986.1,ANPEP,Mus_musculus,XP_036008613.1,ANPEP,0.0,1081.0,0.0,1081.0
79,ANPEP,XP_036008613.1,Astyanax_pachon,KAG9272063.1,ANPEP,Mus_musculus,XP_036008613.1,ANPEP,0.0,1117.0,0.0,1117.0
80,APAF1,XP_036011453.1,Astyanax_pachon,KAG9280671.1,APAF1,Mus_musculus,XP_036011453.1,APAF1,0.0,1162.0,0.0,1162.0
81,APBB1,NP_001398887.1,Astyanax_pachon,KAG9263534.1,APBB1,Mus_musculus,NP_001398887.1,APBB1,1.1e-179,630.0,2.18e-180,630.0
82,APLP1,NP_031493.2,,,,,,,,,,
83,APOA1,NP_033822.2,,,,,,,,,,
84,APOA4,NP_031494.2,,,,,,,,,,
85,APOA5,NP_001335024.1,,,,,,,,,,
86,APOC3,NP_001276684.1,,,,,,,,,,
87,APOE,NP_033826.2,,,,,,,,,,
88,AR,NP_038504.1,,,,,,,,,,
89,AREG,NP_033834.1,,,,,,,,,,
90,ARID3A,NP_001275554.1,Astyanax_pachon,KAG9266755.1,ARID3A,Mus_musculus,NP_001275554.1,ARID3A,1.06e-118,427.0,2.38e-119,427.0
91,ARID3B,NP_001366282.1,Astyanax_pachon,KAG9273420.1,ARID3B,Mus_musculus,NP_001366282.1,ARID3B,2.3299999999999997e-90,333.0,4.4499999999999997e-91,333.0
92,ARID3B,NP_001366282.1,Astyanax_pachon,KAG9280931.1,ARID3B,Mus_musculus,NP_001366282.1,ARID3B,1.4399999999999998e-94,347.0,2.7199999999999997e-95,347.0
93,ARID5B,NP_076087.2,Astyanax_pachon,KAG9267610.1,ARID5B,Mus_musculus,NP_076087.2,ARID5B,1.58e-281,969.0,3.26e-282,969.0
94,ARL6IP5,NP_075368.1,Astyanax_pachon,KAG9269870.1,ARL6IP5,Mus_musculus,NP_075368.1,ARL6IP5,2.79e-65,248.0,5.700000000000001e-66,248.0
95,ARNT,NP_001032826.1,,,,,,,,,,
96,ARR3,XP_006527928.1,,,,,,,,,,
97,ART1,XP_036008500.1,Astyanax_pachon,KAG9275664.1,AT2,Mus_musculus,XP_036008500.1,ART1,8.86e-25,114.0,2.14e-25,114.0
98,ARX,NP_031518.2,Astyanax_pachon,KAG9283403.1,ARX,Mus_musculus,NP_031518.2,ARX,1.79e-118,426.0,4.46e-119,426.0
99,ASAH1,XP_017168016.1,Astyanax_pachon,KAG9259665.1,ASAH1,Mus_musculus,XP_017168016.1,ASAH1,1.16e-151,536.0,2.4e-152,536.0
100,ASCL1,NP_032579.2,Astyanax_pachon,KAG9280174.1,KAG9280174.1,Mus_musculus,NP_032579.2,ASCL1,5.0099999999999995e-61,234.0,1.15e-61,234.0
101,ASCL2,NP_032580.2,,,,,,,,,,
102,ASH1L,XP_030108328.1,Astyanax_pachon,KAG9279390.1,ASH1L,Mus_musculus,XP_030108328.1,ASH1L,0.0,1834.0,0.0,1834.0
103,ASXL1,NP_001035028.1,Astyanax_pachon,KAG9269706.1,ASXL1,Mus_musculus,NP_001035028.1,ASXL1,3.58e-134,480.0,6.65e-135,480.0
104,ATF2,XP_030102713.1,,,,,,,,,,
105,ATF3,NP_031524.2,Astyanax_pachon,KAG9282578.1,ATF3,Mus_musculus,NP_031524.2,ATF3,8.439999999999999e-54,210.0,1.5099999999999998e-54,210.0
106,ATF6,XP_011237098.1,Astyanax_pachon,KAG9282605.1,ATF6,Mus_musculus,XP_011237098.1,ATF6,1.63e-116,420.0,3.32e-117,420.0
107,ATM,NP_031525.3,Astyanax_pachon,KAG9278580.1,ATM,Mus_musculus,NP_031525.3,ATM,0.0,3114.0,0.0,3114.0
108,ATN1,NP_031907.2,,,,,,,,,,
109,ATOH1,NP_031526.1,,,,,,,,,,
110,ATOH7,NP_001351577.1,,,,,,,,,,
111,ATOH8,NP_722473.1,,,,,,,,,,
112,ATP11C,NP_001001798.1,Astyanax_pachon,KAG9272671.1,ATP11C,Mus_musculus,NP_001001798.1,ATP11C,0.0,1567.0,0.0,1567.0
113,ATP1A1,NP_659149.1,Astyanax_pachon,KAG9262149.1,ATP1A1,Mus_musculus,NP_659149.1,ATP1A1,0.0,1802.0,0.0,1802.0
114,ATP1A1,NP_659149.1,Astyanax_pachon,KAG9262153.1,ATP1A1,Mus_musculus,NP_659149.1,ATP1A1,0.0,1782.0,0.0,1782.0
115,ATP1A1,NP_659149.1,Astyanax_pachon,KAG9271125.1,ATP1A1,Mus_musculus,NP_659149.1,ATP1A1,0.0,1806.0,0.0,1806.0
116,ATP1B1,NP_033851.1,Astyanax_pachon,KAG9262117.1,ATNB233,Mus_musculus,NP_033851.1,ATP1B1,8.15e-105,380.0,1.69e-105,380.0
117,ATP1B1,NP_033851.1,Astyanax_pachon,KAG9277728.1,ATNB233,Mus_musculus,NP_033851.1,ATP1B1,1.65e-101,369.0,3.47e-102,369.0
118,ATP2A2,NP_033852.1,Astyanax_pachon,KAG9266333.1,ATP2A2,Mus_musculus,NP_033852.1,ATP2A2,0.0,1763.0,0.0,1763.0
119,ATP2A2,NP_033852.1,Astyanax_pachon,KAG9269997.1,ATP2A2,Mus_musculus,NP_033852.1,ATP2A2,0.0,1711.0,0.0,1711.0
120,ATP6V1E1,NP_031536.2,Astyanax_pachon,KAG9280568.1,ATP6V1E1,Mus_musculus,NP_031536.2,ATP6V1E1,3.27e-96,351.0,6.75e-97,351.0
121,ATP9A,NP_001276375.1,Astyanax_pachon,KAG9269119.1,ATP9A,Mus_musculus,NP_001276375.1,ATP9A,0.0,1853.0,0.0,1853.0
122,AUTS2,NP_001350409.1,Astyanax_pachon,KAG9265383.1,AUTS2,Mus_musculus,NP_001350409.1,AUTS2,1.56e-140,500.0,5.28e-141,500.0
123,AVP,NP_033862.1,Astyanax_pachon,KAG9270647.1,KAG9270647.1,Mus_musculus,NP_033862.1,AVP,2.38e-34,145.0,5.16e-35,145.0
124,AXL,XP_006540056.1,,,,,,,,,,
125,B3GAT1,NP_001297695.1,Astyanax_pachon,KAG9272812.1,B3GAT1,Mus_musculus,NP_001297695.1,B3GAT1,1.3299999999999999e-171,602.0,2.8699999999999997e-172,602.0
126,B4GALNT1,NP_082015.2,Astyanax_pachon,KAG9277207.1,B4GALNT1,Mus_musculus,NP_082015.2,B4GALNT1,7.320000000000001e-161,567.0,1.6100000000000002e-161,567.0
127,BACE1,NP_035922.4,Astyanax_pachon,KAG9278558.1,BACE1,Mus_musculus,NP_035922.4,BACE1,2.1399999999999998e-221,768.0,4.42e-222,768.0
128,BACH2,XP_030108969.1,Astyanax_pachon,KAG9282415.1,BACH2,Mus_musculus,XP_030108969.1,BACH2,1.6599999999999999e-190,666.0,3.79e-191,666.0
129,BANP,XP_017168388.1,Astyanax_pachon,KAG9281104.1,BANP,Mus_musculus,XP_017168388.1,BANP,2.59e-150,532.0,5.34e-151,532.0
130,BARHL1,NP_001342363.1,Astyanax_pachon,KAG9261922.1,BARHL1,Mus_musculus,NP_001342363.1,BARHL1,7.25e-101,367.0,1.49e-101,367.0
131,BARHL1,NP_001342363.1,Astyanax_pachon,KAG9266289.1,BARHL1,Mus_musculus,NP_001342363.1,BARHL1,3.56e-101,368.0,7.45e-102,368.0
132,BARX2,NP_038828.2,Astyanax_pachon,KAG9273358.1,BARX2,Mus_musculus,NP_038828.2,BARX2,1.16e-84,313.0,2.3200000000000002e-85,313.0
133,BATF3,NP_084336.1,,,,,,,,,,
134,BAX,XP_011249082.1,,,,,,,,,,
135,BBC3,NP_001390603.1,,,,,,,,,,
136,BCAT1,NP_031558.3,Astyanax_pachon,KAG9264083.1,BCAT1,Mus_musculus,NP_031558.3,BCAT1,7.75e-144,510.0,1.58e-144,510.0
137,BCAT1,NP_031558.3,Astyanax_pachon,KAG9280165.1,BCAT1,Mus_musculus,NP_031558.3,BCAT1,1.49e-149,529.0,3.0099999999999996e-150,529.0
138,BCL2,NP_033871.2,Astyanax_pachon,KAG9273651.1,BCL2,Mus_musculus,NP_033871.2,BCL2,2.3999999999999997e-42,172.0,5.400000000000001e-43,172.0
139,BCL2,NP_033871.2,Astyanax_pachon,KAG9283483.1,BCL2,Mus_musculus,NP_033871.2,BCL2,7.56e-44,177.0,1.69e-44,177.0
140,BCL2A1A,NP_033872.1,,,,,,,,,,
141,BCL2A1D,NP_031562.1,,,,,,,,,,
142,BCL2L1,NP_001276668.1,,,,,,,,,,
143,BCL2L11,XP_006498677.1,Astyanax_pachon,KAG9275008.1,BCL2L11,Mus_musculus,XP_006498677.1,BCL2L11,1.55e-11,69.7,3.86e-12,69.7
144,BCL3,XP_006539550.1,Astyanax_pachon,KAG9276480.1,KAG9276480.1,Mus_musculus,XP_006539550.1,BCL3,5.64e-63,242.0,7.87e-64,242.0
145,BCL9,XP_030108752.1,,,,,,,,,,
146,BCL9L,NP_001408236.1,Astyanax_pachon,KAG9273313.1,BCL9L,Mus_musculus,NP_001408236.1,BCL9L,5.78e-177,622.0,1.18e-177,622.0
147,BCLAF1,NP_001020563.1,,,,,,,,,,
148,BCR,NP_001074881.1,Astyanax_pachon,KAG9266329.1,BCR,Mus_musculus,NP_001074881.1,BCR,0.0,1783.0,0.0,1783.0
149,BDNF,NP_031566.4,,,,,,,,,,
150,BFSP1,NP_033881.2,,,,,,,,,,
151,BGLAP,NP_031567.1,,,,,,,,,,
152,BGLAP2,NP_001027469.2,,,,,,,,,,
153,BGLAP3,NP_112736.3,,,,,,,,,,
154,BHLHA15,NP_034930.1,,,,,,,,,,
155,BHLHE23,NP_542372.2,Astyanax_pachon,KAG9269537.1,BHLHE23,Mus_musculus,NP_542372.2,BHLHE23,3.75e-53,208.0,7.43e-54,208.0
156,BHLHE40,NP_035628.1,Astyanax_pachon,KAG9260657.1,BHLHE40,Mus_musculus,NP_035628.1,BHLHE40,2.06e-113,409.0,4.26e-114,409.0
157,BHLHE41,NP_077789.1,Astyanax_pachon,KAG9273118.1,BHLHE41,Mus_musculus,NP_077789.1,BHLHE41,4.48e-101,368.0,9.35e-102,368.0
158,BID,XP_036021660.1,,,,,,,,,,
159,BIRC2,XP_017168600.1,,,,,,,,,,
160,BIRC3,XP_006509892.1,Astyanax_pachon,KAG9265614.1,ITA,Mus_musculus,XP_006509892.1,BIRC3,3.8499999999999996e-176,618.0,8.3e-177,618.0
161,BLNK,NP_001351983.1,Astyanax_pachon,KAG9275510.1,BLNK,Mus_musculus,NP_001351983.1,BLNK,4.61e-57,222.0,9.23e-58,222.0
162,BMI1,NP_001403843.1,Astyanax_pachon,KAG9278458.1,BMI1B,Mus_musculus,NP_001403843.1,BMI1,2.89e-131,468.0,5.83e-132,468.0
163,BMI1,NP_001403843.1,Astyanax_pachon,KAG9283273.1,BMI1A,Mus_musculus,NP_001403843.1,BMI1,1.1e-133,476.0,2.28e-134,476.0
164,BMP2,NP_031579.2,Astyanax_pachon,KAG9268738.1,BMP2,Mus_musculus,NP_031579.2,BMP2,2.57e-142,505.0,5.16e-143,505.0
165,BMP5,NP_031581.2,Astyanax_pachon,KAG9275049.1,BMP5,Mus_musculus,NP_031581.2,BMP5,4.83e-191,667.0,1.0199999999999999e-191,667.0
166,BMP7,NP_031583.2,Astyanax_pachon,KAG9269286.1,BMP7,Mus_musculus,NP_031583.2,BMP7,4.43e-197,687.0,9.18e-198,687.0
167,BMPR1B,NP_001341972.1,Astyanax_pachon,KAG9263056.1,BMPR1B,Mus_musculus,NP_001341972.1,BMPR1B,1.4199999999999998e-256,885.0,2.6700000000000003e-257,885.0
168,BMPR2,NP_031587.1,Astyanax_pachon,KAG9277625.1,BMPR2,Mus_musculus,NP_031587.1,BMPR2,2.06e-261,902.0,4.2099999999999996e-262,902.0
169,BNIP3,NP_033890.1,Astyanax_pachon,KAG9267448.1,BNIP3,Mus_musculus,NP_033890.1,BNIP3,1.8200000000000002e-66,252.0,3.54e-67,252.0
170,BRCA2,NP_001074470.1,,,,,,,,,,
171,BRINP1,NP_064351.2,Astyanax_pachon,KAG9281606.1,BRINP1,Mus_musculus,NP_064351.2,BRINP1,0.0,1360.0,0.0,1360.0
172,BSG,NP_033898.1,Astyanax_pachon,KAG9266658.1,BSG,Mus_musculus,NP_033898.1,BSG,5.99e-90,331.0,1.22e-90,331.0
173,BSX,XP_036010875.1,Astyanax_pachon,KAG9263610.1,KAG9263610.1,Mus_musculus,XP_036010875.1,BSX,3.96e-68,258.0,6.87e-69,258.0
174,BTG2,NP_031596.1,Astyanax_pachon,KAG9260740.1,BTG1,Mus_musculus,NP_031596.1,BTG2,1.76e-51,202.0,3.3699999999999994e-52,202.0
175,BTK,NP_038510.2,Astyanax_pachon,KAG9272766.1,BTK,Mus_musculus,NP_038510.2,BTK,5.9e-240,830.0,1.26e-240,830.0
176,BUB1,XP_036013667.1,,,,,,,,,,
177,BUB3,NP_033904.2,Astyanax_pachon,KAG9267513.1,BUB3,Mus_musculus,NP_033904.2,BUB3,1.31e-171,602.0,2.6899999999999996e-172,602.0
178,C1QB,NP_033907.1,,,,,,,,,,
179,CACNA1C,XP_006505506.1,Astyanax_pachon,KAG9280144.1,CACNA1C,Mus_musculus,XP_006505506.1,CACNA1C,0.0,3030.0,0.0,3030.0
180,CAD,NP_001390328.1,Astyanax_pachon,KAG9282555.1,CAD,Mus_musculus,NP_001390328.1,CAD,0.0,3374.0,0.0,3374.0
181,CADM1,NP_001297770.1,Astyanax_pachon,KAG9265405.1,CADM1,Mus_musculus,NP_001297770.1,CADM1,6.84e-140,497.0,1.59e-140,497.0
182,CALB2,NP_001355223.1,,,,,,,,,,
183,CALCRL,XP_036018296.1,Astyanax_pachon,KAG9277611.1,CALCRLA,Mus_musculus,XP_036018296.1,CALCRL,2.8399999999999998e-176,618.0,5.83e-177,618.0
184,CALCRL,XP_036018296.1,Astyanax_pachon,KAG9279791.1,CALCRL,Mus_musculus,XP_036018296.1,CALCRL,1.19e-171,603.0,1.9099999999999997e-172,603.0
185,CALD1,XP_006505411.1,,,,,,,,,,
186,CALR,NP_031617.1,Astyanax_pachon,KAG9270863.1,CALR,Mus_musculus,NP_031617.1,CALR,4.6e-132,471.0,9.35e-133,471.0
187,CAPN2,NP_033924.2,Astyanax_pachon,KAG9261129.1,CAPN2,Mus_musculus,NP_033924.2,CAPN2,4.4200000000000004e-276,951.0,5.04e-277,951.0
188,CAPN2,NP_033924.2,Astyanax_pachon,KAG9274812.1,CAPN2,Mus_musculus,NP_033924.2,CAPN2,5.54e-289,993.0,1.15e-289,993.0
189,CAR1,NP_033929.2,Astyanax_pachon,KAG9275944.1,CA1,Mus_musculus,NP_033929.2,CAR1,2.53e-88,325.0,5.23e-89,325.0
190,CAR1,NP_033929.2,Astyanax_pachon,KAG9278406.1,CAHZ,Mus_musculus,NP_033929.2,CAR1,1.07e-87,323.0,2.0900000000000002e-88,323.0
191,CAR1,NP_033929.2,Astyanax_pachon,KAG9278407.1,CAHZ,Mus_musculus,NP_033929.2,CAR1,2.53e-88,325.0,5.23e-89,325.0
192,CASP12,NP_033938.3,Astyanax_pachon,KAG9259534.1,CASPA,Mus_musculus,NP_033938.3,CASP12,3.48e-44,179.0,7.489999999999999e-45,179.0
193,CASP12,NP_033938.3,Astyanax_pachon,KAG9274344.1,CASPA,Mus_musculus,NP_033938.3,CASP12,7.71e-47,188.0,1.46e-47,188.0
194,CASP3,XP_017168032.1,Astyanax_pachon,KAG9259687.1,CASP3,Mus_musculus,XP_017168032.1,CASP3,9.18e-84,310.0,1.82e-84,310.0
195,CASP3,XP_017168032.1,Astyanax_pachon,KAG9272585.1,CASP3,Mus_musculus,XP_017168032.1,CASP3,4.52e-84,311.0,9.100000000000001e-85,311.0
196,CASP6,NP_033941.3,Astyanax_pachon,KAG9275740.1,CASP6,Mus_musculus,NP_033941.3,CASP6,6.72e-101,367.0,1.26e-101,367.0
