Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,Symbol
ASXL1,NP_056153.2,KAG9269706.1,ASXL1
ATAD2,XP_054216337.1,KAG9283645.1,ATAD2
ATF2,NP_001871.2,KAG9271470.1,ATF2
ATF3,XP_054192718.1,KAG9282578.1,ATF3
ATF4,XP_054181624.1,KAG9277484.1,ATF4
ATF6,XP_054191190.1,KAG9282605.1,ATF6
ATG5,NP_004840.1,KAG9278476.1,ATG5
ATG7,NP_001336164.1,KAG9260376.1,ATG7
ATM,NP_001338763.1,KAG9278580.1,ATM
ATP1B1,NP_001668.1,KAG9262117.1,ATNB233
ATP1B1,NP_001668.1,KAG9277728.1,ATNB233
ATP2A2,NP_001672.1,KAG9266333.1,ATP2A2
ATP2A2,NP_001672.1,KAG9269997.1,ATP2A2
ATP2A3,XP_054172252.1,KAG9281739.1,ATP2A2
ATP2C1,NP_001365440.1,KAG9283852.1,ATP2C1
ATP6V0A2,NP_036595.2,KAG9262046.1,ATP6V0A2
ATP6V0E1,NP_003936.1,KAG9281161.1,ATP6V0E1
ATRX,XP_054183258.1,KAG9271883.1,ATRX
ATXN2,NP_002964.4,KAG9261673.1,ATXN2
ATXN7,NP_001170858.1,KAG9260611.1,ATXN7
AURKA,NP_001411349.1,KAG9266270.1,AURKA-A
AVP,NP_000481.2,KAG9270647.1,KAG9270647.1
AVP,NP_000481.2,KAG9281625.1,KAG9281625.1
AVP,NP_000481.2,KAG9281896.1,KAG9281896.1
AXL,NP_068713.2,KAG9278556.1,AXL
B2M,NP_004039.1,KAG9280306.1,B2M
B2M,NP_004039.1,KAG9280307.1,B2M
BAALC,NP_001351803.1,KAG9282832.1,BAALC
BACE2,NP_036237.2,KAG9278581.1,BACE2
BACH1,NP_001177.1,KAG9263674.1,BACH1
BACH1,NP_001177.1,KAG9265004.1,BACH1
BACH2,NP_068585.1,KAG9282415.1,BACH2
BAG1,NP_004314.6,KAG9274006.1,BAG1
BAG2,NP_004273.1,KAG9275054.1,BAG2
BAG3,NP_004272.2,KAG9275425.1,BAG3
BAMBI,NP_036474.1,KAG9267963.1,KAG9267963.1
BARX2,NP_003649.2,KAG9273358.1,BARX2
BATF,NP_006390.1,KAG9282290.1,BATF
BATF,NP_006390.1,KAG9282577.1,BATF
BCAR1,NP_001164186.1,KAG9273251.1,BCAR1
BCAS2,NP_005863.1,KAG9270014.1,BCAS2
BCAS3,NP_001340073.1,KAG9265459.1,BCAS3
BCL2,NP_000624.2,KAG9273651.1,BCL2
BCL2,NP_000624.2,KAG9283483.1,BCL2
BCL2L11,XP_054196038.1,KAG9275008.1,BCL2L11
BCL6,NP_001124317.1,KAG9277742.1,BCL6
BDKRB2,NP_001366621.1,KAG9268748.1,BDKRB2
BEST1,NP_004174.1,KAG9280813.1,BEST1
BGLAP,NP_954642.1,KAG9279090.1,BGLAP
BGN,XP_054183538.1,KAG9269602.1,BGN
BHLHE22,NP_689627.1,KAG9283376.1,BHLHE22
BHLHE40,XP_054204135.1,KAG9260657.1,BHLHE40
BHLHE41,NP_110389.1,KAG9273118.1,BHLHE41
BHMT,XP_054209017.1,KAG9266350.1,BHMT
BIRC2,XP_054224586.1,KAG9265614.1,ITA
BIRC3,XP_054224588.1,KAG9265614.1,ITA
BLK,XP_054216944.1,KAG9282841.1,BLK
BLM,NP_000048.1,KAG9273286.1,BLM
BLMH,NP_000377.1,KAG9265097.1,BLMH
BMP2,NP_001191.1,KAG9268738.1,BMP2
BMP2,NP_001191.1,KAG9282875.1,BMP2
BMP4,NP_001334841.1,KAG9268760.1,BMP4
BMP7,NP_001710.1,KAG9269286.1,BMP7
BNIP3,NP_004043.4,KAG9267448.1,BNIP3
BPTF,XP_054171404.1,KAG9264497.1,BPTF
BRCA2,NP_000050.3,KAG9264639.1,BRCA2
BRD2,NP_001186384.1,KAG9279317.1,BRD2
BRD2,NP_001186384.1,KAG9283746.1,BRD2
BRD3,XP_054219853.1,KAG9261897.1,BRD2
BRD3,XP_054219853.1,KAG9266294.1,BRD2
BRD4,NP_001366220.1,KAG9278999.1,BRD4
BRIP1,XP_054173476.1,KAG9265462.1,BRIP1
BRPF1,XP_054203765.1,KAG9270239.1,BRPF1
BSG,XP_054177819.1,KAG9266658.1,BSG
BTAF1,NP_003963.1,KAG9275513.1,BTAF1
BTF3,NP_001032726.1,KAG9281962.1,BTF3
BTG1,NP_001722.1,KAG9280684.1,BTG1
BTG2,NP_006754.1,KAG9260740.1,BTG1
BTG3,XP_054180299.1,KAG9263241.1,BTG3
BTK,NP_001274273.1,KAG9272766.1,BTK
BUB1B,NP_001202.5,KAG9282910.1,BUB1B
C1QBP,NP_001203.1,KAG9281703.1,C1QBP
C3,NP_000055.2,KAG9262728.1,C3
C4A,NP_009224.2,KAG9264633.1,C4B
C4B,NP_001002029.3,KAG9264633.1,C4B
CA2,NP_000058.1,KAG9275944.1,CA1
CA2,NP_000058.1,KAG9278406.1,CAHZ
CA2,NP_000058.1,KAG9278407.1,CAHZ
CA9,NP_001207.2,KAG9263511.1,CA9
CABIN1,XP_054181289.1,KAG9270414.1,CABIN1
CABLES1,NP_001094089.1,KAG9278770.1,CABLES1
CACNA1H,XP_054170237.1,KAG9262294.1,CACNA1H
CAD,XP_054199815.1,KAG9282555.1,CAD
CAPN10,NP_075571.2,KAG9278194.1,CAPN10
CAPNS1,NP_001740.1,KAG9265108.1,CAPNS1
CAPNS1,NP_001740.1,KAG9265109.1,CAPNS1
CAPNS1,NP_001740.1,KAG9282161.1,CAPNS1
CARM1,NP_954592.1,KAG9263926.1,CARM1
CARTPT,NP_004282.1,KAG9261308.1,CARTPT
CARTPT,NP_004282.1,KAG9272431.1,CARTPT
CASP1,XP_054226104.1,KAG9259534.1,CASPA
CASP1,XP_054226104.1,KAG9274344.1,CASPA
CASP1,XP_054226104.1,KAG9283866.1,CASPA
CASP2,NP_116764.2,KAG9276564.1,CASP2
CASP3,NP_001341706.1,KAG9259687.1,CASP3
CASP3,NP_001341706.1,KAG9272585.1,CASP3
CASP7,NP_001253986.1,KAG9267896.1,CASP7
CASP8,NP_001073594.1,KAG9277633.1,CASP8
CASR,NP_001171536.2,KAG9281593.1,CASR
CAT,NP_001743.1,KAG9280725.1,CAT
CAV1,NP_001744.2,KAG9272138.1,CAV1
CBFB,NP_074036.1,KAG9273258.1,CBFB
CBS,XP_054180896.1,KAG9262386.1,CBS
CBS,XP_054180896.1,KAG9271703.1,CBS
CBX5,NP_001120793.1,KAG9269039.1,KAG9269039.1
CBX8,NP_065700.1,KAG9277415.1,KAG9277415.1
CCK,NP_001167609.1,KAG9263824.1,CCK
CCL11,NP_002977.1,KAG9272033.1,CCL13
CCL13,NP_005399.1,KAG9272034.1,CCL11
CCL19,NP_006265.1,KAG9261977.1,CCL19
CCL19,NP_006265.1,KAG9263311.1,CCL19
CCL2,NP_002973.1,KAG9272034.1,CCL11
CCL20,NP_004582.1,KAG9278192.1,CCL20
CCL26,NP_001358867.1,KAG9272026.1,KAG9272026.1
CCL3,NP_002974.1,KAG9272026.1,KAG9272026.1
CCNA1,NP_001104516.1,KAG9263707.1,CCNA1
CCNA2,NP_001228.2,KAG9272231.1,CCNA2
CCNB1,NP_114172.1,KAG9281858.1,CCNB1
CCNB2,NP_004692.1,KAG9261285.1,CCNB2
CCNC,NP_005181.2,KAG9280553.1,CCNC
CCND1,NP_444284.1,KAG9267104.1,CCND1
CCND2,NP_001750.1,KAG9271954.1,CCND2
CCNE1,NP_001229.1,KAG9261199.1,CCNE1
CCNE2,NP_477097.1,KAG9276139.1,CCNE2
CCNG2,XP_054207169.1,KAG9266044.1,CCNG2
CCR1,NP_001286.1,KAG9276167.1,CCR4
CCR4,XP_054201145.1,KAG9276167.1,CCR4
CCR5,NP_001093638.1,KAG9276170.1,CCR5
CCR5,NP_001093638.1,KAG9276171.1,CCR4
CCR6,NP_001381511.1,KAG9268819.1,CCR6
CCR6,NP_001381511.1,KAG9282924.1,CCR6
CCR7,NP_001829.1,KAG9277597.1,CCR7
CD151,NP_004348.2,KAG9272917.1,CD151
CD22,NP_001762.2,KAG9262702.1,CD22
CD247,NP_000725.1,KAG9262339.1,CD247
CD2AP,NP_036252.1,KAG9282627.1,CD2AP
CD33,XP_054178668.1,KAG9283781.1,SIGLEC1
CD33,XP_054178668.1,KAG9283787.1,SIGLEC12
CD36,NP_001358003.1,KAG9280477.1,CD36
CD38,NP_001766.2,KAG9283530.1,CD38
CD40,XP_054180217.1,KAG9270932.1,CD40
CD40,XP_054180217.1,KAG9270933.1,CD40
CD46,NP_758868.1,KAG9277021.1,CFH
CD68,NP_001242.2,KAG9274176.1,CD68
CD82,XP_054224673.1,KAG9267162.1,CD82
CD82,XP_054224673.1,KAG9273561.1,CD82
CDA,NP_001776.1,KAG9260561.1,CDA
CDAN1,NP_612486.2,KAG9268522.1,CDAN1
CDC20,NP_001246.2,KAG9278856.1,KAG9278856.1
CDC25B,NP_001274445.1,KAG9275203.1,CDC25A
CDC34,NP_004350.1,KAG9266858.1,CDC34
CDC34,NP_004350.1,KAG9278108.1,CDC34
CDC42,NP_001782.1,KAG9260262.1,KAG9260262.1
CDC42,NP_001782.1,KAG9269525.1,KAG9269525.1
CDC5L,NP_001244.1,KAG9268731.1,CDC5L
CDC6,XP_054174032.1,KAG9266670.1,KAG9266670.1
CDC73,NP_078805.3,KAG9273634.1,CDC73
CDCA7,NP_114148.3,KAG9271459.1,CDCA7
CDH11,NP_001788.2,KAG9261214.1,CDH11
CDH13,NP_001207417.1,KAG9273080.1,CDH13
CDH5,XP_054235308.1,KAG9261212.1,CDH5
CDH6,XP_054207350.1,KAG9267550.1,CDH10
CDH6,XP_054207350.1,KAG9267980.1,CDH10
CDH6,XP_054207350.1,KAG9278414.1,CDH10
CDH6,XP_054207350.1,KAG9278415.1,CDH6
CDK1,NP_001307847.1,KAG9268240.1,CDK1
CDK11B,XP_054195790.1,KAG9270227.1,CDK11A
CDK2,XP_054226706.1,KAG9260368.1,CDK2
CDK4,NP_000066.1,KAG9260434.1,CDK4
CDK5R1,NP_003876.1,KAG9267832.1,CDK5R1
CDK6,NP_001138778.1,KAG9279787.1,CDK6
CDKN1A,NP_001361439.1,KAG9260731.1,CDKN1A
CDKN1A,NP_001361439.1,KAG9280387.1,CDKN1B
CDKN1B,NP_004055.1,KAG9280827.1,CDKN1B
CDKN2B,NP_004927.2,KAG9275760.1,CDKN2B
CDKN3,NP_005183.2,KAG9274985.1,CDKN3
CDO1,NP_001310495.1,KAG9270681.1,CDO1
CDX1,NP_001795.2,KAG9266161.1,CDX1
CEACAM5,NP_004354.3,KAG9275980.1,CEACAM5
CEBPA,NP_001274353.1,KAG9260932.1,CEBPA
CEBPD,NP_005186.2,KAG9275792.1,CEBPD
CEBPG,NP_001239225.1,KAG9260933.1,CEBPG
CEBPZ,NP_005751.2,KAG9283099.1,CEBPZ
CEL,NP_001798.3,KAG9266337.1,CEL
CEP55,NP_060601.4,KAG9267338.1,CEP55
CERS2,XP_054192174.1,KAG9266526.1,CERS2
CERS2,XP_054192174.1,KAG9276350.1,CERS2
CERS2,XP_054192174.1,KAG9279382.1,CERS2
CETP,NP_000069.2,KAG9273157.1,CETP
CFB,NP_001701.2,KAG9265044.1,CFB
CFB,NP_001701.2,KAG9265876.1,CFB
CFB,NP_001701.2,KAG9265877.1,KAG9265877.1
CFB,NP_001701.2,KAG9265878.1,KAG9265878.1
CFH,NP_000177.2,KAG9266810.1,CFH
CFLAR,NP_003870.4,KAG9271806.1,CFLAR
CFTR,NP_000483.3,KAG9273217.1,CFTR
CGA,NP_000726.1,KAG9268757.1,CGA
CGB3,NP_000728.1,KAG9275034.1,CGBB
CGB5,NP_149032.1,KAG9275034.1,CGBB
CHAC1,XP_054234743.1,KAG9282990.1,CHAC1
CHAT,NP_065574.4,KAG9275371.1,CHAT
CHD4,NP_001284482.1,KAG9276304.1,CHD4
CHD8,NP_065971.2,KAG9273824.1,CHD8
CHRNA1,NP_000070.1,KAG9271466.1,CHRNA1
CHRNA1,NP_000070.1,KAG9277591.1,CHRNA1
CHRNE,XP_054170908.1,KAG9281929.1,CHRNG
CHUK,XP_054220630.1,KAG9275433.1,CHUK
CIAO1,NP_004795.1,KAG9270629.1,CIAO1A
CIC,NP_001373227.1,KAG9275974.1,KAG9275974.1
CIITA,XP_054236303.1,KAG9263851.1,CIITA
CIP2A,XP_054203382.1,KAG9283416.1,KAG9283416.1
CISH,NP_659508.1,KAG9277115.1,CISH
CITED2,NP_001161861.2,KAG9278898.1,CITED3
CKM,NP_001815.2,KAG9265157.1,CKM
CKM,NP_001815.2,KAG9275271.1,CKB
CKM,NP_001815.2,KAG9282155.1,CKM
CKS2,NP_001818.1,KAG9266346.1,CKS2
CLCN5,XP_054182407.1,KAG9265699.1,CLCN5
CLCNKA,NP_004061.3,KAG9269682.1,CLCNKB
CLDN3,NP_001297.1,KAG9262938.1,CLDN5
CLDN7,NP_001298.3,KAG9263161.1,CLDN7A
CLEC4C,XP_054227314.1,KAG9259779.1,CLEC4F
CLEC4C,XP_054227314.1,KAG9259781.1,CD209A
CLOCK,XP_054207263.1,KAG9282177.1,CLOCK
CLU,NP_001822.3,KAG9283085.1,CLU
CNMD,XP_054230035.1,KAG9262371.1,CNMD
CNOT8,XP_054209778.1,KAG9265914.1,CNOT8
CNP,NP_149124.3,KAG9264242.1,CNP
CNTNAP2,NP_054860.1,KAG9278754.1,CNTNAP2
COL11A1,NP_001177638.1,KAG9276794.1,COL11A1
COMP,NP_000086.2,KAG9266766.1,THBS4
COPS5,NP_006828.2,KAG9283389.1,COPS5
CORO1C,NP_001098707.1,KAG9281819.1,CORO1CA
COX6A1,NP_004364.2,KAG9264110.1,KAG9264110.1
COX6A1,NP_004364.2,KAG9270571.1,KAG9270571.1
COX7C,NP_001858.1,KAG9261781.1,COX7C
CPD,NP_001295.2,KAG9265183.1,CPD
CPEB1,NP_085097.3,KAG9260838.1,CPEB1
CPT1A,XP_054223670.1,KAG9281126.1,CPT1A
CR2,NP_001006659.1,KAG9269252.1,CSMD3
CRABP1,NP_004369.1,KAG9280708.1,CRABP1
CRABP2,NP_001186652.1,KAG9275779.1,CRABP2
CREB1,NP_001358355.1,KAG9262523.1,CREB1
CREB1,NP_001358355.1,KAG9271194.1,CREB1
CREB3L4,NP_570968.1,KAG9276291.1,CREB3L4
CREB5,XP_054215370.1,KAG9276686.1,CREB5
CREBBP,XP_054235597.1,KAG9261318.1,CREBBP
CREG1,NP_003842.1,KAG9262338.1,CREG1
CRH,XP_054215776.1,KAG9278249.1,CRF1
CRHBP,NP_001873.2,KAG9266003.1,CRHBP
CRHR1,NP_001138618.1,KAG9264485.1,CRHR1
CRHR1,NP_001138618.1,KAG9276213.1,CRHR1
CRISP3,NP_006052.2,KAG9283750.1,KAG9283750.1
CRLF1,NP_004741.1,KAG9266841.1,CRLF1
CRLF1,NP_004741.1,KAG9273766.1,CRLF1
CRMP1,NP_001014809.1,KAG9259643.1,CRMP1
CRTC1,NP_001091952.1,KAG9266767.1,CRTC1
CRY1,NP_001400389.1,KAG9280281.1,CRY1
CRYAB,NP_001355174.1,KAG9281994.1,CRYAB
CRYGB,NP_005201.2,KAG9267883.1,GM2
CSF1R,NP_001336665.1,KAG9281198.1,CSF1R
CSF3R,NP_758519.1,KAG9276441.1,CSF3R
CSH1,NP_001308.1,KAG9279222.1,GH
CSNK2A1,NP_001349700.1,KAG9260400.1,CSNK2A1
CSNK2A1,NP_001349700.1,KAG9276627.1,CSNK2A1
CSNK2B,NP_001311.3,KAG9279620.1,CSNK2B
CTBP1,NP_001319.1,KAG9272194.1,CTBP1
CTBP2,NP_001307941.1,KAG9272202.1,CTBP1
CTCF,XP_054235373.1,KAG9273247.1,CTCF
CTLA4,NP_005205.2,KAG9271562.1,CD28
CTPS1,XP_054190666.1,KAG9276429.1,CTPS1
CTSB,NP_001371654.1,KAG9282543.1,CTSB
CTSD,NP_001900.1,KAG9273119.1,CTSD
CTSG,NP_001902.1,KAG9266879.1,MCPT4
CTSG,NP_001902.1,KAG9266880.1,MCPT4
CTSG,NP_001902.1,KAG9266886.1,MCPT1
CTSK,NP_000387.1,KAG9276598.1,CTSK
CTSL,NP_001369686.1,KAG9261742.1,CTSL
CTSL,NP_001369686.1,KAG9281925.1,CTSL
CTSV,NP_001324.2,KAG9261742.1,CTSL
CTSV,NP_001324.2,KAG9281925.1,CTSL
CXCL14,NP_004878.3,KAG9272486.1,CXCL14
CXCL2,NP_002080.1,KAG9259640.1,CXCL8
CXCL8,NP_000575.1,KAG9259640.1,CXCL8
CXCL8,NP_000575.1,KAG9261719.1,CXCL8
CXCR1,NP_000625.1,KAG9271812.1,CXCR1
CXCR2,XP_054197796.1,KAG9271812.1,CXCR1
CXCR5,XP_054225616.1,KAG9273314.1,CXCR5
CXXC5,NP_057547.5,KAG9265735.1,CXXC5
CYBB,NP_000388.2,KAG9261019.1,CYBB
CYFIP2,NP_001278651.1,KAG9272717.1,CYFIP2
CYLD,NP_056062.1,KAG9260925.1,CYLD
CYP11A1,NP_000772.2,KAG9281025.1,CYP11A1
CYP11B2,NP_000489.3,KAG9276288.1,CYP11B
CYP17A1,NP_000093.1,KAG9275388.1,CYP17A1
CYP19A1,NP_001334177.1,KAG9273473.1,CYP19A1
CYP1B1,NP_000095.2,KAG9268172.1,CYP1B1
CYP1B1,NP_000095.2,KAG9275526.1,CYP1B1
CYP27A1,NP_000775.1,KAG9271146.1,CYP27A1
CYP27A1,NP_000775.1,KAG9271618.1,CYP27A1
CYP27A1,NP_000775.1,KAG9271619.1,CYP27A1
CYP27B1,NP_000776.1,KAG9260437.1,CYP27B1
CYP2A6,NP_000753.3,KAG9278554.1,CYP2G1
CYP2C19,NP_000760.1,KAG9278554.1,CYP2G1
CYP2C8,NP_000761.3,KAG9278554.1,CYP2G1
CYP2C9,NP_000762.2,KAG9278554.1,CYP2G1
CYP2F1,NP_000765.2,KAG9278554.1,CYP2G1
CYP2J2,NP_000766.2,KAG9269222.1,CYP2J6
CYP2J2,NP_000766.2,KAG9282744.1,CYP2J2
CYP2J2,NP_000766.2,KAG9282745.1,CYP2J2
CYP3A4,NP_001189784.1,KAG9262887.1,CYP3A30
CYP3A5,NP_000768.1,KAG9262887.1,CYP3A30
CYP3A7,NP_000756.3,KAG9262887.1,CYP3A30
CYP46A1,NP_006659.1,KAG9282535.1,CYP46A1
CYP4F12,NP_076433.3,KAG9268042.1,CYP4F3
CYP7A1,NP_000771.2,KAG9264736.1,CYP7A1
CYP8B1,NP_004382.2,KAG9274772.1,CYP8B1
CYSLTR1,NP_001269115.1,KAG9271911.1,CYSLTR1
DACT1,NP_057735.2,KAG9268659.1,KAG9268659.1
DACT3,NP_659493.2,KAG9263557.1,KAG9263557.1
DAP3,NP_387506.1,KAG9276052.1,DAP3
DAPK1,XP_054218179.1,KAG9261744.1,DAPK1
DBF4,NP_006707.1,KAG9283639.1,KAG9283639.1
DBH,NP_000778.3,KAG9263268.1,DBH
DBI,NP_001171514.1,KAG9271527.1,DBI
DCC,NP_005206.2,KAG9281646.1,DCC
