Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,Symbol
BWA,NP_001260616.1,KAG9260024.1,ACER2
BWA,NP_001260616.1,KAG9274215.1,ACER2
BYS,NP_511074.1,KAG9260728.1,BYSL
C11.1,NP_652606.1,KAG9276623.1,MROH1
C12.1,NP_652605.1,KAG9282249.1,KAG9282249.1
C15,NP_476873.2,KAG9263157.1,TLX3
C15,NP_476873.2,KAG9281176.1,TLX3
C1GALTA,NP_609258.1,KAG9269747.1,C1GALT1A
C1GALTA,NP_609258.1,KAG9277209.1,C1GALT1B
CA-ALPHA1D,NP_001260480.2,KAG9260670.1,CACNA1D
CA-ALPHA1D,NP_001260480.2,KAG9270211.1,CACNA1D
CA-ALPHA1D,NP_001260480.2,KAG9280144.1,CACNA1C
CA-ALPHA1T,NP_001245545.1,KAG9262294.1,CACNA1H
CA-ALPHA1T,NP_001245545.1,KAG9267822.1,CACNA1G
CA-BETA,NP_995684.2,KAG9274091.1,CACNB2
CABP1,NP_609792.1,KAG9268818.1,PDIA6
CABP1,NP_609792.1,KAG9282913.1,PDIA6
CAD88C,NP_731930.3,KAG9274790.1,CDH23
CAD99C,NP_733314.1,KAG9267307.1,PCDH15
CADN,NP_724068.1,KAG9260840.1,CADN
CADN,NP_724068.1,KAG9276140.1,CADN
CAH1,NP_523561.1,KAG9278406.1,CAHZ
CAH1,NP_523561.1,KAG9278407.1,CAHZ
CAH2,NP_648555.1,KAG9269660.1,CA6
CALPB,NP_524016.4,KAG9262609.1,CAPN9
CALPB,NP_524016.4,KAG9268586.1,CAPN3
CALS,NP_524632.1,KAG9269720.1,CLSTN1
CALS,NP_524632.1,KAG9273793.1,CLSTN2
CALX,NP_001287434.1,KAG9261082.1,SLC8A1
CALX,NP_001287434.1,KAG9265862.1,SLC8A1
CALX,NP_001287434.1,KAG9274388.1,SLC8A1
CALX,NP_001287434.1,KAG9274974.1,SLC8A3
CAM,NP_523710.1,KAG9264996.1,CALM1
CAM,NP_523710.1,KAG9265857.1,CALM1
CAM,NP_523710.1,KAG9268003.1,CALM1
CAM,NP_523710.1,KAG9275123.1,CALM1
CAM,NP_523710.1,KAG9283208.1,KAG9283208.1
CAMKI,NP_524622.1,KAG9277003.1,CAMK1
CAMKI,NP_524622.1,KAG9280207.1,CAMK1D
CAMKI,NP_524622.1,KAG9280800.1,CAMK1D
CAMKII,NP_001259082.1,KAG9259639.1,CAMK2D2
CAMKII,NP_001259082.1,KAG9263008.1,CAMK2B
CAMKII,NP_001259082.1,KAG9266163.1,CAMK2A
CAMKII,NP_001259082.1,KAG9274032.1,CAMK2D1
CAMKII,NP_001259082.1,KAG9275543.1,CAMK2G
CAMTA,NP_001137624.1,KAG9269430.1,CAMTA2
CANA-14F,NP_001245717.1,KAG9261462.1,PPP3CC
CANA-14F,NP_001245717.1,KAG9265732.1,PPP3CA
CANA-14F,NP_001245717.1,KAG9274165.1,PPP3CA
CANA-14F,NP_001245717.1,KAG9281255.1,PPP3CA
CAPT,NP_001033870.1,KAG9279860.1,CAP1
CASK,NP_001262811.1,KAG9271096.1,CASK
CASK,NP_001262811.1,KAG9277884.1,CASK
CBP53E,NP_476838.1,KAG9273231.1,CALB2
CBP53E,NP_476838.1,KAG9276187.1,SCGN
CBP80,NP_726938.1,KAG9281159.1,NCBP1
CCKLR-17D3,NP_001097023.1,KAG9262399.1,CCKAR
CCKLR-17D3,NP_001097023.1,KAG9271160.1,CCKAR
CCN,NP_730294.1,KAG9279774.1,CCN4
CCN,NP_730294.1,KAG9282423.1,CCN2
CCT1,NP_524450.2,KAG9269364.1,TCP1
CCT2,NP_572524.1,KAG9280376.1,CCT2
CCT5,NP_523707.1,KAG9283260.1,CCT5
CDASE,NP_651797.1,KAG9267314.1,ASAH2
CDASE,NP_651797.1,KAG9267315.1,ASAH2
CDC42,NP_523414.1,KAG9260262.1,KAG9260262.1
CDC42,NP_523414.1,KAG9269525.1,KAG9269525.1
CDC42,NP_523414.1,KAG9276306.1,KAG9276306.1
CDC42,NP_523414.1,KAG9279357.1,KAG9279357.1
CDC6,NP_648247.1,KAG9266670.1,KAG9266670.1
CDEP,NP_001036676.1,KAG9277766.1,FARP2
CDK4,NP_477196.1,KAG9260434.1,CDK4
CDK4,NP_477196.1,KAG9279787.1,CDK6
CENB1A,NP_524458.1,KAG9260555.1,ACAP3
CENB1A,NP_524458.1,KAG9266921.1,ACAP2
CENB1A,NP_524458.1,KAG9269021.1,ACAP3
CENG1A,NP_723849.1,KAG9276099.1,AGAP3
CENG1A,NP_723849.1,KAG9277920.1,AGAP1
CERK,NP_730923.1,KAG9280414.1,CERK
CERT,NP_648199.1,KAG9266343.1,CERT1
CG10026,NP_609968.3,KAG9264730.1,TTPA
CG10077,NP_648062.2,KAG9264500.1,DDX5
CG10077,NP_648062.2,KAG9277457.1,DDX5
CG10077,NP_648062.2,KAG9277478.1,DDX17
CG10185,NP_650521.1,KAG9266722.1,NWD1
CG10185,NP_650521.1,KAG9274379.1,NWD2
CG10254,NP_001262878.1,KAG9277447.1,UBE2O
CG10280,NP_649607.1,KAG9267096.1,HCEA
CG10343,NP_609900.1,KAG9274376.1,RWDD4
CG10359,NP_001137882.1,KAG9270006.1,FIBCD1
CG10365,NP_651176.1,KAG9282990.1,CHAC1
CG10376,NP_609899.1,KAG9261983.1,PPM1F
CG10418,NP_648570.1,KAG9277744.1,LSM2
CG10467,NP_648026.1,KAG9275295.1,GALM
CG10512,NP_649289.2,KAG9280727.1,KAG9280727.1
CG10565,NP_649284.1,KAG9280690.1,KAG9280690.1
CG10576,NP_647984.1,KAG9269096.1,PA2G4
CG10576,NP_647984.1,KAG9277051.1,PA2G4
CG10602,NP_609916.5,KAG9280345.1,LTA4H
CG10621,NP_609920.1,KAG9277726.1,KAG9277726.1
CG10657,NP_648579.3,KAG9283070.1,CLVS2
CG10674,NP_647950.1,KAG9261070.1,WDR83OS
CG10700,NP_609942.1,KAG9261992.1,AIFM3
CG10747,NP_610022.3,KAG9270601.1,PLCXD3
CG10898,NP_650083.1,KAG9270513.1,NUDT18
CG1090,NP_649459.4,KAG9268528.1,SLC24A4
CG1090,NP_649459.4,KAG9272713.1,SLC24A3
CG1090,NP_649459.4,KAG9275408.1,SLC24A3
CG1090,NP_649459.4,KAG9283125.1,SLC24A4
CG10903,NP_649762.1,KAG9278511.1,BUD23
CG11007,NP_611429.1,KAG9272218.1,TMX2B
CG11007,NP_611429.1,KAG9275597.1,TMX2B
CG11030,NP_608956.1,KAG9283227.1,NGDN
CG1105,NP_649688.1,KAG9261791.1,ARRDC3
CG1105,NP_649688.1,KAG9262935.1,ARRDC3
CG1105,NP_649688.1,KAG9266701.1,ARRDC2
CG11109,NP_730761.1,KAG9274090.1,NSUN6
CG11134,NP_572916.1,KAG9260811.1,APIP
CG11200,NP_611471.1,KAG9262521.1,DHRSX
CG11200,NP_611471.1,KAG9270971.1,DHRSX
CG11334,NP_651868.1,KAG9262690.1,MRI1
CG11360,NP_001259068.1,KAG9266553.1,MEX3B
CG11414,NP_611932.2,KAG9279929.1,ZNF598
CG11417,NP_569906.1,KAG9262637.1,KAG9262637.1
CG11529,NP_648558.1,KAG9266323.1,PRSS12
CG11562,NP_608516.1,KAG9261185.1,KAG9261185.1
CG11583,NP_001033989.1,KAG9266364.1,KAG9266364.1
CG11617,NP_608502.1,KAG9268049.1,MKX
CG11658,NP_648498.1,KAG9269831.1,FBXO25
CG11710,NP_608393.1,KAG9267086.1,TRIP4
CG11737,NP_649803.1,KAG9263671.1,TMEM135
CG11779,NP_650786.2,KAG9266954.1,TIMM44
CG11837,NP_651660.1,KAG9269988.1,DIMT1
CG11857,NP_001303417.1,KAG9270333.1,RER1
CG11899,NP_652046.1,KAG9261394.1,PSAT1
CG11920,NP_651335.2,KAG9262084.1,IMP4
CG11951,NP_001350853.2,KAG9273223.1,ANPEP
CG11961,NP_611413.2,KAG9266133.1,ERMP1
CG11964,NP_649847.1,KAG9269263.1,CTNNBL1
CG11980,NP_649857.1,KAG9260764.1,MYG1
CG12012,NP_647813.1,KAG9264373.1,BRI3
CG12024,NP_647670.3,KAG9265115.1,CUEDC1
CG12084,NP_001261257.1,KAG9266322.1,KAG9266322.1
CG12099,NP_647623.1,KAG9270522.1,RNF10
CG12107,NP_610314.1,KAG9269885.1,KAG9269885.1
CG12128,NP_610543.1,KAG9266086.1,KAG9266086.1
CG12134,NP_001369072.1,KAG9274898.1,WDR89
CG12170,NP_649565.1,KAG9278976.1,OXSM
CG12194,NP_001162873.1,KAG9278529.1,MFSD1
CG12241,NP_650432.1,KAG9263896.1,SGSM3
CG12301,NP_648781.1,KAG9281587.1,KAG9281587.1
CG12325,NP_610618.1,KAG9262381.1,KAG9262381.1
CG12343,NP_610617.1,KAG9274860.1,SYF2
CG12355,NP_001097610.1,KAG9264016.1,MPV17L
CG12355,NP_001097610.1,KAG9277508.1,MPV17L
CG12384,NP_610676.2,KAG9283398.1,DAP
CG1239,NP_649577.1,KAG9269416.1,MEPCE
CG12531,NP_608350.2,KAG9264710.1,SLC7A14A
CG12531,NP_608350.2,KAG9283451.1,SLC7A14A
CG1265,NP_647878.1,KAG9282474.1,SLC66A3
CG1275,NP_728726.1,KAG9271448.1,CYBRD1
CG1275,NP_728726.1,KAG9279065.1,CYB561
CG12773,NP_001259131.1,KAG9271608.1,SLC12A8
CG12863,NP_610973.3,KAG9268051.1,ZCCHC4
CG13001,NP_573181.1,KAG9271936.1,ZC4H2
CG13001,NP_573181.1,KAG9282217.1,ZC4H2
CG13016,NP_610929.2,KAG9262345.1,TMEM39A
CG13097,NP_609237.1,KAG9261274.1,MPHOSPH10
CG13126,NP_609330.1,KAG9273902.1,METTL17
CG1316,NP_647887.1,KAG9271486.1,RBM45
CG13192,NP_610702.1,KAG9262069.1,GNB1L
CG13248,NP_649219.1,KAG9270538.1,SLC7A4
CG13293,NP_648024.2,KAG9281816.1,SCAI
CG13369,NP_569850.1,KAG9268865.1,RBKS
CG13384,NP_723383.1,KAG9272505.1,SLC36A1
CG1344,NP_001260711.1,KAG9282610.1,SCYL3
CG1354,NP_001356937.1,KAG9277588.1,OLA1
CG13690,NP_608521.1,KAG9262583.1,RNASEH2A
CG1371,NP_610551.1,KAG9277912.1,NOMO1
CG13743,NP_001246214.1,KAG9271501.1,SLC38A11
CG13893,NP_612042.3,KAG9261975.1,SEC14L2
CG13893,NP_612042.3,KAG9262949.1,SEC14L2
CG13920,NP_647639.1,KAG9272752.1,TMEM35A
CG1418,NP_610539.1,KAG9275967.1,RABAC1
CG14207,NP_728275.1,KAG9265415.1,CRYAB
CG14210,NP_608328.1,KAG9260017.1,CCDC86
CG1440,NP_001285018.1,KAG9265097.1,BLMH
CG14411,NP_572972.1,KAG9261275.1,MTMR10
CG14434,NP_001284969.1,KAG9265038.1,KAG9265038.1
CG14591,NP_610196.1,KAG9265935.1,TMEM164
CG14618,NP_608464.1,KAG9274194.1,KAG9274194.1
CG14621,NP_608458.1,KAG9266762.1,SLC35E1
CG14669,NP_649537.5,KAG9262040.1,RASL10B
CG14767,NP_652400.3,KAG9283025.1,LAPTM4A
CG14883,NP_650547.1,KAG9261315.1,GDE1
CG14966,NP_647784.1,KAG9272430.1,KAG9272430.1
CG14985,NP_647846.2,KAG9271337.1,MITD1
CG15093,NP_611373.1,KAG9276683.1,HIBADH
CG15097,NP_001261079.1,KAG9266930.1,ENC1
CG15097,NP_001261079.1,KAG9272055.1,KLHL25
CG15099,NP_001261081.1,KAG9278372.1,DOP1A
CG15118,NP_611396.1,KAG9272203.1,ANKRD13D
CG1513,NP_610534.3,KAG9270865.1,OSBPL9
CG15211,NP_001096945.1,KAG9273175.1,PLLP
CG1542,NP_651850.1,KAG9273685.1,EBNA1BP2
CG15456,NP_652292.1,KAG9264465.1,MIEN1
CG15528,NP_651767.2,KAG9261666.1,DUSP18
CG15537,NP_001097981.1,KAG9266003.1,CRHBP
CG15743,NP_572869.1,KAG9278816.1,IMPAD1
CG1578,NP_001285140.1,KAG9268765.1,DPH6
CG15914,NP_573084.1,KAG9271231.1,GTDC1
CG1598,NP_610296.2,KAG9262577.1,ASNA1
CG1607,NP_001263139.1,KAG9267185.1,SLC7A6
CG1607,NP_001263139.1,KAG9273809.1,SLC7A8
CG1607,NP_001263139.1,KAG9274346.1,SLC7A7
CG1607,NP_001263139.1,KAG9274453.1,SLC7A8
CG1635,NP_651873.3,KAG9283355.1,ACOT9
CG1662,NP_572883.1,KAG9266774.1,MPV17L2
CG1671,NP_610526.1,KAG9264363.1,TBL3
CG16868,NP_611469.1,KAG9277320.1,CACHD1
CG1695,NP_728346.2,KAG9261533.1,SGSM1
CG1695,NP_728346.2,KAG9263042.1,SGSM1
CG1695,NP_728346.2,KAG9265140.1,SGSM2
CG16952,NP_001356947.1,KAG9268781.1,BTBD7
CG16952,NP_001356947.1,KAG9282971.1,BTBD7
CG16989,NP_569860.3,KAG9265774.1,HEATR6
CG1703,NP_572736.1,KAG9279665.1,ABCF1
CG17124,NP_609450.1,KAG9268159.1,PPP1R14B
CG17124,NP_609450.1,KAG9274386.1,PPP1R14B
CG17221,NP_608746.1,KAG9268286.1,RTN4IP1
CG17266,NP_610224.1,KAG9270304.1,PPIH
CG17271,NP_001036734.1,KAG9275126.1,MCFD2
CG17544,NP_609961.2,KAG9274352.1,ACOX3
CG17598,NP_608468.1,KAG9277033.1,PPM1H
CG17598,NP_608468.1,KAG9280405.1,PPM1H
CG17598,NP_608468.1,KAG9280834.1,PPM1H
CG17683,NP_001036428.1,KAG9264311.1,NARFL
CG17712,NP_608619.1,KAG9276278.1,GFOD1
CG17754,NP_727331.1,KAG9259740.1,KLHL5
CG17754,NP_727331.1,KAG9272526.1,KLHL4
CG1785,NP_572502.1,KAG9278579.1,NOP53
CG1789,NP_572504.1,KAG9276401.1,UTP11
CG17896,NP_569845.2,KAG9268579.1,ALDH6A1
CG1812,NP_608397.1,KAG9266768.1,KLHL26
CG18473,NP_731339.1,KAG9278766.1,PTER
CG18858,NP_652700.1,KAG9272010.1,PLA2G15
CG1983,NP_651776.2,KAG9269149.1,PLPBP
CG2006,NP_001189310.1,KAG9273489.1,DTWD1
CG2065,NP_610309.1,KAG9276224.1,RDH13
CG2065,NP_610309.1,KAG9276478.1,RDH12
CG2065,NP_610309.1,KAG9279825.1,RDH13
CG2065,NP_610309.1,KAG9283283.1,RDH12
CG2200,NP_572852.1,KAG9271796.1,AAD-A
CG2201,NP_724348.1,KAG9273018.1,CHKA
CG2201,NP_724348.1,KAG9273226.1,CHKA
CG2218,NP_651790.1,KAG9270646.1,UBOX5
CG2224,NP_651796.1,KAG9270462.1,STAMBPA
CG2258,NP_572439.1,KAG9260703.1,NCKIPSD
CG2260,NP_572441.1,KAG9270254.1,WDR46
CG2608,NP_610042.1,KAG9281573.1,SPAG7
CG2656,NP_649699.1,KAG9266330.1,GPN3
CG2747,NP_001163547.1,KAG9259903.1,HEATR5B
CG2852,NP_611695.1,KAG9280754.1,PPIB
CG2924,NP_569994.1,KAG9272789.1,UBE2Q2
CG2924,NP_569994.1,KAG9280924.1,UBE2Q2
CG2930,NP_788855.1,KAG9271145.1,SLC15A2
CG2930,NP_788855.1,KAG9277623.1,SLC15A1
CG2938,NP_570085.1,KAG9279797.1,CASD1
CG2972,NP_572603.1,KAG9272966.1,NOB1
CG30010,NP_724847.2,KAG9282523.1,KAG9282523.1
CG3008,NP_608871.1,KAG9275819.1,RIOK3
CG3021,NP_652639.1,KAG9280418.1,TRMU
CG30281,NP_726164.1,KAG9262861.1,MFAP4
CG30281,NP_726164.1,KAG9262863.1,MFAP4
CG30281,NP_726164.1,KAG9262864.1,MFAP4
CG30291,NP_726016.1,KAG9267841.1,CDK5RAP3
CG30373,NP_724654.1,KAG9276189.1,CCSMST1
CG30389,NP_001261117.1,KAG9279651.1,MACO1A
CG30423,NP_726490.3,KAG9273677.1,LEPROT
CG3045,NP_611646.1,KAG9276110.1,PUS3
CG30496,NP_724595.1,KAG9278829.1,GLMN
CG3071,NP_569993.1,KAG9272989.1,KAG9272989.1
CG3097,NP_572259.1,KAG9271968.1,CPA2
CG31064,NP_733203.1,KAG9275556.1,RUFY2
CG31076,NP_733184.2,KAG9274217.1,LRMDA
CG31122,NP_001356888.1,KAG9271284.1,KAG9271284.1
CG31156,NP_651070.3,KAG9275130.1,SRBD1
CG31183,NP_650505.2,KAG9279608.1,NPR1
CG31183,NP_650505.2,KAG9281861.1,NPR2
CG31249,NP_732262.1,KAG9268944.1,KAG9268944.1
CG31368,NP_996198.2,KAG9268764.1,AQR
CG31445,NP_651689.1,KAG9273223.1,ANPEP
CG31637,NP_609043.1,KAG9272003.1,CHST1
CG31637,NP_609043.1,KAG9272091.1,CHST6
CG3168,NP_572345.1,KAG9280751.1,SV2B
CG31683,NP_001260626.1,KAG9272010.1,PLA2G15
CG31729,NP_609634.1,KAG9278931.1,ATP9B
CG31751,NP_001334743.1,KAG9266899.1,HYKK
CG31759,NP_723735.2,KAG9260202.1,PDE12
CG31871,NP_723607.1,KAG9267707.1,LIPA
CG31915,NP_723087.1,KAG9262809.1,COLGALT1
