Astyanax_ortologos,Symbol,ID_nuevo
KAG9276734.1,TUBB6,TUBB4B
KAG9273258.1,CBFB,CBFB
KAG9261834.1,ACSBG2,ACSBG2
KAG9270083.1,ACSBG2,ACSBG2
KAG9266687.1,KAG9266687.1,KAG9266687.1
KAG9281962.1,BTF3,KAG9266687.1
KAG9267299.1,KAG9267299.1,KAG9267299.1
KAG9268429.1,KAG9268429.1,KAG9267299.1
KAG9281192.1,KAG9281192.1,KAG9267299.1
KAG9260673.1,KAG9260673.1,KAG9260673.1
KAG9273063.1,KAG9273063.1,KAG9260673.1
KAG9264196.1,MLX,MLX
KAG9268806.1,KAG9268806.1,KAG9268806.1
KAG9264547.1,PAM16,PAM16
KAG9266062.1,ATP5F1A,ATP5F1A
KAG9265895.1,SLC25A14,SLC25A14
KAG9280210.1,PNPLA2,PNPLA2
KAG9266538.1,MESD,MESD
KAG9270015.1,TRIM33,TRIM33
KAG9280401.1,TRIM24,TRIM33
KAG9276440.1,MRPS15,MRPS15
KAG9270239.1,BRPF1,BRPF1
KAG9267847.1,RNF40,RNF40
KAG9272191.1,RNF20,RNF40
KAG9274909.1,BRF1,BRF1
KAG9282808.1,BRF1,BRF1
KAG9261732.1,SMARCA2,SMARCA2
KAG9264330.1,SMARCA4,SMARCA2
KAG9277505.1,SMARCA4,SMARCA2
KAG9268386.1,BIRC6,BIRC6
KAG9269785.1,PHIP,PHIP
KAG9282187.1,BRWD3,PHIP
KAG9266197.1,MAPK10,MAPK10
KAG9267362.1,MAPK8,MAPK10
KAG9275335.1,MAPK8A,MAPK10
KAG9270425.1,FGFR1A,FGFR1A
KAG9274998.1,FGFR2,FGFR1A
KAG9275189.1,FGFR3,FGFR1A
KAG9277764.1,BOKA,BOKA
KAG9273375.1,GMPS,GMPS
KAG9276466.1,BVES,BVES
KAG9260024.1,ACER2,ACER2
KAG9274215.1,ACER2,ACER2
KAG9260728.1,BYSL,BYSL
KAG9276623.1,MROH1,MROH1
KAG9282249.1,KAG9282249.1,KAG9282249.1
KAG9263157.1,TLX3,TLX3
KAG9281176.1,TLX3,TLX3
KAG9269747.1,C1GALT1A,C1GALT1A
KAG9277209.1,C1GALT1B,C1GALT1A
KAG9260670.1,CACNA1D,CACNA1D
KAG9270211.1,CACNA1D,CACNA1D
KAG9280144.1,CACNA1C,CACNA1D
KAG9262294.1,CACNA1H,CACNA1H
KAG9267822.1,CACNA1G,CACNA1H
KAG9274091.1,CACNB2,CACNB2
KAG9268818.1,PDIA6,PDIA6
KAG9282913.1,PDIA6,PDIA6
KAG9274790.1,CDH23,CDH23
KAG9267307.1,PCDH15,PCDH15
KAG9260840.1,CADN,CADN
KAG9276140.1,CADN,CADN
KAG9278406.1,CAHZ,CAHZ
KAG9278407.1,CAHZ,CAHZ
KAG9269660.1,CA6,CA6
KAG9262609.1,CAPN9,CAPN9
KAG9268586.1,CAPN3,CAPN9
KAG9269720.1,CLSTN1,CLSTN1
KAG9273793.1,CLSTN2,CLSTN1
KAG9261082.1,SLC8A1,SLC8A1
KAG9265862.1,SLC8A1,SLC8A1
KAG9274388.1,SLC8A1,SLC8A1
KAG9274974.1,SLC8A3,SLC8A1
KAG9264996.1,CALM1,CALM1
KAG9265857.1,CALM1,CALM1
KAG9268003.1,CALM1,CALM1
KAG9275123.1,CALM1,CALM1
KAG9283208.1,KAG9283208.1,CALM1
KAG9277003.1,CAMK1,CAMK1
KAG9280207.1,CAMK1D,CAMK1
KAG9280800.1,CAMK1D,CAMK1
KAG9259639.1,CAMK2D2,CAMK2D2
KAG9263008.1,CAMK2B,CAMK2D2
KAG9266163.1,CAMK2A,CAMK2D2
KAG9274032.1,CAMK2D1,CAMK2D2
KAG9275543.1,CAMK2G,CAMK2D2
KAG9269430.1,CAMTA2,CAMTA2
KAG9261462.1,PPP3CC,PPP3CC
KAG9265732.1,PPP3CA,PPP3CC
KAG9274165.1,PPP3CA,PPP3CC
KAG9281255.1,PPP3CA,PPP3CC
KAG9279860.1,CAP1,CAP1
KAG9271096.1,CASK,CASK
KAG9277884.1,CASK,CASK
KAG9273231.1,CALB2,CALB2
KAG9276187.1,SCGN,CALB2
KAG9281159.1,NCBP1,NCBP1
KAG9262399.1,CCKAR,CCKAR
KAG9271160.1,CCKAR,CCKAR
KAG9279774.1,CCN4,CCN4
KAG9282423.1,CCN2,CCN4
KAG9269364.1,TCP1,TCP1
KAG9280376.1,CCT2,CCT2
KAG9283260.1,CCT5,CCT5
KAG9267314.1,ASAH2,ASAH2
KAG9267315.1,ASAH2,ASAH2
KAG9260262.1,KAG9260262.1,KAG9260262.1
KAG9269525.1,KAG9269525.1,KAG9260262.1
KAG9276306.1,KAG9276306.1,KAG9260262.1
KAG9279357.1,KAG9279357.1,KAG9260262.1
KAG9266670.1,KAG9266670.1,KAG9266670.1
KAG9277766.1,FARP2,FARP2
KAG9260434.1,CDK4,CDK4
KAG9279787.1,CDK6,CDK4
KAG9260555.1,ACAP3,ACAP3
KAG9266921.1,ACAP2,ACAP3
KAG9269021.1,ACAP3,ACAP3
KAG9276099.1,AGAP3,AGAP3
KAG9277920.1,AGAP1,AGAP3
KAG9280414.1,CERK,CERK
KAG9266343.1,CERT1,CERT1
KAG9264730.1,TTPA,TTPA
KAG9264500.1,DDX5,DDX5
KAG9277457.1,DDX5,DDX5
KAG9277478.1,DDX17,DDX5
KAG9266722.1,NWD1,NWD1
KAG9274379.1,NWD2,NWD1
KAG9277447.1,UBE2O,UBE2O
KAG9267096.1,HCEA,HCEA
KAG9274376.1,RWDD4,RWDD4
KAG9270006.1,FIBCD1,FIBCD1
KAG9282990.1,CHAC1,CHAC1
KAG9261983.1,PPM1F,PPM1F
KAG9277744.1,LSM2,LSM2
KAG9275295.1,GALM,GALM
KAG9280727.1,KAG9280727.1,KAG9280727.1
KAG9280690.1,KAG9280690.1,KAG9280690.1
KAG9269096.1,PA2G4,PA2G4
KAG9277051.1,PA2G4,PA2G4
KAG9280345.1,LTA4H,LTA4H
KAG9277726.1,KAG9277726.1,KAG9277726.1
KAG9283070.1,CLVS2,CLVS2
KAG9261070.1,WDR83OS,WDR83OS
KAG9261992.1,AIFM3,AIFM3
KAG9270601.1,PLCXD3,PLCXD3
KAG9270513.1,NUDT18,NUDT18
KAG9268528.1,SLC24A4,SLC24A4
KAG9272713.1,SLC24A3,SLC24A4
KAG9275408.1,SLC24A3,SLC24A4
KAG9283125.1,SLC24A4,SLC24A4
KAG9278511.1,BUD23,BUD23
KAG9272218.1,TMX2B,TMX2B
KAG9275597.1,TMX2B,TMX2B
KAG9283227.1,NGDN,NGDN
KAG9261791.1,ARRDC3,ARRDC3
KAG9262935.1,ARRDC3,ARRDC3
KAG9266701.1,ARRDC2,ARRDC3
KAG9274090.1,NSUN6,NSUN6
KAG9260811.1,APIP,APIP
KAG9262521.1,DHRSX,DHRSX
KAG9270971.1,DHRSX,DHRSX
KAG9262690.1,MRI1,MRI1
KAG9266553.1,MEX3B,MEX3B
KAG9279929.1,ZNF598,ZNF598
KAG9262637.1,KAG9262637.1,KAG9262637.1
KAG9266323.1,PRSS12,PRSS12
KAG9261185.1,KAG9261185.1,KAG9261185.1
KAG9266364.1,KAG9266364.1,KAG9266364.1
KAG9268049.1,MKX,MKX
KAG9269831.1,FBXO25,FBXO25
KAG9267086.1,TRIP4,TRIP4
KAG9263671.1,TMEM135,TMEM135
KAG9266954.1,TIMM44,TIMM44
KAG9269988.1,DIMT1,DIMT1
KAG9270333.1,RER1,RER1
KAG9261394.1,PSAT1,PSAT1
KAG9262084.1,IMP4,IMP4
KAG9273223.1,ANPEP,ANPEP
KAG9266133.1,ERMP1,ERMP1
KAG9269263.1,CTNNBL1,CTNNBL1
KAG9260764.1,MYG1,MYG1
KAG9264373.1,BRI3,BRI3
KAG9265115.1,CUEDC1,CUEDC1
KAG9266322.1,KAG9266322.1,KAG9266322.1
KAG9270522.1,RNF10,RNF10
KAG9269885.1,KAG9269885.1,KAG9269885.1
KAG9266086.1,KAG9266086.1,KAG9266086.1
KAG9274898.1,WDR89,WDR89
KAG9278976.1,OXSM,OXSM
KAG9278529.1,MFSD1,MFSD1
KAG9263896.1,SGSM3,SGSM3
KAG9281587.1,KAG9281587.1,KAG9281587.1
KAG9262381.1,KAG9262381.1,KAG9262381.1
KAG9274860.1,SYF2,SYF2
KAG9264016.1,MPV17L,MPV17L
KAG9277508.1,MPV17L,MPV17L
KAG9283398.1,DAP,DAP
KAG9269416.1,MEPCE,MEPCE
KAG9264710.1,SLC7A14A,SLC7A14A
KAG9283451.1,SLC7A14A,SLC7A14A
KAG9282474.1,SLC66A3,SLC66A3
KAG9271448.1,CYBRD1,CYBRD1
KAG9279065.1,CYB561,CYBRD1
KAG9271608.1,SLC12A8,SLC12A8
KAG9268051.1,ZCCHC4,ZCCHC4
KAG9271936.1,ZC4H2,ZC4H2
KAG9282217.1,ZC4H2,ZC4H2
KAG9262345.1,TMEM39A,TMEM39A
KAG9261274.1,MPHOSPH10,MPHOSPH10
KAG9273902.1,METTL17,METTL17
KAG9271486.1,RBM45,RBM45
KAG9262069.1,GNB1L,GNB1L
KAG9270538.1,SLC7A4,SLC7A4
KAG9281816.1,SCAI,SCAI
KAG9268865.1,RBKS,RBKS
KAG9272505.1,SLC36A1,SLC36A1
KAG9282610.1,SCYL3,SCYL3
KAG9277588.1,OLA1,OLA1
KAG9262583.1,RNASEH2A,RNASEH2A
KAG9277912.1,NOMO1,NOMO1
KAG9271501.1,SLC38A11,SLC38A11
KAG9261975.1,SEC14L2,SEC14L2
KAG9262949.1,SEC14L2,SEC14L2
KAG9272752.1,TMEM35A,TMEM35A
KAG9275967.1,RABAC1,RABAC1
KAG9265415.1,CRYAB,CRYAB
KAG9260017.1,CCDC86,CCDC86
KAG9265097.1,BLMH,BLMH
KAG9261275.1,MTMR10,MTMR10
KAG9265038.1,KAG9265038.1,KAG9265038.1
KAG9265935.1,TMEM164,TMEM164
KAG9274194.1,KAG9274194.1,KAG9274194.1
KAG9266762.1,SLC35E1,SLC35E1
KAG9262040.1,RASL10B,RASL10B
KAG9283025.1,LAPTM4A,LAPTM4A
KAG9261315.1,GDE1,GDE1
KAG9272430.1,KAG9272430.1,KAG9272430.1
KAG9271337.1,MITD1,MITD1
KAG9276683.1,HIBADH,HIBADH
KAG9266930.1,ENC1,ENC1
KAG9272055.1,KLHL25,ENC1
KAG9278372.1,DOP1A,DOP1A
KAG9272203.1,ANKRD13D,ANKRD13D
KAG9270865.1,OSBPL9,OSBPL9
KAG9273175.1,PLLP,PLLP
KAG9273685.1,EBNA1BP2,EBNA1BP2
KAG9264465.1,MIEN1,MIEN1
KAG9261666.1,DUSP18,DUSP18
KAG9266003.1,CRHBP,CRHBP
KAG9278816.1,IMPAD1,IMPAD1
KAG9268765.1,DPH6,DPH6
KAG9271231.1,GTDC1,GTDC1
KAG9262577.1,ASNA1,ASNA1
KAG9267185.1,SLC7A6,SLC7A6
KAG9273809.1,SLC7A8,SLC7A6
KAG9274346.1,SLC7A7,SLC7A6
KAG9274453.1,SLC7A8,SLC7A6
KAG9283355.1,ACOT9,ACOT9
KAG9266774.1,MPV17L2,MPV17L2
KAG9264363.1,TBL3,TBL3
KAG9277320.1,CACHD1,CACHD1
KAG9261533.1,SGSM1,SGSM1
KAG9263042.1,SGSM1,SGSM1
KAG9265140.1,SGSM2,SGSM1
KAG9268781.1,BTBD7,BTBD7
KAG9282971.1,BTBD7,BTBD7
KAG9265774.1,HEATR6,HEATR6
KAG9279665.1,ABCF1,ABCF1
KAG9268159.1,PPP1R14B,PPP1R14B
KAG9274386.1,PPP1R14B,PPP1R14B
KAG9268286.1,RTN4IP1,RTN4IP1
KAG9270304.1,PPIH,PPIH
KAG9275126.1,MCFD2,MCFD2
KAG9274352.1,ACOX3,ACOX3
KAG9277033.1,PPM1H,PPM1H
KAG9280405.1,PPM1H,PPM1H
KAG9280834.1,PPM1H,PPM1H
KAG9264311.1,NARFL,NARFL
KAG9276278.1,GFOD1,GFOD1
KAG9259740.1,KLHL5,KLHL5
KAG9272526.1,KLHL4,KLHL5
KAG9278579.1,NOP53,NOP53
KAG9276401.1,UTP11,UTP11
KAG9268579.1,ALDH6A1,ALDH6A1
KAG9266768.1,KLHL26,KLHL26
KAG9278766.1,PTER,PTER
KAG9272010.1,PLA2G15,PLA2G15
KAG9269149.1,PLPBP,PLPBP
KAG9273489.1,DTWD1,DTWD1
KAG9276224.1,RDH13,RDH13
KAG9276478.1,RDH12,RDH13
KAG9279825.1,RDH13,RDH13
KAG9283283.1,RDH12,RDH13
KAG9271796.1,AAD-A,AAD-A
KAG9273018.1,CHKA,CHKA
KAG9273226.1,CHKA,CHKA
KAG9270646.1,UBOX5,UBOX5
KAG9270462.1,STAMBPA,STAMBPA
KAG9260703.1,NCKIPSD,NCKIPSD
KAG9270254.1,WDR46,WDR46
KAG9281573.1,SPAG7,SPAG7
KAG9266330.1,GPN3,GPN3
KAG9259903.1,HEATR5B,HEATR5B
KAG9280754.1,PPIB,PPIB
KAG9272789.1,UBE2Q2,UBE2Q2
KAG9280924.1,UBE2Q2,UBE2Q2
KAG9271145.1,SLC15A2,SLC15A2
KAG9277623.1,SLC15A1,SLC15A2
KAG9279797.1,CASD1,CASD1
KAG9272966.1,NOB1,NOB1
KAG9282523.1,KAG9282523.1,KAG9282523.1
KAG9275819.1,RIOK3,RIOK3
KAG9280418.1,TRMU,TRMU
KAG9262861.1,MFAP4,MFAP4
KAG9262863.1,MFAP4,MFAP4
KAG9262864.1,MFAP4,MFAP4
KAG9267841.1,CDK5RAP3,CDK5RAP3
KAG9276189.1,CCSMST1,CCSMST1
KAG9279651.1,MACO1A,MACO1A
KAG9273677.1,LEPROT,LEPROT
KAG9276110.1,PUS3,PUS3
KAG9278829.1,GLMN,GLMN
KAG9272989.1,KAG9272989.1,KAG9272989.1
KAG9271968.1,CPA2,CPA2
KAG9275556.1,RUFY2,RUFY2
KAG9274217.1,LRMDA,LRMDA
KAG9271284.1,KAG9271284.1,KAG9271284.1
KAG9275130.1,SRBD1,SRBD1
KAG9279608.1,NPR1,NPR1
KAG9281861.1,NPR2,NPR1
KAG9268944.1,KAG9268944.1,KAG9268944.1
KAG9268764.1,AQR,AQR
KAG9272003.1,CHST1,CHST1
KAG9272091.1,CHST6,CHST1
KAG9280751.1,SV2B,SV2B
KAG9278931.1,ATP9B,ATP9B
KAG9266899.1,HYKK,HYKK
KAG9260202.1,PDE12,PDE12
KAG9267707.1,LIPA,LIPA
KAG9262809.1,COLGALT1,COLGALT1
KAG9263269.1,COLGALT2,COLGALT1
KAG9270071.1,COLGALT2,COLGALT1
KAG9273745.1,COLGALT2,COLGALT1
KAG9279008.1,COLGALT1,COLGALT1
KAG9274957.1,DHRS7,DHRS7
KAG9273956.1,FAM49B,FAM49B
KAG9282639.1,FAM49A,FAM49B
KAG9283496.1,FAM49B,FAM49B
KAG9263462.1,IER3IP1,IER3IP1
KAG9268121.1,RPAP1,RPAP1
KAG9263810.1,ABHD18,ABHD18
KAG9269981.1,BICDL1,BICDL1
KAG9278670.1,PGPEP1,PGPEP1
KAG9268403.1,ZNF593,ZNF593
KAG9269884.1,DHX35,DHX35
KAG9273619.1,CACYBP,CACYBP
KAG9271408.1,SERP2,SERP2
KAG9274950.1,TRMT5,TRMT5
KAG9260074.1,FAM135A,FAM135A
KAG9281887.1,DDX54,DDX54
KAG9262404.1,LONRF2,LONRF2
KAG9275173.1,ENPEP,ENPEP
KAG9279838.1,CYHR1,CYHR1
KAG9282497.1,ARMC2,ARMC2
KAG9275927.1,TRY4,TRY4
KAG9259387.1,ABHD17A,ABHD17A
KAG9261509.1,ABHD17B,ABHD17A
KAG9266534.1,ABHD17C,ABHD17A
KAG9270143.1,ABHD17A,ABHD17A
KAG9278107.1,ABHD17A,ABHD17A
KAG9266552.1,EFL1,EFL1
KAG9260275.1,SLC41A1,SLC41A1
KAG9269836.1,SLC41A1,SLC41A1
KAG9280218.1,SLC41A2,SLC41A1
KAG9264105.1,PAQR4,PAQR4
KAG9267266.1,PAQR4,PAQR4
KAG9263569.1,STOM,STOM
KAG9265009.1,STOM,STOM
KAG9275167.1,ATP10D,ATP10D
KAG9277226.1,ATP10A,ATP10D
KAG9260596.1,RPN1,RPN1
KAG9276991.1,RBM19,RBM19
KAG9266026.1,KAG9266026.1,KAG9266026.1
KAG9264123.1,PRSS27,PRSS27
KAG9267409.1,PRSS8,PRSS27
KAG9278797.1,SFT2D3,SFT2D3
KAG9263563.1,SMPD1,SMPD1
KAG9266741.1,TAX1BP3,TAX1BP3
KAG9281020.1,COMMD4,COMMD4
KAG9279099.1,KAG9279099.1,KAG9279099.1
KAG9280669.1,UHRF1BP1L,UHRF1BP1L
KAG9266928.1,TIMM13,TIMM13
KAG9282103.1,WDR44,WDR44
KAG9263491.1,LYRM7,LYRM7
KAG9275424.1,MCMBP,MCMBP
KAG9283322.1,QTRT2,QTRT2
KAG9274049.1,TMEM68,TMEM68
KAG9278425.1,TMEM68,TMEM68
KAG9271106.1,SHOX,SHOX
KAG9278537.1,SHOX2,SHOX
KAG9271401.1,DGKH,DGKH
KAG9268452.1,KCNK18,KCNK18
KAG9267680.1,TOM1L2,TOM1L2
KAG9281094.1,GDPGP1,GDPGP1
KAG9273295.1,KAG9273295.1,KAG9273295.1
KAG9282721.1,FAM20B,FAM20B
KAG9273574.1,KAG9273574.1,KAG9273574.1
KAG9277029.1,ST7L,KAG9273574.1
KAG9263553.1,ISOC1,ISOC1
KAG9264080.1,RUNDC1,RUNDC1
KAG9274943.1,KAG9274943.1,KAG9274943.1
KAG9270317.1,DPP9,DPP9
KAG9274247.1,MPDU1,MPDU1
KAG9262047.1,KAG9262047.1,KAG9262047.1
KAG9269446.1,OSBPL2,OSBPL2
KAG9269698.1,OSBPL1A,OSBPL2
KAG9267676.1,NEURL2,NEURL2
KAG9267510.1,ACADSB,ACADSB
KAG9259686.1,ACSL1,ACSL1
KAG9266207.1,ACSL6,ACSL1
KAG9267886.1,ACSL5,ACSL1
KAG9281245.1,ACSL1,ACSL1
KAG9266332.1,UBE2G1,UBE2G1
KAG9281743.1,UBE2G1,UBE2G1
KAG9260746.1,DRAM2,DRAM2
KAG9270153.1,DRAM2,DRAM2
KAG9278577.1,DMAC2,DMAC2
KAG9281696.1,DHRS11,DHRS11
KAG9272044.1,KLHDC4,KLHDC4
KAG9265198.1,AIFM3,AIFM3
KAG9265761.1,AIFM3,AIFM3
KAG9268275.1,SLC22A7,SLC22A7
KAG9277660.1,INPP4A,INPP4A
KAG9268807.1,AREL1,AREL1
KAG9266765.1,TMEM38A,TMEM38A
KAG9266290.1,STOM,STOM
KAG9281946.1,NOS1AP,NOS1AP
KAG9265477.1,TCERG1,TCERG1
KAG9272545.1,TCERG1,TCERG1
KAG9272396.1,ERGIC2,ERGIC2
KAG9266912.1,ATP11B,ATP11B
KAG9283931.1,GGCT,GGCT
KAG9260780.1,SLC6A17,SLC6A17
KAG9264865.1,SLC6A15,SLC6A17
KAG9264881.1,SLC6A15,SLC6A17
KAG9270770.1,SLC6A17,SLC6A17
KAG9273120.1,SLC6A15,SLC6A17
KAG9276096.1,SLC6A19,SLC6A17
KAG9276098.1,SLC6A19,SLC6A17
KAG9276121.1,SLC6A15,SLC6A17
KAG9276136.1,SLC6A15,SLC6A17
KAG9281483.1,SLC6A18,SLC6A17
KAG9281485.1,SLC6A19,SLC6A17
KAG9262977.1,TTC28,TTC28
KAG9270285.1,LMX1B,LMX1B
KAG9281918.1,LMX1B,LMX1B
KAG9276208.1,KAG9276208.1,KAG9276208.1
KAG9270953.1,ESD,ESD
KAG9264938.1,CRYAB,CRYAB
KAG9279640.1,UBE2QL1,UBE2QL1
KAG9276687.1,CPVL,CPVL
KAG9263863.1,ECI1,ECI1
KAG9267274.1,KAG9267274.1,KAG9267274.1
KAG9261314.1,TMEM186,TMEM186
KAG9266737.1,NIM1K,NIM1K
KAG9273692.1,KAG9273692.1,KAG9273692.1
KAG9267554.1,OPLAH,OPLAH
KAG9259945.1,MAB21L2,MAB21L2
KAG9264626.1,MAB21L1,MAB21L2
KAG9262278.1,KAG9262278.1,KAG9262278.1
KAG9271049.1,RABL3,RABL3
KAG9273032.1,RBM28,RBM28
KAG9273668.1,IMP3,IMP3
KAG9276896.1,RBM5,RBM5
KAG9262335.1,F7,F7
KAG9283040.1,KAG9283040.1,KAG9283040.1
KAG9263799.1,COX18,COX18
KAG9264344.1,SBK1,SBK1
KAG9267766.1,SBK1,SBK1
KAG9265741.1,OTUB1,OTUB1
KAG9274301.1,OTUB1,OTUB1
KAG9261676.1,KAG9261676.1,KAG9261676.1
KAG9262717.1,KAG9262717.1,KAG9261676.1
KAG9273711.1,KAG9273711.1,KAG9261676.1
KAG9279037.1,KAG9279037.1,KAG9261676.1
KAG9263956.1,METTL23,METTL23
KAG9280116.1,BOP1,BOP1
KAG9271977.1,FAR1,FAR1
KAG9280497.1,FAR1,FAR1
KAG9261553.1,UBE3B,UBE3B
KAG9277893.1,AAMP,AAMP
KAG9280595.1,KAG9280595.1,KAG9280595.1
KAG9262567.1,METAP1D,METAP1D
KAG9268799.1,DLST,DLST
KAG9268516.1,SLC25A21,SLC25A21
KAG9264325.1,TMEM104,TMEM104
KAG9268385.1,TTC27,TTC27
KAG9260847.1,BBOX1,BBOX1
KAG9281903.1,ZFPL1,ZFPL1
KAG9263734.1,OVCA2,OVCA2
KAG9272513.1,LMAN2,LMAN2
KAG9268969.1,RALGAPA1,RALGAPA1
KAG9272613.1,SLC7A2,SLC7A2
KAG9281595.1,SLC7A2,SLC7A2
KAG9267672.1,PGP,PGP
KAG9272117.1,KAG9272117.1,KAG9272117.1
KAG9264332.1,KAG9264332.1,KAG9264332.1
KAG9267054.1,ANKRD13C-A,ANKRD13C-A
KAG9274605.1,ANKRD13C,ANKRD13C-A
KAG9277762.1,DTYMK,DTYMK
KAG9264307.1,FAHD1,FAHD1
KAG9265643.1,DDX10,DDX10
KAG9281961.1,ANKRA2,ANKRA2
KAG9283679.1,TMEM147,TMEM147
KAG9273373.1,SSR3,SSR3
KAG9279656.1,TXLNA,TXLNA
KAG9260126.1,KCNIP4,KCNIP4
KAG9263155.1,KCNIP1,KCNIP4
KAG9268382.1,FAM98A,FAM98A
KAG9275036.1,ARFGEF3,ARFGEF3
KAG9275286.1,PNLIP,PNLIP
KAG9278365.1,TSTD3,TSTD3
KAG9280115.1,KAG9280115.1,KAG9280115.1
KAG9267745.1,MRPL58,MRPL58
KAG9267068.1,DPEP1,DPEP1
KAG9271673.1,UPP2,UPP2
KAG9260299.1,CDK5RAP1,CDK5RAP1
KAG9270920.1,AMT,AMT
