# Pachon.faa,a,Ast.faa,b ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
KAG9259328.1,KAG9259328.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259329.1,KAG9259329.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259329.1,KAG9259329.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259330.1,KAG9259330.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259330.1,KAG9259330.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259331.1,KAG9259331.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259331.1,KAG9259331.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259333.1,KAG9259333.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259333.1,KAG9259333.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259334.1,KAG9259334.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259334.1,KAG9259334.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259335.1,KAG9259335.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259335.1,KAG9259335.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259336.1,KAG9259336.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259336.1,KAG9259336.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259337.1,KAG9259337.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259337.1,KAG9259337.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259339.1,KAG9259339.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259339.1,KAG9259339.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259340.1,KAG9259340.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259340.1,KAG9259340.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259341.1,KAG9259341.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259341.1,KAG9259341.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259342.1,KAG9259342.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259342.1,KAG9259342.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259343.1,KAG9259343.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259343.1,KAG9259343.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259344.1,KAG9259344.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259344.1,KAG9259344.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259345.1,KAG9259345.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259345.1,KAG9259345.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259346.1,KAG9259346.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259346.1,KAG9259346.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259347.1,KAG9259347.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259347.1,KAG9259347.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259348.1,KAG9259348.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259348.1,KAG9259348.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259349.1,KAG9259349.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259349.1,KAG9259349.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259350.1,KAG9259350.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259350.1,KAG9259350.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259351.1,KAG9259351.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259351.1,KAG9259351.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259352.1,KAG9259352.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259352.1,KAG9259352.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259353.1,SH2D4A,XP_049334492.1,LOC125801690,5.49E-37,152,1.82E-37,152
KAG9259356.1,KAG9259356.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259356.1,KAG9259356.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259357.1,KAG9259357.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259357.1,KAG9259357.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259358.1,KAG9259358.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259358.1,KAG9259358.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259359.1,KAG9259359.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259359.1,KAG9259359.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259360.1,KAG9259360.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259360.1,KAG9259360.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259361.1,KAG9259361.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259361.1,KAG9259361.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259362.1,KAG9259362.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259362.1,KAG9259362.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259363.1,KAG9259363.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259363.1,KAG9259363.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259364.1,KAG9259364.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259364.1,KAG9259364.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259368.1,KAG9259368.1,XP_049327495.1,IL17RC,0.00E+00,1304,0.00E+00,1304
KAG9259368.1,KAG9259368.1,XP_049327496.1,IL17RC,0.00E+00,1304,0.00E+00,1304
KAG9259368.1,KAG9259368.1,XP_049327497.1,IL17RC,0.00E+00,1298,0.00E+00,1298
KAG9259369.1,KAG9259369.1,XP_015461271.2,SI:CH211-242E8.1,7.64E-169,592,2.54E-169,592
KAG9259369.1,KAG9259369.1,XP_007249287.2,SI:CH211-242E8.1,3.13E-165,580,1.03E-165,580
KAG9259370.1,BCL2L14,XP_007249282.2,SI:CH211-218C6.8,1.38E-113,408,4.58E-114,408
KAG9259371.1,TPH2,XP_007249280.4,TPH2,0.00E+00,1110,0.00E+00,1110
KAG9259371.1,TPH2,XP_007249281.4,TPH2,0.00E+00,1069,0.00E+00,1069
KAG9259372.1,TBC1D15,XP_007249279.2,TBC1D15,0.00E+00,1328,0.00E+00,1328
KAG9259373.1,KAG9259373.1,XP_007249278.1,CHTF8,2.26E-65,247,7.52E-66,247
KAG9259374.1,HAS3,XP_007249277.3,HAS3,0.00E+00,1108,0.00E+00,1108
KAG9259375.1,KAG9259375.1,XP_007249275.3,TANGO6,0.00E+00,2079,0.00E+00,2079
KAG9259379.1,WDR47,XP_022521278.2,WDR47A,0.00E+00,1719,0.00E+00,1719
KAG9259381.1,KAG9259381.1,XP_049326483.1,LOC125786888,4.78E-83,306,1.59E-83,306
KAG9259383.1,SH2D4A,XP_049334492.1,LOC125801690,5.49E-37,152,1.82E-37,152
KAG9259384.1,SH2D4A,XP_049334492.1,LOC125801690,5.49E-37,152,1.82E-37,152
KAG9259387.1,ABHD17A,XP_022521259.2,LOC103045831,1.13E-185,648,3.77E-186,648
KAG9259387.1,ABHD17A,XP_022521260.2,LOC103045831,1.13E-185,648,3.77E-186,648
KAG9259387.1,ABHD17A,XP_022521261.2,LOC103045831,1.13E-185,648,3.77E-186,648
KAG9259388.1,SEMA6B,XP_049333156.1,SEMA6BA,0.00E+00,1672,0.00E+00,1672
KAG9259389.1,GPR55,XP_007240933.3,GPR35B,9.81E-164,575,3.26E-164,575
KAG9259390.1,SLAMF9,XP_022521277.2,LOC103046750,3.27E-138,490,1.08E-138,490
KAG9259393.1,SLAMF9,XP_049333794.1,LOC111191238,3.50E-108,390,1.89E-108,390
KAG9259394.1,KAG9259394.1,XP_049334374.1,LOC125801639,7.52E-71,266,3.35E-71,266
KAG9259395.1,SLC25A24,XP_022518924.2,LOC111189548,2.18E-267,920,7.24E-268,920
KAG9259396.1,KCNJ9,XP_049333394.1,KCNJ9,2.00E-288,990,6.64E-289,990
KAG9259397.1,KAG9259397.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259397.1,KAG9259397.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259400.1,KAG9259400.1,XP_049325686.1,LOC125785683,4.17E-91,333,1.39E-91,333
KAG9259400.1,KAG9259400.1,XP_049325685.1,LOC125785683,4.17E-91,333,1.71E-91,333
KAG9259401.1,ENDOD1,XP_049325552.1,LOC125785637,9.32E-167,585,3.10E-167,585
KAG9259401.1,ENDOD1,XP_007242901.3,LOC103036740,3.73E-166,583,1.24E-166,583
KAG9259403.1,FGA,XP_049325728.1,LOC111194574,0.00E+00,1308,0.00E+00,1308
KAG9259403.1,FGA,XP_022534929.2,FGA,0.00E+00,1269,0.00E+00,1269
KAG9259404.1,FGA,XP_022534929.2,FGA,0.00E+00,1294,0.00E+00,1294
KAG9259404.1,FGA,XP_049325728.1,LOC111194574,0.00E+00,1287,0.00E+00,1287
KAG9259405.1,FGA,XP_049325735.1,LOC103025461,8.31E-118,422,2.80E-118,422
KAG9259406.1,FGB,XP_007242808.2,FGB,2.91E-293,1006,9.67E-294,1006
KAG9259410.1,FAM83C,XP_007241359.2,FAM83C,0.00E+00,1187,0.00E+00,1187
KAG9259413.1,MMP24,XP_022520140.1,MMP24,0.00E+00,1185,0.00E+00,1185
KAG9259415.1,EIF6,XP_015458494.1,EIF6,3.52E-135,480,1.08E-135,480
KAG9259416.1,ESYT1,XP_049335326.1,ESYT1B,0.00E+00,3459,0.00E+00,3459
KAG9259417.1,KAG9259417.1,XP_007239223.1,LOC103047442,5.49E-37,152,1.82E-37,152
KAG9259417.1,KAG9259417.1,XP_007239224.1,LOC103047442,5.49E-37,152,1.82E-37,152
KAG9259418.1,ZC3H10,XP_007239225.1,ZC3H10,1.09E-263,908,3.60E-264,908
KAG9259418.1,ZC3H10,XP_022517735.1,ZC3H10,1.09E-263,908,3.60E-264,908
KAG9259419.1,GDF5,XP_007241771.2,GDF5,1.27E-234,811,4.22E-235,811
KAG9259420.1,STX16,XP_007241606.2,STX16,2.84E-149,527,9.42E-150,527
KAG9259421.1,NPEPL1,XP_007241602.1,NPEPL1,0.00E+00,1035,0.00E+00,1035
KAG9259422.1,CTSZ,XP_007241598.2,CTSZ,2.67E-186,650,8.86E-187,650
KAG9259423.1,NELFCD,XP_022519445.1,NELFCD,0.00E+00,1144,0.00E+00,1144
KAG9259424.1,KAG9259424.1,XP_007241600.1,ATP5F1E,6.66E-15,78.2,2.01E-15,78.2
KAG9259425.1,TUBB4B,XP_007241601.2,TUBB1,1.04E-273,941,3.46E-274,941
KAG9259426.1,CHMP4B,XP_007241258.1,CHMP4BA,1.45E-107,388,4.83E-108,388
KAG9259427.1,AHCY-B,XP_007241257.2,AHCY,1.11E-255,881,3.68E-256,881
KAG9259428.1,NCK2,XP_007238073.3,NCK2B,4.84E-228,789,1.61E-228,789
KAG9259428.1,NCK2,XP_049335376.1,NCK2B,4.84E-228,789,1.61E-228,789
KAG9259429.1,KAG9259429.1,XP_022531228.1,DPH3,1.43E-43,174,4.75E-44,174
KAG9259430.1,FHL2,XP_049335384.1,FHL2B,3.23E-181,633,1.07E-181,633
KAG9259431.1,TGFBRAP1,XP_022531227.2,TGFBRAP1,0.00E+00,1719,0.00E+00,1719
KAG9259432.1,GPR45.L,XP_007238070.3,LOC103021903,4.40E-209,726,1.46E-209,726
KAG9259433.1,MRPS9,XP_007238071.2,MRPS9,6.69E-217,752,2.22E-217,752
KAG9259434.1,POU3F3B,XP_015458153.3,POU3F3B,1.30E-221,768,4.35E-222,768
KAG9259434.1,POU3F3B,XP_022531226.2,POU3F3B,2.67E-218,757,8.86E-219,757
KAG9259437.1,KAG9259437.1,XP_049326716.1,LOC125787014,2.10E-41,167,8.43E-42,167
KAG9259437.1,KAG9259437.1,XP_049326715.1,LOC125787014,2.10E-41,167,9.89E-42,167
KAG9259437.1,KAG9259437.1,XP_049326714.1,LOC125787014,2.10E-41,167,1.14E-41,167
KAG9259438.1,PHTF2,XP_049330252.1,LOC103025055,0.00E+00,1449,0.00E+00,1449
KAG9259438.1,PHTF2,XP_049330253.1,LOC103025055,0.00E+00,1447,0.00E+00,1447
KAG9259439.1,KAG9259439.1,XP_049334415.1,LOC111191365,0.00E+00,2804,0.00E+00,2804
KAG9259441.1,KAG9259441.1,XP_007245052.1,LOC103036150,1.78E-178,624,5.93E-179,624
KAG9259441.1,KAG9259441.1,XP_022527382.1,LOC103036150,1.78E-178,624,5.93E-179,624
KAG9259442.1,NCAPH2,XP_007245046.3,NCAPH2,0.00E+00,1135,0.00E+00,1135
KAG9259443.1,GDF6B,XP_007229287.3,GDF6B,2.52E-228,790,8.38E-229,790
KAG9259447.1,SLC7A2,XP_049329566.1,LOC125794538,2.10E-190,664,6.89E-191,664
KAG9259448.1,KAG9259448.1,XP_049325737.1,LOC125785712,2.20E-59,227,1.33E-59,227
KAG9259448.1,KAG9259448.1,XP_049325738.1,LOC125785712,2.20E-59,227,1.33E-59,227
KAG9259448.1,KAG9259448.1,XP_049329565.1,LOC125794537,7.04E-58,222,4.47E-58,222
KAG9259448.1,KAG9259448.1,XP_049329717.1,LOC111196448,7.04E-58,222,4.47E-58,222
KAG9259451.1,FOXE1,XP_007243593.2,FOXE1,4.21E-209,726,1.40E-209,726
KAG9259460.1,PIK3R3,XP_049335854.1,PIK3R3B,1.81E-260,897,6.02E-261,897
KAG9259461.1,KAG9259461.1,XP_022519252.2,LOC111189840,5.51E-292,1002,1.83E-292,1002
KAG9259462.1,KAG9259462.1,XP_049325730.1,LOC111194578,1.88E-109,395,6.03E-110,395
KAG9259462.1,KAG9259462.1,XP_049325731.1,LOC111194578,1.88E-109,395,6.03E-110,395
KAG9259470.1,KAG9259470.1,XP_049329702.1,LOC125795240,1.50E-95,348,7.10E-96,348
KAG9259470.1,KAG9259470.1,XP_049329701.1,LOC125795240,1.50E-95,348,7.12E-96,348
KAG9259470.1,KAG9259470.1,XP_049326428.1,LOC125786852,6.02E-95,346,2.84E-95,346
KAG9259470.1,KAG9259470.1,XP_049326427.1,LOC125786852,6.02E-95,346,2.85E-95,346
KAG9259470.1,KAG9259470.1,XP_049325545.1,LOC125785635,6.02E-95,346,2.84E-95,346
KAG9259470.1,KAG9259470.1,XP_049325544.1,LOC125785635,6.02E-95,346,2.85E-95,346
KAG9259470.1,KAG9259470.1,XP_049329714.1,LOC125795250,1.20E-94,345,5.68E-95,345
KAG9259470.1,KAG9259470.1,XP_049329713.1,LOC125795250,1.20E-94,345,5.70E-95,345
KAG9259470.1,KAG9259470.1,XP_049329703.1,LOC125795241,1.93E-93,341,9.09E-94,341
KAG9259471.1,DLD,XP_007246606.1,DLDH,4.89E-292,1002,1.62E-292,1002
KAG9259472.1,ZNF800,XP_049330558.1,ZNF800A,0.00E+00,1149,0.00E+00,1149
KAG9259472.1,ZNF800,XP_007246608.3,ZNF800A,0.00E+00,1145,0.00E+00,1145
KAG9259473.1,VSX1,XP_007244763.3,VSX1,1.26E-173,608,4.18E-174,608
KAG9259473.1,VSX1,XP_015460105.3,VSX1,4.03E-172,603,1.35E-172,603
KAG9259474.1,UBE2D4,XP_015460090.1,UBE2D1A,7.80E-82,302,2.47E-82,302
KAG9259475.1,KAG9259475.1,XP_022528484.2,BICC1A,0.00E+00,1734,0.00E+00,1734
KAG9259481.1,ALG13,XP_022522235.2,ALG13,0.00E+00,1728,0.00E+00,1728
KAG9259482.1,FBLN2,XP_049327965.1,LOC125787589,7.80E-80,297,3.43E-80,297
KAG9259483.1,KAG9259483.1,XP_049323305.1,LOC111194594,8.83E-53,205,2.93E-53,205
KAG9259483.1,KAG9259483.1,XP_049323306.1,LOC111194594,8.83E-53,205,2.93E-53,205
KAG9259486.1,KAG9259486.1,XP_049329685.1,LOC111194580,0.00E+00,1112,0.00E+00,1112
KAG9259487.1,GJC1,XP_007256434.2,GJC4B,6.78E-217,752,2.26E-217,752
KAG9259488.1,KAG9259488.1,XP_049329702.1,LOC125795240,1.90E-93,341,9.09E-94,341
KAG9259488.1,KAG9259488.1,XP_049329701.1,LOC125795240,1.90E-93,341,9.12E-94,341
KAG9259488.1,KAG9259488.1,XP_049326428.1,LOC125786852,1.52E-92,338,7.27E-93,338
KAG9259488.1,KAG9259488.1,XP_049326427.1,LOC125786852,1.52E-92,338,7.29E-93,338
KAG9259488.1,KAG9259488.1,XP_049325545.1,LOC125785635,1.52E-92,338,7.27E-93,338
KAG9259488.1,KAG9259488.1,XP_049325544.1,LOC125785635,1.52E-92,338,7.29E-93,338
KAG9259488.1,KAG9259488.1,XP_049329714.1,LOC125795250,3.04E-92,337,1.45E-92,337
KAG9259488.1,KAG9259488.1,XP_049329713.1,LOC125795250,3.04E-92,337,1.46E-92,337
KAG9259488.1,KAG9259488.1,XP_049329703.1,LOC125795241,2.43E-91,334,1.16E-91,334
KAG9259489.1,KAG9259489.1,XP_049323401.1,LOC111196956,1.54E-222,771,4.48E-223,771
KAG9259493.1,KAG9259493.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259493.1,KAG9259493.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259495.1,KAG9259495.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259495.1,KAG9259495.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259496.1,KAG9259496.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259496.1,KAG9259496.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259497.1,KAG9259497.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259497.1,KAG9259497.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259498.1,KAG9259498.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259498.1,KAG9259498.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259499.1,KAG9259499.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259499.1,KAG9259499.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259500.1,KAG9259500.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259500.1,KAG9259500.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259503.1,KAG9259503.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259503.1,KAG9259503.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259504.1,KAG9259504.1,XP_015461801.3,CBY1,9.34E-62,235,3.10E-62,235
KAG9259505.1,SLC16A3,XP_015461800.2,SLC16A8,4.22E-273,939,1.40E-273,939
KAG9259506.1,PDAP1,XP_007251329.1,PDAP1A,4.53E-67,253,1.51E-67,253
KAG9259507.1,KAG9259507.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259507.1,KAG9259507.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259510.1,PTGDS,XP_049341421.1,LOC103034887,1.04E-94,345,3.44E-95,345
KAG9259510.1,PTGDS,XP_049341425.1,LOC125805764,1.04E-94,345,3.44E-95,345
KAG9259511.1,KAG9259511.1,XP_049324596.1,LOC125784831,1.56E-287,987,5.17E-288,987
KAG9259511.1,KAG9259511.1,XP_049331855.1,LOC125799354,6.22E-287,985,2.07E-287,985
KAG9259512.1,KAG9259512.1,XP_022529638.1,LOC111193370,5.34E-265,912,1.77E-265,912
KAG9259512.1,KAG9259512.1,XP_049331856.1,LOC125799355,5.34E-265,912,1.77E-265,912
KAG9259513.1,KAG9259513.1,XP_049324596.1,LOC125784831,1.56E-287,987,5.17E-288,987
KAG9259513.1,KAG9259513.1,XP_049331855.1,LOC125799354,6.22E-287,985,2.07E-287,985
KAG9259514.1,KAG9259514.1,XP_022529638.1,LOC111193370,5.34E-265,912,1.77E-265,912
KAG9259514.1,KAG9259514.1,XP_049331856.1,LOC125799355,5.34E-265,912,1.77E-265,912
KAG9259517.1,NEK11,XP_049321025.1,LOC103044108,6.14E-252,869,1.70E-252,869
KAG9259518.1,KAG9259518.1,XP_049333217.1,LOC125801126,2.26E-188,658,8.01E-189,658
KAG9259523.1,NEK11,XP_049324401.1,NEK11,1.83E-27,120,8.46E-28,120
KAG9259531.1,SCN1B,XP_022518292.2,SI:CH211-225P5.8,1.28E-122,438,4.25E-123,438
KAG9259531.1,SCN1B,XP_049325589.1,LOC125785661,1.28E-122,438,4.25E-123,438
KAG9259534.1,CASPA,XP_007239273.3,CASPA,3.66E-211,733,1.17E-211,733
KAG9259535.1,PNT,XP_007239277.2,ETSRP,1.34E-204,711,4.44E-205,711
KAG9259535.1,PNT,XP_007239276.2,ETSRP,6.85E-202,702,2.35E-202,702
KAG9259536.1,KAG9259536.1,XP_022518290.1,FLI1RS,1.69E-266,917,5.60E-267,917
KAG9259537.1,ZP3,XP_022518293.2,ZP3D.2,4.03E-279,959,1.34E-279,959
KAG9259537.1,ZP3,XP_022518294.2,ZP3D.2,5.16E-277,952,1.71E-277,952
KAG9259538.1,DYRK1A,XP_049324906.1,DYRK1B,0.00E+00,1215,0.00E+00,1215
KAG9259539.1,KAG9259539.1,XP_022518299.2,ZP3D.1,0.00E+00,1225,0.00E+00,1225
KAG9259539.1,KAG9259539.1,XP_022518298.2,ZP3D.1,0.00E+00,1220,0.00E+00,1220
KAG9259539.1,KAG9259539.1,XP_022518300.2,ZP3D.1,0.00E+00,1214,0.00E+00,1214
KAG9259540.1,KAG9259540.1,XP_022541572.2,ALKBH8,0.00E+00,1284,0.00E+00,1284
KAG9259541.1,FBL,XP_022541571.2,FBL,1.39E-136,485,4.64E-137,485
KAG9259542.1,KCNJ5,XP_049325100.1,ZGC:162160,9.10E-252,868,3.02E-252,868
KAG9259543.1,PPOX,XP_049325053.1,PPOX,1.32E-274,944,4.40E-275,944
KAG9259544.1,CSPG5,XP_007240000.3,CSPG5A,5.79E-268,922,1.92E-268,922
KAG9259544.1,CSPG5,XP_022541580.2,CSPG5A,3.70E-266,916,1.23E-266,916
KAG9259545.1,SMARCC1,XP_022541575.2,SMARCC1A,0.00E+00,1833,0.00E+00,1833
KAG9259545.1,SMARCC1,XP_022541576.2,SMARCC1A,0.00E+00,1805,0.00E+00,1805
KAG9259555.1,KAG9259555.1,XP_049325296.1,LOC111188594,3.39E-173,607,8.13E-174,607
KAG9259559.1,KAG9259559.1,XP_022518150.2,PKDC,3.51E-193,673,1.14E-193,673
KAG9259560.1,TBX20,XP_007239797.3,TBX20,6.34E-241,832,2.11E-241,832
KAG9259560.1,TBX20,XP_049325095.1,TBX20,1.01E-239,828,3.38E-240,828
KAG9259561.1,CCDC106,XP_022518177.1,LOC111188708,2.06E-123,441,6.35E-124,441
KAG9259561.1,CCDC106,XP_049327879.1,LOC111195949,2.06E-123,441,6.35E-124,441
KAG9259561.1,CCDC106,XP_049336629.1,LOC111195372,2.06E-123,441,6.35E-124,441
KAG9259561.1,CCDC106,XP_049326084.1,LOC111188708,8.23E-123,439,2.44E-123,439
KAG9259561.1,CCDC106,XP_049327881.1,LOC111195949,8.23E-123,439,2.44E-123,439
KAG9259561.1,CCDC106,XP_049330098.1,LOC125798377,8.23E-123,439,2.44E-123,439
KAG9259561.1,CCDC106,XP_049336631.1,LOC111195372,8.23E-123,439,2.44E-123,439
