Ast,a,a2,Dmel,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
Astyanax_pachon,KAG9259413.1,MMP24,Drosophila_melanogaster,NP_001189000.1,MMP1,1.87E-54,212,1.13E-54,212
Astyanax_pachon,KAG9259413.1,MMP24,Drosophila_melanogaster,NP_001189001.1,MMP1,1.87E-54,212,1.13E-54,212
Astyanax_pachon,KAG9259413.1,MMP24,Drosophila_melanogaster,NP_523852.3,MMP1,1.87E-54,212,1.13E-54,212
Astyanax_pachon,KAG9259413.1,MMP24,Drosophila_melanogaster,NP_001188999.1,MMP1,1.87E-54,212,1.13E-54,212
Astyanax_pachon,KAG9259413.1,MMP24,Drosophila_melanogaster,NP_001189002.1,MMP1,1.87E-54,212,1.15E-54,212
Astyanax_pachon,KAG9259413.1,MMP24,Drosophila_melanogaster,NP_726473.2,MMP1,1.87E-54,212,1.22E-54,212
Astyanax_pachon,KAG9259415.1,EIF6,Drosophila_melanogaster,NP_659573.1,EIF6,4.40E-105,379,2.73E-105,379
Astyanax_pachon,KAG9259417.1,KAG9259417.1,Drosophila_melanogaster,NP_001245885.1,CYPE,1.25E-09,60.1,8.54E-10,60.1
Astyanax_pachon,KAG9259417.1,KAG9259417.1,Drosophila_melanogaster,NP_001245886.1,CYPE,1.25E-09,60.1,8.54E-10,60.1
Astyanax_pachon,KAG9259417.1,KAG9259417.1,Drosophila_melanogaster,NP_536787.1,CYPE,1.25E-09,60.1,8.54E-10,60.1
Astyanax_pachon,KAG9259420.1,STX16,Drosophila_melanogaster,NP_523420.1,SYX16,8.22E-42,169,6.45E-42,169
Astyanax_pachon,KAG9259421.1,NPEPL1,Drosophila_melanogaster,NP_650240.1,GRSM,1.50E-181,634,1.07E-181,634
Astyanax_pachon,KAG9259421.1,NPEPL1,Drosophila_melanogaster,NP_731749.3,GRSM,1.50E-181,634,1.26E-181,634
Astyanax_pachon,KAG9259423.1,NELFCD,Drosophila_melanogaster,NP_001285326.1,TH1,2.06E-182,637,1.39E-182,637
Astyanax_pachon,KAG9259423.1,NELFCD,Drosophila_melanogaster,NP_573123.1,TH1,2.06E-182,637,1.39E-182,637
Astyanax_pachon,KAG9259426.1,CHMP4B,Drosophila_melanogaster,NP_610462.3,SHRB,7.04E-52,202,4.82E-52,202
Astyanax_pachon,KAG9259427.1,AHCY-B,Drosophila_melanogaster,NP_001285268.1,AHCY,2.00E-208,723,1.34E-208,723
Astyanax_pachon,KAG9259427.1,AHCY-B,Drosophila_melanogaster,NP_511164.2,AHCY,2.00E-208,723,1.34E-208,723
Astyanax_pachon,KAG9259428.1,NCK2,Drosophila_melanogaster,NP_476976.1,DOCK,5.83E-86,316,4.21E-86,316
Astyanax_pachon,KAG9259428.1,NCK2,Drosophila_melanogaster,NP_001259845.1,DOCK,5.83E-86,316,5.63E-86,316
Astyanax_pachon,KAG9259428.1,NCK2,Drosophila_melanogaster,NP_722657.1,DOCK,5.83E-86,316,5.63E-86,316
Astyanax_pachon,KAG9259428.1,NCK2,Drosophila_melanogaster,NP_722658.1,DOCK,5.83E-86,316,5.63E-86,316
Astyanax_pachon,KAG9259429.1,KAG9259429.1,Drosophila_melanogaster,NP_650057.1,DPH3,2.04E-26,116,1.42E-26,116
Astyanax_pachon,KAG9259430.1,FHL2,Drosophila_melanogaster,NP_001303414.1,LMPT,7.39E-104,375,5.09E-104,375
Astyanax_pachon,KAG9259430.1,FHL2,Drosophila_melanogaster,NP_996111.1,LMPT,7.39E-104,375,5.09E-104,375
Astyanax_pachon,KAG9259430.1,FHL2,Drosophila_melanogaster,NP_730213.1,LMPT,7.39E-104,375,6.04E-104,375
Astyanax_pachon,KAG9259433.1,MRPS9,Drosophila_melanogaster,NP_524270.2,MRPS9,5.04E-76,283,3.48E-76,283
Astyanax_pachon,KAG9259438.1,PHTF2,Drosophila_melanogaster,NP_610232.1,PHTF,3.14E-77,288,2.43E-77,288
Astyanax_pachon,KAG9259460.1,PIK3R3,Drosophila_melanogaster,NP_001259817.1,PI3K21B,1.18E-50,199,8.46E-51,199
Astyanax_pachon,KAG9259460.1,PIK3R3,Drosophila_melanogaster,NP_477270.2,PI3K21B,1.18E-50,199,8.46E-51,199
Astyanax_pachon,KAG9259471.1,DLD,Drosophila_melanogaster,NP_001262000.1,CG7430,3.30E-194,676,2.20E-194,676
Astyanax_pachon,KAG9259471.1,DLD,Drosophila_melanogaster,NP_649017.1,CG7430,3.30E-194,676,2.20E-194,676
Astyanax_pachon,KAG9259506.1,PDAP1,Drosophila_melanogaster,NP_001188753.1,CG4438,7.07E-15,78.6,5.65E-15,78.6
Astyanax_pachon,KAG9259506.1,PDAP1,Drosophila_melanogaster,NP_609286.1,CG4438,7.07E-15,78.6,5.65E-15,78.6
Astyanax_pachon,KAG9259536.1,KAG9259536.1,Drosophila_melanogaster,NP_001285547.1,ETS21C,5.75E-51,200,4.05E-51,200
Astyanax_pachon,KAG9259536.1,KAG9259536.1,Drosophila_melanogaster,NP_001285548.1,ETS21C,5.75E-51,200,4.05E-51,200
Astyanax_pachon,KAG9259536.1,KAG9259536.1,Drosophila_melanogaster,NP_523445.1,ETS21C,5.75E-51,200,4.05E-51,200
Astyanax_pachon,KAG9259538.1,DYRK1A,Drosophila_melanogaster,NP_001014750.1,MNB,5.13E-188,656,2.77E-188,656
Astyanax_pachon,KAG9259538.1,DYRK1A,Drosophila_melanogaster,NP_728106.1,MNB,5.13E-188,656,2.78E-188,656
Astyanax_pachon,KAG9259538.1,DYRK1A,Drosophila_melanogaster,NP_001285393.1,MNB,5.13E-188,656,3.41E-188,656
Astyanax_pachon,KAG9259540.1,KAG9259540.1,Drosophila_melanogaster,NP_611690.2,CG17807,2.63E-136,484,1.69E-136,484
Astyanax_pachon,KAG9259541.1,FBL,Drosophila_melanogaster,NP_523817.1,FIB,1.62E-115,414,1.11E-115,414
Astyanax_pachon,KAG9259542.1,KCNJ5,Drosophila_melanogaster,NP_001163697.1,IRK1,7.71E-96,349,6.29E-96,349
Astyanax_pachon,KAG9259542.1,KCNJ5,Drosophila_melanogaster,NP_001262863.1,IRK1,7.71E-96,349,6.29E-96,349
Astyanax_pachon,KAG9259542.1,KCNJ5,Drosophila_melanogaster,NP_651131.2,IRK1,7.71E-96,349,6.36E-96,349
Astyanax_pachon,KAG9259542.1,KCNJ5,Drosophila_melanogaster,NP_001189270.1,IRK1,7.71E-96,349,6.45E-96,349
Astyanax_pachon,KAG9259542.1,KCNJ5,Drosophila_melanogaster,NP_001097884.1,IRK1,7.71E-96,349,6.63E-96,349
Astyanax_pachon,KAG9259542.1,KCNJ5,Drosophila_melanogaster,NP_001262861.1,IRK1,7.71E-96,349,7.79E-96,349
Astyanax_pachon,KAG9259542.1,KCNJ5,Drosophila_melanogaster,NP_001262862.1,IRK1,7.71E-96,349,7.79E-96,349
Astyanax_pachon,KAG9259543.1,PPOX,Drosophila_melanogaster,NP_651278.2,PPOX,3.56E-89,327,2.38E-89,327
Astyanax_pachon,KAG9259545.1,SMARCC1,Drosophila_melanogaster,NP_524373.1,MOR,2.15E-201,701,1.58E-201,701
Astyanax_pachon,KAG9259545.1,SMARCC1,Drosophila_melanogaster,NP_001189230.1,MOR,3.43E-200,697,2.39E-200,697
Astyanax_pachon,KAG9259565.1,SLC4A7,Drosophila_melanogaster,NP_001260177.1,NDAE1,2.43E-276,950,1.63E-276,950
Astyanax_pachon,KAG9259565.1,SLC4A7,Drosophila_melanogaster,NP_001260178.1,NDAE1,2.43E-276,950,1.56E-276,950
Astyanax_pachon,KAG9259565.1,SLC4A7,Drosophila_melanogaster,NP_723263.2,NDAE1,2.43E-276,950,1.71E-276,950
Astyanax_pachon,KAG9259565.1,SLC4A7,Drosophila_melanogaster,NP_723264.1,NDAE1,2.43E-276,950,1.58E-276,950
Astyanax_pachon,KAG9259565.1,SLC4A7,Drosophila_melanogaster,NP_001260180.1,NDAE1,1.95E-275,947,1.23E-275,947
Astyanax_pachon,KAG9259565.1,SLC4A7,Drosophila_melanogaster,NP_001260182.1,NDAE1,3.89E-275,946,2.59E-275,946
Astyanax_pachon,KAG9259565.1,SLC4A7,Drosophila_melanogaster,NP_523501.1,NDAE1,7.78E-275,945,4.75E-275,945
Astyanax_pachon,KAG9259565.1,SLC4A7,Drosophila_melanogaster,NP_001260183.1,NDAE1,1.25E-273,941,7.71E-274,941
Astyanax_pachon,KAG9259565.1,SLC4A7,Drosophila_melanogaster,NP_001260179.1,NDAE1,1.25E-273,941,7.57E-274,941
Astyanax_pachon,KAG9259565.1,SLC4A7,Drosophila_melanogaster,NP_001260181.1,NDAE1,4.98E-273,939,3.11E-273,939
Astyanax_pachon,KAG9259568.1,KAG9259568.1,Drosophila_melanogaster,NP_609803.1,CG17996,2.94E-23,106,1.99E-23,106
Astyanax_pachon,KAG9259570.1,NCOA7,Drosophila_melanogaster,NP_001138006.1,MTD,2.03E-43,174,1.10E-43,174
Astyanax_pachon,KAG9259570.1,NCOA7,Drosophila_melanogaster,NP_730916.1,MTD,2.03E-43,174,1.10E-43,174
Astyanax_pachon,KAG9259570.1,NCOA7,Drosophila_melanogaster,NP_730915.1,MTD,2.03E-43,174,1.20E-43,174
Astyanax_pachon,KAG9259570.1,NCOA7,Drosophila_melanogaster,NP_730913.1,MTD,2.03E-43,174,1.22E-43,174
Astyanax_pachon,KAG9259570.1,NCOA7,Drosophila_melanogaster,NP_730914.1,MTD,2.03E-43,174,1.53E-43,174
Astyanax_pachon,KAG9259572.1,WDTC1,Drosophila_melanogaster,NP_001286563.1,ADP,2.11E-110,398,1.33E-110,398
Astyanax_pachon,KAG9259572.1,WDTC1,Drosophila_melanogaster,NP_611296.2,ADP,2.11E-110,398,1.33E-110,398
Astyanax_pachon,KAG9259597.1,PABPC1A,Drosophila_melanogaster,NP_476667.1,PABP,6.91E-187,652,4.65E-187,652
Astyanax_pachon,KAG9259597.1,PABPC1A,Drosophila_melanogaster,NP_725749.1,PABP,6.91E-187,652,4.65E-187,652
Astyanax_pachon,KAG9259597.1,PABPC1A,Drosophila_melanogaster,NP_725750.1,PABP,6.91E-187,652,4.65E-187,652
Astyanax_pachon,KAG9259610.1,DCTN6,Drosophila_melanogaster,NP_609949.1,DCTN6-P27,1.35E-39,161,8.67E-40,161
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001014462.1,RBP9,8.49E-109,392,5.97E-109,392
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_476936.3,RBP9,8.49E-109,392,5.97E-109,392
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_599125.1,RBP9,8.49E-109,392,5.97E-109,392
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_599126.1,RBP9,8.49E-109,392,5.97E-109,392
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001401058.1,FNE,2.72E-107,387,1.61E-107,387
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001401059.1,FNE,2.72E-107,387,1.61E-107,387
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001245647.1,FNE,2.17E-106,384,1.23E-106,384
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001245649.2,FNE,2.17E-106,384,1.23E-106,384
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001285173.1,FNE,2.17E-106,384,1.23E-106,384
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001096965.1,FNE,8.69E-106,382,4.95E-106,382
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001245646.1,FNE,8.69E-106,382,4.95E-106,382
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001245648.1,FNE,8.69E-106,382,4.95E-106,382
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001259497.1,FNE,8.69E-106,382,4.95E-106,382
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001259498.1,FNE,8.69E-106,382,4.95E-106,382
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_572842.1,FNE,8.69E-106,382,4.95E-106,382
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001285569.1,RBP9,1.09E-106,385,7.72E-107,385
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_476937.3,RBP9,1.09E-106,385,7.72E-107,385
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_599124.1,RBP9,1.09E-106,385,7.72E-107,385
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_599127.1,RBP9,1.09E-106,385,7.72E-107,385
Astyanax_pachon,KAG9259613.1,ELAVL2,Drosophila_melanogaster,NP_001259974.1,RBP9,8.49E-109,392,9.29E-109,392
Astyanax_pachon,KAG9259615.1,HTR4,Drosophila_melanogaster,NP_001034049.1,OCTBETA2R,3.62E-50,197,3.66E-50,197
Astyanax_pachon,KAG9259615.1,HTR4,Drosophila_melanogaster,NP_001247076.1,OCTBETA2R,3.62E-50,197,3.66E-50,197
Astyanax_pachon,KAG9259615.1,HTR4,Drosophila_melanogaster,NP_001247077.1,OCTBETA2R,3.62E-50,197,3.66E-50,197
Astyanax_pachon,KAG9259615.1,HTR4,Drosophila_melanogaster,NP_001247078.1,OCTBETA2R,3.62E-50,197,3.66E-50,197
Astyanax_pachon,KAG9259615.1,HTR4,Drosophila_melanogaster,NP_001303505.1,OCTBETA2R,3.62E-50,197,3.66E-50,197
Astyanax_pachon,KAG9259615.1,HTR4,Drosophila_melanogaster,NP_001163596.2,OCTBETA2R,3.62E-50,197,4.30E-50,197
Astyanax_pachon,KAG9259616.1,ADRA1D,Drosophila_melanogaster,NP_733299.1,DOP1R2,2.42E-59,228,1.71E-59,228
Astyanax_pachon,KAG9259616.1,ADRA1D,Drosophila_melanogaster,NP_524548.1,DOP1R2,2.42E-59,228,1.71E-59,228
Astyanax_pachon,KAG9259617.1,CTNNA2,Drosophila_melanogaster,NP_001287154.1,ALPHA-CAT,9.26E-107,385,6.47E-107,385
Astyanax_pachon,KAG9259621.1,SUCLG1,Drosophila_melanogaster,NP_001189044.1,SCSALPHA1,3.55E-128,456,2.42E-128,456
Astyanax_pachon,KAG9259621.1,SUCLG1,Drosophila_melanogaster,NP_523905.2,SCSALPHA1,3.55E-128,456,2.42E-128,456
Astyanax_pachon,KAG9259622.1,CISD2,Drosophila_melanogaster,NP_651684.1,CISD2,1.66E-26,117,1.10E-26,117
Astyanax_pachon,KAG9259625.1,TACR3,Drosophila_melanogaster,NP_001163772.1,TKR99D,5.21E-76,283,4.56E-76,283
Astyanax_pachon,KAG9259625.1,TACR3,Drosophila_melanogaster,NP_524556.2,TKR99D,5.21E-76,283,4.58E-76,283
Astyanax_pachon,KAG9259625.1,TACR3,Drosophila_melanogaster,NP_001263092.1,TKR99D,5.21E-76,283,4.97E-76,283
Astyanax_pachon,KAG9259635.1,RPS6KB2,Drosophila_melanogaster,NP_001261450.1,S6K,6.89E-148,522,4.89E-148,522
Astyanax_pachon,KAG9259635.1,RPS6KB2,Drosophila_melanogaster,NP_523941.2,S6K,6.89E-148,522,4.89E-148,522
Astyanax_pachon,KAG9259637.1,HPF1,Drosophila_melanogaster,NP_649589.1,HPF1,6.57E-43,173,5.14E-43,173
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_001162831.1,CAMKII,1.46E-212,737,9.29E-213,737
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_524635.3,CAMKII,1.46E-212,737,9.29E-213,737
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_726633.2,CAMKII,1.46E-212,737,9.29E-213,737
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_726634.1,CAMKII,5.85E-212,735,3.86E-212,735
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_726636.2,CAMKII,5.85E-212,735,3.86E-212,735
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_001014696.1,CAMKII,1.17E-211,734,7.83E-212,734
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_001162832.1,CAMKII,4.68E-211,732,3.22E-211,732
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_726635.2,CAMKII,4.68E-211,732,3.22E-211,732
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_001162833.1,CAMKII,9.36E-211,731,6.44E-211,731
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_001259082.1,CAMKII,3.00E-209,726,1.87E-209,726
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_001259084.1,CAMKII,1.20E-208,724,7.83E-209,724
Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_001259083.1,CAMKII,3.84E-207,719,2.59E-207,719
Astyanax_pachon,KAG9259648.1,ANXA5,Drosophila_melanogaster,NP_476615.1,ANXB10,6.81E-72,269,4.62E-72,269
Astyanax_pachon,KAG9259651.1,EXOSC9,Drosophila_melanogaster,NP_001285353.1,RRP45,2.49E-54,211,1.72E-54,211
Astyanax_pachon,KAG9259651.1,EXOSC9,Drosophila_melanogaster,NP_573163.1,RRP45,2.49E-54,211,1.72E-54,211
Astyanax_pachon,KAG9259652.1,PTPN9,Drosophila_melanogaster,NP_001188573.1,PTPMEG2,5.25E-157,553,3.67E-157,553
Astyanax_pachon,KAG9259652.1,PTPN9,Drosophila_melanogaster,NP_727356.1,PTPMEG2,5.25E-157,553,3.71E-157,553
Astyanax_pachon,KAG9259652.1,PTPN9,Drosophila_melanogaster,NP_727357.1,PTPMEG2,5.25E-157,553,3.73E-157,553
Astyanax_pachon,KAG9259652.1,PTPN9,Drosophila_melanogaster,NP_572576.1,PTPMEG2,5.25E-157,553,3.84E-157,553
Astyanax_pachon,KAG9259655.1,FAT1,Drosophila_melanogaster,NP_001027138.2,KUG,0.00E+00,2487,0.00E+00,2487
Astyanax_pachon,KAG9259655.1,FAT1,Drosophila_melanogaster,NP_001287126.1,KUG,0.00E+00,2487,0.00E+00,2487
Astyanax_pachon,KAG9259655.1,FAT1,Drosophila_melanogaster,NP_649171.3,KUG,0.00E+00,2487,0.00E+00,2487
Astyanax_pachon,KAG9259656.1,FRG1,Drosophila_melanogaster,NP_649202.1,FRG1,5.07E-53,206,3.49E-53,206
Astyanax_pachon,KAG9259667.1,MTMR7,Drosophila_melanogaster,NP_611791.2,MTMR6,3.28E-168,590,2.33E-168,590
Astyanax_pachon,KAG9259667.1,MTMR7,Drosophila_melanogaster,NP_726322.1,MTMR6,5.25E-167,586,4.12E-167,586
Astyanax_pachon,KAG9259671.1,MICU3,Drosophila_melanogaster,NP_001262741.1,MICU3,9.67E-87,319,6.72E-87,319
Astyanax_pachon,KAG9259673.1,TUSC3,Drosophila_melanogaster,NP_609204.2,OSTGAMMA,7.49E-106,382,4.59E-106,382
Astyanax_pachon,KAG9259678.1,PDLIM3,Drosophila_melanogaster,NP_001163163.1,ZASP52,1.81E-35,148,1.72E-35,148
Astyanax_pachon,KAG9259678.1,PDLIM3,Drosophila_melanogaster,NP_001303352.1,ZASP52,1.81E-35,148,1.72E-35,148
Astyanax_pachon,KAG9259678.1,PDLIM3,Drosophila_melanogaster,NP_001261013.1,ZASP52,1.81E-35,148,2.50E-35,148
Astyanax_pachon,KAG9259679.1,UFSP2,Drosophila_melanogaster,NP_648779.1,UFSP2,4.77E-83,307,3.19E-83,307
Astyanax_pachon,KAG9259683.1,SLC25A4,Drosophila_melanogaster,NP_001285090.1,SESB,9.50E-139,491,6.41E-139,491
Astyanax_pachon,KAG9259683.1,SLC25A4,Drosophila_melanogaster,NP_511109.1,SESB,9.50E-139,491,6.41E-139,491
Astyanax_pachon,KAG9259683.1,SLC25A4,Drosophila_melanogaster,NP_727450.1,SESB,9.50E-139,491,6.41E-139,491
Astyanax_pachon,KAG9259683.1,SLC25A4,Drosophila_melanogaster,NP_727448.1,SESB,9.50E-139,491,6.69E-139,491
Astyanax_pachon,KAG9259683.1,SLC25A4,Drosophila_melanogaster,NP_727449.1,SESB,9.50E-139,491,6.69E-139,491
Astyanax_pachon,KAG9259686.1,ACSL1,Drosophila_melanogaster,NP_649067.2,CG3961,1.95E-184,644,1.32E-184,644
Astyanax_pachon,KAG9259686.1,ACSL1,Drosophila_melanogaster,NP_730369.1,CG3961,1.95E-184,644,1.32E-184,644
Astyanax_pachon,KAG9259686.1,ACSL1,Drosophila_melanogaster,NP_730370.2,CG3961,3.19E-180,630,2.01E-180,630
Astyanax_pachon,KAG9259686.1,ACSL1,Drosophila_melanogaster,NP_001262024.1,CG3961,1.02E-178,625,6.56E-179,625
Astyanax_pachon,KAG9259695.1,PI4K2B,Drosophila_melanogaster,NP_001368956.1,PI4KIIALPHA,7.64E-136,482,5.27E-136,482
Astyanax_pachon,KAG9259695.1,PI4K2B,Drosophila_melanogaster,NP_001368992.1,PI4KIIALPHA,1.22E-134,478,8.03E-135,478
Astyanax_pachon,KAG9259695.1,PI4K2B,Drosophila_melanogaster,NP_730945.1,PI4KIIALPHA,2.44E-134,477,1.98E-134,477
Astyanax_pachon,KAG9259695.1,PI4K2B,Drosophila_melanogaster,NP_730944.2,PI4KIIALPHA,1.53E-135,481,1.56E-135,481
Astyanax_pachon,KAG9259695.1,PI4K2B,Drosophila_melanogaster,NP_996154.1,PI4KIIALPHA,1.53E-135,481,1.56E-135,481
Astyanax_pachon,KAG9259696.1,HGSNAT,Drosophila_melanogaster,NP_001284872.1,HGSNAT,7.74E-88,323,4.62E-88,323
Astyanax_pachon,KAG9259696.1,HGSNAT,Drosophila_melanogaster,NP_572198.1,HGSNAT,7.74E-88,323,4.62E-88,323
Astyanax_pachon,KAG9259712.1,RBPJ,Drosophila_melanogaster,NP_001285948.1,SU(H),1.45E-209,727,1.15E-209,727
Astyanax_pachon,KAG9259712.1,RBPJ,Drosophila_melanogaster,NP_476868.1,SU(H),1.45E-209,727,1.15E-209,727
Astyanax_pachon,KAG9259715.1,CHIC2,Drosophila_melanogaster,NP_001097947.2,CG5938,1.32E-58,224,8.54E-59,224
Astyanax_pachon,KAG9259715.1,CHIC2,Drosophila_melanogaster,NP_651553.2,CG5938,1.32E-58,224,8.54E-59,224
Astyanax_pachon,KAG9259715.1,CHIC2,Drosophila_melanogaster,NP_733210.1,CG5938,1.32E-58,224,8.54E-59,224
Astyanax_pachon,KAG9259715.1,CHIC2,Drosophila_melanogaster,NP_733211.1,CG5938,1.32E-58,224,8.54E-59,224
Astyanax_pachon,KAG9259715.1,CHIC2,Drosophila_melanogaster,NP_733212.1,CG5938,1.32E-58,224,8.54E-59,224
Astyanax_pachon,KAG9259716.1,TSPAN5,Drosophila_melanogaster,NP_001245911.1,TSP26A,1.22E-65,248,8.39E-66,248
Astyanax_pachon,KAG9259716.1,TSPAN5,Drosophila_melanogaster,NP_001260119.1,TSP26A,1.25E-62,238,8.53E-63,238
Astyanax_pachon,KAG9259717.1,SLC24A2,Drosophila_melanogaster,NP_723482.1,NCKX30C,3.59E-147,520,3.42E-147,520
Astyanax_pachon,KAG9259717.1,SLC24A2,Drosophila_melanogaster,NP_723483.1,NCKX30C,3.59E-147,520,3.42E-147,520
Astyanax_pachon,KAG9259717.1,SLC24A2,Drosophila_melanogaster,NP_001260296.1,NCKX30C,4.60E-145,513,4.33E-145,513
Astyanax_pachon,KAG9259717.1,SLC24A2,Drosophila_melanogaster,NP_652011.3,NCKX30C,4.60E-145,513,4.50E-145,513
Astyanax_pachon,KAG9259717.1,SLC24A2,Drosophila_melanogaster,NP_001188761.1,NCKX30C,1.18E-142,505,1.14E-142,505
Astyanax_pachon,KAG9259721.1,B4GALT1,Drosophila_melanogaster,NP_610946.1,BETA4GALNACTA,6.87E-62,236,5.00E-62,236
Astyanax_pachon,KAG9259725.1,KAG9259725.1,Drosophila_melanogaster,NP_476866.1,XPAC,1.37E-50,198,1.01E-50,198
Astyanax_pachon,KAG9259732.1,NANS,Drosophila_melanogaster,NP_650195.1,NANS,5.20E-92,336,3.64E-92,336
Astyanax_pachon,KAG9259737.1,CYP4V2,Drosophila_melanogaster,NP_524598.1,CYP4C3,2.73E-131,467,1.92E-131,467
Astyanax_pachon,KAG9259738.1,MTNR1AA,Drosophila_melanogaster,NP_001245534.1,TRE1,1.08E-23,109,8.28E-24,109
Astyanax_pachon,KAG9259738.1,MTNR1AA,Drosophila_melanogaster,NP_524792.1,TRE1,1.08E-23,109,8.28E-24,109
Astyanax_pachon,KAG9259738.1,MTNR1AA,Drosophila_melanogaster,NP_001284901.1,TRE1,8.64E-23,106,6.74E-23,106
Astyanax_pachon,KAG9259740.1,KLHL5,Drosophila_melanogaster,NP_001285046.1,CG17754,8.04E-103,373,4.45E-103,373
Astyanax_pachon,KAG9259740.1,KLHL5,Drosophila_melanogaster,NP_788894.1,CG17754,8.04E-103,373,4.45E-103,373
Astyanax_pachon,KAG9259740.1,KLHL5,Drosophila_melanogaster,NP_001285047.1,CG17754,8.04E-103,373,4.64E-103,373
Astyanax_pachon,KAG9259740.1,KLHL5,Drosophila_melanogaster,NP_572549.2,CG17754,8.04E-103,373,4.66E-103,373
Astyanax_pachon,KAG9259740.1,KLHL5,Drosophila_melanogaster,NP_727331.1,CG17754,8.04E-103,373,4.66E-103,373
