Model_nodos,NCBI_Product_accesion
RREB1,NP_001003699.1
HNRNPD,NP_001003810.1
MED15,NP_001003891.1
FIGLA,NP_001004311.2
RGS10,NP_001005339.1
GPNMB,NP_001005340.1
SUMO1,NP_001005782.1
SUMO2,NP_001005849.1
SIAH1,NP_001006611.1
CR2,NP_001006659.1
NTRK1,NP_001007793.1
HGF,NP_001010932.1
BIRC5,NP_001012270.1
CRMP1,NP_001014809.1
FOLH1,NP_001014986.1
MPG,NP_001015052.1
PAPSS2,NP_001015880.1
PAEP,NP_001018059.1
NR3C1,NP_001018661.1
RUNX2,NP_001019801.3
CYP2D6,NP_001020332.2
IFITM5,NP_001020466.1
CYP11B1,NP_001021384.1
RRM1,NP_001024.1
PCLAF,NP_001025160.1
TP53BP2,NP_001026855.2
TMPO,NP_001027454.1
DNAAF4,NP_001028732.1
VEGFA,NP_001028928.1
RPL3,NP_001029025.1
SHBG,NP_001031.2
SI,NP_001032.2
SCD5,NP_001032671.2
BTF3,NP_001032726.1
SLC2A4,NP_001033.1
ALAS2,NP_001033057.1
SLC22A10,NP_001034841.3
GPX4,NP_001034936.1
SLC6A3,NP_001035.1
SPP1,NP_001035147.1
MUC17,NP_001035194.1
TFAP2A,NP_001035890.1
NUPR1,NP_001035948.1
NF1,NP_001035957.1
SLC6A4,NP_001036.1
ERBB4,NP_001036064.1
RHOC,NP_001036143.1
SSTR1,NP_001040.1
SSTR2,NP_001041.1
RCC1,NP_001041659.1
TF,NP_001054.2
TOP2A,NP_001058.2
TYMS,NP_001062.1
UGT1A6,NP_001063.2
UGT2B7,NP_001065.2
UGT2B15,NP_001067.2
UGT2B17,NP_001068.1
VCAM1,NP_001069.1
UBTF,NP_001070152.1
NCOR2,NP_001070729.2
IRF2BP2,NP_001070865.1
NR1I3,NP_001070943.1
KLK10,NP_001070968.1
TCF19,NP_001070979.1
TBX20,NP_001071121.1
XBP1,NP_001073007.1
NKX2-1,NP_001073136.1
PRNP,NP_001073590.1
CASP8,NP_001073594.1
SP100,NP_001073860.1
TBX18,NP_001073977.1
PDE5A,NP_001074.2
DGKG,NP_001074214.1
PLAGL1,NP_001074420.1
LILRB2,NP_001074447.2
DEFB103A,NP_001075020.1
PRF1,NP_001076585.1
GP6,NP_001077368.2
ABCA3,NP_001080.2
TXNRD1,NP_001087240.1
ACR,NP_001088.2
ACTA1,NP_001091.1
ANG,NP_001091046.1
FUT2,NP_001091107.1
FUT3,NP_001091108.3
GJB1,NP_001091111.1
HIC1,NP_001091672.1
HRH1,NP_001091681.1
CRTC1,NP_001091952.1
HTATIP2,NP_001091990.1
PTMA,NP_001092755.1
LRRN3,NP_001093130.1
TGFA,NP_001093161.1
ICAM2,NP_001093256.1
CCR5,NP_001093638.1
DROSHA,NP_001093882.1
CABLES1,NP_001094089.1
RGS4,NP_001095915.1
ADH6,NP_001095940.1
NTF3,NP_001096124.1
CORO1C,NP_001098707.1
MYBBP1A,NP_001099008.1
MAPK3,NP_001103361.1
MECP2,NP_001104262.1
CCNA1,NP_001104516.1
NHLH2,NP_001104531.1
EZR,NP_001104547.1
ECE1,NP_001106819.1
TYMP,NP_001107227.1
ELF3,NP_001107781.1
FOXP3,NP_001107849.1
ENG,NP_001108225.1
LIN54,NP_001108479.1
PLIN2,NP_001113.2
ADM,NP_001115.1
SET,NP_001116293.1
CCR2,NP_001116513.2
HDGF,NP_001119522.1
HP,NP_001119574.1
GINS3,NP_001119601.1
CNBP,NP_001120668.1
ELF4,NP_001120669.1
GFI1,NP_001120687.1
BBC3,NP_001120714.1
CBX5,NP_001120793.1
CDCA7L,NP_001120843.1
CRY2,NP_001120929.1
IGF2,NP_001121070.1
MFN2,NP_001121132.1
PSIP1,NP_001121689.1
CRISP1,NP_001122.2
RASGRP1,NP_001122074.1
CYP24A1,NP_001122387.1
GSPT1,NP_001123478.2
PLD1,NP_001123553.1
MYB,NP_001123645.1
HRAS,NP_001123914.1
LEF1,NP_001124186.1
ERVW-1,NP_001124397.1
FABP6,NP_001124430.1
HYOU1,NP_001124463.1
AFP,NP_001125.1
EIF2AK1,NP_001127807.1
SLC6A6,NP_001127839.2
DEK,NP_001128181.1
BCL6,NP_001124317.1
JDP2,NP_001128521.1
SLC39A8,NP_001128619.1
TGFB2,NP_001129071.1
PRDM2,NP_001129082.1
EIF2AK2,NP_001129124.1
PENK,NP_001129162.1
ECD,NP_001129225.1
FDPS,NP_001129293.1
SMAD2,NP_001129409.1
FCGRT,NP_001129491.1
NFE2,NP_001129495.1
APP,NP_001129601.1
MFSD2A,NP_001129965.1
ALOX15,NP_001131.3
LRRFIP1,NP_001131022.1
ALOX15B,NP_001132.2
TBL1X,NP_001132938.1
DAXX,NP_001135442.1
SPART,NP_001135766.1
HMMR,NP_001136028.1
P4HA1,NP_001136068.1
HES6,NP_001136325.1
SGK1,NP_001137148.1
SERPINB2,NP_001137290.1
NOX4,NP_001137308.2
L1CAM,NP_001137435.1
DST,NP_001138241.1
SCAI,NP_001138349.1
EDEM2,NP_001138497.1
NELL2,NP_001138582.1
CPT1B,NP_001138606.1
CRHR1,NP_001138618.1
NR2F2,NP_001138627.1
NCOA4,NP_001138733.1
OPRM1,NP_001138753.1
RARA,NP_001138773.1
CDK6,NP_001138778.1
ETV3,NP_001138784.1
ELF1,NP_001138825.1
SIN3A,NP_001138829.1
ALKBH2,NP_001138846.1
TEF,NP_001138870.1
NONO,NP_001138880.1
LSS,NP_001138908.1
STMN1,NP_001138926.1
NFIA,NP_001138983.1
GATA2,NP_001139134.1
HOMER3,NP_001139196.1
ITGAM,NP_001139280.1
SH3BP2,NP_001139327.1
MKI67,NP_001139438.1
PEG3,NP_001139656.1
MYOCD,NP_001139784.1
KDM4C,NP_001140168.1
ANPEP,NP_001141.2
HDAC10,NP_001152758.1
SCNN1A,NP_001153047.1
FHL1,NP_001153173.1
LTA,NP_001153212.1
EBNA1BP2,NP_001153408.1
KLF6,NP_001153596.1
NAT1,NP_001153647.1
SHOX2,NP_001157150.1
DISC1,NP_001158009.1
PTAFR,NP_001158193.1
RBMX,NP_001158275.1
LDHA,NP_001158886.1
RRM2,NP_001159403.1
HSD3B2,NP_001159592.1
HPSE2,NP_001159717.1
CHST4,NP_001159867.1
CHRNA3,NP_001160166.1
AMACR,NP_001161067.1
GM2A,NP_001161079.1
TFEB,NP_001161299.2
ABL2,NP_001161710.1
CITED2,NP_001161861.2
BEX2,NP_001161872.1
ABCC6,NP_001162.5
ARG2,NP_001163.1
PLB1,NP_001164056.1
BCAR1,NP_001164186.1
SRPX,NP_001164221.1
ISYNA1,NP_001164409.1
ZEB2,NP_001165124.1
PPARD,NP_001165290.1
PEG10,NP_001165908.1
RRM2B,NP_001165949.1
MYD88,NP_001166038.2
SP3,NP_001166183.1
ZNF300,NP_001166302.1
TFCP2,NP_001166924.1
PDHA1,NP_001166925.1
NLRP2,NP_001167552.1
NCOA3,NP_001167559.1
ZEB1,NP_001167567.1
CD14,NP_001167575.1
CCK,NP_001167609.1
LMX1B,NP_001167617.1
RRAS2,NP_001170785.1
ATXN7,NP_001170858.1
MICA,NP_001170990.1
ADIPOQ,NP_001171271.1
DBI,NP_001171514.1
TAC3,NP_001171525.1
CASR,NP_001171536.2
CD19,NP_001171569.1
CEACAM1,NP_001171742.1
PSG1,NP_001171755.1
GRIN1,NP_001172019.1
INS,NP_001172026.1
BACH1,NP_001177.1
GCSAM,NP_001177189.1
GDNF,NP_001177398.1
COL11A1,NP_001177638.1
NCF2,NP_001177718.1
SMAD7,NP_001177750.1
SLC13A3,NP_001180268.1
MEF2C,NP_001180277.1
TERT,NP_001180305.1
CSRP1,NP_001180499.1
DDIT3,NP_001181982.1
BCL2L1,NP_001182.1
MLLT10,NP_001182555.1
TNFRSF17,NP_001183.2
GCLC,NP_001184044.1
DPYSL2,NP_001184222.1
POLE2,NP_001184259.1
HCN2,NP_001185.3
RUNX1T1,NP_001185562.1
LRBA,NP_001186211.2
BRD2,NP_001186384.1
PDCD2,NP_001186391.1
CRABP2,NP_001186652.1
CTSS,NP_001186668.1
SPRR1A,NP_001186757.1
HPSE,NP_001186759.1
ANGPT1,NP_001186788.1
PMEL,NP_001186982.1
PLRG1,NP_001188493.1
PRDM1,NP_001189.2
MIA,NP_001189482.1
CYP3A4,NP_001189784.1
SLC25A27,NP_001190981.1
BMP2,NP_001191.1
SCARB2,NP_001191184.1
MUC1,NP_001191219.1
GC,NP_001191236.1
ALOX5AP,NP_001191335.1
PSG7,NP_001193579.1
ASPM,NP_001193775.1
AGER,NP_001193861.1
ETV7,NP_001193968.1
KLF9,NP_001197.1
BUB1B,NP_001202.5
C1QBP,NP_001203.1
CA9,NP_001207.2
CDH13,NP_001207417.1
CCNA2,NP_001228.2
CCNE1,NP_001229.1
PDE7A,NP_001229247.1
GHR,NP_001229328.1
FBXO32,NP_001229392.1
NCAM1,NP_001229536.1
DDC,NP_001229817.2
PLTP,NP_001229849.1
HLA-C,NP_001229971.1
ALDOA,NP_001230106.1
PIM1,NP_001230115.1
HIP1,NP_001230127.1
TCF4,NP_001230155.2
PRG2,NP_001230174.1
ERG,NP_001230361.1
LMO3,NP_001230541.1
VEGFB,NP_001230662.1
POMGNT1,NP_001230695.2
TSC22D1,NP_001230728.1
TOB1,NP_001230806.1
HBP1,NP_001231191.1
ARG1,NP_001231367.1
POU2F3,NP_001231611.1
ZFP36L1,NP_001231630.1
FOXP1,NP_001231741.1
CLEC4G,NP_001231785.1
DAB2,NP_001231800.1
TXN,NP_001231867.1
TRPC1,NP_001238774.1
NR1H3,NP_001238863.1
TRPM1,NP_001238949.1
CEBPG,NP_001239225.1
URI1,NP_001239570.1
TBPL1,NP_001240605.1
AKR1C3,NP_001240837.1
RND3,NP_001241667.1
CD68,NP_001242.2
ETS2,NP_001243224.1
HPGD,NP_001243235.1
NKX3-1,NP_001243268.1
PCYT2,NP_001243362.1
NEIL1,NP_001243481.1
CHRNB4,NP_001243496.1
CDC5L,NP_001244.1
ATP5F1A,NP_001244263.1
FDXR,NP_001244943.2
NFATC2,NP_001245221.1
CDC20,NP_001246.2
RDX,NP_001247425.1
P2RX4,NP_001248327.1
LPIN1,NP_001248357.1
BABAM2,NP_001248769.1
RTN3,NP_001252520.1
CASP7,NP_001253986.1
PHB2,NP_001254629.1
CTCFL,NP_001255972.1
CDX2,NP_001256.4
CES1,NP_001257.4
LMO1,NP_001257357.1
TBXT,NP_001257413.1
MED23,NP_001257450.1
MEAF6,NP_001257805.1
LTBR,NP_001257916.1
TFPI2,NP_001257932.1
FCGR3B,NP_001257964.2
MAX,NP_001257998.1
CSNK1A1,NP_001258670.1
PSMD6,NP_001258709.1
NOX1,NP_001258744.1
PPP2R2B,NP_001258828.1
MAZ,NP_001263204.1
USF1,NP_001263302.1
CXCL12,NP_001264919.1
CASP9,NP_001264983.1
ADORA2A,NP_001265426.1
PDK1,NP_001265478.1
NFATC1,NP_001265598.1
CCL5,NP_001265665.1
PAX5,NP_001267479.1
MAP2K4,NP_001268364.1
CYSLTR1,NP_001269115.1
SIGMAR1,NP_001269134.1
NDRG2,NP_001269140.1
ABCB8,NP_001269222.1
BARD1,NP_001269477.1
STIP1,NP_001269581.1
PDIA6,NP_001269634.1
RSPO2,NP_001269792.1
SMARCA1,NP_001269804.1
TRPS1,NP_001269831.1
MX1,NP_001269849.1
GUSB,NP_001271219.1
SLC9A3,NP_001271280.1
NQO1,NP_001273066.1
DACT2,NP_001273280.1
ITGAX,NP_001273304.1
CENPW,NP_001273453.1
ANAPC4,NP_001273685.1
PTTG1IP,NP_001273751.1
BTK,NP_001274273.1
CEBPA,NP_001274353.1
CDC25B,NP_001274445.1
FDFT1,NP_001274671.1
ADAM12,NP_001275902.1
GAPDH,NP_001276674.1
RARB,NP_001277145.1
ESR1,NP_001278159.1
PCSK6,NP_001278238.1
BAX,NP_001278357.1
SALL2,NP_001278375.1
CYFIP2,NP_001278651.1
RBM38,NP_001278709.1
FAP,NP_001278736.1
GUCY1B1,NP_001278880.1
NRF1,NP_001280092.1
MYCN,NP_001280160.1
DEAF1,NP_001280563.1
CA12,NP_001280571.1
MYBL1,NP_001281211.1
CHD4,NP_001284482.1
UGT2B4,NP_001284545.1
ETNK2,NP_001284691.1
CCR1,NP_001286.1
RASGEF1B,NP_001287664.1
FOSL1,NP_001287786.1
EMSY,NP_001287871.1
TRIB3,NP_001288130.1
ABCC4,NP_001288758.1
KLF13,NP_001289390.1
NLRC4,NP_001289433.1
APOE,NP_001289617.1
PKP3,NP_001289958.1
HIP1R,NP_001290028.1
ACLY,NP_001290204.1
PIK3R3,NP_001290357.1
HNF1B,NP_001291215.1
MUC5AC,NP_001291288.1
ALAS1,NP_001291373.1
PAX2,NP_001291498.1
PTEN,NP_001291646.4
FMN2,NP_001292353.1
SLBP,NP_001293004.1
TGFBR1,NP_001293139.1
CPD,NP_001295.2
EGLN3,NP_001295032.1
IL2RA,NP_001295172.1
POLD1,NP_001295561.1
EPHB2,NP_001296122.1
SPARC,NP_001296373.1
CLDN3,NP_001297.1
SHH,NP_001297391.1
CLDN7,NP_001298.3
NFE2L2,NP_001300832.1
RHOA,NP_001300873.1
AURKB,NP_001300882.1
PLOD1,NP_001303249.1
PTH,NP_001303281.1
DNAJB4,NP_001304029.1
SNF8,NP_001304122.1
SALL4,NP_001304960.1
SNCB,NP_001304963.1
AQP3,NP_001305073.1
TSC2,NP_001305761.1
SNW1,NP_001305773.1
FABP7,NP_001305971.1
CYP1A1,NP_001306145.1
SLC19A2,NP_001306596.1
ADAM10,NP_001307499.1
ICAM3,NP_001307534.1
KPNA2,NP_001307540.1
S1PR1,NP_001307659.1
STS,NP_001307679.1
ORMDL3,NP_001307731.1
CDK1,NP_001307847.1
IL1R1,NP_001307907.1
CTBP2,NP_001307941.1
AKR1C2,NP_001307956.1
SIRT6,NP_001307988.1
CSH1,NP_001308.1
DLG4,NP_001308003.1
LTF,NP_001308051.1
NAB1,NP_001308242.1
PTN,NP_001308316.1
PLAA,NP_001308475.1
ZNF224,NP_001308574.1
NCOA2,NP_001308640.1
HTRA2,NP_001308656.1
RAD51B,NP_001308747.1
JAK1,NP_001308786.1
HDAC9,NP_001308797.1
ACP5,NP_001308952.1
ADA,NP_001308980.1
CNOT7,NP_001309023.1
DCT,NP_001309115.1
JAK2,NP_001309124.1
FHL5,NP_001309395.1
MUC4,NP_001309397.1
GSS,NP_001309423.1
ADRA1A,NP_001309432.1
IDE,NP_001309723.1
SOD2,NP_001309743.1
SATB1,NP_001309801.1
SNAP25,NP_001309831.1
NFKB2,NP_001309863.1
FRMD5,NP_001309880.1
OAT,NP_001309900.1
PCBD1,NP_001309933.1
MAPK8,NP_001310258.1
CDO1,NP_001310495.1
RBL2,NP_001310537.1
GABPB2,NP_001310835.1
CSNK2B,NP_001311.3
KLF8,NP_001311033.1
CYP7B1,NP_001311041.1
ZBTB17,NP_001311067.1
HMGCS1,NP_001311151.1
P2RY10,NP_001311154.1
CD2,NP_001315538.1
HSD3B1,NP_001315544.1
IAPP,NP_001316130.1
VMP1,NP_001316324.1
GPX1,NP_001316384.1
SERPINF1,NP_001316832.1
TGFB3,NP_001316868.1
TP63,NP_001316893.1
NRXN1,NP_001317025.1
HSD17B1,NP_001317148.1
CD70,NP_001317261.1
AICDA,NP_001317272.1
MTA3,NP_001317371.1
PREB,NP_001317414.1
AKT2,NP_001317440.1
ZIC3,NP_001317590.1
PPARGC1A,NP_001317681.1
CTBP1,NP_001319.1
CTSV,NP_001324.2
ZNF383,NP_001332877.1
IL2RB,NP_001333151.1
SF1,NP_001333293.1
LCOR,NP_001333445.1
TK1,NP_001333592.1
CBX7,NP_001333673.1
TPMT,NP_001333747.1
IFNL3,NP_001333866.1
ITGB3BP,NP_001334074.1
CYP19A1,NP_001334177.1
A2M,NP_001334352.2
PDGFRA,NP_001334759.1
BMP4,NP_001334841.1
IRF5,NP_001334857.1
TRIM16,NP_001335050.1
ABCG4,NP_001335120.1
WWTR1,NP_001335291.1
ST3GAL4,NP_001335325.1
ZNF148,NP_001335363.1
ABCB1,NP_001335874.1
ABCG2,NP_001335916.1
RNF144A,NP_001336110.1
ATG7,NP_001336164.1
ERAP1,NP_001336173.1
SNRPN,NP_001336391.1
CSF1R,NP_001336665.1
RASGRP3,NP_001336905.1
SUPT3H,NP_001337254.1
SMUG1,NP_001338169.1
CARD8,NP_001338712.1
ATM,NP_001338763.1
ASNS,NP_001339425.1
XAF1,NP_001340064.1
BCAS3,NP_001340073.1
ST6GAL1,NP_001340845.1
KDM5C,NP_001340911.1
FGFR1,NP_001341299.1
FHIT,NP_001341519.1
GSK3B,NP_001341525.1
MITF,NP_001341533.1
OXTR,NP_001341585.1
XPC,NP_001341658.1
PAWR,NP_001341661.1
ZBTB16,NP_001341679.1
CASP3,NP_001341706.1
GCK,NP_001341729.1
FGFR3,NP_001341739.1
SMAD1,NP_001341740.1
NR3C2,NP_001341748.1
IRF1,NP_001341853.1
FGF1,NP_001341887.1
DDR2,NP_001341911.1
FGFR4,NP_001341913.1
DBP,NP_001343.2
LGALS3,NP_001344607.1
CD24,NP_001346013.1
DHX9,NP_001348.2
CDKN1C,NP_001349404.1
CSNK2A1,NP_001349700.1
UPP1,NP_001349703.1
PPARA,NP_001349802.1
SMARCB1,NP_001349806.1
GDAP1,NP_001349860.1
PBK,NP_001349969.1
MTDH,NP_001350066.1
REST,NP_001350382.1
KCTD11,NP_001350571.1
TINF2,NP_001350597.1
MSR1,NP_001350673.1
AXIN2,NP_001350742.1
DUX4,NP_001350749.1
ST3GAL5,NP_001350776.1
TOPBP1,NP_001350818.1
FTO,NP_001350820.1
IRF8,NP_001350836.1
CD74,NP_001351012.1
VDR,NP_001351014.1
BAALC,NP_001351803.1
SMPD1,NP_001352064.1
NFIX,NP_001352831.1
MSL1,NP_001352848.1
PAX4,NP_001353040.1
DLG1,NP_001353148.1
KHSRP,NP_001353229.1
MCM3,NP_001353304.1
SETDB1,NP_001353347.1
MECOM,NP_001353402.1
ATF7,NP_001353490.1
CALB1,NP_001353724.1
SFTPB,NP_001354210.1
MEF2B,NP_001354211.1
HAP1,NP_001354391.1
SOX6,NP_001354801.1
ACHE,NP_001354848.1
TCF7L2,NP_001354872.1
SCARB1,NP_001354916.1
CRYAB,NP_001355174.1
PAX6,NP_001355840.1
ACAN,NP_001356197.1
ETV4,NP_001356296.1
ERCC1,NP_001356346.1
NFIB,NP_001356391.1
LMO4,NP_001356420.1
IL32,NP_001356517.1
PCGF2,NP_001356543.1
ZMYND11,NP_001357045.1
CD163,NP_001357075.1
SYTL4,NP_001357098.1
RAP1A,NP_001357145.1
RFXANK,NP_001357167.1
MEN1,NP_001357191.2
SIRT3,NP_001357245.1
HMGB1,NP_001357269.1
ETV1,NP_001357485.1
CD36,NP_001358003.1
HSP90AB1,NP_001358167.1
GLI2,NP_001358200.1
MMRN1,NP_001358332.1
PROM1,NP_001358337.1
CREB1,NP_001358355.1
MGAT5,NP_001358386.1
GGPS1,NP_001358407.1
IL1A,NP_001358483.1
CD1D,NP_001358691.1
APOA5,NP_001358833.1
GFI1B,NP_001358837.1
CCL26,NP_001358867.1
THY1,NP_001358979.1
KCNN2,NP_001359162.1
IL12RB2,NP_001361188.1
FHL2,NP_001361328.1
CDKN1A,NP_001361439.1
THRB,NP_001361756.1
NDRG1,NP_001361775.1
CFI,NP_001362211.1
ADIPOR2,NP_001362292.1
SPRY1,NP_001362339.1
TRRAP,NP_001362453.1
MAP2,NP_001362466.1
NTRK3,NP_001362741.1
ZNF24,NP_001362744.1
FUBP1,NP_001362985.1
HESX1,NP_001362988.1
PAK1,NP_001363217.1
SNAP91,NP_001363669.1
DENND4A,NP_001363848.1
AHRR,NP_001364168.1
PER3,NP_001364204.1
L3MBTL1,NP_001364235.1
DOCK1,NP_001364473.1
EHF,NP_001364982.1
UMOD,NP_001365161.1
B4GALT1,NP_001365426.1
ATP2C1,NP_001365440.1
XIAP,NP_001365519.1
FCGR1A,NP_001365733.1
SOCS3,NP_001365861.1
DNASE2,NP_001366.1
CSF2RA,NP_001366092.1
ZNF423,NP_001366215.1
BRD4,NP_001366220.1
KRT10,NP_001366295.1
RFX5,NP_001366349.1
COL18A1,NP_001366429.1
BDKRB2,NP_001366621.1
CR1,NP_001368780.1
ACSL1,NP_001368819.1
THBS2,NP_001368868.1
UCP2,NP_001368879.1
FSHB,NP_001369218.1
TMEM71,NP_001369325.1
AKT1,NP_001369359.1
ERO1A,NP_001369403.1
TCERG1,NP_001369477.1
STIM1,NP_001369497.1
PMAIP1,NP_001369546.1
FURIN,NP_001369549.1
POR,NP_001369584.2
CRP,NP_001369632.1
DES,NP_001369641.1
TMPRSS2,NP_001369649.1
AGTR1,NP_001369665.1
CTSL,NP_001369686.1
AGT,NP_001369746.2
DNMT1,NP_001370.1
HFE,NP_001371093.1
IFNAR1,NP_001371427.1
SERPINA3,NP_001371602.1
MAP4,NP_001371610.1
CTSB,NP_001371654.1
STAT1,NP_001371813.1
STAT3,NP_001371914.1
DAPK2,NP_001371926.1
ZNF217,NP_001371963.1
DOK1,NP_001372.1
STAT2,NP_001372039.1
TYK2,NP_001372134.1
PTP4A1,NP_001372194.1
KIT,NP_001372213.1
TDRD1,NP_001372294.1
IRF9,NP_001372329.1
SAA2,NP_001372596.1
TICAM1,NP_001372607.1
RETN,NP_001372655.1
CSN2,NP_001372660.1
BDKRB1,NP_001372936.1
ACE2,NP_001373188.1
CIC,NP_001373227.1
SERPINC1,NP_001373232.1
ANGPT2,NP_001373264.1
SERPINE1,NP_001373388.1
ACAT1,NP_001373606.1
FCER1A,NP_001374209.1
SMARCA4,NP_001374212.1
GAS2,NP_001378862.1
MST1,NP_001380513.1
POU2F2,NP_001380865.1
CCAR2,NP_001380926.1
FCGR2B,NP_001381406.1
CCR6,NP_001381511.1
ILF3,NP_001381738.1
EHMT2,NP_001382094.1
IDO2,NP_001382135.1
PDGFA,NP_001382294.1
PLA2G2A,NP_001382392.1
