,Ast,a,a2,Mus,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
16940,Astyanax_pachon,KAG9268133.1,ABRAXAS2,Mus_musculus,NP_932134.3,ABRAXAS2,4.14e-116,418.0,8.59e-117,418.0
21025,Astyanax_pachon,KAG9270068.1,ABT1,Mus_musculus,NP_038952.1,ABT1,1.9499999999999997e-52,206.0,3.59e-53,206.0
20980,Astyanax_pachon,KAG9270042.1,ABTB1,Mus_musculus,NP_084527.2,ABTB1,1.5800000000000002e-195,682.0,3.2699999999999997e-196,682.0
42574,Astyanax_pachon,KAG9281136.1,ABTB2,Mus_musculus,NP_849221.2,ABTB2,0.0,1329.0,0.0,1329.0
46520,Astyanax_pachon,KAG9283301.1,ACAA1A,Mus_musculus,NP_001408349.1,ACAA1A,3.28e-174,611.0,6.84e-175,611.0
20779,Astyanax_pachon,KAG9269961.1,ACAA2,Mus_musculus,NP_803421.1,ACAA2,1.63e-174,612.0,3.2e-175,612.0
43877,Astyanax_pachon,KAG9281984.1,ACACA,Mus_musculus,NP_579938.2,ACACA,0.0,4112.0,0.0,4112.0
3932,Astyanax_pachon,KAG9261557.1,ACACB,Mus_musculus,NP_598665.2,ACACB,0.0,3508.0,0.0,3508.0
4044,Astyanax_pachon,KAG9261668.1,ACAD10,Mus_musculus,NP_082313.2,ACAD10,2.14e-133,476.0,7.51e-134,476.0
11047,Astyanax_pachon,KAG9265399.1,ACAD8,Mus_musculus,NP_080138.2,ACAD8,1.8599999999999999e-187,655.0,3.7899999999999994e-188,655.0
2456,Astyanax_pachon,KAG9260784.1,ACAD9,Mus_musculus,NP_766266.3,ACAD9,1.35e-249,862.0,2.7899999999999996e-250,862.0
27969,Astyanax_pachon,KAG9273471.1,ACADL,Mus_musculus,NP_031407.2,ACADL,3.21e-183,641.0,6.46e-184,641.0
9643,Astyanax_pachon,KAG9264719.1,ACADM,Mus_musculus,NP_031408.1,ACADM,4.3699999999999997e-197,687.0,8.990000000000001e-198,687.0
6145,Astyanax_pachon,KAG9262939.1,ACADS,Mus_musculus,NP_031409.2,ACADS,8.32e-169,593.0,1.7400000000000002e-169,593.0
15541,Astyanax_pachon,KAG9267510.1,ACADSB,Mus_musculus,NP_080102.1,ACADSB,1.81e-165,582.0,3.7400000000000003e-166,582.0
29508,Astyanax_pachon,KAG9274413.1,ACADVL,Mus_musculus,NP_059062.1,ACADVL,1.8899999999999998e-250,865.0,3.6500000000000004e-251,865.0
2539,Astyanax_pachon,KAG9260828.1,ACAN,Mus_musculus,NP_001348429.1,ACAN,6.31e-227,788.0,1.83e-227,788.0
29510,Astyanax_pachon,KAG9274420.1,ACAP1,Mus_musculus,NP_722483.2,ACAP1,3.32e-218,758.0,6.69e-219,758.0
14250,Astyanax_pachon,KAG9266921.1,ACAP2,Mus_musculus,XP_006522810.1,ACAP2,0.0,1135.0,0.0,1135.0
1903,Astyanax_pachon,KAG9260555.1,ACAP3,Mus_musculus,NP_997106.1,ACAP3,0.0,1163.0,0.0,1163.0
6558,Astyanax_pachon,KAG9263112.1,ACAT1,Mus_musculus,NP_659033.1,ACAT1,1.5599999999999999e-180,632.0,3.26e-181,632.0
45632,Astyanax_pachon,KAG9282919.1,ACAT2,Mus_musculus,NP_001397206.1,ACAT3,5.31e-164,577.0,1.1000000000000001e-164,577.0
45637,Astyanax_pachon,KAG9282923.1,ACBD3,Mus_musculus,NP_573488.2,ACBD3,1.28e-147,523.0,2.62e-148,523.0
34027,Astyanax_pachon,KAG9276764.1,ACBD5A,Mus_musculus,NP_001095908.1,ACBD5,3.1099999999999997e-89,329.0,6.369999999999999e-90,329.0
21276,Astyanax_pachon,KAG9270182.1,ACBD6,Mus_musculus,NP_082526.2,ACBD6,1.61e-55,216.0,3.6700000000000004e-56,216.0
47165,Astyanax_pachon,KAG9283633.1,ACBD7,Mus_musculus,NP_084339.1,ACBD7,8.800000000000001e-27,119.0,1.8100000000000002e-27,119.0
15227,Astyanax_pachon,KAG9267326.1,ACE,Mus_musculus,NP_997507.1,ACE,0.0,1764.0,0.0,1764.0
3003,Astyanax_pachon,KAG9261029.1,ACE2,Mus_musculus,NP_001123985.1,ACE2,2.5599999999999998e-288,991.0,5.27e-289,991.0
21080,Astyanax_pachon,KAG9270085.1,ACER1,Mus_musculus,NP_783858.1,ACER1,3.06e-76,285.0,6.02e-77,285.0
29165,Astyanax_pachon,KAG9274215.1,ACER2,Mus_musculus,NP_647467.1,ACER2,4.67e-134,477.0,9.659999999999999e-135,477.0
6557,Astyanax_pachon,KAG9263103.1,ACER3,Mus_musculus,NP_079684.2,ACER3,2.68e-113,408.0,5.54e-114,408.0
29233,Astyanax_pachon,KAG9274266.1,ACHE,Mus_musculus,NP_001276939.1,ACHE,1.0500000000000001e-223,776.0,2.12e-224,776.0
29548,Astyanax_pachon,KAG9274464.1,ACIN1,Mus_musculus,XP_006519359.1,ACIN1,9.13e-105,382.0,1.86e-105,382.0
36529,Astyanax_pachon,KAG9277923.1,ACKR3,Mus_musculus,NP_001258536.1,ACKR3,8.98e-117,420.0,1.8300000000000002e-117,420.0
28810,Astyanax_pachon,KAG9273988.1,ACKR4,Mus_musculus,NP_663746.2,ACKR4,4.75e-80,298.0,9.42e-81,298.0
8759,Astyanax_pachon,KAG9264241.1,ACLY,Mus_musculus,NP_598798.1,ACLY,0.0,1951.0,0.0,1951.0
23467,Astyanax_pachon,KAG9271253.1,ACMSD,Mus_musculus,NP_001028213.1,ACMSD,5.64e-165,580.0,1.16e-165,580.0
29166,Astyanax_pachon,KAG9274218.1,ACO1,Mus_musculus,NP_001406881.1,ACO1,0.0,1509.0,0.0,1509.0
15748,Astyanax_pachon,KAG9267633.1,ACO2,Mus_musculus,NP_542364.1,ACO2,0.0,1334.0,0.0,1334.0
23789,Astyanax_pachon,KAG9271417.1,ACOD1,Mus_musculus,NP_032418.1,ACOD1,3.74e-155,548.0,7.26e-156,548.0
21122,Astyanax_pachon,KAG9270111.1,ACOT11,Mus_musculus,XP_011238858.1,ACOT11,9.439999999999999e-199,693.0,1.93e-199,693.0
39373,Astyanax_pachon,KAG9279735.1,ACOT13,Mus_musculus,NP_080066.1,ACOT13,2.92e-51,201.0,5.969999999999999e-52,201.0
45828,Astyanax_pachon,KAG9283005.1,ACOT2,Mus_musculus,NP_001333630.1,ACOT3,4.31e-113,408.0,8.73e-114,408.0
45834,Astyanax_pachon,KAG9283006.1,ACOT3,Mus_musculus,NP_001333630.1,ACOT3,1.06e-116,420.0,2.13e-117,420.0
1428,Astyanax_pachon,KAG9260292.1,ACOT8,Mus_musculus,NP_573503.2,ACOT8,1.98e-126,452.0,3.77e-127,452.0
46644,Astyanax_pachon,KAG9283355.1,ACOT9,Mus_musculus,NP_062710.2,ACOT9,1.31e-148,526.0,2.74e-149,526.0
35484,Astyanax_pachon,KAG9277452.1,ACOX1,Mus_musculus,NP_056544.2,ACOX1,3.68e-275,947.0,7.62e-276,947.0
29414,Astyanax_pachon,KAG9274352.1,ACOX3,Mus_musculus,NP_001343947.1,ACOX3,8.91e-260,896.0,1.82e-260,896.0
30442,Astyanax_pachon,KAG9275009.1,ACOXL,Mus_musculus,XP_006500336.1,ACOXL,8.15e-232,803.0,1.68e-232,803.0
20539,Astyanax_pachon,KAG9269829.1,ACP1,Mus_musculus,NP_001103709.1,ACP1,2.9e-66,251.0,5.98e-67,251.0
2934,Astyanax_pachon,KAG9260991.1,ACP2,Mus_musculus,NP_031413.1,ACP2,5.56e-120,431.0,1.05e-120,431.0
35339,Astyanax_pachon,KAG9277353.1,ACP5,Mus_musculus,NP_001095874.1,ACP5,1.76e-107,389.0,3.55e-108,389.0
23001,Astyanax_pachon,KAG9271024.1,ACP6,Mus_musculus,NP_062774.2,ACP6,5.02e-95,348.0,9.99e-96,348.0
17002,Astyanax_pachon,KAG9268176.1,ACP7,Mus_musculus,NP_780528.2,ACP7,1.66e-149,529.0,3.42e-150,529.0
20400,Astyanax_pachon,KAG9269772.1,ACR,Mus_musculus,NP_038483.1,ACR,1.05e-46,187.0,3.05e-47,187.0
42274,Astyanax_pachon,KAG9281005.1,ACSBG1,Mus_musculus,NP_444408.1,ACSBG1,1.99e-244,845.0,4.2100000000000005e-245,845.0
21078,Astyanax_pachon,KAG9270083.1,ACSBG2,Mus_musculus,NP_001034203.1,ACSBG2,5.47e-211,734.0,1.0100000000000001e-211,734.0
16379,Astyanax_pachon,KAG9267942.1,ACSF2,Mus_musculus,NP_722502.1,ACSF2,1.6e-194,679.0,3.3600000000000002e-195,679.0
3407,Astyanax_pachon,KAG9261256.1,ACSF3,Mus_musculus,NP_659181.2,ACSF3,3.03e-194,678.0,6.37e-195,678.0
365,Astyanax_pachon,KAG9259686.1,ACSL1,Mus_musculus,NP_001289092.1,ACSL1,0.0,1032.0,0.0,1032.0
37309,Astyanax_pachon,KAG9278595.1,ACSL3,Mus_musculus,NP_001028778.2,ACSL3,0.0,1065.0,0.0,1065.0
25966,Astyanax_pachon,KAG9272539.1,ACSL4,Mus_musculus,NP_997508.1,ACSL4,0.0,1107.0,0.0,1107.0
16239,Astyanax_pachon,KAG9267886.1,ACSL5,Mus_musculus,NP_082252.1,ACSL5,2.4799999999999996e-282,971.0,4.69e-283,971.0
12663,Astyanax_pachon,KAG9266207.1,ACSL6,Mus_musculus,NP_659072.3,ACSL6,0.0,1100.0,0.0,1100.0
36805,Astyanax_pachon,KAG9278298.1,ACSM3,Mus_musculus,NP_058566.3,ACSM3,7.48e-229,793.0,1.53e-229,793.0
19422,Astyanax_pachon,KAG9269312.1,ACSS2,Mus_musculus,NP_062785.2,ACSS2,0.0,1091.0,0.0,1091.0
41044,Astyanax_pachon,KAG9280488.1,ACSS3,Mus_musculus,NP_001136276.1,ACSS3,5.939999999999999e-256,883.0,1.45e-256,883.0
5109,Astyanax_pachon,KAG9262281.1,ACTBA,Mus_musculus,NP_033739.1,ACTG1,1.31e-217,755.0,2.71e-218,755.0
39829,Astyanax_pachon,KAG9279940.1,ACTBB,Mus_musculus,NP_031419.1,ACTB,6.57e-218,756.0,1.36e-218,756.0
25060,Astyanax_pachon,KAG9272000.1,ACTC1,Mus_musculus,NP_033738.1,ACTC1,5.29e-217,753.0,1.09e-217,753.0
19594,Astyanax_pachon,KAG9269439.1,ACTL6B,Mus_musculus,NP_113581.1,ACTL6B,9.34e-219,759.0,1.93e-219,759.0
30368,Astyanax_pachon,KAG9274976.1,ACTN1,Mus_musculus,NP_598917.1,ACTN1,0.0,1653.0,0.0,1653.0
17429,Astyanax_pachon,KAG9268411.1,ACTN2,Mus_musculus,NP_150371.4,ACTN2,0.0,1529.0,0.0,1529.0
12031,Astyanax_pachon,KAG9265874.1,ACTN3,Mus_musculus,NP_038484.1,ACTN3,0.0,1506.0,0.0,1506.0
37798,Astyanax_pachon,KAG9278887.1,ACTN4,Mus_musculus,NP_068695.1,ACTN4,0.0,1578.0,0.0,1578.0
45602,Astyanax_pachon,KAG9282893.1,ACTR10,Mus_musculus,NP_062759.2,ACTR10,2.7600000000000002e-195,681.0,5.7e-196,681.0
7109,Astyanax_pachon,KAG9263422.1,ACTR1B,Mus_musculus,NP_666219.1,ACTR1B,2.27e-207,721.0,4.67e-208,721.0
30568,Astyanax_pachon,KAG9275078.1,ACTR2A,Mus_musculus,NP_666355.1,ACTR2,2.5700000000000003e-226,784.0,5.31e-227,784.0
24199,Astyanax_pachon,KAG9271545.1,ACTR3,Mus_musculus,NP_001192314.1,ACTR3,2.37e-244,844.0,4.88e-245,844.0
34077,Astyanax_pachon,KAG9276777.1,ACTR3B,Mus_musculus,NP_001004365.1,ACTR3B,5.21e-232,803.0,1.07e-232,803.0
21310,Astyanax_pachon,KAG9270189.1,ACTR5,Mus_musculus,NP_780628.3,ACTR5,1.32e-190,666.0,2.7199999999999997e-191,666.0
25731,Astyanax_pachon,KAG9272423.1,ACTR6,Mus_musculus,NP_080190.1,ACTR6,3.2e-199,694.0,6.600000000000001e-200,694.0
21355,Astyanax_pachon,KAG9270208.1,ACTR8,Mus_musculus,NP_081769.2,ACTR8,3.08e-262,904.0,6.319999999999999e-263,904.0
24505,Astyanax_pachon,KAG9271672.1,ACVR1,Mus_musculus,NP_001103674.1,ACVR1,2.2700000000000003e-223,775.0,3.51e-224,775.0
34657,Astyanax_pachon,KAG9277053.1,ACVR1B,Mus_musculus,NP_031421.1,ACVR1B,2.54e-231,801.0,5.19e-232,801.0
24502,Astyanax_pachon,KAG9271671.1,ACVR1C,Mus_musculus,NP_001104500.1,ACVR1C,2.4900000000000004e-200,698.0,5.14e-201,698.0
35647,Astyanax_pachon,KAG9277541.1,ACVR2A,Mus_musculus,XP_006497686.1,ACVR2A,3.2e-263,907.0,6.599999999999999e-264,907.0
32918,Astyanax_pachon,KAG9276266.1,ACVR2B,Mus_musculus,NP_001300686.1,ACVR2B,3.2800000000000004e-257,887.0,6.8e-258,887.0
2270,Astyanax_pachon,KAG9260693.1,ACY1,Mus_musculus,NP_001263371.1,ACY1,9.67e-154,543.0,1.94e-154,543.0
18338,Astyanax_pachon,KAG9268787.1,ACYP1,Mus_musculus,NP_079697.1,ACYP1,8.87e-35,146.0,1.5200000000000002e-35,146.0
18980,Astyanax_pachon,KAG9269085.1,ADA,Mus_musculus,NP_001258981.1,ADA,8.02e-132,470.0,1.5800000000000003e-132,470.0
42641,Astyanax_pachon,KAG9281166.1,ADAD1,Mus_musculus,NP_033376.2,ADAD1,1.7899999999999998e-142,506.0,4.05e-143,506.0
29326,Astyanax_pachon,KAG9274297.1,ADAD2,Mus_musculus,NP_083704.1,ADAD2,2.52e-63,243.0,5.4400000000000005e-64,243.0
25675,Astyanax_pachon,KAG9272401.1,ADAL,Mus_musculus,NP_083751.1,ADAL,2.91e-118,425.0,5.69e-119,425.0
3500,Astyanax_pachon,KAG9261290.1,ADAM10,Mus_musculus,NP_031425.2,ADAM10,0.0,1150.0,0.0,1150.0
39978,Astyanax_pachon,KAG9280013.1,ADAM11,Mus_musculus,NP_033743.2,ADAM11,5.4699999999999994e-270,930.0,1.1699999999999998e-270,930.0
15494,Astyanax_pachon,KAG9267464.1,ADAM12,Mus_musculus,NP_031426.2,ADAM12,0.0,1029.0,0.0,1029.0
45677,Astyanax_pachon,KAG9282938.1,ADAM17,Mus_musculus,NP_033745.4,ADAM17,3.09e-270,931.0,6.240000000000001e-271,931.0
25793,Astyanax_pachon,KAG9272450.1,ADAM19,Mus_musculus,NP_033746.1,ADAM19,1.64e-242,839.0,3.44e-243,839.0
47182,Astyanax_pachon,KAG9283641.1,ADAM22,Mus_musculus,NP_001297369.1,ADAM22,0.0,1199.0,0.0,1199.0
35861,Astyanax_pachon,KAG9277636.1,ADAM23,Mus_musculus,NP_035910.1,ADAM23,6.05e-292,1003.0,1.33e-292,1003.0
3779,Astyanax_pachon,KAG9261461.1,ADAM28,Mus_musculus,XP_006518577.1,ADAM28,1.01e-166,587.0,1.94e-167,587.0
31360,Astyanax_pachon,KAG9275447.1,ADAM8,Mus_musculus,NP_031429.1,ADAM8,1.3300000000000001e-173,610.0,2.66e-174,610.0
21997,Astyanax_pachon,KAG9270514.1,ADAM9,Mus_musculus,NP_001257925.1,ADAM9,4.3400000000000004e-281,967.0,9.479999999999999e-282,967.0
