,Ast,a,a2,Dmel,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
18187,Astyanax_pachon,KAG9283633.1,ACBD7,Drosophila_melanogaster,NP_001285744.1,ACBP1,3.54e-22,102.0,2.43e-22,102.0
1135,Astyanax_pachon,KAG9261029.1,ACE2,Drosophila_melanogaster,NP_001285915.1,ANCE,1.51e-117,422.0,7.78e-118,422.0
11333,Astyanax_pachon,KAG9274215.1,ACER2,Drosophila_melanogaster,NP_001260616.1,BWA,5.61e-78,289.0,4.13e-78,289.0
3476,Astyanax_pachon,KAG9264241.1,ACLY,Drosophila_melanogaster,NP_001137674.2,ATPCL,0.0,1540.0,0.0,1540.0
11336,Astyanax_pachon,KAG9274218.1,ACO1,Drosophila_melanogaster,NP_524303.2,IRP-1B,0.0,1216.0,0.0,1216.0
6362,Astyanax_pachon,KAG9267633.1,ACO2,Drosophila_melanogaster,NP_001097186.2,MACON1,0.0,1150.0,0.0,1150.0
15173,Astyanax_pachon,KAG9279735.1,ACOT13,Drosophila_melanogaster,NP_647730.1,CG16985,3.89e-20,95.9,2.76e-20,95.9
18032,Astyanax_pachon,KAG9283355.1,ACOT9,Drosophila_melanogaster,NP_651873.3,CG1635,5.95e-70,263.0,4.14e-70,263.0
13694,Astyanax_pachon,KAG9277452.1,ACOX1,Drosophila_melanogaster,NP_611264.2,ACOX1,1.87e-153,541.0,1.2699999999999999e-153,541.0
11408,Astyanax_pachon,KAG9274352.1,ACOX3,Drosophila_melanogaster,NP_001163015.1,CG17544,2.39e-160,564.0,1.57e-160,564.0
8040,Astyanax_pachon,KAG9269829.1,ACP1,Drosophila_melanogaster,NP_001027186.1,PRIMO-1,7.57e-29,125.0,4.99e-29,125.0
1120,Astyanax_pachon,KAG9260991.1,ACP2,Drosophila_melanogaster,NP_524917.1,ACPH-1,2.61e-66,251.0,1.66e-66,251.0
6837,Astyanax_pachon,KAG9268176.1,ACP7,Drosophila_melanogaster,NP_001285094.1,CG1637,1.12e-137,488.0,7.769999999999999e-138,488.0
7983,Astyanax_pachon,KAG9269772.1,ACR,Drosophila_melanogaster,NP_001027441.1,CG13430,8.85e-36,149.0,5.13e-36,149.0
1663,Astyanax_pachon,KAG9261834.1,ACSBG2,Drosophila_melanogaster,NP_001285923.1,BGM,1.5899999999999998e-170,598.0,8.8e-171,598.0
6621,Astyanax_pachon,KAG9267942.1,ACSF2,Drosophila_melanogaster,NP_608924.1,ACSF2,2.17e-123,441.0,1.43e-123,441.0
1305,Astyanax_pachon,KAG9261256.1,ACSF3,Drosophila_melanogaster,NP_996360.2,ACSF3,1.6899999999999998e-60,232.0,1.21e-60,232.0
162,Astyanax_pachon,KAG9259686.1,ACSL1,Drosophila_melanogaster,NP_649067.2,CG3961,1.95e-184,644.0,1.32e-184,644.0
14409,Astyanax_pachon,KAG9278595.1,ACSL3,Drosophila_melanogaster,NP_001014507.1,ACSL,9.689999999999999e-188,655.0,6.479999999999999e-188,655.0
10103,Astyanax_pachon,KAG9272539.1,ACSL4,Drosophila_melanogaster,NP_001014507.1,ACSL,2.03e-181,634.0,1.36e-181,634.0
6564,Astyanax_pachon,KAG9267886.1,ACSL5,Drosophila_melanogaster,NP_649067.2,CG3961,3.97e-190,663.0,2.5199999999999997e-190,663.0
5041,Astyanax_pachon,KAG9266207.1,ACSL6,Drosophila_melanogaster,NP_649067.2,CG3961,1.91e-193,674.0,1.23e-193,674.0
7662,Astyanax_pachon,KAG9269312.1,ACSS2,Drosophila_melanogaster,NP_001014599.2,ACCOAS,1.42e-254,877.0,9.11e-255,877.0
15902,Astyanax_pachon,KAG9280488.1,ACSS3,Drosophila_melanogaster,NP_001287502.1,CG6432,1.41e-171,601.0,1.11e-171,601.0
1991,Astyanax_pachon,KAG9262281.1,ACTBA,Drosophila_melanogaster,NP_001014725.1,ACT5C,2.5799999999999996e-216,749.0,1.74e-216,749.0
15421,Astyanax_pachon,KAG9279940.1,ACTBB,Drosophila_melanogaster,NP_001014725.1,ACT5C,5.159999999999999e-216,748.0,3.48e-216,748.0
9706,Astyanax_pachon,KAG9272000.1,ACTC1,Drosophila_melanogaster,NP_001014725.1,ACT5C,2.7899999999999996e-207,719.0,1.8699999999999998e-207,719.0
7727,Astyanax_pachon,KAG9269439.1,ACTL6B,Drosophila_melanogaster,NP_611209.1,BAP55,2.72e-138,490.0,1.8199999999999998e-138,490.0
11787,Astyanax_pachon,KAG9274976.1,ACTN1,Drosophila_melanogaster,NP_477484.2,ACTN,0.0,1277.0,0.0,1277.0
7003,Astyanax_pachon,KAG9268411.1,ACTN2,Drosophila_melanogaster,NP_001188532.1,ACTN,0.0,1251.0,0.0,1251.0
4782,Astyanax_pachon,KAG9265874.1,ACTN3,Drosophila_melanogaster,NP_001188532.1,ACTN,0.0,1252.0,0.0,1252.0
14611,Astyanax_pachon,KAG9278887.1,ACTN4,Drosophila_melanogaster,NP_477484.2,ACTN,0.0,1261.0,0.0,1261.0
17620,Astyanax_pachon,KAG9282893.1,ACTR10,Drosophila_melanogaster,NP_001285452.1,ARP10,2.19e-75,281.0,1.33e-75,281.0
2883,Astyanax_pachon,KAG9263422.1,ACTR1B,Drosophila_melanogaster,NP_524331.2,ARP1,2.2e-178,623.0,1.48e-178,623.0
2221,Astyanax_pachon,KAG9262605.1,ACTR2A,Drosophila_melanogaster,NP_001097001.1,ARP2,7.999999999999999e-196,681.0,5.38e-196,681.0
9412,Astyanax_pachon,KAG9271545.1,ACTR3,Drosophila_melanogaster,NP_001261559.1,ARP3,1.24e-206,717.0,8.309999999999999e-207,717.0
13201,Astyanax_pachon,KAG9276777.1,ACTR3B,Drosophila_melanogaster,NP_001261559.1,ARP3,2.4700000000000002e-206,716.0,1.66e-206,716.0
8370,Astyanax_pachon,KAG9270189.1,ACTR5,Drosophila_melanogaster,NP_001262697.1,ARP5,1.76e-91,335.0,1.27e-91,335.0
10003,Astyanax_pachon,KAG9272423.1,ACTR6,Drosophila_melanogaster,NP_511165.1,ARP6,2.6199999999999998e-104,377.0,1.77e-104,377.0
8398,Astyanax_pachon,KAG9270208.1,ACTR8,Drosophila_melanogaster,NP_573251.1,ARP8,3.1299999999999997e-81,301.0,2.04e-81,301.0
9487,Astyanax_pachon,KAG9271672.1,ACVR1,Drosophila_melanogaster,NP_724606.1,SAX,6.45e-146,516.0,3.4199999999999996e-146,516.0
13386,Astyanax_pachon,KAG9277053.1,ACVR1B,Drosophila_melanogaster,NP_001163092.1,BABO,3.1e-144,510.0,2.4300000000000002e-144,510.0
13743,Astyanax_pachon,KAG9277541.1,ACVR2A,Drosophila_melanogaster,NP_001262574.1,PUT,3.14e-116,417.0,2.09e-116,417.0
12744,Astyanax_pachon,KAG9276266.1,ACVR2B,Drosophila_melanogaster,NP_001262574.1,PUT,5.850000000000001e-122,436.0,3.99e-122,436.0
829,Astyanax_pachon,KAG9260693.1,ACY1,Drosophila_melanogaster,NP_650004.1,CG6465,2.71e-107,387.0,1.74e-107,387.0
7352,Astyanax_pachon,KAG9268787.1,ACYP1,Drosophila_melanogaster,NP_001262612.1,ACYP2,4.9e-19,92.0,2.82e-19,92.0
5810,Astyanax_pachon,KAG9267044.1,ACYP2,Drosophila_melanogaster,NP_001285625.1,CG14022,1.12e-15,80.9,6.14e-16,80.9
9653,Astyanax_pachon,KAG9271964.1,ADA2A,Drosophila_melanogaster,NP_649006.2,ADGF-B,3.65e-92,337.0,2.55e-92,337.0
9980,Astyanax_pachon,KAG9272401.1,ADAL,Drosophila_melanogaster,NP_649866.1,ADA,4.58e-57,220.0,2.74e-57,220.0
16183,Astyanax_pachon,KAG9280857.1,ADAM10,Drosophila_melanogaster,NP_001014481.1,KUZ,6.3e-139,493.0,5.84e-139,493.0
13093,Astyanax_pachon,KAG9276650.1,ADAM12,Drosophila_melanogaster,NP_001027576.2,MELTRIN,4.6099999999999995e-115,414.0,3.16e-115,414.0
7088,Astyanax_pachon,KAG9268484.1,ADAM17,Drosophila_melanogaster,NP_733334.1,TACE,2.19e-137,488.0,1.2599999999999999e-137,488.0
18200,Astyanax_pachon,KAG9283641.1,ADAM22,Drosophila_melanogaster,NP_996475.2,MMD,2.6e-94,345.0,1.6e-94,345.0
16200,Astyanax_pachon,KAG9280868.1,ADAMTS20,Drosophila_melanogaster,NP_732036.2,ADAMTS-A,2.35e-171,602.0,1.27e-171,602.0
5832,Astyanax_pachon,KAG9267083.1,ADAMTS7,Drosophila_melanogaster,NP_572247.2,ADAMTS-B,3.04e-157,555.0,1.19e-157,555.0
760,Astyanax_pachon,KAG9260617.1,ADAMTS9,Drosophila_melanogaster,NP_732036.2,ADAMTS-A,1.18e-171,603.0,6.35e-172,603.0
11328,Astyanax_pachon,KAG9274207.1,ADAMTSL1,Drosophila_melanogaster,NP_001036374.1,NOLO,1.5800000000000001e-133,476.0,9.789999999999999e-134,476.0
5388,Astyanax_pachon,KAG9266550.1,ADAMTSL3,Drosophila_melanogaster,NP_724360.1,NOLO,6.8e-114,411.0,2.63e-114,411.0
9455,Astyanax_pachon,KAG9271629.1,ADARB1,Drosophila_melanogaster,NP_001245474.1,ADAR,9.4e-141,499.0,5.57e-141,499.0
9772,Astyanax_pachon,KAG9272088.1,ADAT1,Drosophila_melanogaster,NP_001260450.1,ADAT1,1.62e-45,182.0,8.809999999999999e-46,182.0
17411,Astyanax_pachon,KAG9282583.1,ADAT2,Drosophila_melanogaster,NP_001262661.1,CG5292,2.4900000000000004e-32,137.0,1.26e-32,137.0
9528,Astyanax_pachon,KAG9271722.1,ADAT3,Drosophila_melanogaster,NP_611345.1,CG10927,1.66e-31,135.0,1.13e-31,135.0
7424,Astyanax_pachon,KAG9268895.1,ADCK1,Drosophila_melanogaster,NP_001286851.1,ADCK1,3.04e-125,447.0,1.9500000000000002e-125,447.0
15039,Astyanax_pachon,KAG9279517.1,ADCK5,Drosophila_melanogaster,NP_001261705.1,ADCK5,3.08e-103,374.0,1.9800000000000001e-103,374.0
11596,Astyanax_pachon,KAG9274651.1,ADCY1,Drosophila_melanogaster,NP_001259550.1,RUT,3.8399999999999996e-219,760.0,3.14e-219,760.0
12677,Astyanax_pachon,KAG9276173.1,ADCY2,Drosophila_melanogaster,NP_524173.2,AC76E,4.52e-170,597.0,3.45e-170,597.0
17245,Astyanax_pachon,KAG9282289.1,ADCY3,Drosophila_melanogaster,NP_610116.2,AC3,7.269999999999999e-191,666.0,5.22e-191,666.0
9107,Astyanax_pachon,KAG9271139.1,ADCY5,Drosophila_melanogaster,NP_001097622.2,CG43373,8.359999999999999e-244,842.0,8.67e-244,842.0
7647,Astyanax_pachon,KAG9269302.1,ADCY6,Drosophila_melanogaster,NP_001097622.2,CG43373,9.990000000000001e-248,855.0,1.0600000000000001e-247,855.0
1345,Astyanax_pachon,KAG9261319.1,ADCY9,Drosophila_melanogaster,NP_001014745.1,AC13E,2.9200000000000003e-164,578.0,2.3400000000000003e-164,578.0
5203,Astyanax_pachon,KAG9266359.1,ADD1,Drosophila_melanogaster,NP_725889.1,HTS,2.53e-97,355.0,1.2500000000000001e-97,355.0
3132,Astyanax_pachon,KAG9263726.1,ADGRG2,Drosophila_melanogaster,NP_001247379.1,KTCH,3.07e-14,78.6,2.26e-14,78.6
11573,Astyanax_pachon,KAG9274601.1,ADGRL2,Drosophila_melanogaster,NP_610397.4,CIRL,5.2300000000000004e-70,265.0,3.9200000000000004e-70,265.0
14172,Astyanax_pachon,KAG9278250.1,ADHFE1,Drosophila_melanogaster,NP_477209.2,T3DH,1.27e-159,561.0,8.43e-160,561.0
7379,Astyanax_pachon,KAG9268825.1,ADI1,Drosophila_melanogaster,NP_001097577.1,ADI1,1.15e-51,201.0,7.93e-52,201.0
8907,Astyanax_pachon,KAG9270871.1,ADIPOR1,Drosophila_melanogaster,NP_732759.2,ADIPOR,7.7e-109,392.0,4.92e-109,392.0
15658,Astyanax_pachon,KAG9280198.1,ADIPOR2,Drosophila_melanogaster,NP_732759.2,ADIPOR,3e-105,380.0,2.01e-105,380.0
12230,Astyanax_pachon,KAG9275437.1,ADK,Drosophila_melanogaster,NP_001287054.1,ADK2,3.28e-93,340.0,2.11e-93,340.0
6333,Astyanax_pachon,KAG9267611.1,ADO,Drosophila_melanogaster,NP_648176.1,CG7550,4.13e-21,100.0,2.5900000000000003e-21,100.0
7237,Astyanax_pachon,KAG9268665.1,ADPGK,Drosophila_melanogaster,NP_001246747.1,CG6650,1.67e-98,358.0,1.17e-98,358.0
8711,Astyanax_pachon,KAG9270634.1,ADRA1A,Drosophila_melanogaster,NP_733299.1,DOP1R2,2.26e-59,228.0,1.7100000000000002e-59,228.0
4601,Astyanax_pachon,KAG9265719.1,ADRA1B,Drosophila_melanogaster,NP_733299.1,DOP1R2,7.49e-61,233.0,5.3299999999999996e-61,233.0
114,Astyanax_pachon,KAG9259616.1,ADRA1D,Drosophila_melanogaster,NP_733299.1,DOP1R2,2.4200000000000003e-59,228.0,1.7100000000000002e-59,228.0
8620,Astyanax_pachon,KAG9270485.1,ADRA2B,Drosophila_melanogaster,NP_001262714.1,OCTALPHA2R,1.25e-59,229.0,1.06e-59,229.0
12364,Astyanax_pachon,KAG9275650.1,ADRA2C,Drosophila_melanogaster,NP_001262714.1,OCTALPHA2R,4.08e-59,227.0,4.26e-59,227.0
6587,Astyanax_pachon,KAG9267902.1,ADRB1,Drosophila_melanogaster,NP_001034043.2,OCTBETA3R,3.8399999999999997e-53,207.0,2.97e-53,207.0
10272,Astyanax_pachon,KAG9272734.1,ADRB2,Drosophila_melanogaster,NP_001034049.1,OCTBETA2R,4.14e-50,197.0,3.66e-50,197.0
7734,Astyanax_pachon,KAG9269447.1,ADRM1B,Drosophila_melanogaster,NP_001137664.1,RPN13,6.74e-49,193.0,4.25e-49,193.0
3662,Astyanax_pachon,KAG9264422.1,ADSL,Drosophila_melanogaster,NP_650586.2,ADSL,1.6399999999999998e-188,657.0,1.1e-188,657.0
6835,Astyanax_pachon,KAG9268168.1,ADSS1,Drosophila_melanogaster,NP_650918.1,ADSS,4.81e-162,569.0,3.17e-162,569.0
11948,Astyanax_pachon,KAG9275145.1,ADSS2,Drosophila_melanogaster,NP_650918.1,ADSS,9.28e-162,568.0,6.34e-162,568.0
17756,Astyanax_pachon,KAG9283039.1,AFDN,Drosophila_melanogaster,NP_001262272.1,CNO,6.909999999999999e-241,833.0,4.669999999999999e-241,833.0
7254,Astyanax_pachon,KAG9268693.1,AFG1L,Drosophila_melanogaster,NP_001188911.1,CG8520,6.839999999999999e-92,336.0,4.48e-92,336.0
14271,Astyanax_pachon,KAG9278444.1,AFG3L2,Drosophila_melanogaster,NP_730250.1,AFG3L2,2.1e-252,870.0,1.21e-252,870.0
9941,Astyanax_pachon,KAG9272347.1,AGA,Drosophila_melanogaster,NP_610504.4,CG1827,1.9799999999999999e-91,334.0,1.54e-91,334.0
14099,Astyanax_pachon,KAG9277920.1,AGAP1,Drosophila_melanogaster,NP_723849.1,CENG1A,9.17e-182,636.0,4.78e-182,636.0
12616,Astyanax_pachon,KAG9276099.1,AGAP3,Drosophila_melanogaster,NP_523562.2,CENG1A,1.86e-184,645.0,8.7e-185,645.0
10652,Astyanax_pachon,KAG9273210.1,AGK,Drosophila_melanogaster,NP_723549.1,MULK,2.02e-28,125.0,1.31e-28,125.0
3928,Astyanax_pachon,KAG9264788.1,AGL,Drosophila_melanogaster,NP_001163235.1,CG9485,0.0,1357.0,0.0,1357.0
4900,Astyanax_pachon,KAG9266011.1,AGPAT1,Drosophila_melanogaster,NP_001259494.1,AGPAT1,8.77e-49,192.0,7.49e-49,192.0
2111,Astyanax_pachon,KAG9262460.1,AGPAT3,Drosophila_melanogaster,NP_648888.1,AGPAT3,3.24e-71,267.0,2.23e-71,267.0
374,Astyanax_pachon,KAG9260067.1,AGPAT4,Drosophila_melanogaster,NP_648888.1,AGPAT3,6.71e-68,256.0,4.5699999999999995e-68,256.0
1517,Astyanax_pachon,KAG9261611.1,AGPAT9L,Drosophila_melanogaster,NP_726415.1,GPAT4,5.27e-116,416.0,3.71e-116,416.0
9348,Astyanax_pachon,KAG9271484.1,AGPS,Drosophila_melanogaster,NP_001188935.1,AGPS,5.39e-189,659.0,3.62e-189,659.0
13906,Astyanax_pachon,KAG9277761.1,AGXT,Drosophila_melanogaster,NP_511062.1,AGXT,1.06e-100,365.0,7.19e-101,365.0
5106,Astyanax_pachon,KAG9266272.1,AGXT2,Drosophila_melanogaster,NP_649413.3,CG11241,2.98e-147,520.0,2.03e-147,520.0
30,Astyanax_pachon,KAG9259427.1,AHCY-B,Drosophila_melanogaster,NP_001285268.1,AHCY,2e-208,723.0,1.3400000000000001e-208,723.0
8796,Astyanax_pachon,KAG9270772.1,AHCYL1,Drosophila_melanogaster,NP_647746.1,AHCYL1,6.090000000000001e-215,745.0,3.86e-215,745.0
15765,Astyanax_pachon,KAG9280362.1,AHCYL2,Drosophila_melanogaster,NP_647746.1,AHCYL1,6.41e-218,755.0,3.77e-218,755.0
17127,Astyanax_pachon,KAG9282171.1,AIFM1,Drosophila_melanogaster,NP_608649.2,AIF,3.94e-133,474.0,1.89e-133,474.0
4233,Astyanax_pachon,KAG9265198.1,AIFM3,Drosophila_melanogaster,NP_726790.1,CG4199,1.55e-103,375.0,9.83e-104,375.0
17409,Astyanax_pachon,KAG9282582.1,AIG1,Drosophila_melanogaster,NP_722622.1,CG3625,6.61e-39,159.0,4.6e-39,159.0
3642,Astyanax_pachon,KAG9264379.1,AIMP2,Drosophila_melanogaster,NP_996097.1,AIMP2,1.76e-15,81.6,1.13e-15,81.6
