,# Pachon.faa,a,Ast.faa,b ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
27305,KAG9277230.1,OCA2,NP_001307138.1,OCA2,0.0,1526.0,0.0,1526.0
18365,KAG9271299.1,KAG9271299.1,NP_001347735.1,IFNGR2,3.62e-178,623.0,1.2e-178,623.0
23897,KAG9275056.1,KAG9275056.1,NP_001347750.1,IFNGR1L,3.08e-192,670.0,1.04e-192,670.0
5126,KAG9262612.1,IFNGR1,NP_001347793.1,IFNGR1,6.2399999999999996e-229,792.0,2.0699999999999997e-229,792.0
17859,KAG9270973.1,MXRA5,XP_007227755.3,MXRA5B,0.0,4556.0,0.0,4556.0
17862,KAG9270976.1,NLGN4X,XP_007227756.1,NLGN4XB,0.0,1643.0,0.0,1643.0
17865,KAG9270979.1,GPR143,XP_007227758.2,GPR143,4.91e-237,819.0,1.63e-237,819.0
17881,KAG9270986.1,RAB9A,XP_007227765.1,RAB9A,1.57e-114,411.0,5.21e-115,411.0
17883,KAG9270987.1,EGFL6,XP_007227766.3,EGFL6,6.64e-287,985.0,2.2899999999999997e-287,985.0
17882,KAG9270987.1,EGFL6,XP_007227767.3,EGFL6,1.62e-290,997.0,5.38e-291,997.0
17905,KAG9270999.1,SOX21B,XP_007227779.3,SOX21B,1.64e-132,471.0,5.46e-133,471.0
17911,KAG9271003.1,PIGA,XP_007227780.3,PIGA,1.24e-286,984.0,4.12e-287,984.0
17916,KAG9271007.1,SRPX,XP_007227782.1,SRPX,7.479999999999999e-285,978.0,2.48e-285,978.0
17915,KAG9271006.1,GGACT.2,XP_007227784.3,LOC103030343,3.12e-114,410.0,1.04e-114,410.0
17926,KAG9271015.1,ABI3BP,XP_007227787.3,LOC103031501,0.0,1816.0,0.0,1816.0
17927,KAG9271015.1,ABI3BP,XP_007227788.3,LOC103031501,0.0,1803.0,0.0,1803.0
17929,KAG9271017.1,KAG9271017.1,XP_007227790.1,JAGN1A,2.63e-95,347.0,8.75e-96,347.0
17930,KAG9271018.1,DCBLD2,XP_007227791.1,DCBLD2,0.0,1337.0,0.0,1337.0
17938,KAG9271023.1,GJA5,XP_007227793.3,GJA5A,6.96e-223,772.0,2.31e-223,772.0
17940,KAG9271025.1,KAG9271025.1,XP_007227795.3,SI:DKEY-229B18.3,0.0,2043.0,0.0,2043.0
17943,KAG9271028.1,DOP1B,XP_007227796.3,DOP1B,0.0,4396.0,0.0,4396.0
17947,KAG9271030.1,SLC5A3,XP_007227799.3,SLC5A3B,0.0,1391.0,0.0,1391.0
17946,KAG9271029.1,ATP5PO,XP_007227800.1,ATP5PO,1.7e-108,391.0,5.650000000000001e-109,391.0
17949,KAG9271033.1,CASQ2,XP_007227803.3,CASQ2,3.05e-210,730.0,9.97e-211,730.0
17950,KAG9271034.1,VANGL1,XP_007227804.1,VANGL1,2.71e-283,973.0,9e-284,973.0
17954,KAG9271036.1,CNGA4,XP_007227805.2,CNGA4,0.0,1041.0,0.0,1041.0
17953,KAG9271035.1,NHLH1,XP_007227806.1,NHLH2,2.2799999999999998e-62,237.0,7.57e-63,237.0
17957,KAG9271039.1,ANKRD50,XP_007227810.3,ANKRD50L,0.0,2137.0,0.0,2137.0
17959,KAG9271042.1,MX,XP_007227811.3,LOC103038560,0.0,1194.0,0.0,1194.0
17963,KAG9271045.1,OLIG1,XP_007227817.2,OLIG1,1.2999999999999999e-134,478.0,4.32e-135,478.0
17964,KAG9271046.1,ERCC1,XP_007227818.2,ERCC1,2.9e-198,690.0,9.63e-199,690.0
17969,KAG9271050.1,KAG9271050.1,XP_007227819.1,DNAJB11,2.6899999999999998e-207,720.0,8.950000000000001e-208,720.0
17968,KAG9271049.1,RABL3,XP_007227820.1,RABL3,6.310000000000001e-132,469.0,2.1e-132,469.0
17971,KAG9271051.1,SATB2,XP_007227821.1,SATB2,0.0,1624.0,0.0,1624.0
17970,KAG9271051.1,SATB2,XP_007227822.1,SATB2,0.0,1628.0,0.0,1628.0
17975,KAG9271054.1,MOB4,XP_007227824.1,MOB4,5.229999999999999e-128,456.0,1.71e-128,456.0
17976,KAG9271056.1,HSPD1,XP_007227826.2,HSPD1,0.0,1055.0,0.0,1055.0
17978,KAG9271058.1,SF3B1,XP_007227828.1,SF3B1,0.0,2327.0,0.0,2327.0
17987,KAG9271061.1,KAG9271061.1,XP_007227834.2,CFAP97D2,1.41e-104,378.0,4.68e-105,378.0
17996,KAG9271066.1,ZIC5,XP_007227837.2,ZIC5,5.74e-240,829.0,1.9099999999999998e-240,829.0
17997,KAG9271067.1,GPR183,XP_007227840.1,SI:CH211-184M13.4,5.64e-195,679.0,1.87e-195,679.0
17999,KAG9271069.1,GPR18,XP_007227842.2,GPR18,3.8999999999999997e-178,623.0,1.3e-178,623.0
18002,KAG9271071.1,KLF5,XP_007227843.2,KLF5B,5.54e-176,616.0,1.8399999999999998e-176,616.0
18003,KAG9271071.1,KLF5,XP_007227844.2,KLF5B,1.49e-167,588.0,4.76e-168,588.0
18004,KAG9271073.1,KLF12,XP_007227846.3,KLF12B,3.54e-140,497.0,1.1799999999999998e-140,497.0
18005,KAG9271073.1,KLF12,XP_007227847.3,KLF12B,3.54e-140,497.0,1.1799999999999998e-140,497.0
18008,KAG9271075.1,COMMD6,XP_007227850.2,COMMD6,2.61e-107,387.0,8.65e-108,387.0
18010,KAG9271077.1,LAMP1,XP_007227851.3,LAMP1B,1.4e-125,448.0,4.6599999999999997e-126,448.0
18009,KAG9271076.1,GRTP1A,XP_007227852.3,GRTP1B,1.7e-202,704.0,5.649999999999999e-203,704.0
18012,KAG9271079.1,GPA33,XP_007227866.3,GPA33B,8.11e-198,689.0,2.67e-198,689.0
18013,KAG9271080.1,ILDR2,XP_007227867.3,ILDR2,0.0,1149.0,0.0,1149.0
18014,KAG9271080.1,ILDR2,XP_007227868.3,ILDR2,0.0,1101.0,0.0,1101.0
18015,KAG9271081.1,ILDR1,XP_007227870.3,ILDR1B,1.2000000000000001e-276,951.0,4e-277,951.0
18017,KAG9271084.1,MPC2,XP_007227874.2,MPC2B,1.41e-69,261.0,4.7000000000000004e-70,261.0
18019,KAG9271085.1,DCAF6,XP_007227876.3,DCAF6,0.0,1747.0,0.0,1747.0
18020,KAG9271085.1,DCAF6,XP_007227877.3,DCAF6,0.0,1723.0,0.0,1723.0
18021,KAG9271085.1,DCAF6,XP_007227879.3,DCAF6,0.0,1710.0,0.0,1710.0
18032,KAG9271092.1,FUNDC1,XP_007227883.1,FUNDC1,1.54e-81,301.0,5.11e-82,301.0
18033,KAG9271093.1,EFHC2,XP_007227884.3,EFHC2,0.0,1523.0,0.0,1523.0
18036,KAG9271094.1,NDP,XP_007227885.1,LOC103033400,4.47e-80,296.0,1.49e-80,296.0
18037,KAG9271095.1,MAO,XP_007227886.2,MAO,0.0,1083.0,0.0,1083.0
18052,KAG9271100.1,RPL8,XP_007227912.1,RPL8,1.5499999999999999e-147,521.0,5.13e-148,521.0
18065,KAG9271102.1,MED14,XP_007227915.2,MED14,0.0,2773.0,0.0,2773.0
18066,KAG9271102.1,MED14,XP_007227916.2,MED14,0.0,2706.0,0.0,2706.0
18067,KAG9271103.1,KAG9271103.1,XP_007227917.2,SI:CH211-218D20.15,8.23e-142,502.0,2.73e-142,502.0
18068,KAG9271104.1,STAG2,XP_007227918.3,SI:CH211-269E2.1,0.0,2290.0,0.0,2290.0
18069,KAG9271105.1,PPP2R3B,XP_007227919.3,PPP2R3B,0.0,1100.0,0.0,1100.0
18070,KAG9271106.1,SHOX,XP_007227923.2,SHOX,7.309999999999999e-141,499.0,2.5899999999999998e-141,499.0
18071,KAG9271107.1,KAG9271107.1,XP_007227924.3,CRLF2,3.29e-144,510.0,1.0900000000000001e-144,510.0
18073,KAG9271109.1,ASMTL,XP_007227926.2,ASMTL,0.0,1246.0,0.0,1246.0
18074,KAG9271110.1,UPF3A,XP_007227930.3,UPF3A,5.8e-175,613.0,1.94e-175,613.0
18075,KAG9271110.1,UPF3A,XP_007227931.3,UPF3A,1.16e-174,612.0,3.66e-175,612.0
18076,KAG9271112.1,KAG9271112.1,XP_007227932.3,CDC16,0.0,1217.0,0.0,1217.0
18077,KAG9271113.1,DCUN1D2,XP_007227933.1,DCUN1D2A,2.8e-149,527.0,8.079999999999999e-150,527.0
18078,KAG9271113.1,DCUN1D2,XP_007227934.1,DCUN1D2A,1.88e-141,501.0,5.11e-142,501.0
18079,KAG9271114.1,TFDP1,XP_007227935.2,TFDP1A,8.66e-221,765.0,2.8699999999999997e-221,765.0
18080,KAG9271114.1,TFDP1,XP_007227936.2,TFDP1A,8.66e-221,765.0,2.8699999999999997e-221,765.0
18087,KAG9271119.1,APP,XP_007227938.2,APPB,0.0,1295.0,0.0,1295.0
18086,KAG9271119.1,APP,XP_007227939.2,APPB,0.0,1309.0,0.0,1309.0
18088,KAG9271120.1,SON,XP_007227947.3,SONA,2.04e-269,928.0,6.719999999999999e-270,928.0
18089,KAG9271121.1,RCAN1,XP_007227949.3,RCAN1A,3.22e-114,410.0,1.1e-114,410.0
18091,KAG9271123.1,KAG9271123.1,XP_007227952.3,DNAJC28,1.44e-204,711.0,4.78e-205,711.0
18093,KAG9271124.1,MAB21L3,XP_007227953.3,MAB21L3,2.2e-215,747.0,7.169999999999999e-216,747.0
18099,KAG9271128.1,RALB,XP_007227955.1,RALBA,1.69e-108,391.0,5.630000000000001e-109,391.0
18100,KAG9271129.1,HCFC2,XP_007227956.3,SI:DKEY-3D4.3,5.819999999999999e-250,862.0,1.9299999999999997e-250,862.0
18101,KAG9271129.1,HCFC2,XP_007227957.3,SI:DKEY-3D4.3,5.819999999999999e-250,862.0,1.9299999999999997e-250,862.0
18103,KAG9271131.1,INHBB,XP_007227958.1,INHBB,5.5200000000000006e-213,739.0,1.83e-213,739.0
18104,KAG9271132.1,GLI2,XP_007227973.3,GLI2A,0.0,2613.0,0.0,2613.0
18120,KAG9271135.1,PDE9,XP_007227975.3,SI:DKEY-219C10.4,0.0,1042.0,0.0,1042.0
18124,KAG9271138.1,HACD2,XP_007227976.1,HACD2,1.0300000000000001e-133,475.0,3.43e-134,475.0
18123,KAG9271137.1,STAM2,XP_007227977.3,STAM2,3.44e-278,956.0,1.14e-278,956.0
18122,KAG9271137.1,STAM2,XP_007227978.3,STAM2,1.0699999999999999e-279,961.0,3.55e-280,961.0
18121,KAG9271136.1,CACNB4,XP_007227979.2,CACNB4A,3.2e-290,996.0,1.06e-290,996.0
18127,KAG9271140.1,SEC22A,XP_007227981.2,SEC22A,7.529999999999999e-172,602.0,2.5e-172,602.0
18129,KAG9271142.1,SEMA5B,XP_007227982.3,SEMA5BA,0.0,2311.0,0.0,2311.0
18133,KAG9271145.1,SLC15A2,XP_007227983.3,SLC15A2,0.0,1409.0,0.0,1409.0
18131,KAG9271144.1,HSPBAP1,XP_007227984.3,HSPBAP1,4.02e-276,949.0,1.3300000000000001e-276,949.0
18132,KAG9271144.1,HSPBAP1,XP_007227985.3,HSPBAP1,4.02e-276,949.0,1.4600000000000001e-276,949.0
18130,KAG9271143.1,SLC49A4,XP_007227988.2,SLC49A4,4.46e-264,909.0,1.48e-264,909.0
18139,KAG9271154.1,IRS2,XP_007227989.3,IRS2B,0.0,2102.0,0.0,2102.0
18138,KAG9271151.1,COL4A2,XP_007227990.3,COL4A2,3.98e-162,572.0,1.48e-162,572.0
18137,KAG9271150.1,RAB20,XP_007227992.3,RAB20,8.33e-136,482.0,2.77e-136,482.0
18136,KAG9271148.1,NAXD,XP_007227993.1,NAXD,0.0,1158.0,0.0,1158.0
18135,KAG9271147.1,EAF2,XP_007227996.1,EAF2,3.04e-122,437.0,1.01e-122,437.0
18134,KAG9271146.1,CYP27A1,XP_007227997.3,SI:DKEY-91I10.3,0.0,1055.0,0.0,1055.0
18146,KAG9271157.1,ABHD13,XP_007228003.1,ABHD13,1.77e-193,674.0,5.890000000000001e-194,674.0
18149,KAG9271160.1,CCKAR,XP_007228004.2,LOC103038142,3.0000000000000004e-247,853.0,9.950000000000002e-248,853.0
18151,KAG9271162.1,GPR89,XP_007228005.2,SI:CH73-390B10.2,2.44e-249,860.0,8.109999999999999e-250,860.0
18150,KAG9271161.1,PDZK1,XP_007228006.3,PDZK1,1.08e-294,1011.0,3.58e-295,1011.0
18155,KAG9271164.1,OPN3,XP_007228007.2,TMTOPS2B,3.29e-220,763.0,1.0899999999999999e-220,763.0
18157,KAG9271165.1,UXS1,XP_007228009.1,UXS1,4.11e-227,786.0,1.4100000000000001e-227,786.0
18049,KAG9271098.1,GPR34,XP_007228010.3,GPR34B,3.5e-205,713.0,1.1599999999999999e-205,713.0
17900,KAG9270995.1,PCDH8,XP_007228020.3,PCDH8,0.0,1879.0,0.0,1879.0
17966,KAG9271047.1,GZMB,XP_007228038.3,LOC103022664,4.23e-75,280.0,1.8900000000000001e-75,280.0
33517,KAG9281188.1,FBXW11,XP_007228056.2,FBXW11A,1.0599999999999999e-176,619.0,3.53e-177,619.0
33515,KAG9281187.1,FGF18,XP_007228058.1,FGF18A,6.34e-117,419.0,2.1100000000000002e-117,419.0
33516,KAG9281187.1,FGF18,XP_007228059.1,FGF18A,8.119999999999999e-115,412.0,2.68e-115,412.0
33514,KAG9281186.1,PCDHA2,XP_007228061.2,LOC103030246,0.0,1786.0,0.0,1786.0
33507,KAG9281179.1,DOCK2,XP_007228077.3,LOC103035845,0.0,3567.0,0.0,3567.0
33503,KAG9281176.1,TLX3,XP_007228079.1,LOC103036459,3.25e-147,520.0,1.08e-147,520.0
33502,KAG9281175.1,KCNIP1,XP_007228080.1,LOC103036759,7.8e-130,462.0,2.59e-130,462.0
33493,KAG9281169.1,CETN1,XP_007228083.1,CETN4,2.01e-63,241.0,6.67e-64,241.0
33494,KAG9281169.1,CETN1,XP_007228084.1,CETN4,1.61e-62,238.0,5.31e-63,238.0
33489,KAG9281166.1,ADAD1,XP_007228085.3,ADAD1,0.0,1069.0,0.0,1069.0
33488,KAG9281165.1,KAG9281165.1,XP_007228086.3,TCOF1,0.0,1253.0,0.0,1253.0
33487,KAG9281164.1,ARSI,XP_007228087.1,ARSIA,0.0,1198.0,0.0,1198.0
33481,KAG9281160.1,TSTD2,XP_007228088.3,LOC103039598,1.04e-273,941.0,3.45e-274,941.0
33483,KAG9281162.1,RPL26,XP_007228089.1,RPL26,1.58e-72,271.0,5.2400000000000004e-73,271.0
33480,KAG9281159.1,NCBP1,XP_007228090.2,LOC103040430,0.0,1469.0,0.0,1469.0
33476,KAG9281156.1,CPLX1,XP_007228093.1,LOC103041759,8.21e-58,222.0,2.72e-58,222.0
33477,KAG9281156.1,CPLX1,XP_007228094.1,LOC103041759,8.21e-58,222.0,2.72e-58,222.0
33471,KAG9281152.1,SLC44A1,XP_007228095.3,SLC44A1B,0.0,1419.0,0.0,1419.0
33475,KAG9281155.1,SMU1,XP_007228099.3,SMU1A,2.96e-240,830.0,9.819999999999999e-241,830.0
33464,KAG9281149.1,KAG9281149.1,XP_007228100.2,LOC103043718,2.83e-46,183.0,1.6799999999999999e-46,183.0
33463,KAG9281148.1,THG1L,XP_007228103.1,THG1L,5.77e-174,609.0,1.92e-174,609.0
33460,KAG9281146.1,IRF3,XP_007228105.2,IRF7,4.56e-249,859.0,1.52e-249,859.0
33461,KAG9281146.1,IRF3,XP_007228106.2,IRF7,2.92e-247,853.0,9.68e-248,853.0
33450,KAG9281143.1,RASSF7,XP_007228111.3,RASSF7A,1.08e-227,788.0,3.5999999999999996e-228,788.0
33451,KAG9281143.1,RASSF7,XP_007228112.3,RASSF7A,1.08e-227,788.0,3.5999999999999996e-228,788.0
33452,KAG9281143.1,RASSF7,XP_007228113.3,RASSF7A,1.08e-227,788.0,3.5999999999999996e-228,788.0
33444,KAG9281138.1,LDHA,XP_007228114.1,LDHA,3.68e-187,653.0,1.22e-187,653.0
33445,KAG9281139.1,TSG101,XP_007228115.1,TSG101A,4.01e-196,683.0,1.33e-196,683.0
33446,KAG9281140.1,TSG101,XP_007228116.2,ZGC:123278,6.12e-108,389.0,2.0299999999999998e-108,389.0
33447,KAG9281141.1,HRAS,XP_007228117.1,HRASA,1.98e-106,384.0,6.57e-107,384.0
33449,KAG9281142.1,LRRC56,XP_007228118.3,LRRC56,0.0,1143.0,0.0,1143.0
33432,KAG9281131.1,UEVLD,XP_007228121.2,UEVLD,8.79e-267,918.0,2.92e-267,918.0
33433,KAG9281132.1,KAG9281132.1,XP_007228122.3,SPTY2D1,0.0,1033.0,0.0,1033.0
33434,KAG9281132.1,KAG9281132.1,XP_007228123.2,SPTY2D1,1.3500000000000001e-291,1001.0,4.34e-292,1001.0
33431,KAG9281130.1,TH,XP_007228125.2,TH,2.1800000000000002e-273,940.0,7.27e-274,940.0
33430,KAG9281129.1,IGF2,XP_007228126.2,IGF2B,8.38e-118,422.0,2.78e-118,422.0
33428,KAG9281127.1,KAG9281127.1,XP_007228128.3,SI:CH211-236L14.4,0.0,1432.0,0.0,1432.0
33424,KAG9281125.1,NAP1L4,XP_007228129.3,NAP1L4A,5.8300000000000004e-198,689.0,1.9400000000000002e-198,689.0
33425,KAG9281125.1,NAP1L4,XP_007228130.3,NAP1L4A,9.79e-191,665.0,3.1599999999999996e-191,665.0
33426,KAG9281126.1,CPT1A,XP_007228131.1,CPT1AB,0.0,1583.0,0.0,1583.0
33427,KAG9281126.1,CPT1A,XP_007228132.1,CPT1AB,0.0,1561.0,0.0,1561.0
33423,KAG9281124.1,PHLDA2,XP_007228133.1,PHLDA2,4.73e-71,266.0,1.57e-71,266.0
33422,KAG9281123.1,OSBPL5,XP_007228134.3,OSBPL5,0.0,1706.0,0.0,1706.0
33418,KAG9281121.1,DUSP8,XP_007228144.3,DUSP8A,0.0,1259.0,0.0,1259.0
33417,KAG9281120.1,MOB2,XP_007228148.3,MOB2A,1.56e-138,491.0,6.17e-139,491.0
33406,KAG9281115.1,MYOD1,XP_007228164.2,MYOD1,3.18e-150,530.0,1.06e-150,530.0
33407,KAG9281115.1,MYOD1,XP_007228165.2,MYOD1,4.07e-148,523.0,1.35e-148,523.0
33376,KAG9281111.1,TNNI2,XP_007228167.1,LOC103034366,1.06e-88,325.0,3.53e-89,325.0
33372,KAG9281109.1,TNNI2,XP_007228169.1,TNNI2A.2,2.0900000000000002e-88,324.0,7.14e-89,324.0
33374,KAG9281110.1,TNNI2,XP_007228170.2,LOC103035544,1.31e-86,318.0,4.49e-87,318.0
33368,KAG9281106.1,PDCD2L,XP_007228176.3,PDCD2L,5.09e-216,749.0,1.69e-216,749.0
33363,KAG9281102.1,KRAS,XP_007228179.1,KRAS,2.0300000000000002e-103,374.0,6.729999999999999e-104,374.0
33364,KAG9281102.1,KRAS,XP_007228180.1,KRAS,2.0300000000000002e-103,374.0,6.729999999999999e-104,374.0
33360,KAG9281101.1,RASSF8,XP_007228183.3,LOC103039191,1.64e-238,824.0,5.46e-239,824.0
33359,KAG9281100.1,NT5C1A,XP_007228185.2,LOC103039697,7.84e-151,532.0,2.6e-151,532.0
33329,KAG9281093.1,KAG9281093.1,XP_007228189.3,UNC45A,0.0,1789.0,0.0,1789.0
33331,KAG9281095.1,RHCG,XP_007228190.2,RHCGB,3.08e-284,976.0,1.0399999999999999e-284,976.0
33323,KAG9281092.1,MAN2A2,XP_007228194.2,MAN2A2,0.0,2369.0,0.0,2369.0
33328,KAG9281092.1,MAN2A2,XP_007228197.1,MAN2A2,0.0,2304.0,0.0,2304.0
33322,KAG9281091.1,FURIN,XP_007228198.3,FURINB,0.0,1667.0,0.0,1667.0
33321,KAG9281090.1,ACCS,XP_007228200.3,ACCS,0.0,1838.0,0.0,1838.0
33320,KAG9281089.1,KAG9281089.1,XP_007228201.2,SI:CH211-256A21.4,2.36e-170,597.0,7.85e-171,597.0
33318,KAG9281087.1,RAG2,XP_007228210.3,RAG2,0.0,1105.0,0.0,1105.0
33307,KAG9281081.1,EHF,XP_007228212.1,EHF,4.5699999999999996e-176,616.0,1.5199999999999998e-176,616.0
33306,KAG9281080.1,PDHX,XP_007228215.3,PDHX,5.15e-255,879.0,1.68e-255,879.0
33300,KAG9281077.1,SLC1A2,XP_007228216.2,SLC1A2B,0.0,1061.0,0.0,1061.0
33301,KAG9281077.1,SLC1A2,XP_007228217.2,SLC1A2B,0.0,1052.0,0.0,1052.0
33298,KAG9281075.1,FJX1,XP_007228221.3,FJX1,4.17e-221,766.0,1.3999999999999999e-221,766.0
33291,KAG9281069.1,CIB1,XP_007228226.1,CIB1,5.22e-101,366.0,1.73e-101,366.0
33293,KAG9281071.1,DYNLRB2,XP_007228227.1,LOC103025073,2.4599999999999997e-74,277.0,8.18e-75,277.0
33289,KAG9281068.1,METAP2,XP_007228229.1,METAP2B,1.8599999999999998e-244,844.0,5.560000000000001e-245,844.0
33290,KAG9281068.1,METAP2,XP_007228230.1,METAP2B,2.9799999999999996e-243,840.0,8.879999999999999e-244,840.0
33287,KAG9281066.1,TMPO,XP_007228231.3,TMPOB,1.2800000000000002e-185,648.0,4.25e-186,648.0
33286,KAG9281065.1,SLC25A3,XP_007228232.1,SLC25A3B,1.4e-201,701.0,4.66e-202,701.0
33285,KAG9281065.1,SLC25A3,XP_007228233.1,SLC25A3B,1.71e-205,714.0,5.68e-206,714.0
33279,KAG9281061.1,GPR22A,XP_007228234.2,GPR22B,1.28e-249,861.0,4.25e-250,861.0
33280,KAG9281062.1,KAG9281062.1,XP_007228235.3,CHCHD3B,2.24e-209,728.0,4.65e-210,728.0
33282,KAG9281063.1,GOLT1B,XP_007228237.2,GOLT1BB,3.07e-69,260.0,1.0199999999999999e-69,260.0
33284,KAG9281064.1,LDHBB,XP_007228239.1,LDHBB,2.31e-188,657.0,8.14e-189,657.0
33283,KAG9281064.1,LDHBB,XP_007228240.1,LDHBB,2.31e-188,657.0,7.66e-189,657.0
33278,KAG9281060.1,HBP1,XP_007228242.2,HBP1,1.06e-279,961.0,3.52e-280,961.0
33277,KAG9281059.1,PRKAR2B,XP_007228244.1,LOC103029925,4.2899999999999997e-221,766.0,1.42e-221,766.0
33275,KAG9281056.1,NFATC3,XP_007228245.3,NFATC3B,0.0,1847.0,0.0,1847.0
33274,KAG9281056.1,NFATC3,XP_007228246.3,NFATC3B,0.0,1851.0,0.0,1851.0
33276,KAG9281057.1,DUS2,XP_007228247.3,DUS2,5.21e-283,972.0,1.73e-283,972.0
33270,KAG9281053.1,GPI,XP_007228249.2,GPIA,0.0,1117.0,0.0,1117.0
33271,KAG9281054.1,KAG9281054.1,XP_007228250.3,LSM14AA,3.22e-244,843.0,1.07e-244,843.0
33272,KAG9281054.1,KAG9281054.1,XP_007228251.3,LSM14AA,4.13e-242,836.0,1.37e-242,836.0
33273,KAG9281055.1,AMFR,XP_007228253.3,AMFRA,0.0,1234.0,0.0,1234.0
33268,KAG9281051.1,MPHOSPH6,XP_007228254.1,MPHOSPH6,4.1300000000000003e-85,313.0,1.37e-85,313.0
33269,KAG9281052.1,HSD17B2,XP_007228255.3,HSD17B2,4.15e-218,756.0,1.38e-218,756.0
33267,KAG9281050.1,SNX20,XP_007228256.2,SNX20,3.1099999999999997e-170,597.0,8.22e-171,597.0
33264,KAG9281048.1,RBL2,XP_007228258.3,RBL2,0.0,2058.0,0.0,2058.0
33265,KAG9281048.1,RBL2,XP_007228259.3,RBL2,0.0,2008.0,0.0,2008.0
33262,KAG9281047.1,RPGRIP1L,XP_007228260.3,RPGRIP1L,0.0,2295.0,0.0,2295.0
33263,KAG9281047.1,RPGRIP1L,XP_007228261.3,RPGRIP1L,0.0,2289.0,0.0,2289.0
33261,KAG9281046.1,IRX3,XP_007228263.1,IRX3B,9.279999999999999e-197,685.0,3.0799999999999994e-197,685.0
33260,KAG9281045.1,IRX5,XP_007228265.2,IRX5B,1.4899999999999999e-207,721.0,4.96e-208,721.0
33259,KAG9281044.1,CPNE8,XP_007228266.1,CPNE8,0.0,1045.0,0.0,1045.0
33256,KAG9281042.1,LRRK2,XP_007228267.3,LRRK2,0.0,4942.0,0.0,4942.0
33252,KAG9281040.1,SPI1,XP_007228278.2,SPI1A,7.29e-129,459.0,2.38e-129,459.0
33251,KAG9281040.1,SPI1,XP_007228279.2,SPI1A,2.85e-131,467.0,8.990000000000001e-132,467.0
33249,KAG9281038.1,SLC5A12,XP_007228283.3,SLC5A12,0.0,1248.0,0.0,1248.0
33250,KAG9281039.1,KAG9281039.1,XP_007228284.3,FIBINA,2.59e-116,417.0,8.59e-117,417.0
33246,KAG9281036.1,KAG9281036.1,XP_007228285.3,LOC103042382,5.15e-227,786.0,1.7000000000000001e-227,786.0
33245,KAG9281035.1,KAG9281035.1,XP_007228288.2,LOC103043106,8.340000000000001e-32,135.0,2.52e-32,135.0
33244,KAG9281034.1,GAS2,XP_007228289.2,LOC103043407,7.210000000000001e-184,642.0,2.4e-184,642.0
33237,KAG9281031.1,ANO5,XP_007228293.3,ANO5A,0.0,1796.0,0.0,1796.0
33239,KAG9281031.1,ANO5,XP_007228294.3,ANO5A,0.0,1741.0,0.0,1741.0
33240,KAG9281031.1,ANO5,XP_007228295.3,ANO5A,0.0,1741.0,0.0,1741.0
33236,KAG9281030.1,SIGIRR,XP_007228297.3,SIGIRR,3.76e-254,876.0,1.17e-254,876.0
