,Ast,a,a2,Homo,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
16217,Astyanax_pachon,KAG9266695.1,ABCB11,Homo_sapiens,NP_003733.2,ABCB11,0.0,1842.0,0.0,1842.0
6314,Astyanax_pachon,KAG9262305.1,ABCB6,Homo_sapiens,NP_005680.1,ABCB6,9.749999999999999e-280,963.0,1.48e-280,963.0
29647,Astyanax_pachon,KAG9271887.1,ABCB7,Homo_sapiens,NP_004290.2,ABCB7,0.0,1100.0,0.0,1100.0
38704,Astyanax_pachon,KAG9276103.1,ABCB8,Homo_sapiens,NP_009119.2,ABCB8,1.6e-223,776.0,2.48e-224,776.0
4562,Astyanax_pachon,KAG9261464.1,ABCB9,Homo_sapiens,NP_062571.1,ABCB9,1.31e-234,813.0,1.92e-235,813.0
10135,Astyanax_pachon,KAG9264022.1,ABCC1,Homo_sapiens,NP_004987.2,ABCC1,0.0,2139.0,0.0,2139.0
16140,Astyanax_pachon,KAG9266673.1,ABCC10,Homo_sapiens,NP_001185863.1,ABCC10,0.0,1344.0,0.0,1344.0
3504,Astyanax_pachon,KAG9260934.1,ABCC12,Homo_sapiens,NP_001380726.1,ABCC12,0.0,1303.0,0.0,1303.0
1394,Astyanax_pachon,KAG9260121.1,ABCC2,Homo_sapiens,NP_000383.2,ABCC2,0.0,1719.0,0.0,1719.0
18953,Astyanax_pachon,KAG9267770.1,ABCC3,Homo_sapiens,NP_003777.2,ABCC3,0.0,1838.0,0.0,1838.0
43310,Astyanax_pachon,KAG9277872.1,ABCC4,Homo_sapiens,NP_005836.2,ABCC4,0.0,1773.0,0.0,1773.0
31698,Astyanax_pachon,KAG9272842.1,ABCC5,Homo_sapiens,NP_005679.2,ABCC5,0.0,2016.0,0.0,2016.0
50395,Astyanax_pachon,KAG9281118.1,ABCC8,Homo_sapiens,NP_000343.2,ABCC8,0.0,2310.0,0.0,2310.0
48857,Astyanax_pachon,KAG9280610.1,ABCC9,Homo_sapiens,NP_001364202.1,ABCC9,0.0,2411.0,0.0,2411.0
24913,Astyanax_pachon,KAG9270062.1,ABCD1,Homo_sapiens,NP_000024.2,ABCD1,1.58e-294,1012.0,2.33e-295,1012.0
48340,Astyanax_pachon,KAG9280424.1,ABCD2,Homo_sapiens,NP_005155.1,ABCD2,0.0,1113.0,0.0,1113.0
39692,Astyanax_pachon,KAG9276507.1,ABCD3,Homo_sapiens,NP_002849.1,ABCD3,0.0,1075.0,0.0,1075.0
38189,Astyanax_pachon,KAG9275798.1,ABCD4,Homo_sapiens,NP_005041.1,ABCD4,6.54e-218,757.0,1.1e-218,757.0
22831,Astyanax_pachon,KAG9269173.1,ABCE1,Homo_sapiens,NP_001035809.1,ABCE1,0.0,1106.0,0.0,1106.0
46340,Astyanax_pachon,KAG9279665.1,ABCF1,Homo_sapiens,NP_001081.1,ABCF1,1.52e-287,989.0,2.1099999999999998e-288,989.0
34238,Astyanax_pachon,KAG9273950.1,ABCF2,Homo_sapiens,NP_005683.2,ABCF2-H2BK1,0.0,1036.0,0.0,1036.0
12268,Astyanax_pachon,KAG9265059.1,ABCG1,Homo_sapiens,NP_058198.2,ABCG1,0.0,1140.0,0.0,1140.0
37768,Astyanax_pachon,KAG9275618.1,ABCG2,Homo_sapiens,NP_001335914.1,ABCG2,3.71e-224,778.0,5.65e-225,778.0
51520,Astyanax_pachon,KAG9281752.1,ABCG4,Homo_sapiens,NP_001135977.1,ABCG4,4.31e-290,997.0,6.61e-291,997.0
36598,Astyanax_pachon,KAG9275140.1,ABCG5,Homo_sapiens,NP_071881.1,ABCG5,4.0600000000000004e-212,738.0,6.170000000000001e-213,738.0
36596,Astyanax_pachon,KAG9275139.1,ABCG8,Homo_sapiens,NP_071882.1,ABCG8,2.84e-232,805.0,4.319999999999999e-233,805.0
51113,Astyanax_pachon,KAG9281581.1,ABHD10,Homo_sapiens,NP_060864.1,ABHD10,1.07e-101,370.0,1.74e-102,370.0
13588,Astyanax_pachon,KAG9265673.1,ABHD11,Homo_sapiens,NP_683710.2,ABHD11,1.11e-79,297.0,1.65e-80,297.0
20926,Astyanax_pachon,KAG9268445.1,ABHD12,Homo_sapiens,NP_001035937.1,ABHD12,4.65e-152,538.0,6.06e-153,538.0
27735,Astyanax_pachon,KAG9271157.1,ABHD13,Homo_sapiens,NP_116248.2,ABHD13,5.0000000000000006e-160,564.0,7.65e-161,564.0
2801,Astyanax_pachon,KAG9260692.1,ABHD14A,Homo_sapiens,NP_056222.2,ABHD14A,1.07e-61,237.0,1.68e-62,237.0
40779,Astyanax_pachon,KAG9276904.1,ABHD14B,Homo_sapiens,NP_001139786.1,ABHD14B,6.79e-64,244.0,1.02e-64,244.0
12491,Astyanax_pachon,KAG9265187.1,ABHD15,Homo_sapiens,NP_937790.2,ABHD15,4.23e-111,402.0,6.21e-112,402.0
38491,Astyanax_pachon,KAG9275963.1,ABHD16A,Homo_sapiens,NP_066983.1,ABHD16A,1.8699999999999998e-228,792.0,2.9399999999999998e-229,792.0
25134,Astyanax_pachon,KAG9270143.1,ABHD17A,Homo_sapiens,NP_001123583.1,ABHD17A,6.73e-149,527.0,9.669999999999999e-150,527.0
4702,Astyanax_pachon,KAG9261509.1,ABHD17B,Homo_sapiens,NP_001020951.1,ABHD17B,1.67e-162,572.0,2.5500000000000003e-163,572.0
15780,Astyanax_pachon,KAG9266534.1,ABHD17C,Homo_sapiens,NP_067037.1,ABHD17C,9.16e-154,543.0,1.57e-154,543.0
9650,Astyanax_pachon,KAG9263810.1,ABHD18,Homo_sapiens,NP_001345380.1,ABHD18,6.869999999999999e-188,657.0,1.06e-188,657.0
15724,Astyanax_pachon,KAG9266508.1,ABHD2A,Homo_sapiens,NP_001403341.1,ABHD2,4.02e-198,691.0,5.67e-199,691.0
35569,Astyanax_pachon,KAG9274726.1,ABHD3,Homo_sapiens,NP_612213.2,ABHD3,1.4800000000000003e-163,576.0,2.27e-164,576.0
44625,Astyanax_pachon,KAG9278728.1,ABHD4,Homo_sapiens,NP_071343.2,ABHD4,2.3800000000000002e-116,419.0,3.46e-117,419.0
39746,Astyanax_pachon,KAG9276528.1,ABHD5,Homo_sapiens,NP_001342115.1,ABHD5,6.21e-136,484.0,9.58e-137,484.0
1676,Astyanax_pachon,KAG9260211.1,ABHD6,Homo_sapiens,NP_001307055.1,ABHD6,2.32e-141,502.0,3.53e-142,502.0
44382,Astyanax_pachon,KAG9278608.1,ABHD8,Homo_sapiens,NP_078803.4,ABHD8,2.1100000000000002e-164,579.0,3.04e-165,579.0
40456,Astyanax_pachon,KAG9276765.1,ABI1,Homo_sapiens,NP_001397838.1,ABI1,2.22e-198,692.0,3.1699999999999997e-199,692.0
28857,Astyanax_pachon,KAG9271556.1,ABI2,Homo_sapiens,XP_054196069.1,ABI2,8.540000000000001e-185,647.0,1.2600000000000001e-185,647.0
4020,Astyanax_pachon,KAG9261163.1,ABI3BP,Homo_sapiens,XP_054202059.1,ABI3BP,8.23e-158,558.0,1.53e-158,558.0
46643,Astyanax_pachon,KAG9279776.1,ABITRAM,Homo_sapiens,NP_060302.1,ABITRAM,7.01e-68,257.0,1.07e-68,257.0
51818,Astyanax_pachon,KAG9281890.1,ABL1,Homo_sapiens,NP_009297.2,ABL1,0.0,1381.0,0.0,1381.0
26882,Astyanax_pachon,KAG9270845.1,ABL2,Homo_sapiens,NP_001161708.1,ABL2,0.0,1429.0,0.0,1429.0
52218,Astyanax_pachon,KAG9282076.1,ABR,Homo_sapiens,NP_001309770.1,ABR,0.0,1403.0,0.0,1403.0
46961,Astyanax_pachon,KAG9279898.1,ABRA,Homo_sapiens,NP_631905.1,ABRA,6.57e-80,298.0,1.0300000000000001e-80,298.0
53284,Astyanax_pachon,KAG9282592.1,ABRACL,Homo_sapiens,NP_067066.1,ABRACL,1.67e-31,135.0,2.55e-32,135.0
13290,Astyanax_pachon,KAG9265508.1,ABRAXAS1,Homo_sapiens,NP_620775.2,ABRAXAS1,9.61e-66,251.0,1.5500000000000001e-66,251.0
20106,Astyanax_pachon,KAG9268133.1,ABRAXAS2,Homo_sapiens,NP_115558.3,ABRAXAS2,2.24e-115,416.0,3.36e-116,416.0
24938,Astyanax_pachon,KAG9270068.1,ABT1,Homo_sapiens,NP_037507.1,ABT1,1.69e-50,200.0,2.32e-51,200.0
24873,Astyanax_pachon,KAG9270042.1,ABTB1,Homo_sapiens,NP_742024.1,ABTB1,5.32e-196,684.0,8.16e-197,684.0
50447,Astyanax_pachon,KAG9281136.1,ABTB2,Homo_sapiens,NP_665803.2,ABTB2,0.0,1325.0,0.0,1325.0
55150,Astyanax_pachon,KAG9283301.1,ACAA1A,Homo_sapiens,NP_001598.1,ACAA1,2.27e-171,602.0,3.4999999999999997e-172,602.0
24626,Astyanax_pachon,KAG9269961.1,ACAA2,Homo_sapiens,NP_006102.2,ACAA2,2.25e-171,602.0,3.28e-172,602.0
51962,Astyanax_pachon,KAG9281984.1,ACACA,Homo_sapiens,NP_942131.1,ACACA,0.0,4089.0,0.0,4089.0
4796,Astyanax_pachon,KAG9261557.1,ACACB,Homo_sapiens,NP_001084.3,ACACB,0.0,3569.0,0.0,3569.0
4920,Astyanax_pachon,KAG9261668.1,ACAD10,Homo_sapiens,NP_079523.3,ACAD10,1.41e-136,487.0,3.63e-137,487.0
12990,Astyanax_pachon,KAG9265399.1,ACAD8,Homo_sapiens,NP_055199.1,ACAD8,4.909999999999999e-190,664.0,7.43e-191,664.0
3023,Astyanax_pachon,KAG9260784.1,ACAD9,Homo_sapiens,NP_054768.2,ACAD9,1.39e-254,879.0,2.11e-255,879.0
33367,Astyanax_pachon,KAG9273471.1,ACADL,Homo_sapiens,NP_001599.1,ACADL,9.09e-177,620.0,1.35e-177,620.0
11526,Astyanax_pachon,KAG9264719.1,ACADM,Homo_sapiens,NP_000007.1,ACADM,5.75e-200,697.0,8.78e-201,697.0
7436,Astyanax_pachon,KAG9262939.1,ACADS,Homo_sapiens,NP_000008.1,ACADS,1.12e-168,593.0,1.7400000000000002e-169,593.0
18412,Astyanax_pachon,KAG9267510.1,ACADSB,Homo_sapiens,NP_001600.1,ACADSB,3.81e-167,588.0,5.839999999999999e-168,588.0
35122,Astyanax_pachon,KAG9274413.1,ACADVL,Homo_sapiens,NP_000009.1,ACADVL,2.44e-256,885.0,3.48e-257,885.0
3111,Astyanax_pachon,KAG9260828.1,ACAN,Homo_sapiens,NP_001157570.1,VCAN,8.88e-134,479.0,1.44e-134,479.0
35129,Astyanax_pachon,KAG9274420.1,ACAP1,Homo_sapiens,NP_055531.1,ACAP1,4.37e-221,768.0,6.53e-222,768.0
16812,Astyanax_pachon,KAG9266921.1,ACAP2,Homo_sapiens,XP_054201889.1,ACAP2,0.0,1134.0,0.0,1134.0
2451,Astyanax_pachon,KAG9260555.1,ACAP3,Homo_sapiens,NP_085152.2,ACAP3,0.0,1070.0,0.0,1070.0
7964,Astyanax_pachon,KAG9263112.1,ACAT1,Homo_sapiens,NP_000010.1,ACAT1,6.73e-179,627.0,1.0500000000000001e-179,627.0
54082,Astyanax_pachon,KAG9282919.1,ACAT2,Homo_sapiens,NP_005882.2,ACAT2,2.29e-162,572.0,3.5200000000000004e-163,572.0
54091,Astyanax_pachon,KAG9282923.1,ACBD3,Homo_sapiens,NP_073572.2,ACBD3,6.56e-153,541.0,1.0099999999999999e-153,541.0
18903,Astyanax_pachon,KAG9267729.1,ACBD4,Homo_sapiens,NP_001129179.1,ACBD4,2.08e-49,197.0,1.83e-50,197.0
40432,Astyanax_pachon,KAG9276764.1,ACBD5A,Homo_sapiens,NP_001258441.1,ACBD5,3.43e-85,316.0,5.3700000000000004e-86,316.0
33757,Astyanax_pachon,KAG9273665.1,ACBD5B,Homo_sapiens,XP_054223109.1,ACBD5,1.68e-39,164.0,2.4699999999999997e-40,164.0
25226,Astyanax_pachon,KAG9270182.1,ACBD6,Homo_sapiens,NP_115736.1,ACBD6,2.17e-55,216.0,3.6700000000000004e-56,216.0
55925,Astyanax_pachon,KAG9283633.1,ACBD7,Homo_sapiens,NP_001034933.1,ACBD7,1.1900000000000001e-26,119.0,1.8100000000000002e-27,119.0
17970,Astyanax_pachon,KAG9267326.1,ACE,Homo_sapiens,NP_000780.1,ACE,0.0,1792.0,0.0,1792.0
3720,Astyanax_pachon,KAG9261029.1,ACE2,Homo_sapiens,NP_001358344.1,ACE2,3.6199999999999994e-282,971.0,5.53e-283,971.0
24993,Astyanax_pachon,KAG9270085.1,ACER1,Homo_sapiens,NP_597999.1,ACER1,2.0100000000000002e-79,296.0,2.84e-80,296.0
34740,Astyanax_pachon,KAG9274215.1,ACER2,Homo_sapiens,NP_001010887.2,ACER2,4.92e-136,484.0,7.549999999999999e-137,484.0
7963,Astyanax_pachon,KAG9263103.1,ACER3,Homo_sapiens,NP_060837.3,ACER3,1.59e-100,366.0,2.43e-101,366.0
34832,Astyanax_pachon,KAG9274266.1,ACHE,Homo_sapiens,NP_000656.1,ACHE,2.22e-225,782.0,3.3100000000000004e-226,782.0
35175,Astyanax_pachon,KAG9274464.1,ACIN1,Homo_sapiens,XP_054231585.1,ACIN1,5.42e-92,340.0,8.21e-93,340.0
43445,Astyanax_pachon,KAG9277923.1,ACKR3,Homo_sapiens,NP_064707.1,ACKR3,6.06e-117,421.0,9.16e-118,421.0
34314,Astyanax_pachon,KAG9273988.1,ACKR4,Homo_sapiens,NP_057641.1,ACKR4,1.5599999999999999e-83,310.0,2.3e-84,310.0
10489,Astyanax_pachon,KAG9264241.1,ACLY,Homo_sapiens,NP_001290204.1,ACLY,0.0,1948.0,0.0,1948.0
27939,Astyanax_pachon,KAG9271253.1,ACMSD,Homo_sapiens,NP_612199.2,ACMSD,3.8099999999999997e-165,581.0,5.82e-166,581.0
34741,Astyanax_pachon,KAG9274218.1,ACO1,Homo_sapiens,NP_001265281.1,ACO1,0.0,1507.0,0.0,1507.0
18674,Astyanax_pachon,KAG9267633.1,ACO2,Homo_sapiens,NP_001089.1,ACO2,0.0,1331.0,0.0,1331.0
28365,Astyanax_pachon,KAG9271417.1,ACOD1,Homo_sapiens,NP_001245335.1,ACOD1,8.08e-154,544.0,1.1400000000000001e-154,544.0
25057,Astyanax_pachon,KAG9270111.1,ACOT11,Homo_sapiens,NP_671517.1,ACOT11,9.489999999999999e-207,720.0,1.4799999999999999e-207,720.0
46531,Astyanax_pachon,KAG9279735.1,ACOT13,Homo_sapiens,NP_060943.1,ACOT13,7.870000000000001e-51,200.0,1.19e-51,200.0
54334,Astyanax_pachon,KAG9283005.1,ACOT2,Homo_sapiens,NP_006812.3,ACOT2,7.27e-114,411.0,1.25e-114,411.0
54336,Astyanax_pachon,KAG9283006.1,ACOT3,Homo_sapiens,NP_006812.3,ACOT2,2.86e-116,419.0,4.89e-117,419.0
1835,Astyanax_pachon,KAG9260292.1,ACOT8,Homo_sapiens,NP_005460.2,ACOT8,6.83e-124,444.0,9.62e-125,444.0
55292,Astyanax_pachon,KAG9283355.1,ACOT9,Homo_sapiens,NP_001032248.1,ACOT9,3.37e-154,545.0,5.33e-155,545.0
42222,Astyanax_pachon,KAG9277452.1,ACOX1,Homo_sapiens,NP_004026.2,ACOX1,3.7e-283,974.0,5.669999999999999e-284,974.0
35013,Astyanax_pachon,KAG9274352.1,ACOX3,Homo_sapiens,NP_001362712.1,ACOX3,8.740000000000001e-271,933.0,1.32e-271,933.0
36260,Astyanax_pachon,KAG9275009.1,ACOXL,Homo_sapiens,XP_054198772.1,ACOXL,2.68e-235,815.0,3.83e-236,815.0
24352,Astyanax_pachon,KAG9269829.1,ACP1,Homo_sapiens,NP_009030.1,ACP1,9.79e-67,253.0,1.4999999999999998e-67,253.0
3657,Astyanax_pachon,KAG9260991.1,ACP2,Homo_sapiens,NP_001601.1,ACP2,1.4999999999999998e-119,430.0,2.09e-120,430.0
42025,Astyanax_pachon,KAG9277353.1,ACP5,Homo_sapiens,NP_001104504.1,ACP5,1.52e-105,383.0,2.26e-106,383.0
27348,Astyanax_pachon,KAG9271024.1,ACP6,Homo_sapiens,NP_057445.4,ACP6,8.46e-96,351.0,1.28e-96,351.0
20207,Astyanax_pachon,KAG9268176.1,ACP7,Homo_sapiens,NP_001004318.2,ACP7,1.4e-150,533.0,2.14e-151,533.0
24200,Astyanax_pachon,KAG9269772.1,ACR,Homo_sapiens,XP_054207258.1,TMPRSS11D,1.4199999999999998e-46,187.0,1.64e-47,187.0
50034,Astyanax_pachon,KAG9281005.1,ACSBG1,Homo_sapiens,XP_054233536.1,ACSBG1,1.1e-240,833.0,1.6799999999999998e-241,833.0
24984,Astyanax_pachon,KAG9270083.1,ACSBG2,Homo_sapiens,XP_054178224.1,ACSBG2,3.52e-217,755.0,4.82e-218,755.0
19471,Astyanax_pachon,KAG9267942.1,ACSF2,Homo_sapiens,NP_079425.3,ACSF2,1.73e-193,676.0,2.69e-194,676.0
4182,Astyanax_pachon,KAG9261256.1,ACSF3,Homo_sapiens,NP_001120686.1,ACSF3,2.62e-192,672.0,4.03e-193,672.0
480,Astyanax_pachon,KAG9259686.1,ACSL1,Homo_sapiens,NP_001273637.1,ACSL1,0.0,1034.0,0.0,1034.0
44365,Astyanax_pachon,KAG9278595.1,ACSL3,Homo_sapiens,NP_001341087.1,ACSL3,0.0,1072.0,0.0,1072.0
31019,Astyanax_pachon,KAG9272539.1,ACSL4,Homo_sapiens,NP_001305438.1,ACSL4,0.0,1100.0,0.0,1100.0
19289,Astyanax_pachon,KAG9267886.1,ACSL5,Homo_sapiens,NP_057318.2,ACSL5,1.05e-283,976.0,1.59e-284,976.0
14763,Astyanax_pachon,KAG9266207.1,ACSL6,Homo_sapiens,NP_001392408.1,ACSL6,0.0,1093.0,0.0,1093.0
43785,Astyanax_pachon,KAG9278298.1,ACSM3,Homo_sapiens,NP_005613.2,ACSM3,4.0299999999999994e-228,791.0,6.169999999999999e-229,791.0
23057,Astyanax_pachon,KAG9269312.1,ACSS2,Homo_sapiens,NP_001070020.2,ACSS2,0.0,1096.0,0.0,1096.0
48559,Astyanax_pachon,KAG9280488.1,ACSS3,Homo_sapiens,NP_001317171.1,ACSS3,6.41e-255,880.0,1.16e-255,880.0
18863,Astyanax_pachon,KAG9267709.1,ACTA2,Homo_sapiens,NP_001393396.1,ACTA2,9.55e-194,676.0,1.46e-194,676.0
6266,Astyanax_pachon,KAG9262281.1,ACTBA,Homo_sapiens,NP_001186883.1,ACTG1,1.7700000000000001e-217,755.0,2.71e-218,755.0
47085,Astyanax_pachon,KAG9279940.1,ACTBB,Homo_sapiens,NP_001092.1,ACTB,8.870000000000001e-218,756.0,1.36e-218,756.0
29908,Astyanax_pachon,KAG9272000.1,ACTC1,Homo_sapiens,NP_001393411.1,ACTC1,7.13e-217,753.0,1.09e-217,753.0
23248,Astyanax_pachon,KAG9269439.1,ACTL6B,Homo_sapiens,NP_057272.1,ACTL6B,2.52e-218,758.0,3.85e-219,758.0
36140,Astyanax_pachon,KAG9274976.1,ACTN1,Homo_sapiens,NP_001093.1,ACTN1,0.0,1662.0,0.0,1662.0
20800,Astyanax_pachon,KAG9268411.1,ACTN2,Homo_sapiens,NP_001094.1,ACTN2,0.0,1521.0,0.0,1521.0
14006,Astyanax_pachon,KAG9265874.1,ACTN3,Homo_sapiens,NP_001095.2,ACTN3,0.0,1499.0,0.0,1499.0
44978,Astyanax_pachon,KAG9278887.1,ACTN4,Homo_sapiens,NP_004915.2,ACTN4,0.0,1580.0,0.0,1580.0
54014,Astyanax_pachon,KAG9282893.1,ACTR10,Homo_sapiens,NP_060947.1,ACTR10,1.49e-194,679.0,2.28e-195,679.0
8615,Astyanax_pachon,KAG9263422.1,ACTR1B,Homo_sapiens,NP_005726.1,ACTR1B,1.22e-206,719.0,1.8699999999999998e-207,719.0
36446,Astyanax_pachon,KAG9275078.1,ACTR2A,Homo_sapiens,NP_005713.1,ACTR2,3.47e-226,784.0,5.31e-227,784.0
28816,Astyanax_pachon,KAG9271545.1,ACTR3,Homo_sapiens,NP_005712.1,ACTR3,3.2e-244,844.0,4.88e-245,844.0
40493,Astyanax_pachon,KAG9276777.1,ACTR3B,Homo_sapiens,NP_065178.1,ACTR3B,1.1e-233,809.0,1.68e-234,809.0
25260,Astyanax_pachon,KAG9270189.1,ACTR5,Homo_sapiens,NP_079131.3,ACTR5,1.11e-191,670.0,1.7e-192,670.0
30731,Astyanax_pachon,KAG9272423.1,ACTR6,Homo_sapiens,NP_071941.1,ACTR6,6.75e-201,700.0,1.03e-201,700.0
25338,Astyanax_pachon,KAG9270208.1,ACTR8,Homo_sapiens,NP_075050.3,ACTR8,1.04e-262,906.0,1.5799999999999998e-263,906.0
29173,Astyanax_pachon,KAG9271672.1,ACVR1,Homo_sapiens,NP_001096.1,ACVR1,2.3899999999999997e-225,782.0,2.7400000000000003e-226,782.0
41166,Astyanax_pachon,KAG9277053.1,ACVR1B,Homo_sapiens,NP_004293.1,ACVR1B,2.14e-232,805.0,3.2399999999999998e-233,805.0
29171,Astyanax_pachon,KAG9271671.1,ACVR1C,Homo_sapiens,NP_660302.2,ACVR1C,1.05e-201,703.0,1.61e-202,703.0
42457,Astyanax_pachon,KAG9277541.1,ACVR2A,Homo_sapiens,NP_001265508.1,ACVR2A,3.62e-256,884.0,5.45e-257,884.0
39143,Astyanax_pachon,KAG9276266.1,ACVR2B,Homo_sapiens,NP_001097.2,ACVR2B,1.38e-258,892.0,2.13e-259,892.0
2802,Astyanax_pachon,KAG9260693.1,ACY1,Homo_sapiens,NP_000657.1,ACY1,1.34e-150,533.0,1.99e-151,533.0
21908,Astyanax_pachon,KAG9268787.1,ACYP1,Homo_sapiens,NP_001098.1,ACYP1,4.78e-34,144.0,6.080000000000001e-35,144.0
17144,Astyanax_pachon,KAG9267044.1,ACYP2,Homo_sapiens,NP_001307517.1,ACYP2,3.4299999999999996e-23,108.0,3.17e-24,108.0
22588,Astyanax_pachon,KAG9269085.1,ADA,Homo_sapiens,NP_000013.2,ADA,1.7300000000000001e-130,466.0,2.61e-131,466.0
48766,Astyanax_pachon,KAG9280567.1,ADA2A,Homo_sapiens,NP_001269154.1,ADA2,1.65e-147,523.0,2.5500000000000002e-148,523.0
50522,Astyanax_pachon,KAG9281166.1,ADAD1,Homo_sapiens,NP_640336.1,ADAD1,1.24e-139,497.0,1.93e-140,497.0
34913,Astyanax_pachon,KAG9274297.1,ADAD2,Homo_sapiens,NP_001138872.1,ADAD2,3.31e-66,253.0,5.5199999999999996e-67,253.0
30662,Astyanax_pachon,KAG9272401.1,ADAL,Homo_sapiens,NP_001311295.1,MAPDA,1.8700000000000002e-124,446.0,2.68e-125,446.0
4271,Astyanax_pachon,KAG9261290.1,ADAM10,Homo_sapiens,NP_001101.1,ADAM10,0.0,1133.0,0.0,1133.0
47261,Astyanax_pachon,KAG9280013.1,ADAM11,Homo_sapiens,NP_002381.2,ADAM11,6.05e-266,917.0,9.51e-267,917.0
