,Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
44,ADIPOR1,NP_057083.2,"[('KAG9260470.1', 'ADIPOR1'), ('KAG9270871.1', 'ADIPOR1')]",45
45,ADIPOR2,NP_001362292.1,"[('KAG9280198.1', 'ADIPOR2')]",46
46,ADM,NP_001115.1,"[('KAG9267137.1', 'ADM')]",47
47,ADORA1,XP_054190467.1,"[('KAG9270758.1', 'ADORA1')]",48
48,ADORA2A,NP_001265426.1,"[('KAG9266218.1', 'ADORA2A')]",49
49,ADRA2B,NP_000673.2,"[('KAG9270485.1', 'ADRA2B')]",50
50,ADRB2,NP_000015.2,"[('KAG9265923.1', 'ADRB2'), ('KAG9272734.1', 'ADRB2')]",51
51,ADRB3,NP_000016.1,"[('KAG9270408.1', 'ADRB4C'), ('KAG9270409.1', 'ADRB4C')]",52
52,AGGF1,NP_060516.2,"[('KAG9266004.1', 'AGGF1')]",53
53,AGR2,XP_054213068.1,"[('KAG9276105.1', 'KAG9276105.1'), ('KAG9279662.1', 'KAG9279662.1')]",54
54,AGT,NP_001369746.2,"[('KAG9275581.1', 'AGT')]",55
55,AHR,NP_001612.1,"[('KAG9261101.1', 'AHR')]",56
56,AHRR,NP_001364168.1,"[('KAG9278757.1', 'AHRR')]",57
57,AIP,XP_054226424.1,"[('KAG9275732.1', 'AIP')]",58
58,AIRE,NP_000374.1,"[('KAG9264757.1', 'AIRE')]",59
59,AK4,NP_982289.1,"[('KAG9277323.1', 'AK4')]",60
60,AKAP12,NP_005091.2,"[('KAG9283009.1', 'AKAP12')]",61
61,AKR1B1,NP_001619.1,"[('KAG9280149.1', 'AKR1B1'), ('KAG9280151.1', 'AKR1B1')]",62
62,AKT1,NP_001369359.1,"[('KAG9268166.1', 'AKT1')]",63
63,ALAS1,NP_001291373.1,"[('KAG9260450.1', 'ALAS1')]",64
64,ALAS2,NP_001033057.1,"[('KAG9270805.1', 'ALAS2')]",65
65,ALDH1A3,NP_000684.2,"[('KAG9266523.1', 'ALDH1A3')]",66
66,ALDOA,NP_001230106.1,"[('KAG9265778.1', 'ALDOCB'), ('KAG9267404.1', 'KAG9267404.1')]",67
67,ALDOB,NP_000026.2,"[('KAG9272192.1', 'ALDOB')]",68
68,ALK,NP_004295.2,"[('KAG9268120.1', 'ALK'), ('KAG9268855.1', 'ALK')]",69
69,ALKBH2,NP_001138846.1,"[('KAG9261400.1', 'ALKBH2')]",70
70,ALOX12,NP_000688.2,"[('KAG9274271.1', 'ALOX12')]",71
71,ALOX15B,NP_001132.2,"[('KAG9269156.1', 'ALOXE3'), ('KAG9282355.1', 'ALOX15B'), ('KAG9282358.1', 'ALOX15B')]",72
72,ALOX5,NP_000689.1,"[('KAG9275247.1', 'ALOX5')]",73
73,ALOX5AP,NP_001191335.1,"[('KAG9263242.1', 'ALOX5AP')]",74
74,ALPI,NP_001622.2,"[('KAG9265319.1', 'ALPL'), ('KAG9266905.1', 'ALPI')]",75
75,ALPL,NP_000469.3,"[('KAG9260765.1', 'KAG9260765.1')]",76
76,AMACR,NP_001161067.1,"[('KAG9265514.1', 'AMACR')]",77
77,AMH,NP_000470.3,"[('KAG9266835.1', 'AMH')]",78
78,ANAPC4,NP_001273685.1,"[('KAG9282781.1', 'ANAPC4')]",79
79,ANGPT1,NP_001186788.1,"[('KAG9279899.1', 'ANGPT1')]",80
80,ANGPTL4,XP_054177121.1,"[('KAG9278896.1', 'ANGPTL4')]",81
81,ANKRD1,NP_055206.2,"[('KAG9268373.1', 'ANKRD1')]",82
82,ANPEP,NP_001141.2,"[('KAG9266984.1', 'ANPEP'), ('KAG9266986.1', 'ANPEP'), ('KAG9272063.1', 'ANPEP')]",83
83,ANTXR1,NP_115584.1,"[('KAG9270449.1', 'ANTXR1')]",84
84,APAF1,NP_863651.1,"[('KAG9280671.1', 'APAF1')]",85
85,APBB1,NP_663722.1,"[('KAG9263534.1', 'APBB1')]",86
86,APC,NP_001394375.1,"[('KAG9263037.1', 'APC')]",87
87,APCS,NP_001630.1,"[('KAG9276808.1', 'PXN1')]",88
88,APLF,NP_775816.1,"[('KAG9262580.1', 'APLF')]",89
89,APLNR,NP_005152.1,"[('KAG9263357.1', 'APLNRB'), ('KAG9270496.1', 'APLNRA')]",90
90,APOB,NP_000375.3,"[('KAG9268103.1', 'APOB')]",91
91,APOD,NP_001638.1,"[('KAG9273925.1', 'APOD'), ('KAG9283441.1', 'APOD')]",92
92,ARF1,NP_001649.1,"[('KAG9264198.1', 'ARF1'), ('KAG9269763.1', 'ARF3'), ('KAG9274767.1', 'ARF1'), ('KAG9276113.1', 'ARF1'), ('KAG9277049.1', 'ARF3')]",93
93,ARF6,NP_001654.1,"[('KAG9268625.1', 'ARF6'), ('KAG9282898.1', 'ARF6')]",94
94,ARG1,NP_001231367.1,"[('KAG9267570.1', 'ARG1')]",95
95,ARG2,NP_001163.1,"[('KAG9274930.1', 'ARG2')]",96
96,ARHGEF1,XP_054178551.1,"[('KAG9283584.1', 'ARHGEF1')]",97
97,ARID1A,NP_006006.3,"[('KAG9276408.1', 'ARID1A'), ('KAG9279294.1', 'ARID1A')]",98
98,ARID1B,XP_054212005.1,"[('KAG9268877.1', 'ARID1B'), ('KAG9283094.1', 'ARID1B')]",99
99,ARID3A,XP_054176112.1,"[('KAG9266755.1', 'ARID3A')]",100
100,ARL6IP5,NP_006398.1,"[('KAG9269870.1', 'ARL6IP5')]",101
101,ARNT2,NP_055677.3,"[('KAG9266533.1', 'ARNT2')]",102
102,ARX,NP_620689.1,"[('KAG9283403.1', 'ARX')]",103
103,ASAH1,NP_004306.3,"[('KAG9259665.1', 'ASAH1')]",104
104,ASAP2,XP_054200351.1,"[('KAG9268481.1', 'ASAP2')]",105
105,ASCL1,NP_004307.2,"[('KAG9280174.1', 'KAG9280174.1')]",106
106,ASF1B,NP_060624.1,"[('KAG9279033.1', 'ASF1BA')]",107
107,ASH1L,XP_054193647.1,"[('KAG9279390.1', 'ASH1L')]",108
108,ASNS,NP_001339425.1,"[('KAG9279601.1', 'ASNS'), ('KAG9279602.1', 'ASNS')]",109
109,ASPH,NP_001400830.1,"[('KAG9274038.1', 'ASPH')]",110
110,ASS1,NP_446464.1,"[('KAG9281630.1', 'ASS1')]",111
111,ASXL1,NP_056153.2,"[('KAG9269706.1', 'ASXL1')]",112
112,ATAD2,XP_054216337.1,"[('KAG9283645.1', 'ATAD2')]",113
113,ATF2,NP_001871.2,"[('KAG9271470.1', 'ATF2')]",114
114,ATF3,XP_054192718.1,"[('KAG9282578.1', 'ATF3')]",115
115,ATF4,XP_054181624.1,"[('KAG9277484.1', 'ATF4')]",116
116,ATF6,XP_054191190.1,"[('KAG9282605.1', 'ATF6')]",117
117,ATG5,NP_004840.1,"[('KAG9278476.1', 'ATG5')]",118
118,ATG7,NP_001336164.1,"[('KAG9260376.1', 'ATG7')]",119
119,ATM,NP_001338763.1,"[('KAG9278580.1', 'ATM')]",120
120,ATP1B1,NP_001668.1,"[('KAG9262117.1', 'ATNB233'), ('KAG9277728.1', 'ATNB233')]",121
121,ATP2A2,NP_001672.1,"[('KAG9266333.1', 'ATP2A2'), ('KAG9269997.1', 'ATP2A2')]",122
122,ATP2A3,XP_054172252.1,"[('KAG9281739.1', 'ATP2A2')]",123
123,ATP2C1,NP_001365440.1,"[('KAG9283852.1', 'ATP2C1')]",124
124,ATP6V0A2,NP_036595.2,"[('KAG9262046.1', 'ATP6V0A2')]",125
125,ATP6V0E1,NP_003936.1,"[('KAG9281161.1', 'ATP6V0E1')]",126
126,ATRX,XP_054183258.1,"[('KAG9271883.1', 'ATRX')]",127
127,ATXN2,NP_002964.4,"[('KAG9261673.1', 'ATXN2')]",128
128,ATXN7,NP_001170858.1,"[('KAG9260611.1', 'ATXN7')]",129
129,AURKA,NP_001411349.1,"[('KAG9266270.1', 'AURKA-A')]",130
130,AVP,NP_000481.2,"[('KAG9270647.1', 'KAG9270647.1'), ('KAG9281625.1', 'KAG9281625.1'), ('KAG9281896.1', 'KAG9281896.1')]",131
131,AXL,NP_068713.2,"[('KAG9278556.1', 'AXL')]",132
132,B2M,NP_004039.1,"[('KAG9280306.1', 'B2M'), ('KAG9280307.1', 'B2M')]",133
133,BAALC,NP_001351803.1,"[('KAG9282832.1', 'BAALC')]",134
134,BACE2,NP_036237.2,"[('KAG9278581.1', 'BACE2')]",135
135,BACH1,NP_001177.1,"[('KAG9263674.1', 'BACH1'), ('KAG9265004.1', 'BACH1')]",136
136,BACH2,NP_068585.1,"[('KAG9282415.1', 'BACH2')]",137
137,BAG1,NP_004314.6,"[('KAG9274006.1', 'BAG1')]",138
138,BAG2,NP_004273.1,"[('KAG9275054.1', 'BAG2')]",139
139,BAG3,NP_004272.2,"[('KAG9275425.1', 'BAG3')]",140
140,BAMBI,NP_036474.1,"[('KAG9267963.1', 'KAG9267963.1')]",141
141,BARX2,NP_003649.2,"[('KAG9273358.1', 'BARX2')]",142
142,BATF,NP_006390.1,"[('KAG9282290.1', 'BATF'), ('KAG9282577.1', 'BATF')]",143
143,BCAR1,NP_001164186.1,"[('KAG9273251.1', 'BCAR1')]",144
144,BCAS2,NP_005863.1,"[('KAG9270014.1', 'BCAS2')]",145
145,BCAS3,NP_001340073.1,"[('KAG9265459.1', 'BCAS3')]",146
146,BCL2,NP_000624.2,"[('KAG9273651.1', 'BCL2'), ('KAG9283483.1', 'BCL2')]",147
147,BCL2L11,XP_054196038.1,"[('KAG9275008.1', 'BCL2L11')]",148
148,BCL6,NP_001124317.1,"[('KAG9277742.1', 'BCL6')]",149
149,BDKRB2,NP_001366621.1,"[('KAG9268748.1', 'BDKRB2')]",150
150,BEST1,NP_004174.1,"[('KAG9280813.1', 'BEST1')]",151
151,BGLAP,NP_954642.1,"[('KAG9279090.1', 'BGLAP')]",152
152,BGN,XP_054183538.1,"[('KAG9269602.1', 'BGN')]",153
153,BHLHE22,NP_689627.1,"[('KAG9283376.1', 'BHLHE22')]",154
154,BHLHE40,XP_054204135.1,"[('KAG9260657.1', 'BHLHE40')]",155
155,BHLHE41,NP_110389.1,"[('KAG9273118.1', 'BHLHE41')]",156
156,BHMT,XP_054209017.1,"[('KAG9266350.1', 'BHMT')]",157
157,BIRC2,XP_054224586.1,"[('KAG9265614.1', 'ITA')]",158
158,BIRC3,XP_054224588.1,"[('KAG9265614.1', 'ITA')]",159
159,BLK,XP_054216944.1,"[('KAG9282841.1', 'BLK')]",160
160,BLM,NP_000048.1,"[('KAG9273286.1', 'BLM')]",161
161,BLMH,NP_000377.1,"[('KAG9265097.1', 'BLMH')]",162
162,BMP2,NP_001191.1,"[('KAG9268738.1', 'BMP2'), ('KAG9282875.1', 'BMP2')]",163
163,BMP4,NP_001334841.1,"[('KAG9268760.1', 'BMP4')]",164
164,BMP7,NP_001710.1,"[('KAG9269286.1', 'BMP7')]",165
165,BNIP3,NP_004043.4,"[('KAG9267448.1', 'BNIP3')]",166
166,BPTF,XP_054171404.1,"[('KAG9264497.1', 'BPTF')]",167
167,BRCA2,NP_000050.3,"[('KAG9264639.1', 'BRCA2')]",168
168,BRD2,NP_001186384.1,"[('KAG9279317.1', 'BRD2'), ('KAG9283746.1', 'BRD2')]",169
169,BRD3,XP_054219853.1,"[('KAG9261897.1', 'BRD2'), ('KAG9266294.1', 'BRD2')]",170
170,BRD4,NP_001366220.1,"[('KAG9278999.1', 'BRD4')]",171
171,BRIP1,XP_054173476.1,"[('KAG9265462.1', 'BRIP1')]",172
172,BRPF1,XP_054203765.1,"[('KAG9270239.1', 'BRPF1')]",173
173,BSG,XP_054177819.1,"[('KAG9266658.1', 'BSG')]",174
174,BTAF1,NP_003963.1,"[('KAG9275513.1', 'BTAF1')]",175
175,BTF3,NP_001032726.1,"[('KAG9281962.1', 'BTF3')]",176
176,BTG1,NP_001722.1,"[('KAG9280684.1', 'BTG1')]",177
177,BTG2,NP_006754.1,"[('KAG9260740.1', 'BTG1')]",178
178,BTG3,XP_054180299.1,"[('KAG9263241.1', 'BTG3')]",179
179,BTK,NP_001274273.1,"[('KAG9272766.1', 'BTK')]",180
180,BUB1B,NP_001202.5,"[('KAG9282910.1', 'BUB1B')]",181
181,C1QBP,NP_001203.1,"[('KAG9281703.1', 'C1QBP')]",182
182,C3,NP_000055.2,"[('KAG9262728.1', 'C3')]",183
183,C4A,NP_009224.2,"[('KAG9264633.1', 'C4B')]",184
184,C4B,NP_001002029.3,"[('KAG9264633.1', 'C4B')]",185
185,CA2,NP_000058.1,"[('KAG9275944.1', 'CA1'), ('KAG9278406.1', 'CAHZ'), ('KAG9278407.1', 'CAHZ')]",186
186,CA9,NP_001207.2,"[('KAG9263511.1', 'CA9')]",187
187,CABIN1,XP_054181289.1,"[('KAG9270414.1', 'CABIN1')]",188
188,CABLES1,NP_001094089.1,"[('KAG9278770.1', 'CABLES1')]",189
189,CACNA1H,XP_054170237.1,"[('KAG9262294.1', 'CACNA1H')]",190
190,CAD,XP_054199815.1,"[('KAG9282555.1', 'CAD')]",191
191,CAPN10,NP_075571.2,"[('KAG9278194.1', 'CAPN10')]",192
192,CAPNS1,NP_001740.1,"[('KAG9265108.1', 'CAPNS1'), ('KAG9265109.1', 'CAPNS1'), ('KAG9282161.1', 'CAPNS1')]",193
193,CARM1,NP_954592.1,"[('KAG9263926.1', 'CARM1')]",194
194,CARTPT,NP_004282.1,"[('KAG9261308.1', 'CARTPT'), ('KAG9272431.1', 'CARTPT')]",195
195,CASP1,XP_054226104.1,"[('KAG9259534.1', 'CASPA'), ('KAG9274344.1', 'CASPA'), ('KAG9283866.1', 'CASPA')]",196
196,CASP2,NP_116764.2,"[('KAG9276564.1', 'CASP2')]",197
197,CASP3,NP_001341706.1,"[('KAG9259687.1', 'CASP3'), ('KAG9272585.1', 'CASP3')]",198
198,CASP7,NP_001253986.1,"[('KAG9267896.1', 'CASP7')]",199
199,CASP8,NP_001073594.1,"[('KAG9277633.1', 'CASP8')]",200
200,CASR,NP_001171536.2,"[('KAG9281593.1', 'CASR')]",201
201,CAT,NP_001743.1,"[('KAG9280725.1', 'CAT')]",202
202,CAV1,NP_001744.2,"[('KAG9272138.1', 'CAV1')]",203
203,CBFB,NP_074036.1,"[('KAG9273258.1', 'CBFB')]",204
204,CBS,XP_054180896.1,"[('KAG9262386.1', 'CBS'), ('KAG9271703.1', 'CBS')]",205
205,CBX5,NP_001120793.1,"[('KAG9269039.1', 'KAG9269039.1')]",206
206,CBX8,NP_065700.1,"[('KAG9277415.1', 'KAG9277415.1')]",207
207,CCK,NP_001167609.1,"[('KAG9263824.1', 'CCK')]",208
208,CCL11,NP_002977.1,"[('KAG9272033.1', 'CCL13')]",209
209,CCL13,NP_005399.1,"[('KAG9272034.1', 'CCL11')]",210
210,CCL19,NP_006265.1,"[('KAG9261977.1', 'CCL19'), ('KAG9263311.1', 'CCL19')]",211
211,CCL2,NP_002973.1,"[('KAG9272034.1', 'CCL11')]",212
212,CCL20,NP_004582.1,"[('KAG9278192.1', 'CCL20')]",213
213,CCL26,NP_001358867.1,"[('KAG9272026.1', 'KAG9272026.1')]",214
214,CCL3,NP_002974.1,"[('KAG9272026.1', 'KAG9272026.1')]",215
215,CCNA1,NP_001104516.1,"[('KAG9263707.1', 'CCNA1')]",216
216,CCNA2,NP_001228.2,"[('KAG9272231.1', 'CCNA2')]",217
217,CCNB1,NP_114172.1,"[('KAG9281858.1', 'CCNB1')]",218
218,CCNB2,NP_004692.1,"[('KAG9261285.1', 'CCNB2')]",219
219,CCNC,NP_005181.2,"[('KAG9280553.1', 'CCNC')]",220
220,CCND1,NP_444284.1,"[('KAG9267104.1', 'CCND1')]",221
221,CCND2,NP_001750.1,"[('KAG9271954.1', 'CCND2')]",222
222,CCNE1,NP_001229.1,"[('KAG9261199.1', 'CCNE1')]",223
223,CCNE2,NP_477097.1,"[('KAG9276139.1', 'CCNE2')]",224
224,CCNG2,XP_054207169.1,"[('KAG9266044.1', 'CCNG2')]",225
225,CCR1,NP_001286.1,"[('KAG9276167.1', 'CCR4')]",226
226,CCR4,XP_054201145.1,"[('KAG9276167.1', 'CCR4')]",227
227,CCR5,NP_001093638.1,"[('KAG9276170.1', 'CCR5'), ('KAG9276171.1', 'CCR4')]",228
228,CCR6,NP_001381511.1,"[('KAG9268819.1', 'CCR6'), ('KAG9282924.1', 'CCR6')]",229
229,CCR7,NP_001829.1,"[('KAG9277597.1', 'CCR7')]",230
230,CD151,NP_004348.2,"[('KAG9272917.1', 'CD151')]",231
231,CD22,NP_001762.2,"[('KAG9262702.1', 'CD22')]",232
232,CD247,NP_000725.1,"[('KAG9262339.1', 'CD247')]",233
233,CD2AP,NP_036252.1,"[('KAG9282627.1', 'CD2AP')]",234
234,CD33,XP_054178668.1,"[('KAG9283781.1', 'SIGLEC1'), ('KAG9283787.1', 'SIGLEC12')]",235
235,CD36,NP_001358003.1,"[('KAG9280477.1', 'CD36')]",236
236,CD38,NP_001766.2,"[('KAG9283530.1', 'CD38')]",237
237,CD40,XP_054180217.1,"[('KAG9270932.1', 'CD40'), ('KAG9270933.1', 'CD40')]",238
238,CD46,NP_758868.1,"[('KAG9277021.1', 'CFH')]",239
239,CD68,NP_001242.2,"[('KAG9274176.1', 'CD68')]",240
240,CD82,XP_054224673.1,"[('KAG9267162.1', 'CD82'), ('KAG9273561.1', 'CD82')]",241
241,CDA,NP_001776.1,"[('KAG9260561.1', 'CDA')]",242
242,CDAN1,NP_612486.2,"[('KAG9268522.1', 'CDAN1')]",243
243,CDC20,NP_001246.2,"[('KAG9278856.1', 'KAG9278856.1')]",244
244,CDC25B,NP_001274445.1,"[('KAG9275203.1', 'CDC25A')]",245
245,CDC34,NP_004350.1,"[('KAG9266858.1', 'CDC34'), ('KAG9278108.1', 'CDC34')]",246
246,CDC42,NP_001782.1,"[('KAG9260262.1', 'KAG9260262.1'), ('KAG9269525.1', 'KAG9269525.1')]",247
247,CDC5L,NP_001244.1,"[('KAG9268731.1', 'CDC5L')]",248
248,CDC6,XP_054174032.1,"[('KAG9266670.1', 'KAG9266670.1')]",249
249,CDC73,NP_078805.3,"[('KAG9273634.1', 'CDC73')]",250
250,CDCA7,NP_114148.3,"[('KAG9271459.1', 'CDCA7')]",251
251,CDH11,NP_001788.2,"[('KAG9261214.1', 'CDH11')]",252
252,CDH13,NP_001207417.1,"[('KAG9273080.1', 'CDH13')]",253
253,CDH5,XP_054235308.1,"[('KAG9261212.1', 'CDH5')]",254
254,CDH6,XP_054207350.1,"[('KAG9267550.1', 'CDH10'), ('KAG9267980.1', 'CDH10'), ('KAG9278414.1', 'CDH10'), ('KAG9278415.1', 'CDH6')]",255
255,CDK1,NP_001307847.1,"[('KAG9268240.1', 'CDK1')]",256
256,CDK11B,XP_054195790.1,"[('KAG9270227.1', 'CDK11A')]",257
257,CDK2,XP_054226706.1,"[('KAG9260368.1', 'CDK2')]",258
258,CDK4,NP_000066.1,"[('KAG9260434.1', 'CDK4')]",259
259,CDK5R1,NP_003876.1,"[('KAG9267832.1', 'CDK5R1')]",260
260,CDK6,NP_001138778.1,"[('KAG9279787.1', 'CDK6')]",261
261,CDKN1A,NP_001361439.1,"[('KAG9260731.1', 'CDKN1A'), ('KAG9280387.1', 'CDKN1B')]",262
262,CDKN1B,NP_004055.1,"[('KAG9280827.1', 'CDKN1B')]",263
263,CDKN2B,NP_004927.2,"[('KAG9275760.1', 'CDKN2B')]",264
264,CDKN3,NP_005183.2,"[('KAG9274985.1', 'CDKN3')]",265
265,CDO1,NP_001310495.1,"[('KAG9270681.1', 'CDO1')]",266
266,CDX1,NP_001795.2,"[('KAG9266161.1', 'CDX1')]",267
267,CEACAM5,NP_004354.3,"[('KAG9275980.1', 'CEACAM5')]",268
268,CEBPA,NP_001274353.1,"[('KAG9260932.1', 'CEBPA')]",269
269,CEBPD,NP_005186.2,"[('KAG9275792.1', 'CEBPD')]",270
270,CEBPG,NP_001239225.1,"[('KAG9260933.1', 'CEBPG')]",271
271,CEBPZ,NP_005751.2,"[('KAG9283099.1', 'CEBPZ')]",272
272,CEL,NP_001798.3,"[('KAG9266337.1', 'CEL')]",273
273,CEP55,NP_060601.4,"[('KAG9267338.1', 'CEP55')]",274
274,CERS2,XP_054192174.1,"[('KAG9266526.1', 'CERS2'), ('KAG9276350.1', 'CERS2'), ('KAG9279382.1', 'CERS2')]",275
275,CETP,NP_000069.2,"[('KAG9273157.1', 'CETP')]",276
276,CFB,NP_001701.2,"[('KAG9265044.1', 'CFB'), ('KAG9265876.1', 'CFB'), ('KAG9265877.1', 'KAG9265877.1'), ('KAG9265878.1', 'KAG9265878.1')]",277
277,CFH,NP_000177.2,"[('KAG9266810.1', 'CFH')]",278
278,CFLAR,NP_003870.4,"[('KAG9271806.1', 'CFLAR')]",279
279,CFTR,NP_000483.3,"[('KAG9273217.1', 'CFTR')]",280
280,CGA,NP_000726.1,"[('KAG9268757.1', 'CGA')]",281
281,CGB3,NP_000728.1,"[('KAG9275034.1', 'CGBB')]",282
282,CGB5,NP_149032.1,"[('KAG9275034.1', 'CGBB')]",283
283,CHAC1,XP_054234743.1,"[('KAG9282990.1', 'CHAC1')]",284
284,CHAT,NP_065574.4,"[('KAG9275371.1', 'CHAT')]",285
285,CHD4,NP_001284482.1,"[('KAG9276304.1', 'CHD4')]",286
286,CHD8,NP_065971.2,"[('KAG9273824.1', 'CHD8')]",287
287,CHRNA1,NP_000070.1,"[('KAG9271466.1', 'CHRNA1'), ('KAG9277591.1', 'CHRNA1')]",288
288,CHRNE,XP_054170908.1,"[('KAG9281929.1', 'CHRNG')]",289
289,CHUK,XP_054220630.1,"[('KAG9275433.1', 'CHUK')]",290
290,CIAO1,NP_004795.1,"[('KAG9270629.1', 'CIAO1A')]",291
291,CIC,NP_001373227.1,"[('KAG9275974.1', 'KAG9275974.1')]",292
292,CIITA,XP_054236303.1,"[('KAG9263851.1', 'CIITA')]",293
293,CIP2A,XP_054203382.1,"[('KAG9283416.1', 'KAG9283416.1')]",294
294,CISH,NP_659508.1,"[('KAG9277115.1', 'CISH')]",295
295,CITED2,NP_001161861.2,"[('KAG9278898.1', 'CITED3')]",296
296,CKM,NP_001815.2,"[('KAG9265157.1', 'CKM'), ('KAG9275271.1', 'CKB'), ('KAG9282155.1', 'CKM')]",297
297,CKS2,NP_001818.1,"[('KAG9266346.1', 'CKS2')]",298
298,CLCN5,XP_054182407.1,"[('KAG9265699.1', 'CLCN5')]",299
299,CLCNKA,NP_004061.3,"[('KAG9269682.1', 'CLCNKB')]",300
300,CLDN3,NP_001297.1,"[('KAG9262938.1', 'CLDN5')]",301
301,CLDN7,NP_001298.3,"[('KAG9263161.1', 'CLDN7A')]",302
302,CLEC4C,XP_054227314.1,"[('KAG9259779.1', 'CLEC4F'), ('KAG9259781.1', 'CD209A')]",303
303,CLOCK,XP_054207263.1,"[('KAG9282177.1', 'CLOCK')]",304
304,CLU,NP_001822.3,"[('KAG9283085.1', 'CLU')]",305
305,CNMD,XP_054230035.1,"[('KAG9262371.1', 'CNMD')]",306
306,CNOT8,XP_054209778.1,"[('KAG9265914.1', 'CNOT8')]",307
307,CNP,NP_149124.3,"[('KAG9264242.1', 'CNP')]",308
308,CNTNAP2,NP_054860.1,"[('KAG9278754.1', 'CNTNAP2')]",309
309,COL11A1,NP_001177638.1,"[('KAG9276794.1', 'COL11A1')]",310
310,COMP,NP_000086.2,"[('KAG9266766.1', 'THBS4')]",311
311,COPS5,NP_006828.2,"[('KAG9283389.1', 'COPS5')]",312
