,Dmel,a,a2,Ast,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
3049,Drosophila_melanogaster,NP_001036652.1,MRPS5,Astyanax_mexicanus,XP_022528357.2,MRPS5,5.94e-64,244.0,2.8800000000000002e-64,244.0
3060,Drosophila_melanogaster,NP_001036676.1,CDEP,Astyanax_mexicanus,XP_022531165.2,FARP2,4.47e-204,711.0,1.99e-204,711.0
3089,Drosophila_melanogaster,NP_001036690.1,CG34117,Astyanax_mexicanus,XP_022520137.2,FMC1,4.92e-11,66.2,2.62e-11,66.2
3090,Drosophila_melanogaster,NP_001036692.1,PS,Astyanax_mexicanus,XP_007236885.1,NOVA2,7.42e-79,294.0,3.18e-79,294.0
3099,Drosophila_melanogaster,NP_001036711.1,GYC88E,Astyanax_mexicanus,XP_007253648.1,LOC103027224,6.350000000000001e-181,634.0,2.18e-181,634.0
3162,Drosophila_melanogaster,NP_001036728.1,DYS,Astyanax_mexicanus,XP_049325950.1,DMD,6.64e-294,1011.0,3.25e-294,1011.0
3200,Drosophila_melanogaster,NP_001036756.2,CG34150,Astyanax_mexicanus,XP_007255395.3,LYRM7,2.08e-12,71.2,8.04e-13,71.2
3217,Drosophila_melanogaster,NP_001036765.1,DOA,Astyanax_mexicanus,XP_022529550.1,CLK2B,2.29e-142,505.0,7.51e-143,505.0
3223,Drosophila_melanogaster,NP_001036767.1,CNX99A,Astyanax_mexicanus,XP_049340157.1,CANX,1.46e-87,323.0,7.1e-88,323.0
3225,Drosophila_melanogaster,NP_001036772.2,CG34133,Astyanax_mexicanus,XP_015457689.1,WDR44,2.3899999999999997e-189,662.0,9.85e-190,662.0
3244,Drosophila_melanogaster,NP_001096854.1,CG17636,Astyanax_mexicanus,XP_007255036.3,GGT1B,1.22e-102,373.0,6.06e-103,373.0
3259,Drosophila_melanogaster,NP_001096888.2,CG5937,Astyanax_mexicanus,XP_049337254.1,ARFGEF3,7.01e-160,565.0,3.6400000000000005e-160,565.0
3328,Drosophila_melanogaster,NP_001096945.1,CG15211,Astyanax_mexicanus,XP_007249231.2,LOC103032250,3.29e-07,54.3,1.64e-07,54.3
3333,Drosophila_melanogaster,NP_001096951.3,KAP3,Astyanax_mexicanus,XP_022528611.2,KIFAP3B,3.3e-169,595.0,1.21e-169,595.0
3335,Drosophila_melanogaster,NP_001096954.1,CG34348,Astyanax_mexicanus,XP_007232164.1,TMEM68,2.56e-83,308.0,1.29e-83,308.0
3453,Drosophila_melanogaster,NP_001096989.1,SD,Astyanax_mexicanus,XP_022539514.1,TEAD1A,1.1399999999999999e-128,459.0,5.75e-129,459.0
3493,Drosophila_melanogaster,NP_001096993.1,CHC,Astyanax_mexicanus,XP_007231094.1,CLTCB,0.0,2706.0,0.0,2706.0
3545,Drosophila_melanogaster,NP_001097023.1,CCKLR-17D3,Astyanax_mexicanus,XP_007228004.2,LOC103038142,3.58e-57,222.0,1.32e-57,222.0
3557,Drosophila_melanogaster,NP_001097053.2,CG4238,Astyanax_mexicanus,XP_007257372.3,AREL1,4.32e-214,744.0,2.25e-214,744.0
3593,Drosophila_melanogaster,NP_001097080.2,TRAF4,Astyanax_mexicanus,XP_015461148.1,TRAF4A,2.44e-109,395.0,1.1900000000000002e-109,395.0
3598,Drosophila_melanogaster,NP_001097105.3,NHE3,Astyanax_mexicanus,XP_049339961.1,SLC9A6A,7.98e-153,540.0,3.89e-153,540.0
3616,Drosophila_melanogaster,NP_001097140.1,CG34367,Astyanax_mexicanus,XP_007258448.3,SHOX2,1.52e-36,153.0,6.8e-37,153.0
3624,Drosophila_melanogaster,NP_001097160.2,KUZ,Astyanax_mexicanus,XP_049327111.1,ADAM10A,3.84e-141,502.0,1.18e-141,502.0
3626,Drosophila_melanogaster,NP_001097177.1,PDE11,Astyanax_mexicanus,XP_049338683.1,PDE5AB,5.79e-195,681.0,1.74e-195,681.0
3634,Drosophila_melanogaster,NP_001097192.2,NIPPED-A,Astyanax_mexicanus,XP_049320386.1,LOC103032461,0.0,3773.0,0.0,3773.0
3640,Drosophila_melanogaster,NP_001097202.2,EPAC,Astyanax_mexicanus,XP_049340863.1,RAPGEF4A,1.4300000000000002e-271,935.0,7.21e-272,935.0
3696,Drosophila_melanogaster,NP_001097236.2,CG8172,Astyanax_mexicanus,XP_022529985.1,LOC111193440,1.68e-37,156.0,5.53e-38,156.0
3697,Drosophila_melanogaster,NP_001097240.1,PDK,Astyanax_mexicanus,XP_007259234.1,PDK2A,6.28e-120,430.0,3.01e-120,430.0
3707,Drosophila_melanogaster,NP_001097243.1,NOT1,Astyanax_mexicanus,XP_049339752.1,CNOT1,0.0,1922.0,0.0,1922.0
3752,Drosophila_melanogaster,NP_001097317.1,KN,Astyanax_mexicanus,XP_049320411.1,EBF3A,9.740000000000001e-185,646.0,3.9100000000000005e-185,646.0
3795,Drosophila_melanogaster,NP_001097336.1,NOX,Astyanax_mexicanus,XP_049330373.1,NOX5,1.8299999999999998e-159,563.0,5.33e-160,563.0
3830,Drosophila_melanogaster,NP_001097358.1,CG34194,Astyanax_mexicanus,XP_007258461.2,SPTSSB,1.66e-06,51.2,6.3e-07,51.2
3849,Drosophila_melanogaster,NP_001097392.1,CG34396,Astyanax_mexicanus,XP_007244711.3,KCNK18,1.43e-22,107.0,4.9399999999999994e-23,107.0
3856,Drosophila_melanogaster,NP_001097436.1,WMD,Astyanax_mexicanus,XP_022527474.2,LOC111193019,1.37e-105,382.0,6.81e-106,382.0
3857,Drosophila_melanogaster,NP_001097437.1,SESN,Astyanax_mexicanus,XP_007255736.1,SESN1,2.08e-105,382.0,1.0100000000000001e-105,382.0
3864,Drosophila_melanogaster,NP_001097456.2,P130CAS,Astyanax_mexicanus,XP_022521032.2,NEDD9,1.02e-56,221.0,4.94e-57,221.0
3896,Drosophila_melanogaster,NP_001097492.2,KST,Astyanax_mexicanus,XP_049319614.1,SPTBN5,0.0,1749.0,0.0,1749.0
3897,Drosophila_melanogaster,NP_001097499.1,VHAM9.7-A,Astyanax_mexicanus,XP_007253057.1,ATPV0E2,5.5e-16,82.4,2.59e-16,82.4
3925,Drosophila_melanogaster,NP_001097518.2,SIF,Astyanax_mexicanus,XP_022537150.2,TIAM1A,1.11e-161,571.0,4.31e-162,571.0
3931,Drosophila_melanogaster,NP_001097527.1,FORM3,Astyanax_mexicanus,XP_049319486.1,INF2,1.82e-74,281.0,6.68e-75,281.0
3995,Drosophila_melanogaster,NP_001097610.1,CG12355,Astyanax_mexicanus,XP_007231359.2,LOC103042289,1.62e-24,112.0,7.2999999999999995e-25,112.0
4084,Drosophila_melanogaster,NP_001097670.1,NVD,Astyanax_mexicanus,XP_022532357.1,ZGC:92275,8.69e-81,300.0,4.55e-81,300.0
4114,Drosophila_melanogaster,NP_001097729.1,CG9471,Astyanax_mexicanus,XP_007251631.1,BLVRB,3.02e-33,141.0,1.51e-33,141.0
4115,Drosophila_melanogaster,NP_001097738.2,RFX,Astyanax_mexicanus,XP_022536618.2,RFX3,8.76e-143,507.0,3.61e-143,507.0
4123,Drosophila_melanogaster,NP_001097742.1,CG6567,Astyanax_mexicanus,XP_007251863.3,LYPLAL1,3.02e-51,201.0,1.53e-51,201.0
4131,Drosophila_melanogaster,NP_001097751.2,CLC-A,Astyanax_mexicanus,XP_049322868.1,LOC103042786,2e-201,702.0,8.43e-202,702.0
4159,Drosophila_melanogaster,NP_001097795.1,RRP6,Astyanax_mexicanus,XP_007248020.3,EXOSC10,1.71e-117,423.0,8.78e-118,423.0
4160,Drosophila_melanogaster,NP_001097796.1,CG6966,Astyanax_mexicanus,XP_007237674.3,FEM1A,1.42e-102,373.0,6.540000000000001e-103,373.0
4228,Drosophila_melanogaster,NP_001097890.1,PLI,Astyanax_mexicanus,XP_007252562.1,PELI2,8.35e-143,506.0,4.16e-143,506.0
4249,Drosophila_melanogaster,NP_001097981.1,CG15537,Astyanax_mexicanus,XP_007247050.1,LOC103033396,1.1199999999999999e-23,110.0,5.04e-24,110.0
4328,Drosophila_melanogaster,NP_001137607.1,FIS1,Astyanax_mexicanus,XP_007248097.3,FIS1,4.78e-27,120.0,2.47e-27,120.0
4332,Drosophila_melanogaster,NP_001137610.1,PLD,Astyanax_mexicanus,XP_022536349.2,SI:CH211-168K14.2,6.6e-233,807.0,2.5499999999999997e-233,807.0
4338,Drosophila_melanogaster,NP_001137624.1,CAMTA,Astyanax_mexicanus,XP_022538016.2,CAMTA1B,2.47e-87,324.0,1.05e-87,324.0
4499,Drosophila_melanogaster,NP_001137659.1,SHOT,Astyanax_mexicanus,XP_049331353.1,MACF1A,0.0,1899.0,0.0,1899.0
4508,Drosophila_melanogaster,NP_001137672.2,TRPM,Astyanax_mexicanus,XP_049326156.1,TRPM3,0.0,1126.0,0.0,1126.0
4626,Drosophila_melanogaster,NP_001137769.2,SLH,Astyanax_mexicanus,XP_022528331.1,SCFD1,3.65e-212,737.0,1.7800000000000002e-212,737.0
4631,Drosophila_melanogaster,NP_001137782.1,SHAW,Astyanax_mexicanus,XP_049323571.1,KCNC3A,1.8900000000000002e-116,419.0,9.210000000000001e-117,419.0
4700,Drosophila_melanogaster,NP_001137802.1,TSP,Astyanax_mexicanus,XP_022529310.2,THBS3A,1.26e-118,427.0,5.66e-119,427.0
4710,Drosophila_melanogaster,NP_001137830.2,TRPGAMMA,Astyanax_mexicanus,XP_022537160.2,TRPC4A,4.240000000000001e-213,741.0,1.6300000000000003e-213,741.0
4753,Drosophila_melanogaster,NP_001137882.1,CG10359,Astyanax_mexicanus,XP_049342181.1,FIBCD1A,9.19e-31,134.0,4.34e-31,134.0
4794,Drosophila_melanogaster,NP_001137926.1,CG3552,Astyanax_mexicanus,XP_007228362.3,GDPGP1,8.11e-25,114.0,3.73e-25,114.0
4797,Drosophila_melanogaster,NP_001137932.1,E(Z),Astyanax_mexicanus,XP_007254851.1,EZH2,1e-193,676.0,4.9500000000000004e-194,676.0
4800,Drosophila_melanogaster,NP_001137936.1,APP,Astyanax_mexicanus,XP_022540516.2,ZDHHC14,8.25e-119,427.0,2.75e-119,427.0
4827,Drosophila_melanogaster,NP_001137955.1,OME,Astyanax_mexicanus,XP_049327079.1,DPP4,5.63e-116,418.0,2.2400000000000002e-116,418.0
4829,Drosophila_melanogaster,NP_001137958.1,TAF4,Astyanax_mexicanus,XP_049319076.1,LOC103041700,2.24e-49,197.0,9.92e-50,197.0
4944,Drosophila_melanogaster,NP_001138076.1,CG7694,Astyanax_mexicanus,XP_007237875.2,RNF181,9.35e-24,109.0,4.9e-24,109.0
4961,Drosophila_melanogaster,NP_001138093.1,INR,Astyanax_mexicanus,XP_007236388.3,INSRA,5.98e-215,748.0,1.8700000000000002e-215,748.0
4998,Drosophila_melanogaster,NP_001138119.2,CG33203,Astyanax_mexicanus,XP_007251087.3,PAQR4A,2.51e-53,209.0,6.739999999999999e-54,209.0
5161,Drosophila_melanogaster,NP_001138191.1,PKCDELTA,Astyanax_mexicanus,XP_022538509.2,PRKCDB,2.0899999999999998e-172,605.0,1.06e-172,605.0
5169,Drosophila_melanogaster,NP_001138195.1,INAE,Astyanax_mexicanus,XP_022525206.2,DAGLA,1.98e-147,523.0,8.15e-148,523.0
5248,Drosophila_melanogaster,NP_001162642.1,DELTACOP,Astyanax_mexicanus,XP_007231493.2,ARCN1B,1.56e-150,532.0,7.41e-151,532.0
5397,Drosophila_melanogaster,NP_001162735.1,TOMOSYN,Astyanax_mexicanus,XP_022528710.2,STXBP5B,1.6599999999999999e-242,839.0,6.73e-243,839.0
5691,Drosophila_melanogaster,NP_001162844.1,EAAT2,Astyanax_mexicanus,XP_049323962.1,SLC1A9,5.78e-112,404.0,3.24e-112,404.0
5730,Drosophila_melanogaster,NP_001162873.1,CG12194,Astyanax_mexicanus,XP_022534499.2,MFSD1,8.199999999999999e-136,483.0,3.77e-136,483.0
5970,Drosophila_melanogaster,NP_001163058.1,AP,Astyanax_mexicanus,XP_049342205.1,LHX2B,6.070000000000001e-79,294.0,2.4700000000000002e-79,294.0
6071,Drosophila_melanogaster,NP_001163161.1,FUS,Astyanax_mexicanus,XP_007236575.3,ESRP1,7.63e-127,454.0,3.15e-127,454.0
6090,Drosophila_melanogaster,NP_001163185.1,STAU,Astyanax_mexicanus,XP_049335089.1,STAU1,3.5700000000000005e-70,266.0,1.1900000000000001e-70,266.0
6352,Drosophila_melanogaster,NP_001163399.1,UGP,Astyanax_mexicanus,XP_049325196.1,UGP2A,1.51e-178,625.0,7.420000000000001e-179,625.0
6449,Drosophila_melanogaster,NP_001163511.1,PLX,Astyanax_mexicanus,XP_022537450.2,TBC1D1,1.01e-137,491.0,3.91e-138,491.0
6465,Drosophila_melanogaster,NP_001163547.1,CG2747,Astyanax_mexicanus,XP_049328108.1,HEATR5B,0.0,1904.0,0.0,1904.0
6499,Drosophila_melanogaster,NP_001163577.1,MED6,Astyanax_mexicanus,XP_007247631.3,MED6,1.25e-53,209.0,6.089999999999999e-54,209.0
6506,Drosophila_melanogaster,NP_001163596.2,OCTBETA2R,Astyanax_mexicanus,XP_049328278.1,LOC103027537,4.05e-51,202.0,1.13e-51,202.0
6558,Drosophila_melanogaster,NP_001163656.2,GLUCLALPHA,Astyanax_mexicanus,XP_007246496.1,GLRA1,8.43e-90,330.0,4.16e-90,330.0
6737,Drosophila_melanogaster,NP_001163721.1,CLBN,Astyanax_mexicanus,XP_022528343.1,LOC103027759,8.85e-214,743.0,4.71e-214,743.0
6738,Drosophila_melanogaster,NP_001163727.1,CAD96CB,Astyanax_mexicanus,XP_015458063.1,LOC107197089,6.0900000000000004e-27,122.0,3.0500000000000003e-27,122.0
6756,Drosophila_melanogaster,NP_001163748.1,CG5521,Astyanax_mexicanus,XP_049320014.1,RALGAPA1,7.32e-266,917.0,3.88e-266,917.0
6952,Drosophila_melanogaster,NP_001188515.1,PMCA,Astyanax_mexicanus,XP_007237017.3,ATP2B3A,0.0,1306.0,0.0,1306.0
7052,Drosophila_melanogaster,NP_001188522.1,DAAM,Astyanax_mexicanus,XP_007238807.2,DAAM1B,8.04e-246,850.0,2.9e-246,850.0
7105,Drosophila_melanogaster,NP_001188564.1,RDGA,Astyanax_mexicanus,XP_022528097.2,DGKZB,2.79e-187,655.0,1.29e-187,655.0
7155,Drosophila_melanogaster,NP_001188595.1,RANBP16,Astyanax_mexicanus,XP_049324964.1,XPO7,0.0,1219.0,0.0,1219.0
8220,Drosophila_melanogaster,NP_001188671.1,COREST,Astyanax_mexicanus,XP_049321640.1,RCOR3,7.88e-59,228.0,2.57e-59,228.0
8309,Drosophila_melanogaster,NP_001188773.1,UTX,Astyanax_mexicanus,XP_007244296.3,KDM6AL,1.61e-212,739.0,9.940000000000001e-213,739.0
8330,Drosophila_melanogaster,NP_001188786.1,TRIM9,Astyanax_mexicanus,XP_049337560.1,TRIM9,7.72e-165,580.0,3.7899999999999997e-165,580.0
8376,Drosophila_melanogaster,NP_001188832.1,SYTALPHA,Astyanax_mexicanus,XP_049339498.1,SYT9A,2.59e-50,199.0,1.42e-50,199.0
8401,Drosophila_melanogaster,NP_001188874.1,LPIN,Astyanax_mexicanus,XP_007260232.3,LPIN2,1.5e-122,440.0,6.79e-123,440.0
8420,Drosophila_melanogaster,NP_001188888.1,SU(VAR)2-10,Astyanax_mexicanus,XP_022520941.2,PIAS1A,2.57e-99,362.0,1.42e-99,362.0
8424,Drosophila_melanogaster,NP_001188890.1,CG18659,Astyanax_mexicanus,XP_022525483.2,DENND1B,6.24e-70,265.0,2.81e-70,265.0
8488,Drosophila_melanogaster,NP_001188929.1,L,Astyanax_mexicanus,XP_049339659.1,ZNF423,2.7e-19,97.4,1.33e-19,97.4
8548,Drosophila_melanogaster,NP_001189002.1,MMP1,Astyanax_mexicanus,XP_049320703.1,MMP25B,5.43e-56,218.0,2.75e-56,218.0
8629,Drosophila_melanogaster,NP_001189078.1,CG42673,Astyanax_mexicanus,XP_007258434.2,NOS1APA,2.56e-63,242.0,1.51e-63,242.0
8690,Drosophila_melanogaster,NP_001189126.2,JON74E,Astyanax_mexicanus,XP_007237730.2,LOC103039974,2.63e-28,125.0,1.2799999999999999e-28,125.0
8697,Drosophila_melanogaster,NP_001189147.1,PKA-R1,Astyanax_mexicanus,XP_007233803.1,PRKAR1AA,6.92e-152,536.0,3.43e-152,536.0
8768,Drosophila_melanogaster,NP_001189184.1,CG42724,Astyanax_mexicanus,XP_007247488.2,TCERG1A,3.11e-128,459.0,1.3599999999999998e-128,459.0
8797,Drosophila_melanogaster,NP_001189230.1,MOR,Astyanax_mexicanus,XP_049335117.1,SMARCC2,4.99e-217,754.0,2.19e-217,754.0
8865,Drosophila_melanogaster,NP_001189276.1,SYX1A,Astyanax_mexicanus,XP_007236558.1,STX1B,4.47e-89,327.0,2.15e-89,327.0
8905,Drosophila_melanogaster,NP_001189310.1,CG2006,Astyanax_mexicanus,XP_022542755.2,DTWD1,1.0699999999999999e-48,193.0,4.72e-49,193.0
8991,Drosophila_melanogaster,NP_001245420.1,HCF,Astyanax_mexicanus,XP_022526584.2,HCFC1B,2.25e-175,616.0,1.36e-175,616.0
8993,Drosophila_melanogaster,NP_001245428.1,PLEXA,Astyanax_mexicanus,XP_022533004.2,PLXNA1A,0.0,1301.0,0.0,1301.0
9053,Drosophila_melanogaster,NP_001245450.1,APPL,Astyanax_mexicanus,XP_049325220.1,APPA,2.57e-35,150.0,1.0200000000000001e-35,150.0
9079,Drosophila_melanogaster,NP_001245474.1,ADAR,Astyanax_mexicanus,XP_049341253.1,ADARB1B,4.19e-141,501.0,2.08e-141,501.0
9105,Drosophila_melanogaster,NP_001245494.2,TROL,Astyanax_mexicanus,XP_049318646.1,HSPG2,0.0,1134.0,0.0,1134.0
9164,Drosophila_melanogaster,NP_001245545.1,CA-ALPHA1T,Astyanax_mexicanus,XP_022530611.2,CACNA1HB,0.0,1059.0,0.0,1059.0
9520,Drosophila_melanogaster,NP_001245672.1,RUT,Astyanax_mexicanus,XP_049338016.1,ADCY1B,4.27e-223,775.0,1.17e-223,775.0
9576,Drosophila_melanogaster,NP_001245683.1,ACJ6,Astyanax_mexicanus,XP_007244183.1,POU4F1,7.58e-75,280.0,3.9900000000000003e-75,280.0
9686,Drosophila_melanogaster,NP_001245712.1,CG4301,Astyanax_mexicanus,XP_049321613.1,LOC103043353,3.0599999999999997e-180,632.0,1.2799999999999998e-180,632.0
9728,Drosophila_melanogaster,NP_001245717.1,CANA-14F,Astyanax_mexicanus,XP_022533946.1,LOC103021658,1.1000000000000001e-235,815.0,4.7799999999999995e-236,815.0
9882,Drosophila_melanogaster,NP_001245813.1,GALECTIN,Astyanax_mexicanus,XP_007244820.3,LOC103047365,8.16e-22,104.0,3.28e-22,104.0
9886,Drosophila_melanogaster,NP_001245832.1,CG5001,Astyanax_mexicanus,XP_049326504.1,DNAJB5,6.3e-96,350.0,3.19e-96,350.0
9899,Drosophila_melanogaster,NP_001245848.1,VGLUT,Astyanax_mexicanus,XP_049336598.1,SLC17A7B,1.27e-139,496.0,5.8e-140,496.0
9925,Drosophila_melanogaster,NP_001245895.1,OSCILLIN,Astyanax_mexicanus,XP_007247528.3,GNPDA2,1.01e-120,432.0,5.09e-121,432.0
9978,Drosophila_melanogaster,NP_001245936.1,CKA,Astyanax_mexicanus,XP_022528333.2,STRN3,1.69e-183,642.0,8e-184,642.0
9984,Drosophila_melanogaster,NP_001245943.1,CG7627,Astyanax_mexicanus,XP_022531083.2,ABCC4,0.0,1043.0,0.0,1043.0
9985,Drosophila_melanogaster,NP_001245944.1,PP2A-29B,Astyanax_mexicanus,XP_007245296.1,PPP2R1BA,3.0699999999999998e-90,332.0,1.37e-90,332.0
10002,Drosophila_melanogaster,NP_001245976.1,L(2)GD1,Astyanax_mexicanus,XP_022530198.2,CC2D1A,1.15e-100,367.0,6.7e-101,367.0
10042,Drosophila_melanogaster,NP_001245994.1,PDE1C,Astyanax_mexicanus,XP_022529346.2,PDE1CA,5.719999999999999e-147,521.0,2.19e-147,521.0
10145,Drosophila_melanogaster,NP_001246113.1,DIA,Astyanax_mexicanus,XP_049340086.1,DIAPH2,5.86e-162,571.0,2.96e-162,571.0
10164,Drosophila_melanogaster,NP_001246140.1,GUS,Astyanax_mexicanus,XP_007246365.1,SPSB1,1.74e-113,408.0,8.42e-114,408.0
10168,Drosophila_melanogaster,NP_001246145.1,PTR,Astyanax_mexicanus,XP_049331843.1,LOC103031481,9.429999999999999e-139,494.0,3.46e-139,494.0
10323,Drosophila_melanogaster,NP_001246193.1,SAX,Astyanax_mexicanus,XP_022535863.2,LOC103030586,3.5e-147,521.0,2.02e-147,521.0
10388,Drosophila_melanogaster,NP_001246214.1,CG13743,Astyanax_mexicanus,XP_049340861.1,SLC38A11,4.79e-90,331.0,2.17e-90,331.0
10557,Drosophila_melanogaster,NP_001246304.1,STJ,Astyanax_mexicanus,XP_049327540.1,CACNA2D3,4.3300000000000004e-157,555.0,1.9e-157,555.0
10604,Drosophila_melanogaster,NP_001246357.1,ASPH,Astyanax_mexicanus,XP_022533929.2,UNM_HU7910,9.47e-91,334.0,4.04e-91,334.0
10685,Drosophila_melanogaster,NP_001246408.1,CG43066,Astyanax_mexicanus,XP_007250636.3,SLC6A15,6.16e-161,567.0,3.1100000000000003e-161,567.0
10700,Drosophila_melanogaster,NP_001246420.1,HTS,Astyanax_mexicanus,XP_049322309.1,ADD1,6.14e-102,371.0,3.02e-102,371.0
10855,Drosophila_melanogaster,NP_001246491.1,CG3376,Astyanax_mexicanus,XP_049324851.1,SMPD1,1.0800000000000001e-125,450.0,4.26e-126,450.0
10884,Drosophila_melanogaster,NP_001246530.1,DIP2,Astyanax_mexicanus,XP_022536819.1,DIP2CA,0.0,1664.0,0.0,1664.0
